"TITLE","AUTHORS","SUBJECT","DESCRIPTION","PUBLISHER","AVAILABILITY","RESEARCH_ORG","SPONSORING_ORG","CONTRIBUTING_ORG","PUBLICATION_COUNTRY","PUBLICATION_DATE","LANGUAGE","RESOURCE_TYPE","TYPE_QUALIFIER","RELATION","COVERAGE","FORMAT","IDENTIFIER","REPORT_NUMBER","DOE_CONTRACT_NUMBER","OTHER_IDENTIFIER","DOI","RIGHTS","ENTRY_DATE","OSTI_IDENTIFIER","CITATION_URL","PURL_URL","JOURNAL_NAME","JOURNAL_ISSUE","JOURNAL_VOLUME"
"Deoxydehydration and Catalytic Transfer Hydrogenation: New Strategy to Valorize Tartaric Acid and Succinic Acid to γ-Butyrolactone and Tetrahydrofuran","Jang, Jun Hee; Abu-Omar, Mahdi M.","10 SYNTHETIC FUELS; biomass conversion; deoxydehydration; catalytic transfer hydrogenation; γ-butyrolactone; tartaric acid; rhenium oxide","Hydrogenation of succinic acid and maleic acid produces C4 value-added chemicals such as γ-butyrolactone and tetrahydrofuran. Here, unsupported ReO<sub>x</sub> nanoparticles transform succinic acid to γ-butyrolactone and tetrahydrofuran via catalytic transfer hydrogenation with isopropanol as a liquid phase hydrogen donor. This catalyst is also active for the sequential reaction of deoxydehydration and transfer hydrogenation in isopropanol, synthesizing renewable succinic acid and its esters from tartaric acid. One-step conversion of tartaric acid to γ-butyrolactone is achieved in a moderate yield and the possible reaction pathway is discussed.","MDPI","","Univ. of California, Santa Barbara, CA (United States)","USDOE Office of Science (SC), Basic Energy Sciences (BES)","","United States","2020-12-03T00:00:00Z","English","Journal Article","","Journal Name: Energies; Journal Volume: 13; Journal Issue: 23","","Medium: ED; Size: Article No. 6402","","","SC0019161","Journal ID: ISSN 1996-1073; PII: en13236402","10.3390/en13236402","","2022-04-25T00:00:00Z","1852900","https://www.osti.gov/biblio/1852900","https://www.osti.gov/servlets/purl/1852900","Energies","23","13"
"Coal direct chemical looping process: 250 kW pilot-scale testing for power generation and carbon capture","Zhang, Yitao; Wang, Dawei; Pottimurthy, Yaswanth; Kong, Fanhe; Hsieh, Tien-Lin; Sakadjian, Bartev; Chung, Cheng; Park, Cody; Xu, Dikai; Bao, Jinhua; Velazquez-Vargas, Luis; Guo, Mengqing; Sandvik, Peter; Nadgouda, Sourabh; Flynn, Thomas J.; Tong, Andrew; Fan, Liang-Shih","10 SYNTHETIC FUELS; Energy & Fuels; Engineering; Chemical looping; Power production; Carbon capture; CoalPilot-scale unit","Chemical looping combustion (CLC) is an energy conversion technology that can produce concentrated CO<sub>2</sub> stream without the need for a gas separation step, and thus, has the potential to drastically reduce the energy consumption and cost associated with CO<sub>2</sub> capture in power generation. The coal-direct chemical looping (CDCL) process is a CLC technology that uses a moving bed reducer configuration that can directly consume coal as a feedstock without requiring an upstream gasification step. An integrated 250 kW<sub>th</sub> CDCL pilot unit using iron-based oxygen carriers was constructed and demonstrated for over 1000 h of testing. The principles for the CDCL pilot unit design and operation are summarized in this article. During the 288-hour continuous operation testing, the CDCL pilot unit achieved >96% coal conversion with a CO<sub>2</sub> purity of >97%. Low carbon carryover into the combustor, i.e. <2%, was also confirmed during the test, which shows the capability of the moving bed reactor to retain and convert coal using the oxygen available on the iron-based oxygen carrier. The results from the pilot unit testing confirms the CDCL concept as a promising coal combustion technology for heat and power generation with CO<sub>2</sub> capture.","Elsevier","","Babcock & Wilcox, Akron, OH (United States)","USDOE Office of Fossil Energy (FE)","","United States","2020-11-11T00:00:00Z","English","Journal Article","","Journal Name: Applied Energy; Journal Volume: 282; Journal Issue: PA","","Medium: ED; Size: Article No. 116065","","","FE0009761; FE0027654","Journal ID: ISSN 0306-2619; PII: S0306261920314963","10.1016/j.apenergy.2020.116065","","2022-06-16T00:00:00Z","1849114","https://www.osti.gov/biblio/1849114","https://www.osti.gov/servlets/purl/1849114","Applied Energy","PA","282"
"The current status of high temperature electrochemistry-based CO<sub>2</sub> transport membranes and reactors for direct CO<sub>2</sub> capture and conversion","Zhang, Peng; Tong, Jingjing; Huang, Kevin; Zhu, Xuefeng; Yang, Weishen","10 SYNTHETIC FUELS; 25 ENERGY STORAGE; 42 ENGINEERING; Thermodynamics; Energy & Fuels; Engineering; Carbon capture; Membrane; Electrochemical; Catalytic; Reactor","The concept of direct CO<sub>2</sub> capture and conversion has attracted significant interest from industries and academia in recent decades due to its potential to address the current grand challenge of global warming/climate change, rapid depletion of fossil fuels and realization of a future carbon neutral ecosystem. The incumbent benchmark technology for CO<sub>2</sub> capture is the post-combustion flue-gas “amine washing”, which is energy intensive and costly for large-scale commercial implementation. The CO<sub>2</sub> conversion technologies, on the other hand, are still at their infancy with many technical challenges to overcome, but primarily being explored in laboratory-scale, low-temperature, solution-based and high-temperature, solid-oxide-based electrochemical cells with renewable electricity perceived as the energy input. In this article, we provide a comprehensive overview on an emergent class of high-temperature electrochemical CO<sub>2</sub> transport membranes that can capture and convert CO<sub>2</sub> into valuable chemicals in single catalytic reactor fashion. The review starts with the chemistry and transport theory of three basic types of membranes purposely designed for different CO<sub>2</sub> feedstocks and downstream conversions. A range of key functional materials used in these membranes and their microstructural/electrochemical properties important to the CO<sub>2</sub> transport are then thoroughly discussed in conjunction with the effects of surface modifications and operating conditions. Several types of combined CO<sub>2</sub> capture and conversion catalytic reactors based on these membranes are also assessed with a focus on their working principles, system configurations and performance demonstrations. Finally, challenges and prospective of these electrochemical CO<sub>2</sub> transport membranes and their associated conversion reactors are candidly discussed for future development.","Elsevier","","Arizona State Univ., Tempe, AZ (United States)","USDOE Office of Fossil Energy (FE)","","United States","2020-11-07T00:00:00Z","English","Journal Article","","Journal Name: Progress in Energy and Combustion Science; Journal Volume: 82; Journal Issue: C","","Medium: ED; Size: Article No. 100888","","","FE0031634","Journal ID: ISSN 0360-1285; PII: S0360128520300988","10.1016/j.pecs.2020.100888","","2022-07-26T00:00:00Z","1849280","https://www.osti.gov/biblio/1849280","https://www.osti.gov/servlets/purl/1849280","Progress in Energy and Combustion Science","C","82"
"Performance and long-term stability of CO<sub>2</sub> conversion to formic acid using a three-compartment electrolyzer design","Yang, Hongzhou; Kaczur, Jerry J.; Sajjad, Syed Dawar; Masel, Richard I.","10 SYNTHETIC FUELS; Electrochemical CO2 reduction; Three-compartment electrolyzer; Formic acid; Formic acid catalyst stability","The electrochemical reduction of CO<sub>2</sub> to formate and formic acid has attracted a great amount of academic and commercial interest over the past five years. A number of experimental studies have generated data on the Faradaic performance and stability of various candidate catalyst materials in producing formate or formic acid. However, most of the data has been conducted at low current densities and over short time periods, typically hours to days. There is a critical need in providing long-term catalyst stability as well as electrolyzer-based operating data, which are needed for the commercial scale-up and operation of this technology, especially at high current densities. In this paper, the electrochemical CO<sub>2</sub> conversion to pure formic acid was conducted using a three-compartment design electrolyzer, demonstrating electrolyzer catalyst and performance stability for over 1000 h at current densities up to 200 mA cm<sup>-2</sup>. Depending on the operation conditions, the electrolyzer directly produced a 6.03 to 12.92 wt% (1.3 to 2.8 M) formic acid product at Faradaic efficiencies ranging between 73.0 to 91.3%. Data on electrolyzer performance, including formic acid product generation rate, energy efficiency, and energy consumption are reported at three different current densities, 100, 200, and 250 mA cm<sup>-2</sup>. Finally, a long term 1000 h electrolyzer stability run at 200 mA cm<sup>-2</sup> is presented, providing information on the operating conditions required in obtaining stable electrolyzer performance. All the data will be extremely useful in the commercial scale-up of this technology.","Elsevier","","Dioxide Materials, Inc., Boca Raton, FL (United States)","USDOE Office of Fossil Energy (FE), Clean Coal and Carbon Management","","United States","2020-10-30T00:00:00Z","English","Journal Article","","Journal Name: Journal of CO2 Utilization; Journal Volume: 42; Related Information: https://ars.els-cdn.com/content/image/1-s2.0-S2212982020309793-mmc1.zip","","Medium: ED; Size: Article No. 101349","","","FE0031706","Journal ID: ISSN 2212-9820","10.1016/j.jcou.2020.101349","","2021-11-01T00:00:00Z","1700693","https://www.osti.gov/biblio/1700693","https://www.osti.gov/servlets/purl/1700693","Journal of CO2 Utilization","","42"
"Constraints on the Efficiency of Engineered Electromicrobial Production","Salimijazi, Farshid; Kim, Jaehwan; Schmitz, Alexa M.; Grenville, Richard; Bocarsly, Andrew; Barstow, Buz","37 INORGANIC, ORGANIC, PHYSICAL, AND ANALYTICAL CHEMISTRY; 10 SYNTHETIC FUELS; 36 MATERIALS SCIENCE","Electromicrobial production aims to combine electricity and microbial metabolism for solar and electrical energy storage. We have constructed molecule to reactor models of highly engineered electromicrobial production systems that use H<sub>2</sub> oxidation and direct electron transfer (DET). We predict electrical-to-biofuel conversion efficiency could rise to 52% with engineered in vivo CO<sub>2</sub> fixation. H<sub>2</sub> diffusion at ambient pressure requires areas 20 to 2,000 times the solar photovoltaic (PV) area supplying the system. Agitation can reduce this below the PV area, and the power needed is negligible when storing ≥ 1.1 megawatts. DET systems can be built with areas ≤ 15 times the PV area and have low energy losses even with natural conductive biofilms and can be even smaller if the conductivity could be raised to match conductive artificial polymers. Schemes that use electrochemical CO<sub>2</sub> reduction could achieve efficiencies of almost 50% with no complications of O<sub>2</sub> sensitivity.","Elsevier","","Cornell Univ., Ithaca, NY (United States)","USDOE Office of Science (SC), Biological and Environmental Research (BER); Burroughs Wellcome Fund; Princeton University; Cornell University","","United States","2020-10-01T00:00:00Z","English","Journal Article","","Journal Name: Joule Journal Volume: 4 Journal Issue: 10","","Medium: X; Size: p. 2101-2130","","","SC0020179","Journal ID: ISSN 2542-4351; S2542435120303913; PII: S2542435120303913","10.1016/j.joule.2020.08.010","","2021-03-23T00:00:00Z","1772113","https://www.osti.gov/biblio/1772113","","Joule","10","4"
"Hybrid Fuel Cell—Supercritical CO<sub>2</sub> Brayton Cycle for CO<sub>2</sub> Sequestration-Ready Combined Heat and Power","Ghotkar, Rhushikesh; Stechel, Ellen B.; Ermanoski, Ivan; Milcarek, Ryan J.","10 SYNTHETIC FUELS; Energy & Fuels; supercritical CO2; combined heat and power; flame-assisted fuel cells; carbon sequestration; solid oxide fuel cell","The low prices and its relatively low carbon intensity of natural gas have encouraged the coal replacement with natural gas power generation. Such a replacement reduces greenhouse gases and other emissions. To address the significant energy penalty of carbon dioxide (CO<sub>2</sub>) sequestration in gas turbine systems, a novel high efficiency concept is proposed and analyzed, which integrates a flame-assisted fuel cell (FFC) with a supercritical CO<sub>2</sub> (sCO<sub>2</sub>) Brayton cycle air separation. The air separation enables the exhaust from the system to be CO<sub>2</sub> sequestration-ready. The FFC provides the heat required for the sCO<sub>2</sub> cycle. Heat rejected from the sCO<sub>2</sub> cycle provides the heat required for adsorption-desorption pumping to isolate oxygen via air separation. The maximum electrical efficiency of the FFC sCO<sub>2</sub> turbine hybrid (FFCTH) without being CO<sub>2</sub> sequestration-ready is 60%, with the maximum penalty being 0.68% at a fuel-rich equivalence ratio (&Phi;) of 2.8, where &Phi; is proportional to fuel-air ratio. This electrical efficiency is higher than the standard sCO<sub>2</sub> cycle by 6.85%. The maximum power-to-heat ratio of the sequestration-ready FFCTH is 233 at a &Phi; = 2.8. Even after including the air separation penalty, the electrical efficiency is higher than in previous studies.","MDPI","","Arizona State Univ., Tempe, AZ (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Renewable Power Office. Solar Energy Technologies Office","","United States","2020-09-24T00:00:00Z","English","Journal Article","","Journal Name: Energies; Journal Volume: 13; Journal Issue: 19","","Medium: ED; Size: Article No. 5043","","","EE0008991","Journal ID: ISSN 1996-1073; ENERGA; PII: en13195043","10.3390/en13195043","","2022-04-26T00:00:00Z","1848942","https://www.osti.gov/biblio/1848942","https://www.osti.gov/servlets/purl/1848942","Energies","19","13"
"Co-optimizing water-alternating-carbon dioxide injection projects using a machine learning assisted computational framework","You, Junyu; Ampomah, William; Sun, Qian","10 SYNTHETIC FUELS; Energy & Fuels; Engineering; Carbon dioxide sequestration; CO<sub>2</sub>-EOR; Multi-objective optimization; Artificial neural network","In this report, a robust machine-learning-based computational framework that couples multi-layer neural network (MLNN) proxies and a multi-objective particle swarm optimizer (MOPSO) to design water-alternating-carbon dioxide injection (CO<sub>2</sub>-WAG) projects is presented. The proposed optimization protocol considers various objectives, including oil recovery and CO<sub>2</sub> storage volume. Expert MLNN systems are trained and employed as surrogate models of the high-fidelity compositional simulator in the optimization workflow. When multiple objective functions are considered, two approaches are employed to treat the objectives: the weighted sum method and the Pareto-front-based scheme. A field-scale implementation focusing on tertiary recovery in the Morrow B formation at Farnsworth Unit (FWU) is presented. The developed Pareto-optimal solutions indicate the maximal available oil production can be 1.64 × 10<sup>7</sup> barrels and maximal carbon storage can achieve 2.35 × 10<sup>7</sup> tons. Trade-offs factor is defined to divide the constructed Pareto front into 4 sections with the trade-off factors’ value ranges from 0.35 to 49.9. This work also compares the optimum solution found by the aggregative objective function and the solution repository covered by the Pareto front that considers the physical and operational constraints and reduces uncertainties involved by the multi-objective optimization process. Our comparison indicates multiple solutions exist to satisfy the objective criteria of the WAG design, and these results cannot be found using the traditional weighted sum method. The Pareto front solution can provide more options for project designers, but decisions regarding necessary trade-offs must be made using the solution repository to balance the project economics and CO<sub>2</sub> storage amount.","Elsevier","","New Mexico Institute of Mining and Technology, Socorro, NM (United States)","USDOE Office of Fossil Energy (FE)","","United States","2020-09-06T00:00:00Z","English","Journal Article","","Journal Name: Applied Energy; Journal Volume: 279; Journal Issue: C","","Medium: ED; Size: Article No. 115695","","","FC26-05NT42591","Journal ID: ISSN 0306-2619; PII: S0306261920311910","10.1016/j.apenergy.2020.115695","","2022-06-16T00:00:00Z","1849087","https://www.osti.gov/biblio/1849087","https://www.osti.gov/servlets/purl/1849087","Applied Energy","C","279"
"A nitrogenase-like enzyme system catalyzes methionine, ethylene, and methane biogenesis","North, Justin A; Narrowe, Adrienne B; Xiong, Weili; Byerly, Kathryn M; Zhao, Guanqi; Young, Sarah J; Murali, Srividya; Wildenthal, John A; Cannon, William R; Wrighton, Kelly C; Hettich, Robert L; Tabita, Fred Robert","59 BASIC BIOLOGICAL SCIENCES; 54 ENVIRONMENTAL SCIENCES; 10 SYNTHETIC FUELS; Nitrogenase; ethylene; methane; dimethyl sulfide; soil; sulfur; bacteria","Bacterial production of gaseous hydrocarbons such as ethylene and methane affects soil environments and atmospheric climate. We demonstrate that biogenic methane and ethylene from terrestrial and freshwater bacteria are directly produced by a previously unknown methionine biosynthesis pathway. This pathway, present in numerous species, uses a nitrogenase-like reductase that is distinct from known nitrogenases and nitrogenase-like reductases and specifically functions in C–S bond breakage to reduce ubiquitous and appreciable volatile organic sulfur compounds such as dimethyl sulfide and (2-methylthio)ethanol. Liberated methanethiol serves as the immediate precursor to methionine, while ethylene or methane is released into the environment. Anaerobic ethylene production by this pathway apparently explains the long-standing observation of ethylene accumulation in oxygen-depleted soils. Methane production reveals an additional bacterial pathway distinct from archaeal methanogenesis.","AAAS","","The Ohio State Univ., Columbus, OH (United States); Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)","USDOE Office of Science (SC), Biological and Environmental Research (BER); NCI","University of Colorado Cancer Center’s Genomics and Microarray Core Shared Resource; University of Colorado Boulder Research Computing Group; Environmental Molecular Sciences Laboratory; Battelle and UT-Battelle, LLC","United States","2020-08-28T00:00:00Z","English","Journal Article","","Journal Name: Science (Online); Journal Volume: 369; Journal Issue: 6507; Related Information: All raw mass spectraand searched data files for the proteome measurements have beendeposited into the ProteomeXchange repository: MassIVE accessionnumber MSV000084455 (FTP link to files: ftp://massive.ucsd.edu/MSV000084455/) and ProteomeXchange accession numberPXD015818. Raw transcriptomics reads are available in the NCBISequence Read Archive under accession numbers SRR10887327through SRR10887338 and BioProject accession number PRJNA601207.","","Medium: ED; Size: p. 1094-1098","","","SC0019338; AC05-76RLO1830; P30CA046934; AC05-00OR22725","Journal ID: ISSN 1095-9203","10.1126/science.abb6310","","2021-08-30T00:00:00Z","1658249","https://www.osti.gov/biblio/1658249","https://www.osti.gov/servlets/purl/1658249","Science (Online)","6507","369"
"Oxidation of methylamine","Glarborg, Peter; Andreasen, Charlotte S.; Hashemi, Hamid; Qian, Rachel; Marshall, Paul","37 INORGANIC, ORGANIC, PHYSICAL, AND ANALYTICAL CHEMISTRY; 10 SYNTHETIC FUELS; chemical kinetic model; methylamine; oxidation","A detailed chemical kinetic model for oxidation of methylamine has been developed, based on theoretical work and a critical evaluation of data from the literature. In this work, the rate coefficients for the reactions of CH<sub>3</sub>NH<sub>2</sub> + O<sub>2</sub> → CH<sub>2</sub>NH<sub>2</sub> / CH<sub>3</sub>NH + HO<sub>2</sub>, CH<sub>3</sub>NH<sub>2</sub> + H → CH<sub>3</sub> + NH<sub>3</sub>, CH<sub>3</sub>NH → CH<sub>2</sub>NH<sub>2</sub>, and CH<sub>3</sub>NH + O<sub>2</sub> → CH<sub>2</sub>NH + HO<sub>2</sub> were calculated from ab initio theory. The mechanism was validated against experimental results from batch reactors, flow reactors, shock tubes, and premixed flames. The model predicts satisfactorily explosion limits for CH<sub>3</sub>NH<sub>2</sub> and its oxidation in a flow reactor. However, oxidation in the presence of nitric oxide, which strongly promotes reaction at lower temperatures, is only described qualitatively. Furthermore, calculated flame speeds are higher than reported experimental values; the model does not capture the inhibiting effect of the NH<sub>2</sub> group in CH<sub>3</sub>NH<sub>2</sub> compared to CH<sub>4</sub>. More work is desirable to confirm the products of the CH<sub>3</sub>NH + NO reaction and to look into possible pathways to NH<sub>3</sub> in methylamine oxidation.","Wiley","","Univ. of North Texas, Denton, TX (United States)","USDOE Office of Science (SC), Basic Energy Sciences (BES); Orients Fund; National Science Foundation (NSF)","Denmark Technical University","United States","2020-08-05T00:00:00Z","English","Journal Article","","Journal Name: International Journal of Chemical Kinetics; Journal Volume: 52; Journal Issue: 12","","Medium: ED; Size: p. 893-906","","","SC0020952; CHE-1531468","Journal ID: ISSN 0538-8066; CHE‐1531468","10.1002/kin.21408","","2022-05-23T00:00:00Z","1866321","https://www.osti.gov/biblio/1866321","https://www.osti.gov/servlets/purl/1866321","International Journal of Chemical Kinetics","12","52"
"Single-Step Conversion of Ethanol to <em>n</em>-Butene over Ag-ZrO<sub>2</sub>/SiO<sub>2</sub> Catalysts","Dagle, Vanessa Lebarbier; Winkelman, Austin D.; Jaegers, Nicholas R.; Saavedra-Lopez, Johnny; Hu, Jianzhi; Engelhard, Mark H.; Habas, Susan E.; Akhade, Sneha A.; Kovarik, Libor; Glezakou, Vassilliki-Alexandra; Rousseau, Roger; Wang, Yong; Dagle, Robert A.","09 BIOMASS FUELS; 36 MATERIALS SCIENCE; 71 CLASSICAL AND QUANTUM MECHANICS, GENERAL PHYSICS; 10 SYNTHETIC FUELS; 77 NANOSCIENCE AND NANOTECHNOLOGY; 54 ENVIRONMENTAL SCIENCES; 37 INORGANIC, ORGANIC, PHYSICAL, AND ANALYTICAL CHEMISTRY; ethanol; n-butene; olefins; single-step; biomass; alcohol-to-jet","Ethanol is a promising platform molecule for production of a variety of fuels and chemicals. Of particular interest is the production of middle distillate fuels (i.e., jet and diesel blendstock) from renewable ethanol feedstock. State-of-the-art alcohol-to-jet technology requires multiple process steps based on the catalytic dehydration of ethanol to ethylene, followed by a multistep oligomerization including n-butene formation and then hydrotreatment and distillation. In this paper we report that, over Ag-ZrO<sub>2</sub>/SBA-16 with balanced metal and Lewis acid sites, ethanol is directly converted to n-butene (1- and 2-butene mixtures) with an exceptional butene-rich olefin selectivity of 88% at 99% conversion. The need for the ethanol dehydration to ethylene step is eliminated. Thus, it offers the potential for a reduction in the number of required processing units versus conventional alcohol-to-jet technology. We also found that the C<sub>4</sub> product distribution, n-butene and/or 1,3-butadiene, can be tailored on this catalyst by tuning the hydrogen feed partial pressure and other process/catalyst parameters. With sufficient hydrogen partial pressure, 1,3-butadiene is completely and selectively hydrogenated to form n-butene. The reaction mechanism was elucidated through operando-nuclear magnetic resonance investigations coupled with reactivity measurements. Ethanol is first dehydrogenated to acetaldehyde over the metallic Ag, then acetaldehyde is converted to crotonaldehyde over the acid sites of ZrO<sub>2</sub>/SiO<sub>2</sub> via aldol condensation followed by dehydration. This is followed by a Meerwein–Ponndorf–Verley reduction of crotonaldehyde to butadiene intermediate that is hydrogenated into n-butene over metallic Ag and ZrO<sub>2</sub>. A minor fraction of n-butene is also produced from crotonaldehyde reduction to butyraldehyde instead of butadiene. Isotopically labeled ethanol NMR experiments demonstrated that ethanol, rather than H<sub>2</sub>, is the source of H for the hydrogenation of crotonaldehyde to butyraldehyde. Combined experimental-computational investigation reveals how changes in silver and zirconium composition and the silver oxidation state affects reactivity under controlled hydrogen partial pressures and after prolonged run times. Finally, catalyst effectiveness also was demonstrated when using wet ethanol feed, thus highlighting process flexibility in terms of feedstock purity requirements.","American Chemical Society (ACS)","External Audience (Unlimited)","Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States); Pacific Northwest National Lab. (PNNL), Richland, WA (United States). Environmental Molecular Sciences Lab. (EMSL); National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Transportation Office. Bioenergy Technologies Office; USDOE Office of Science (SC), Biological and Environmental Research (BER)","","United States","2020-07-20T00:00:00Z","English","Journal Article","","Journal Name: ACS Catalysis; Journal Volume: 10; Journal Issue: 18","","Medium: ED; Size: p. 10602-10613","","LLNL-JRNL-810294","AC52-07NA27344; AC05-76RL01830; AC36-08GO28308","Journal ID: ISSN 2155-5435; 1016084; TRN: US2206715","10.1021/acscatal.0c02235","","2022-09-20T00:00:00Z","1769118","https://www.osti.gov/biblio/1769118","https://www.osti.gov/servlets/purl/1769118","ACS Catalysis","18","10"
