"TITLE","AUTHORS","SUBJECT","DESCRIPTION","PUBLISHER","AVAILABILITY","RESEARCH_ORG","SPONSORING_ORG","CONTRIBUTING_ORG","PUBLICATION_COUNTRY","PUBLICATION_DATE","LANGUAGE","RESOURCE_TYPE","TYPE_QUALIFIER","RELATION","COVERAGE","FORMAT","IDENTIFIER","REPORT_NUMBER","DOE_CONTRACT_NUMBER","OTHER_IDENTIFIER","DOI","RIGHTS","ENTRY_DATE","OSTI_IDENTIFIER","CITATION_URL","PURL_URL","JOURNAL_NAME","JOURNAL_ISSUE","JOURNAL_VOLUME"
"New Developments in Proton Radiography at the Los Alamos Neutron Science Center (LANSCE)","Morris, C. L.; Brown, E. N.; Agee, C.; Bernert, T.; Bourke, M. A. M.; Burkett, M. W.; Buttler, W. T.; Byler, D. D.; Chen, C. F.; Clarke, A. J.; Cooley, J. C.; Gibbs, P. J.; Imhoff, S. D.; Jones, R.; Kwiatkowski, K.; Mariam, F. G.; Merrill, F. E.; Murray, M. M.; Olinger, C. T.; Oro, D. M.; Nedrow, P.; Saunders, A.; Terrones, G.; Trouw, F.; Tupa, D.; Vogan, W.; Winkler, B.; Wang, Z.; Zellner, M. B.","75 CONDENSED MATTER PHYSICS, SUPERCONDUCTIVITY AND SUPERFLUIDITY; 46 INSTRUMENTATION RELATED TO NUCLEAR SCIENCE AND TECHNOLOGY; 36 MATERIALS SCIENCE; 11 NUCLEAR FUEL CYCLE AND FUEL MATERIALS; 73 NUCLEAR PHYSICS AND RADIATION PHYSICS; 43 PARTICLE ACCELERATORS; 72 PHYSICS OF ELEMENTARY PARTICLES AND FIELDS; Proton, Radiography, Meteorite, Chelyabisnk, Nuclear Fuel, Solid Flame, Casting, TOF Radiography, Richtmyer-Meshkov instability; Proton Radiography; Dynamicmaterials; Tomography; Static applications; Detonation propagation; Meteorite; Richtmyer-Meshov instability; Chelyabisnk; Nuclear Fuel; Solid Flame; Casting; TOF Radiography","Here, we report that an application of nuclear physics, a facility for using protons for flash radiography, has been developed at the Los Alamos Neutron Science Center (LANSCE). Protons have proven far superior to high energy x-rays for flash radiography because of their long mean free path, good position resolution, and low scatter background. Although this facility is primarily used for studying very fast phenomena such as high explosive driven experiments, it is finding increasing application to other fields, such as tomography of static objects, phase changes in materials and the dynamics of chemical reactions. The advantages of protons are discussed, data from some recent experiments will be reviewed and concepts for new techniques are introduced.","Springer","","Los Alamos National Lab. (LANL), Los Alamos, NM (United States)","USDOE Office of Science (SC), Basic Energy Sciences (BES); USDOE Laboratory Directed Research and Development (LDRD) Program","","United States","2015-12-30T00:00:00Z","English","Journal Article","","Journal Name: Experimental Mechanics; Journal Volume: 56; Journal Issue: 1","","Medium: ED; Size: p. 111-120","","LA-UR-14-27803; LA-UR-14-28127","AC5206NA25396; AC52-06NA25396","Journal ID: ISSN 0014-4851; PII: 77","10.1007/s11340-015-0077-2","","2022-03-29T00:00:00Z","1239117","https://www.osti.gov/biblio/1239117","https://www.osti.gov/servlets/purl/1239117","Experimental Mechanics","1","56"
"Characterization of the kinetics of NF<sub>3</sub>-fluorination of NpO<sub>2</sub>","Casella, Andrew M.; Scheele, Randall D.; McNamara, Bruce K.","11 NUCLEAR FUEL CYCLE AND FUEL MATERIALS; 37 INORGANIC, ORGANIC, PHYSICAL, AND ANALYTICAL CHEMISTRY","The exploitation of selected actinide and fission product fluoride volatilities has long been considered as a potentially attractive compact method for recycling used nuclear fuels to avoid generating the large volumes of radioactive waste arising from aqueous reprocessing . The most developed process uses the aggressive and hazardous fluorinating agents hydrogen fluoride (HF) and/or molecular fluorine (F<sub>2</sub>) at high temperatures to volatilize the greatest fraction of the used nuclear fuel into a single gas stream. The volatilized fluorides are subsequently separated using a series of fractionation and condensation columns to recover the valuable fuel constituents and fission products. In pursuit of a safer and less complicated approach, we investigated an alternative fluoride volatility-based process using the less hazardous fluorinating agent nitrogen trifluoride (NF<sub>3</sub>) and leveraging its less aggressive nature to selectively evolve fission product and actinide fluorides from the solid phase based on their reaction temperatures into a single recycle stream. In this approach, successive isothermal treatments using NF<sub>3</sub> will first evolve the more thermally susceptible used nuclear fuel constituents leaving the other constituents in the residual solids until subsequent isothermal temperature treatments cause these others to volatilize. During investigation of this process, individual neat used fuel components were treated with isothermal NF<sub>3</sub> in an attempt to characterize the kinetics of each fluorination reaction to provide input into the design of a new volatile fluoride separations approach. In these directed investigations, complex behavior was observed between NF<sub>3</sub> and certain solid reactants such as the actinide oxides of uranium, plutonium, and neptunium. Given the similar thermal reaction susceptibilities of neptunium oxide (NpO<sub>2</sub>) and uranium dioxide (UO<sub>2</sub>) and the importance of Np and U, we initially focused our efforts on determining the reaction kinetic parameters for NpO<sub>2</sub>. Characterizing the NF3 fluorination of NpO<sub>2</sub> using established models for gas-solid reactions [16] proved unsuccessful so we developed a series of successive fundamental reaction mechanisms to characterize the observed successive fluorination reactions leading to production of the volatile neptunium hexafluoride (NpF<sub>6</sub>).","American Institute of Physics (AIP)","","Pacific Northwest National Lab. (PNNL), Richland, WA (United States)","USDOE","","United States","2015-12-23T00:00:00Z","English","Journal Article","","Journal Name: AIP Advances; Journal Volume: 5; Journal Issue: 12","","Medium: ED; Size: Article No. 127230","","PNNL-SA-113410","AC05-76RL01830","Journal ID: ISSN 2158-3226","10.1063/1.4939143","","2021-07-19T00:00:00Z","1236917","https://www.osti.gov/biblio/1236917","https://www.osti.gov/servlets/purl/1236917","AIP Advances","12","5"
"Local measurement of thermal conductivity and diffusivity","Hurley, David H.; Schley, Robert S.; Khafizov, Marat; Wendt, Brycen L.","11 NUCLEAR FUEL CYCLE AND FUEL MATERIALS; thermal conductivity; metallic thin films; dispersion relations; gold; laser materials","Simultaneous measurement of local thermal diffusivity and conductivity is demonstrated on a range of ceramic samples. This was accomplished by measuring the temperature field spatial profile of samples excited by an amplitude modulated continuous wave laser beam. A thin gold film is applied to the samples to ensure strong optical absorption and to establish a second boundary condition that introduces an expression containing the substrate thermal conductivity. The diffusivity and conductivity are obtained by comparing the measured phase profile of the temperature field to a continuum based model. A sensitivity analysis is used to identify the optimal film thickness for extracting the both substrate conductivity and diffusivity. Proof of principle studies were conducted on a range of samples having thermal properties that are representative of current and advanced accident tolerant nuclear fuels. It is shown that by including the Kapitza resistance as an additional fitting parameter, the measured conductivity and diffusivity of all the samples considered agree closely with literature values. Lastly, a distinguishing feature of this technique is that it does not require a priori knowledge of the optical spot size which greatly increases measurement reliability and reproducibility.","American Institute of Physics (AIP)","","Idaho National Lab. (INL), Idaho Falls, ID (United States)","USDOE Office of Nuclear Energy (NE)","","United States","2015-12-01T00:00:00Z","English","Journal Article","","Journal Name: Review of Scientific Instruments; Journal Volume: 86; Journal Issue: 12","","Medium: ED; Size: Article No. 123901","","INL/JOU-14-34779","AC07-05ID14517","Journal ID: ISSN 0034-6748; RSINAK","10.1063/1.4936213","","2021-07-20T00:00:00Z","1255158","https://www.osti.gov/biblio/1255158","https://www.osti.gov/servlets/purl/1255158","Review of Scientific Instruments","12","86"
"Experiments and Modeling of Uranium Adsorption in the Presence of Other Ions in Simulated Seawater","Ladshaw, Austin; Das, Sadananda; Liao, Wei-Po; Yiacoumi, Sotira; Janke, Christopher James; Mayes, Richard T.; Dai, Sheng; Tsouris, Costas","38 RADIATION CHEMISTRY, RADIOCHEMISTRY, AND NUCLEAR CHEMISTRY; 37 INORGANIC, ORGANIC, PHYSICAL, AND ANALYTICAL CHEMISTRY; 11 NUCLEAR FUEL CYCLE AND FUEL MATERIALS; 54 ENVIRONMENTAL SCIENCES; uranium adsorption; amidoxime; seawater; bicarbonate; adsorption modeling","Seawater contains uranium at an average concentration of 3.3 ppb, as well as a variety of other ions at either overwhelmingly higher or similar concentrations, which complicate the recovery of uranium. This report describes an investigation of the effects of various factors such as uranium speciation and presence of salts including sodium, calcium, magnesium, and bicarbonate, as well as trace elements such as vanadium on uranium adsorption kinetics in laboratory experiments. Adsorption models are also developed to describe the experimental data of uranium extraction from seawater. Results show that the presence of calcium and magnesium significantly slows down the uranium adsorption kinetics. Vanadium can replace uranium from amidoxime-based adsorbent in the presence of sodium in the solution. Results also show that bicarbonate in the solution strongly competes with amidoxime for binding uranium, and thus slows down the uranium adsorption kinetics. Developed on the basis of the experimental findings, the model is capable of describing the effects of pH, ionic strength, temperature, and concentration of various species. Finally, the results of this work are useful in the understanding of the important factors that control the adsorbent capacity and kinetics of uranium uptake by amidoxime-based adsorbents.","American Chemical Society (ACS)","","Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)","USDOE Office of Nuclear Energy (NE)","","United States","2015-11-19T00:00:00Z","English","Journal Article","","Journal Name: Industrial and Engineering Chemistry Research; Journal Volume: 55; Journal Issue: 15","","Medium: ED; Size: DOI: 10.1021/acs-","","","AC05-00OR22725","Journal ID: ISSN 0888-5885","10.1021/acs.iecr.5b03456","","2021-07-20T00:00:00Z","1286930","https://www.osti.gov/biblio/1286930","https://www.osti.gov/servlets/purl/1286930","Industrial and Engineering Chemistry Research","15","55"
"Evaluation of design parameters for TRISO-coated fuel particles to establish manufacturing critical limits using PARFUME","Skerjanc, William F.; Maki, John T.; Collin, Blaise P.; Petti, David A.","11 NUCLEAR FUEL CYCLE AND FUEL MATERIALS; inner pyrolytic carbon (IPyC); TRISO; silicon carbide (SiC); outer pyrolytic carbon (OPyC); PARFUME; Advanced Gas Reactor (AGR); Advanced Test Reactor (ATR)","The success of modular high temperature gas-cooled reactors is highly dependent on the performance of the tristructural-isotopic (TRISO) coated fuel particle and the quality to which it can be manufactured. During irradiation, TRISO-coated fuel particles act as a pressure vessel to contain fission gas and mitigate the diffusion of fission products to the coolant boundary. The fuel specifications place limits on key attributes to minimize fuel particle failure under irradiation and postulated accident conditions. PARFUME (an integrated mechanistic coated particle fuel performance code developed at the Idaho National Laboratory) was used to calculate fuel particle failure probabilities. By systematically varying key TRISO-coated particle attributes, failure probability functions were developed to understand how each attribute contributes to fuel particle failure. Critical manufacturing limits were calculated for the key attributes of a low enriched TRISO-coated nuclear fuel particle with a kernel diameter of 425 μm. As a result, these critical manufacturing limits identify ranges beyond where an increase in fuel particle failure probability is expected to occur.","Elsevier","","Idaho National Lab. (INL), Idaho Falls, ID (United States)","USDOE Office of Nuclear Energy (NE)","","United States","2015-12-02T00:00:00Z","English","Journal Article","","Journal Name: Journal of Nuclear Materials; Journal Volume: 469; Journal Issue: C","","Medium: ED; Size: p. 99-105","","INL/JOU-15-34392","AC07-05ID14517","Journal ID: ISSN 0022-3115; PII: S0022311515303354","10.1016/j.jnucmat.2015.11.027","","2021-07-19T00:00:00Z","1251426","https://www.osti.gov/biblio/1251426","https://www.osti.gov/servlets/purl/1251426","Journal of Nuclear Materials","C","469"
"A poly(acrylonitrile)-functionalized porous aromatic framework synthesized by atom-transfer radical polymerization for the extraction of uranium from seawater","Yue, Yanfeng; Zhang, Chenxi; Tang, Qing; Mayes, Richard T.; Liao, Wei -Po; Liao, Chen; Tsouris, Costas; Stankovich, Joseph J.; Chen, Jihua; Hensley, Dale K.; Abney, Carter W.; Jiang, De-en; Brown, Suree; Dai, Sheng","11 NUCLEAR FUEL CYCLE AND FUEL MATERIALS","In order to ensure a sustainable reserve of fuel for nuclear power generation, tremendous research efforts have been devoted to developing advanced sorbent materials for extracting uranium from seawater. In this work, a porous aromatic framework (PAF) was surface-functionalized with poly(acrylonitrile) through atom-transfer radical polymerization (ATRP). Batches of this adsorbent were conditioned with potassium hydroxide (KOH) at room temperature or 80 °C prior to contact with a uranium-spiked seawater simulant, with minimal differences in uptake observed as a function of conditioning temperature. A maximum capacity of 4.81 g-U/kg-ads was obtained following 42 days contact with uranium-spiked filtered environmental seawater, which demonstrates a comparable adsorption rate. A kinetic investigation revealed extremely rapid uranyl uptake, with more than 80% saturation reached within 14 days. Furthermore, relying on the semiordered structure of the PAF adsorbent, density functional theory (DFT) calculations reveal cooperative interactions between multiple adsorbent groups yield a strong driving force for uranium binding.","American Chemical Society (ACS)","","Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States). Center for Nanophase Materials Sciences (CNMS)","USDOE Office of Nuclear Energy (NE)","","United States","2015-10-30T00:00:00Z","English","Journal Article","","Journal Name: Industrial and Engineering Chemistry Research; Journal Volume: 55; Journal Issue: 15","","Medium: ED; Size: p. 4125-4129","","","AC05-00OR22725","Journal ID: ISSN 0888-5885","10.1021/acs.iecr.5b03372","","2021-07-20T00:00:00Z","1319227","https://www.osti.gov/biblio/1319227","https://www.osti.gov/servlets/purl/1319227","Industrial and Engineering Chemistry Research","15","55"
"<sup>135</sup>Cs/<sup>137</sup>Cs isotopic composition of environmental samples across Europe: Environmental transport and source term emission applications","Snow, Mathew S.; Snyder, Darin C.","11 NUCLEAR FUEL CYCLE AND FUEL MATERIALS; 12 MANAGEMENT OF RADIOACTIVE AND NON-RADIOACTIVE WASTES FROM NUCLEAR FACILITIES; 22 GENERAL STUDIES OF NUCLEAR REACTORS; Cs-135; Cs-137; chernobyl; sellafield; attribution","<sup>135</sup>Cs/<sup>137</sup>Cs isotopic analyses represent an important tool for studying the fate and transport of radiocesium in the environment; in this work the <sup>135</sup>Cs/<sup>137</sup>Cs isotopic composition in environmental samples taken from across Europe is reported. Surface soil and vegetation samples from western Russia, Ukraine, Austria, and Hungary show consistent aged thermal fission product <sup>135</sup>Cs/<sup>137</sup>Cs isotope ratios of 0.58 ± 0.01 (age corrected to 1/1/15), with the exception of one sample of soil-moss from Hungary which shows an elevated <sup>135</sup>Cs/<sup>137</sup>Cs ratio of 1.78 ± 0.12. With the exception of the outlier sample from Hungary, surface soil/vegetation data are in quantitative agreement with values previously reported for soils within the Chernobyl exclusion zone, suggesting that radiocesium at these locations is primarily composed of homogenous airborne deposition from Chernobyl. Seawater samples taken from the Irish Sea show <sup>135</sup>Cs/<sup>137</sup>Cs isotope ratios of 1.22 ± 0.11 (age corrected to 1/1/15), suggesting aged thermal fission product Cs discharged from Sellafield. Furthermore, the differences in <sup>135</sup>Cs/<sup>137</sup>Cs isotope ratios between Sellafield, Chernobyl, and global nuclear weapons testing fallout indicate that <sup>135</sup>Cs/<sup>137</sup>Cs isotope ratios can be utilized to discriminate between and track radiocesium transport from different nuclear production source terms, including major emission sources in Europe.","Elsevier","","Idaho National Lab. (INL), Idaho Falls, ID (United States)","USDOE","","United States","2015-11-02T00:00:00Z","English","Journal Article","","Journal Name: Journal of Environmental Radioactivity; Journal Volume: 151; Journal Issue: P1","","Medium: ED; Size: p. 258-263","","INL/JOU-15-36733","2012-DN-130-NF0001-02; AC07-05ID14517","Journal ID: ISSN 0265-931X; PII: S0265931X15301417","10.1016/j.jenvrad.2015.10.025","","2021-07-20T00:00:00Z","1294348","https://www.osti.gov/biblio/1294348","https://www.osti.gov/servlets/purl/1294348","Journal of Environmental Radioactivity","P1","151"
"Measurement and modelling of reactive transport in geological barriers for nuclear waste containment","Xiong, Qingrong; Joseph, Claudia; Schmeide, Katja; Jivkov, Andrey P.","11 NUCLEAR FUEL CYCLE AND RUEL MATERIALS; 38 RADIATION CHEMISTRY, RADIOCHEMISTRY, AND NUCLEAR CHEMISTRY","Compacted clays are considered as excellent candidates for barriers to radionuclide transport in future repositories for nuclear waste due to their very low hydraulic permeability. Diffusion is the dominant transport mechanism, controlled by a nano-scale pore system. Assessment of the clays' long-term containment function requires adequate modelling of such pore systems and their evolution. Existing characterisation techniques do not provide complete pore space information for effective modelling, such as pore and throat size distributions and connectivity. Special network models for reactive transport are proposed here using the complimentary character of the pore space and the solid phase. Here, this balances the insufficient characterisation information and provides the means for future mechanical–physical–chemical coupling. The anisotropy and heterogeneity of clays is represented using different length parameters and percentage of pores in different directions. Resulting networks are described as mathematical graphs with efficient discrete calculus formulation of transport. Opalinus Clay (OPA) is chosen as an example. Experimental data for the tritiated water (HTO) and U(VI) diffusion through OPA are presented. Calculated diffusion coefficients of HTO and uranium species are within the ranges of the experimentally determined data in different clay directions. This verifies the proposed pore network model and validates that uranium complexes are diffusing as neutral species in OPA. In the case of U(VI) diffusion the method is extended to account for sorption and convection. Finally, rather than changing pore radii by coarse grained mathematical formula, physical sorption is simulated in each pore, which is more accurate and realistic.","Royal Society of Chemistry","","Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States)","USDOE","","United States","2015-10-26T00:00:00Z","English","Journal Article","","Journal Name: Physical Chemistry Chemical Physics. PCCP; Journal Volume: 17; Journal Issue: 45","","Medium: ED; Size: p. 30577-30589","","LLNL-JRNL-676844","AC52-07NA27344; EP/ K016946/1","Journal ID: ISSN 1463-9076; PPCPFQ","10.1039/c5cp05243b","","2021-07-19T00:00:00Z","1234576","https://www.osti.gov/biblio/1234576","https://www.osti.gov/servlets/purl/1234576","Physical Chemistry Chemical Physics. PCCP","45","17"
"K <sub>2x</sub> Sn <sub>4-x</sub> S <sub>8-x</sub> (x = 0.65–1): a new metal sulfide for rapid and selective removal of Cs <sup>+</sup> , Sr <sup>2+</sup> and UO <sub>2</sub> <sup>2+</sup> ions","Sarma, Debajit; Malliakas, Christos D.; Subrahmanyam, K. S.; Islam, Saiful M.; Kanatzidis, Mercouri G.","12 MANAGEMENT OF RADIOACTIVE AND NON-RADIOACTIVE WASTES FROM NUCLEAR FACILITIES; 11 NUCLEAR FUEL CYCLE AND FUEL MATERIALS; 37 INORGANIC, ORGANIC, PHYSICAL, AND ANALYTICAL CHEMISTRY","The fission of uranium produces radionuclides, <sup>137</sup>Cs and <sup>90</sup>Sr, which are major constituents of spent nuclear fuel. The half-life of <sup>137</sup>Cs and <sup>90</sup>Sr is nearly 30 years and thus that makes them harmful to human life and the environment. The selective removal of these radionuclides in the presence of high salt concentrations from industrial nuclear waste is necessary for safe storage. We report the synthesis and crystal structure of K<sub>2x</sub>Sn<sub>4-x</sub>S<sub>8-x</sub> (x = 0.65–1, KTS-3) a material which exhibits excellent Cs<sup>+</sup>, Sr<sup>2+</sup> and UO<sub>2</sub><sup>2+</sup> ion exchange properties in varying conditions. Furthermore, the compound adopts a layered structure which consists of exchangeable potassium ions sandwiched between infinite layers of octahedral and tetrahedral tin centers. K<sub>2x</sub>Sn<sub>4-x</sub>S<sub>8-x</sub> (x = 0.65–1, KTS-3) crystallizes in the monoclinic space group P2<sub>1</sub>/c with cell parameters a = 13.092(3) Å, b = 16.882(2) Å, c = 7.375(1) Å and β = 98.10(1)°. Refinement of the single crystal diffraction data revealed the presence of Sn vacancies in the tetrahedra that are long range ordered. The interlayer potassium ions of KTS-3 can be exchanged for Cs<sup>+</sup>, Sr<sup>2+</sup> and UO<sub>2</sub><sup>2+</sup>. KTS-3 exhibits rapid and efficient ion exchange behavior in a broad pH range. The distribution coefficients (K<sub>d</sub>) for KTS-3 are high for Cs<sup>+</sup> (5.5 × 10<sup>4</sup>), Sr<sup>2+</sup> (3.9 × 10<sup>5</sup>) and UO<sub>2</sub><sup>2+</sup> (2.7 × 10<sup>4</sup>) at neutral pH (7.4, 6.9, 5.7 ppm Cs<sup>+</sup>, Sr<sup>2+</sup> and UO<sub>2</sub><sup>2+</sup>, respectively; V/m ~ 1000 mL g<sup>-1</sup>). KTS-3 exhibits impressive Cs<sup>+</sup>, Sr<sup>2+</sup> and UO<sub>2</sub><sup>2+</sup> ion exchange properties in high salt concentration and over a broad pH range, which coupled with the low cost, environmentally friendly nature and facile synthesis underscores its potential in treating nuclear waste.","Royal Society of Chemistry","","Argonne National Lab. (ANL), Argonne, IL (United States)","USDOE Office of Nuclear Energy (NE); USDOE Office of Science (SC), Basic Energy Sciences (BES); National Science Foundation (NSF)","","United States","2015-10-27T00:00:00Z","English","Journal Article","","Journal Name: Chemical Science; Journal Volume: 7; Journal Issue: 2","","Medium: ED; Size: p. 1121-1132","","","AC02-06CH11357; DMR-1410169","Journal ID: ISSN 2041-6520; CSHCBM; 127295","10.1039/c5sc03040d","","2022-05-23T00:00:00Z","1352636","https://www.osti.gov/biblio/1352636","https://www.osti.gov/servlets/purl/1352636","Chemical Science","2","7"
"Modelling oxygen self-diffusion in UO<sub>2</sub> under pressure","Cooper, Michael William D.; Grimes, R. W.; Fitzpatrick, M. E.; Chroneos, A.","36 MATERIALS SCIENCE; 11 NUCLEAR FUEL CYCLE AND FUEL MATERIALS; UO2; self-diffusion; pressure","Access to values for oxygen self-diffusion over a range of temperatures and pressures in UO<sub>2</sub> is important to nuclear fuel applications. Here, elastic and expansivity data are used in the framework of a thermodynamic model, the cBΩ model, to derive the oxygen self-diffusion coefficient in UO<sub>2</sub> over a range of pressures (0–10 GPa) and temperatures (300–1900 K). Furthermore, the significant reduction in oxygen self-diffusion as a function of increasing hydrostatic pressure, and the associated increase in activation energy, is identified.","Elsevier","","Los Alamos National Lab. (LANL), Los Alamos, NM (United States)","USDOE","","United States","2015-10-22T00:00:00Z","English","Journal Article","","Journal Name: Solid State Ionics; Journal Volume: 282","","Medium: ED; Size: p. 26-30","","LA-UR-15-26859","AC52-06NA25396","Journal ID: ISSN 0167-2738","10.1016/j.ssi.2015.09.006","","2021-07-20T00:00:00Z","1296666","https://www.osti.gov/biblio/1296666","https://www.osti.gov/servlets/purl/1296666","Solid State Ionics","","282"
