"TITLE","AUTHORS","SUBJECT","DESCRIPTION","PUBLISHER","AVAILABILITY","RESEARCH_ORG","SPONSORING_ORG","CONTRIBUTING_ORG","PUBLICATION_COUNTRY","PUBLICATION_DATE","LANGUAGE","RESOURCE_TYPE","TYPE_QUALIFIER","RELATION","COVERAGE","FORMAT","IDENTIFIER","REPORT_NUMBER","DOE_CONTRACT_NUMBER","OTHER_IDENTIFIER","DOI","RIGHTS","ENTRY_DATE","OSTI_IDENTIFIER","CITATION_URL","PURL_URL","JOURNAL_NAME","JOURNAL_ISSUE","JOURNAL_VOLUME"
"Part I: Predicting performance of Purolite A532E resins for remediation of comingled contaminants in groundwater","Saslow, Sarah A.; Levitskaia, Tatiana G.; Cordova, Elsa; Avalos, Nancy M.; Boglaienko, Daria; Fang, Yilin; Song, Xuehang; Lawter, Amanda R.; Emerson, Hilary P.; Szecsody, James E.; Johnson, Christian D.; Pearce, Carolyn I.; Freedman, Vicky L.; Mackley, Robert D.","12 MANAGEMENT OF RADIOACTIVE AND NON-RADIOACTIVE WASTES FROM NUCLEAR FACILITIES; pump-and-treat; uranium; technetium; anion exchange; Hanford","Ion exchange (IX) resins are used in pump-and-treat (P&T) facilities to remove soluble groundwater contaminants. However, natural anions present at concentrations orders of magnitude higher than contaminants can compete for IX sites and impact resin lifecycles. Here, the Hanford Site’s 200 West Area P&T facility (Washington State, USA) was selected as a case study because it currently uses two IX resins: Purolite® A532E (A532E) to remove pertechnetate (TcO<sub>4</sub><sup>-</sup>) and DOWEX 21K (DOWEX) to remove uranium from groundwater. Nitrate (NO<sub>3</sub><sup>-</sup>), sulfate (SO<sub>4</sub><sup>2-</sup>), chloride (Cl<sup>-</sup>), and carbonate (CO<sub>3</sub><sup>2-</sup>) anions have been identified to potentially compete for A532E and DOWEX IX sites. Hanford-relevant anion groundwater concentrations were used to design a series of laboratory-scale batch experiments to evaluate the impact of competing anions on resin performance and potential kinetic effects. These data are then modeled to obtain Cl--normalized equilibrium exchange coefficients (K) needed to predict IX resin performance. The work is presented in two parts, with IX performance evaluated for A532E in Part I and DOWEX in Part II. Part I results demonstrate that TcO<sub>4</sub><sup>-</sup> uptake is not impacted by NO<sub>3</sub><sup>-</sup>, SO<sub>4</sub><sup>2-</sup>, Cl<sup>-</sup>, CO<sub>3</sub><sup>2-</sup> (as HCO<sub>3</sub><sup>-</sup>) and U(VI) carbonate anions, with K<sub>TcO4-/Cl-</sub> > 4,000, likely due to the high selectivity of A532E trihexylammonium sites for the large, weakly hydrated TcO<sub>4</sub><sup>-</sup> anion. Other anion K values were K<sub>NO3-/Cl-</sub> = 20, K<sub>SO4--/Cl-</sub> = 0.2, K<sub>HCO3-/Cl-</sub> = 0.09, K<sub>U/Cl-</sub> = 370–1000. These K values provide conservative parameters for predicting A532E performance, and demonstrate that, under these test conditions, A532E will remove TcO<sub>4</sub><sup>-</sup> from current and future influent streams to meet groundwater treatment objectives.","Elsevier","","Pacific Northwest National Lab. (PNNL), Richland, WA (United States)","USDOE Office of Science (SC)","","United States","2023-06-01T00:00:00Z","English","Journal Article","","Journal Name: Journal of Environmental Chemical Engineering (Online); Journal Volume: 11; Journal Issue: 3","","Medium: ED; Size: Article No. 109618","","PNNL-SA-178092","AC05-76RL01830","Journal ID: ISSN 2213-3437","10.1016/j.jece.2023.109618","","2023-04-14T00:00:00Z","1969012","https://www.osti.gov/biblio/1969012","","Journal of Environmental Chemical Engineering (Online)","3","11"
"Alternative reductants for foam control during vitrification of high-iron High Level Waste (HLW) feeds","Rigby, Jessica C.; Dixon, Derek R.; Kloužek, Jaroslav; Pokorný, Richard; Thompson, Paul B.J.; Scrimshire, A.; Kruger, Albert A.; Bell, Anthony M.T.; Bingham, Paul A.","12 MANAGEMENT OF RADIOACTIVE AND NON-RADIOACTIVE WASTES FROM NUCLEAR FACILITIES; Cold cap; Vitrification; Redox; Multivalent species; Secondary foaming","Foaming during vitrification of radioactive waste in Joule-Heated Ceramic Melters (JHCM) is exacerbated by trapping of evolving gases, such as CO<sub>2</sub>, NO<sub>x</sub> and O<sub>2</sub>, beneath a viscous reaction layer. Foaming restricts heat transfer during melting. Sucrose is employed as the baseline additive at the Hanford site in Washington State, USA to reduce foaming. Alternative carbon-based reductant additives were explored in simulated, inactive Hanford high-iron HLW-NG-Fe2 feeds, for both their effect on foaming and to give insight to the behaviour of multivalent species in glass melts under different redox conditions. Graphite, coke (93% C), formic acid and HEDTA additives were compared with sucrose, and a feed with no additive. Graphite and coke additions proved most effective in reducing the maximum foam volume by 51 ± 3% and 54 ± 2%, respectively, compared with 24 ± 5% for sucrose. Lower foaming could result in more efficient vitrification in JHCMs. Reductants also affected redox ratios in the multivalent species present in the feed. The order of reduction, Mn<sup>3+</sup>/Mn<sup>2+</sup> > Cr<sup>6+</sup>/Cr<sup>3+</sup> > Ce<sup>3+</sup>/Ce<sup>4+</sup> > Fe<sup>3+</sup>/Fe<sup>2+</sup> was as predicted on the basis of their redox potentials. There is less reduction overall, particularly in the Fe<sup>3+</sup> → Fe<sup>2+</sup>, than predicted by the calculations, attributed to the oxygenated atmosphere of the experiments.","Elsevier","","Pacific Northwest National Lab. (PNNL), Richland, WA (United States); USDOE Office of River Protection (ORP), Richland, WA (United States)","USDOE Office of Environmental Management (EM)","","United States","2023-03-07T00:00:00Z","English","Journal Article","","Journal Name: Journal of Non-Crystalline Solids; Journal Volume: 608","","Medium: ED; Size: Article No. 122240","","PNNL-SA-178033","AC05-76RL01830","Journal ID: ISSN 0022-3093","10.1016/j.jnoncrysol.2023.122240","","2023-04-07T00:00:00Z","1967427","https://www.osti.gov/biblio/1967427","https://www.osti.gov/servlets/purl/1967427","Journal of Non-Crystalline Solids","","608"
"Crystallization of a Neptunyl Oxalate Hydrate from Solutions Containing Np(V) and the Uranyl Peroxide Nanocluster U60Ox30","Smith, Kyson R.; Ilavsky, Jan; Hixon, Amy E.","11 NUCLEAR FUEL CYCLE AND FUEL MATERIALS; 12 MANAGEMENT OF RADIOACTIVE AND NON-RADIOACTIVE WASTES FROM NUCLEAR FACILITIES; 37 INORGANIC, ORGANIC, PHYSICAL, AND ANALYTICAL CHEMISTRY; actinides; aggregation; small angle X-ray scattering; ultra-small angle X-ray scattering; uranyl peroxide nanoclusters","Uranyl peroxide nanoclusters are an evolving family of materials with potential applications throughout the nuclear fuel cycle. While several studies have investigated their interactions with alkali and alkaline earth metals, no studies have probed their interactions with the actinide elements. This work describes a system containing U60Ox30, [((UO2)(O2))60(C2O4)30]60-, and neptunium(V) as a function of neptunium concentration. Ultra-small and small angle X-ray scattering were used to observe these interactions in the aqueous phase, and X-ray diffraction was used to observe solid products. The results show that neptunium induces aggregation of U60Ox30 when the neptunium concentration is ≤ 10 mM, whereas (NpO2)2C2O4·6H2O(cr) and studtite ultimately form at 15–25 mM neptunium. Finally, the latter result suggests that neptunium coordinates with the bridging oxalate ligands in U60Ox30, leaving metastable uranyl peroxide species in solution, and is an important finding given the potential application of uranyl peroxide nanoclusters in the recycling of used nuclear fuel.","ChemPubSoc Europe","","Univ. of Notre Dame, IN (United States); Argonne National Lab. (ANL), Argonne, IL (United States)","USDOE Office of Science (SC), Basic Energy Sciences (BES). Chemical Sciences, Geosciences & Biosciences Division; USDOE","","United States","2023-01-04T00:00:00Z","English","Journal Article","","Journal Name: Chemistry - A European Journal; Journal Volume: 29; Journal Issue: 19","","Medium: ED; Size: Article No. 202203814","","","SC0018231; AC02-06CH11357","Journal ID: ISSN 0947-6539","10.1002/chem.202203814","","2023-04-18T00:00:00Z","1907559","https://www.osti.gov/biblio/1907559","","Chemistry - A European Journal","19","29"
"Coupled chemical–CFD modeling of unsealed dry storage of advanced test reactor spent fuel","Abboud, Alexander W.","12 MANAGEMENT OF RADIOACTIVE AND NON-RADIOACTIVE WASTES FROM NUCLEAR FACILITIES; 97 MATHEMATICS AND COMPUTING; spent nuclear fuel; advanced test reactor; computational fluid dynamics; radiolysis chemistry","We report given the current lack of long-term disposal for spent nuclear fuel storage in the United States, the current inventory of advanced test reactor (ATR) fuel at Idaho National Laboratory (INL) is expected to be stored in a dry storage facility for an extended storage period. As part of an effort to understand the conditions during a 50-year period, a three-dimensional computational fluid dynamics (CFD) of the unsealed canisters packed with spent fuel in the storage facility was constructed, this CFD model is coupled with radiolytic chemical reactions associated with water vapor and other species. The coupled model is simulated over a range of sensitivity parameters for the fuel decay heat, relative humidity, and oxyhydroxide film thickness for undried and fully-dried fuel. The most important parameter was the initial fuel decay heat. Over the range of cases, the hydrogen and nitric acid concentrations are low enough no significant impact is expected.","Elsevier","","Idaho National Lab. (INL), Idaho Falls, ID (United States)","USDOE Office of Environmental Management (EM)","","United States","2022-12-21T00:00:00Z","English","Journal Article","","Journal Name: Annals of Nuclear Energy; Journal Volume: 183; Journal Issue: -","","Medium: ED; Size: Article No. 109646","","INL/JOU-21-64424-Revision-1","AC07-05ID14517","Journal ID: ISSN 0306-4549","10.1016/j.anucene.2022.109646","","2023-04-04T00:00:00Z","1963951","https://www.osti.gov/biblio/1963951","","Annals of Nuclear Energy","-","183"
"Introduction of the Adding and Doubling Method for Solving Bateman Equations for Nuclear Fuel Depletion","Calvin, Olin W; Ganapol, Barry D.; Borrelli, R. A.","11 NUCLEAR FUEL CYCLE AND FUEL MATERIALS; 12 MANAGEMENT OF RADIOACTIVE AND NON-RADIOACTIVE WASTES FROM NUCLEAR FACILITIES; Adding and Doubling Method (ADM); Chebyshev Rational Approximation Method (CRAM); Bateman equations; depletion","This paper introduces and evaluates the Adding and Doubling Method (ADM) for solving the Bateman equations for depletion systems with varying numbers of nuclides and compares it to the Chebyshev Rational Approximation Method (CRAM), both implemented in the reactor physics analysis application Griffin. ADM, when applied to the Crank-Nicolson Finite Difference method, can produce results comparable in accuracy and precision to CRAM with comparable run times for systems with 35 or 297 nuclides. For systems with more than 300 nuclides, the matrix-matrix operations required by ADM are significantly more costly than the matrix-vector operations required by CRAM, making CRAM the more efficient method for systems with large numbers of nuclides. ADM is an accurate method that maintains other advantages over CRAM in that it does not depend on pre-generated coefficients or require complex number operations. ADM also manages to outperform CRAM by a factor of more than 250 in terms of run time for depletion systems that require multiple Bateman solves while the depletion matrix and time step size remain constant over all depletion intervals.","Taylor & Francis","","Idaho National Lab. (INL), Idaho Falls, ID (United States)","USDOE Office of Nuclear Energy (NE)","","United States","2022-12-09T00:00:00Z","English","Journal Article","","Journal Name: Nuclear Science and Engineering; Journal Volume: 0","","Medium: ED; Size: p. 1-31","","INL/JOU-22-67012-Rev000","AC07-05ID14517","Journal ID: ISSN 0029-5639","10.1080/00295639.2022.2129950","","2023-01-20T00:00:00Z","1909225","https://www.osti.gov/biblio/1909225","https://www.osti.gov/servlets/purl/1909225","Nuclear Science and Engineering","","0"
"Machine Learning with Gradient-Based Optimization of Nuclear Waste Vitrification with Uncertainties and Constraints","Gunnell, LaGrande Lowell (ORCID:0000000235038514); Manwaring, Kyle; Lu, Xiaonan; Reynolds, Jacob; Vienna, John; Hedengren, John (ORCID:0000000255355277)","12 MANAGEMENT OF RADIOACTIVE AND NON-RADIOACTIVE WASTES FROM NUCLEAR FACILITIES; machine learning; dynamic optimization; constrained optimization; uncertainty quantification; prediction uncertainty; process uncertainty; glass formulation; low-activity waste","<p>Gekko is an optimization suite in Python that solves optimization problems involving mixed-integer, nonlinear, and differential equations. The purpose of this study is to integrate common Machine Learning (ML) algorithms such as Gaussian Process Regression (GPR), support vector regression (SVR), and artificial neural network (ANN) models into Gekko to solve data based optimization problems. Uncertainty quantification (UQ) is used alongside ML for better decision making. These methods include ensemble methods, model-specific methods, conformal predictions, and the delta method. An optimization problem involving nuclear waste vitrification is presented to demonstrate the benefit of ML in this field. ML models are compared against the current partial quadratic mixture (PQM) model in an optimization problem in Gekko. GPR with conformal uncertainty was chosen as the best substitute model as it had a lower mean squared error of 0.0025 compared to 0.018 and more confidently predicted a higher waste loading of 37.5 wt% compared to 34 wt%. The example problem shows that these tools can be used in similar industry settings where easier use and better performance is needed over classical approaches. Future works with these tools include expanding them with other regression models and UQ methods, and exploration into other optimization problems or dynamic control.</p>","MDPI AG","","Pacific Northwest National Lab. (PNNL), Richland, WA (United States)","USDOE","","Switzerland","2022-11-11T00:00:00Z","English","Journal Article","","Journal Name: Processes Journal Volume: 10 Journal Issue: 11","","Medium: X; Size: Article No. 2365","","PNNL-SA-178239","AC06-76RL01830; AC05-76RL01830","Journal ID: ISSN 2227-9717; PROCCO; PII: pr10112365","10.3390/pr10112365","","2022-11-16T00:00:00Z","1898215","https://www.osti.gov/biblio/1898215","","Processes","11","10"
"Effect of charge and anisotropic diffusivity on ion exchange kinetics in nuclear waste form materials","Li, Yulan; Hu, Shenyang; Montgomery, Robert O.; Grandjean, Agens; Besmann, Theodore M.; zur Loye, Hans-Conrad","12 MANAGEMENT OF RADIOACTIVE AND NON-RADIOACTIVE WASTES FROM NUCLEAR FACILITIES; ion exchange kinetics; ion charge; anisotropic diffusivity; nuclear waste form","Motifs of radionuclide absorption particles (absorbers or fillers) for the nuclear waste treatment usually have crystal structures with nano-sized tunnels for fast ion diffusion. On the other hand, the accumulation of ions generates an electric field which affects the ion diffusion. Therefore, the strong anisotropic kinetic properties and the electric field affect ion exchange kinetics, especially in an assembly of these particles which may block the fast diffusion tunnels for each other. In this work, we developed a mesoscale model to describe the effect of anisotropic kinetic properties and electric field on ion exchange kinetics. With the model we simulated the effect of anisotropic diffusivity, electrochemical potential, particle morphology, size and aggregation on ion exchange kinetics during batch experiments. Here, tt is found that 1) ion exchange results in charge accumulation inside the particle because different ions have different diffusivities and different diffusion driving forces. The electric neutrality is not preserved; 2) the electric field speeds up the slower diffusion ions (either uptake or release) and slows down the faster diffusion ions to reduce charge accumulation and maintains charge neutrality; 3) the ion exchange becomes very slow at the later stages because a) diffusion driving force (electrochemical gradient, Cs<sup>+</sup> concentration in the solution and Na<sup>+</sup> inside the particle) continuously decreases, as observed in batch experiments; and b) the diffusivity decreases due to the Cs<sup>+</sup> concentration dependence of ion diffusivity. This can explain the observed experimental phenomena that the radionuclide capacity usually cannot be reached; 4) for needle-like particle and their clusters, both surface area and diffusion distance along the direction with the fastest diffusivities have significant impact on the ion exchange kinetics.","Elsevier","","Pacific Northwest National Lab. (PNNL), Richland, WA (United States); • Energy Frontier Research Centers (EFRC) (United States). Center for Hierarchical Waste Form Materials","USDOE Office of Science (SC), Basic Energy Sciences (BES)","","United States","2022-10-10T00:00:00Z","English","Journal Article","","Journal Name: Journal of Nuclear Materials; Journal Volume: 572","","Medium: ED; Size: Article No. 154077","","PNNL-SA-177634","AC05-76RL01830; SC0016574","Journal ID: ISSN 0022-3115","10.1016/j.jnucmat.2022.154077","","2022-12-05T00:00:00Z","1898131","https://www.osti.gov/biblio/1898131","","Journal of Nuclear Materials","","572"
"Conversion degree and heat transfer in the cold cap and their effect on glass production rate in an electric melter","Ferkl, Pavel; Hrma, Pavel; Abboud, Alexander; Guillen, Donna Post; Vernerová, Miroslava; Kloužek, Jaroslav; Hall, Mark; Kruger, Albert A.; Pokorný, Richard","12 MANAGEMENT OF RADIOACTIVE AND NON-RADIOACTIVE WASTES FROM NUCLEAR FACILITIES; vitrification; waste glass melter; computational fluid dynamics; melt rate; reaction kinetics; heat transfer; modeling; nuclear waste","A predictive model of melt rate in waste glass vitrification operations is needed to inform melter operations during normal and off-normal operations. This paper describes the development of a model of the cold cap (the reacting melter feed floating on molten glass in a glass melter) that couples heat transfer with the feed-to-glass conversion kinetics. The model was applied to four melter feeds designed for high-level and low-activity nuclear waste feeds using the material properties, either measured or estimated, to obtain temperature and conversion distribution within the cold cap. The cold cap model, when coupled with a computational fluid dynamics model of a Joule-heated glass melter, allows the prediction of the glass production rate and power consumption. The results show reasonable agreement with the melting rates measured during pilot-scale melter tests.","American Ceramic Society","","Idaho National Lab. (INL), Idaho Falls, ID (United States); USDOE Office of River Protection (ORP), Richland, WA (United States)","USDOE Office of Nuclear Energy (NE); USDOE Office of Environmental Management (EM); Ministry of Education, Youth and Sports of the Czech Republic","","United States","2022-09-27T00:00:00Z","English","Journal Article","","Journal Name: International Journal of Applied Glass Science; Journal Volume: 14; Journal Issue: 2","","Medium: ED; Size: p. 318-329","","INL/JOU-22-69170-Rev000","AC07-05ID14517","Journal ID: ISSN 2041-1286","10.1111/ijag.16615","","2023-04-13T00:00:00Z","1969093","https://www.osti.gov/biblio/1969093","https://www.osti.gov/servlets/purl/1969093","International Journal of Applied Glass Science","2","14"
"Thermal runaway of nitric acid-soaked kitty litter in transuranic waste","Hobbs, Michael L.; Britt, Phillip F.; Hobbs, David T.; Kaneshige, Michael J.; Minette, Michael; Mintz, Jessica; Pennebaker, Frank M.; Parker Jr., Gary R.; Pierce, Robert; Rosenberg, David M.; Schwantes, Jon M.; Williams, Audrey M.","12 MANAGEMENT OF RADIOACTIVE AND NON-RADIOACTIVE WASTES FROM NUCLEAR FACILITIES; Transuranic waste drums; Swheat; Nitric acid and organic kitty litter; WIPP; Drum 68660; Thermal hazard; Waste behavior; Waste characteristics; Safety analysis; Cookoff","Precise wording is important in every field of study, including operational procedures. Confusion in the wording “organic” and “inorganic” may have contributed to substitution of an organic kitty litter for an inorganic adsorbent used to prepare nuclear waste for disposal at an underground salt repository. Adsorbents prevent liquids like nitric acid from causing corrosion within the waste drums. However, combination of organic material with nitric acid can cause heat- and gas-generating reactions resulting in thermal runaway, rapid pressurization, and drum rupture. In 2014, waste Drum 68660 containing nitric acid-soaked organic kitty litter exploded and released transuranic waste into the repository. The cause of the accident was never identified. Here we show that the root cause of Drum 68660 igniting was restriction of the drum vent resulting in accelerated nitric acid chemistry, thermal runaway, and radiation dispersal.","Elsevier","","Pacific Northwest National Lab. (PNNL), Richland, WA (United States); Sandia National Lab. (SNL-NM), Albuquerque, NM (United States)","USDOE National Nuclear Security Administration (NNSA)","","United States","2022-09-22T00:00:00Z","English","Journal Article","","Journal Name: Process Safety and Environmental Protection; Journal Volume: 167","","Medium: ED; Size: p. 543-549","","PNNL-SA-175761","AC05-76RL01830; NA0003525","Journal ID: ISSN 0957-5820","10.1016/j.psep.2022.09.047","","2022-11-21T00:00:00Z","1894462","https://www.osti.gov/biblio/1894462","https://www.osti.gov/servlets/purl/1894462","Process Safety and Environmental Protection","","167"
"Sensitivity analysis of generic deep geologic repository with focus on spatial heterogeneity induced by stochastic fracture network generation","Brooks, D. M.; Swiler, L. P.; Stein, E.; Mariner, P. E.; Basurto, E.; Portone, T.; Eckert, A.; Leone, R.","12 MANAGEMENT OF RADIOACTIVE AND NON-RADIOACTIVE WASTES FROM NUCLEAR FACILITIES; Nuclear waste; Spent nuclear fuel; Performance assessment; Uncertainty","Geologic Disposal Safety Assessment Framework is a state-of-the-art simulation software toolkit for probabilistic post-closure performance assessment of systems for deep geologic disposal of nuclear waste developed by the United States Department of Energy. This paper presents a generic reference case and shows how it is being used to develop and demonstrate performance assessment methods within the Geologic Disposal Safety Assessment Framework that mitigate some of the challenges posed by high uncertainty and limited computational resources. Variance-based global sensitivity analysis is applied to assess the effects of spatial heterogeneity using graph-based summary measures for scalar and time-varying quantities of interest. Behavior of the system with respect to spatial heterogeneity is further investigated using ratios of water fluxes. This analysis shows that spatial heterogeneity is a dominant uncertainty in predictions of repository performance which can be identified in global sensitivity analysis using proxy variables derived from graph descriptions of discrete fracture networks. New quantities of interest defined using water fluxes proved useful for better understanding overall system behavior.","Elsevier","","Sandia National Lab. (SNL-NM), Albuquerque, NM (United States)","USDOE Office of Nuclear Energy (NE), Fuel Cycle Technologies (NE-5)","","United States","2022-09-14T00:00:00Z","English","Journal Article","","Journal Name: Advances in Water Resources; Journal Volume: 169","","Medium: ED; Size: Article No. 104310","","SAND2022-12354J","NA0003525","Journal ID: ISSN 0309-1708; 709802","10.1016/j.advwatres.2022.104310","","2022-10-27T00:00:00Z","1887421","https://www.osti.gov/biblio/1887421","","Advances in Water Resources","","169"
