"TITLE","AUTHORS","SUBJECT","DESCRIPTION","PUBLISHER","AVAILABILITY","RESEARCH_ORG","SPONSORING_ORG","CONTRIBUTING_ORG","PUBLICATION_COUNTRY","PUBLICATION_DATE","LANGUAGE","RESOURCE_TYPE","TYPE_QUALIFIER","RELATION","COVERAGE","FORMAT","IDENTIFIER","REPORT_NUMBER","DOE_CONTRACT_NUMBER","OTHER_IDENTIFIER","DOI","RIGHTS","ENTRY_DATE","OSTI_IDENTIFIER","CITATION_URL","PURL_URL","JOURNAL_NAME","JOURNAL_ISSUE","JOURNAL_VOLUME"
"State certification of hydroelectric facilities under section 401 of the Clean Water Act","Bogardus, L M","13 HYDRO ENERGY; CLEAN WATER ACTS; EVALUATION; HYDROELECTRIC POWER PLANTS; CERTIFICATION; LICENSING; REGULATIONS; COMPLIANCE","The number of hydroelectric facilities in operation increased in the late 1970s and early 1980s when Congress established incentives to encourage hydropower development. Because hydroelectric projects can cause water quality problems within the impounded water and downstream of the dam, states have required hydroelectric applicants seeking a license from the Federal Energy Regulatory Commission (FERC) to obtain certification, pursuant to section 401 of the Clean Water Act (CWA), that the project will not violate water quality standards. States have used the certification process as a device to extract improper concessions from license applicants. Some states have used section 401 to consider the impact of hydroelectric projects on factors unrelated to water quality, to condition section 401 certification upon satisfaction of requirements unrelated to water quality and to force FERC to incorporate these conditions into operating licenses. License applicants have challenged these attempts as unlawful expansions of state authority to review federal projects. This dispute between existing and potential hydroelectric plant operators and states may become a critical one in the near future. Licenses for 167 hydroelectric projects expire in 1993. License holders for 158 of these 167 projects filed applications for new licenses with FERC before the statutory deadline expired on December 31, 1991. If there is to be any consistency in these licensing and relicensing proceedings, the courts must reach a consensus on the proper role of the states in hydroelectric project licensing and the applicability of section 401.","","","","","","United States","1992-12-31T00:00:00Z","English","Journal Article","","Journal Name: Virginia Environmental Law Journal; Journal Volume: 12; Journal Issue: 1; Other Information: PBD: Fal 1992","","Medium: X; Size: pp. 43-101","","","","Journal ID: XZ490W; TRN: 96:002222-0002","","","2009-12-16T00:00:00Z","241220","https://www.osti.gov/biblio/241220","","Virginia Environmental Law Journal","1","12"
"Is the green promise of Hydro fading to brown","Kaplan, D","13 HYDRO ENERGY; HYDROELECTRIC POWER PLANTS; ENVIRONMENTAL IMPACTS; US FERC; LICENSING PROCEDURES; INTEREST GROUPS; POLITICAL ASPECTS; ADMINISTRATIVE PROCEDURES; INSTITUTIONAL FACTORS; NATIONAL ORGANIZATIONS; POWER PLANTS; US DOE; US ORGANIZATIONS; 130600* - Hydro Energy- Environmental Aspects; 130400 - Hydro Energy- Legislation & Regulations","Long a favorite of of sustainable energy groups opposed to more traditional fuels like coal, nuclear and oil, in the last 10 years environmentalists have turned on hydropower - the nation's primary renewable energy resource. Environmentalists say that in most cases hydro has left fish high and dry, transformed once-mighty rivers into pathetic streams and destroyed fragile ecosystems. Suddenly hydro is being mentioned in the same breath with coal, oil and nuclear - precisely the fuels hydro, touted early on as an environmentally benign energy source, was to replace. Today environmentalists talk of [open quotes]non-hydro renewables[close quotes] like wind, solar and biomass. Nowhere is this new-found antipathy more apparent than in the recently passed national energy bill. In amendments to the landmark legislation, environmental groups united to overturn Federal Energy Regulatory Committee regulations that had relaxed federal oversight of hydro projects. Also, the groups insured that hydro projects would be prohibited from national recreational and historic areas. And in an energy blueprint sent to President-elect Clinton last month, 40 organizations urged the Arkansas governor to greatly reduce funding of mature energy technologies, one of which was hydropower.","","","","","","United States","1992-12-07T00:00:00Z","English","Journal Article","","Journal Name: Energy Daily; (United States); Journal Volume: 20:233","","Medium: X; Size: Pages: 1-2","","","","Journal ID: ISSN 0364-5274; CODEN: ENDADJ","","","2009-12-17T00:00:00Z","6994853","https://www.osti.gov/biblio/6994853","","Energy Daily; (United States)","","20:233"
"Water watch","Gruber, N","13 HYDRO ENERGY; HYDROELECTRIC POWER; CAPACITY; FORECASTING; HYDROELECTRIC POWER PLANTS; RESOURCE ASSESSMENT; STREAMS; FLOW RATE; NEW YORK; TENNESSEE VALLEY AUTHORITY; US BUREAU OF RECLAMATION; US CORPS OF ENGINEERS; US DOA; US GS; WEATHER; DEVELOPED COUNTRIES; ELECTRIC POWER; ENERGY SOURCES; NATIONAL ORGANIZATIONS; NORTH AMERICA; POWER; POWER PLANTS; RENEWABLE ENERGY SOURCES; SURFACE WATERS; US DOD; US DOI; US ORGANIZATIONS; USA; 130100* - Hydro Energy- Resources & Availability","This issue of [open quotes]Water Watch[close quotes] focuses on soil moisture and fall streamflow. A map depicts soil moisture conditions in the US through early October. The analysis is based on reports and data provided by the National Weather Service Office of Hydrology, the US Department of Agriculture, the Bureau of Reclamation, the Soil Conservation Service, the California Department of Water Resources, and the US Geological Survey. Ninety-day outlooks are through November 1992. For purposed of reporting, the US is divided into six regions as indicated on a figure and in a table. The data presented in the table, the Hydropower Generation Report, can be used to observe how weather conditions affected hydro generation in September.","","","","","","United States","1992-12-01T00:00:00Z","English","Journal Article","","Journal Name: Hydro Review; (United States); Journal Volume: 11:7","","Medium: X; Size: Pages: 108-110","","","","Journal ID: ISSN 0884-0385; CODEN: HYREE8","","","2009-12-17T00:00:00Z","6173794","https://www.osti.gov/biblio/6173794","","Hydro Review; (United States)","","11:7"
"Canada's large hydro: Progressing toward new megawatts","Beggs, S L","13 HYDRO ENERGY; CANADA; CAPACITY; HYDROELECTRIC POWER; HYDROELECTRIC POWER PLANTS; CONSTRUCTION; MANITOBA; QUEBEC; DEVELOPED COUNTRIES; ELECTRIC POWER; ENERGY SOURCES; NORTH AMERICA; POWER; POWER PLANTS; RENEWABLE ENERGY SOURCES; 130500* - Hydro Energy- Economic, Industrial, & Business Aspects","Canadian utilities continue to turn to hydro as an economical, reliable, renewable resource that can meet their customer's electricity needs. In 1992, construction and planning advanced on nine large hydro projects having the potential for adding nearly 12,000 MW to Canada's installed hydro capacity. New project activities span the country-from the Kemano Completion Project in British Columbia on the West Coast, to activity in Quebec's James Bay in the East, and in between Manitoba and Ontario. And while non-utility generators have taken center stage in the small hydro arena, Canada's provincially owned utilities are largely responsible for this large project development.","","","","","","United States","1992-12-01T00:00:00Z","English","Journal Article","","Journal Name: Hydro Review; (United States); Journal Volume: 11:7","","Medium: X; Size: Pages: 10-18","","","","Journal ID: ISSN 0884-0385; CODEN: HYREE8","","","2009-12-17T00:00:00Z","6203959","https://www.osti.gov/biblio/6203959","","Hydro Review; (United States)","","11:7"
"Tricks of the trade: Sharing ideas about independent hydro development in Canada","Collins, S J","13 HYDRO ENERGY; CANADA; CONSTRUCTION; HYDROELECTRIC POWER PLANTS; CAPACITY; COST; ENVIRONMENTAL POLICY; HYDROELECTRIC POWER; LICENSING REGULATIONS; MANITOBA; QUEBEC; SITE SELECTION; SOCIAL IMPACT; DEVELOPED COUNTRIES; ELECTRIC POWER; ENERGY SOURCES; GOVERNMENT POLICIES; NORTH AMERICA; POWER; POWER PLANTS; REGULATIONS; RENEWABLE ENERGY SOURCES; 130500* - Hydro Energy- Economic, Industrial, & Business Aspects; 130400 - Hydro Energy- Legislation & Regulations","Preparation and patience are the keys to developing independent hydropower projects in Canada. Several individuals who have experience breaking into the business share their advice. Opportunities for independent hydro developers to contribute to electricity production in Canada are increasing, thanks to government and utility support. Site selection, costs, environmental regulations, native rights issues, project approval processes, and time lines are all important issues.","","","","","","United States","1992-12-01T00:00:00Z","English","Journal Article","","Journal Name: Hydro Review; (United States); Journal Volume: 11:7","","Medium: X; Size: Pages: 20-26","","","","Journal ID: ISSN 0884-0385; CODEN: HYREE8","","","2009-12-17T00:00:00Z","6263921","https://www.osti.gov/biblio/6263921","","Hydro Review; (United States)","","11:7"
"Developing Mt. Hope: The megawatt line","Rodzianko, P; Fisher, F S","13 HYDRO ENERGY; CONSTRUCTION; LEGAL ASPECTS; SOCIAL IMPACT; NEW JERSEY; PUMPED STORAGE POWER PLANTS; US FERC; LICENSING PROCEDURES; FINANCING; ADMINISTRATIVE PROCEDURES; DEVELOPED COUNTRIES; HYDROELECTRIC POWER PLANTS; NATIONAL ORGANIZATIONS; NORTH AMERICA; PEAKING POWER PLANTS; POWER PLANTS; US DOE; US ORGANIZATIONS; USA; 130600* - Hydro Energy- Environmental Aspects; 130400 - Hydro Energy- Legislation & Regulations","After facing numerous obstacles, including opposition and competition, the Mt. Hope pumped-storage project in New Jersey has been licensed by FERC. That license will allow a former iron ore mine site to be used in producing a new resource-hydroelectricity. In early August 1992, after more than seven years of effort, the 2,000-MW Mt. Hope Waterpower Project was licensed by the Federal Energy Regulatory Commission (FERC). Getting the $1.8 billion pumped-storage project licensed was not an easy task. It involved 54 submittals to FERC, six public meetings, and costs of more than $12 million. Along the way, the project has withstood competing applications, community opposition, and legal battles. Getting a project of this magnitude off the ground is a challenge for even the most experienced developer. The effort was especially challenging for the Halecrest Company, a local family-owned and operated firm with no previous experience in hydroelectric development. When financing became tight, creative ways were found to raise seed capital for the project. When hydroelectric experience was needed, the company developed a world-class corporate team that carried Mt. Hope through the complexities of the licensing process and beyond. With license now in hand, the project developers are ready to move forward with negotiating power sales contracts and securing construction financing. The resulting project will be the second largest pumped-storage facility in the country-second only to the 2,100-MW Bath County project in Virginia. Mt. Hope will take six years to construct and is scheduled to be phased into operation beginning in 1999.","","","","","","United States","1992-12-01T00:00:00Z","English","Journal Article","","Journal Name: Hydro Review; (United States); Journal Volume: 11:7","","Medium: X; Size: Pages: 28-34","","","","Journal ID: ISSN 0884-0385; CODEN: HYREE8","","","2009-12-17T00:00:00Z","6263841","https://www.osti.gov/biblio/6263841","","Hydro Review; (United States)","","11:7"
"A new data collection method for evaluating machine condition","Brittain, T","13 HYDRO ENERGY; CLEARANCE; MEASURING METHODS; ELECTRIC MEASURING INSTRUMENTS; DESIGN; HYDRAULIC TURBINES; HYDROELECTRIC POWER PLANTS; TRANSFORMERS; ELECTRICAL EQUIPMENT; EQUIPMENT; MACHINERY; MEASURING INSTRUMENTS; POWER PLANTS; TURBINES; TURBOMACHINERY; 130700* - Hydro Energy- Power-Conversion Systems","Profile irregularities have developed on the surface of the discharge ring (liner) of turbines at the Wanapum Dam Development in Washington State during nearly 30 years of operation. Wanapum Dam is part of the Grant County Public Utility District's 1,878-MW Priest Rapids Hydroelectric Project on the Columbia River. The development's ten Kaplan turbines operate under an average 80 feet of head at 85.7 revolutions per minute. In the mid-1980s, Grant County PUD elected to map out the profile irregularities. In the new method applied to units at Wanapum Dam and Priest Rapids developments, eight linear variable differential transformers (LVDTs) were mounted on a unistrut bracket. LVDTs, which develop a linear relationship between position and output voltage, consist of two sets of coils wound around a movable core. When one coil is excited with AC voltage, the output of the second coil is proportional to the position of the movable core. Grant County PUD used a DC power supply with LVDTs that contain microelectronics to convert the DC supply voltage to AC, and to convert the output coils' AC signal to DC. The DC output signal is fed to a brush chart, an instrument that records the data. The bracket holding the LVDTs is mounted to the leading edge of one blade and the trailing edge of the adjacent blade. A wheel mounted on the end of each LVDT rolls over any rough areas of the liner. As the turbine is slowly rotated by hand, the LVDT core moves in and out in proportion to the change in the blade-to-liner gap. Mechanics check the gap with feeler gages at a point on the liner that each LVDT will pass over. This makes data directly readable, and equal to the actual gap. This information is used to evaluate grinding requirements for proper running clearances.","","","","","","United States","1992-12-01T00:00:00Z","English","Journal Article","","Journal Name: Hydro Review; (United States); Journal Volume: 11:7","","Medium: X; Size: Pages: 92-93","","","","Journal ID: ISSN 0884-0385; CODEN: HYREE8","","","2009-12-17T00:00:00Z","6234263","https://www.osti.gov/biblio/6234263","","Hydro Review; (United States)","","11:7"
"Restoring aging penstocks","Kahl, T L","13 HYDRO ENERGY; LOW-HEAD HYDROELECTRIC POWER PLANTS; PENSTOCKS; MEDIUM-HEAD HYDROELECTRIC POWER PLANTS; REPAIR; FIBERGLASS; LINING PROCESSES; POLYURETHANES; COMPOSITE MATERIALS; HYDROELECTRIC POWER PLANTS; MATERIALS; ORGANIC COMPOUNDS; ORGANIC POLYMERS; PETROCHEMICALS; PETROLEUM PRODUCTS; PIPES; PLASTICS; POLYAMIDES; POLYMERS; POWER PLANTS; SYNTHETIC MATERIALS; 130700* - Hydro Energy- Power-Conversion Systems","Many steel penstocks of hydroelectric projects built in the early 1900s are showing signs of aging. Engineers and project owners are finding new ways to keep these crucial plant components working into the next century. The issues and methods for rehabilitating existing penstocks differ from the challenges of ddesigning new water conduits. To rehabilitate an existing penstock, one must understand the original design. The original layout and esign of an existing penstock reflects the construction materials, methods, and economics of the time it was built. To efficiently and successfully rehabilitate an existing penstock, planners must understand the limitations of the original design, construction, and material. Hydroelectric project owners can take one of two approaches to penstock rehabilitation: repair or replacement. The repair option includes weld repair and patching of the existing shell or relining the inside of the pipe. Frequently, both repair and replacement are combined to form the optimal solution for a particular penstock. Kleinschmidt Associates, Inc. of Pittsfield, Maine, recently used both the repair and replacement approaches on three penstock rehabilitation projects. These examples demonstrate how different site conditions, design parameters, and owner interests led to various rehabilitation strategies. This article focuses on small (less than 10 MW), low- or medium-head plants with steel penstocks.","","","","","","United States","1992-12-01T00:00:00Z","English","Journal Article","","Journal Name: Hydro Review; (United States); Journal Volume: 11:7","","Medium: X; Size: Pages: 62-70","","","","Journal ID: ISSN 0884-0385; CODEN: HYREE8","","","2009-12-17T00:00:00Z","6234270","https://www.osti.gov/biblio/6234270","","Hydro Review; (United States)","","11:7"
"Ensuring preparedness: Testing an emergency action plan","Gibson, J Z; Hildebrand, L G","13 HYDRO ENERGY; EMERGENCY PLANS; EVALUATION; TESTING; HYDROELECTRIC POWER PLANTS; US FERC; WASHINGTON; DEVELOPED COUNTRIES; NATIONAL ORGANIZATIONS; NORTH AMERICA; POWER PLANTS; US DOE; US ORGANIZATIONS; USA; 130600* - Hydro Energy- Environmental Aspects","For dam owners, having a plan for responding to dam failure is not enough. To ensure that operating personnel and local authorities and emergency response agencies are prepared, the plan needs to be tested periodically. This article describes how Washington Water Power tested its emergency action plan at its Cabinet Gorge project in September, 1990. The objectives, details, and critique of the test are described, as is FERC's five-level exercise testing program.","","","","","","United States","1992-12-01T00:00:00Z","English","Journal Article","","Journal Name: Hydro Review; (United States); Journal Volume: 11:7","","Medium: X; Size: Pages: 43-51","","","","Journal ID: ISSN 0884-0385; CODEN: HYREE8","","","2009-12-17T00:00:00Z","6234405","https://www.osti.gov/biblio/6234405","","Hydro Review; (United States)","","11:7"
"Examining pumped storage's value to a utility system","Henwood, M I","13 HYDRO ENERGY; 29 ENERGY PLANNING, POLICY AND ECONOMY; LOAD ANALYSIS; COMPUTERIZED SIMULATION; PUMPED STORAGE POWER PLANTS; COST BENEFIT ANALYSIS; AIR POLLUTION ABATEMENT; OPERATING COST; PROGRAMMING LANGUAGES; VOLTAGE REGULATORS; COST; ECONOMIC ANALYSIS; ECONOMICS; HYDROELECTRIC POWER PLANTS; PEAKING POWER PLANTS; POLLUTION ABATEMENT; POWER PLANTS; SIMULATION; 130300* - Hydro Energy- Plant Design & Operation; 296000 - Energy Planning & Policy- Electric Power","As utilities look for ways to meet electricity demands during peak load periods and, at the same time, to reduce air emissions, pumped-storage projects offer several benefits. Pumped-storage projects are viable competitors for meeting future needs for peaking power. In addition to the traditional swapping of low-cost for high-cost energy, pumped-storage projects have advantages over combustion turbines by providing several dynamic operating benefits. An increasing number of utilities are likely to explore this technology to achieve these benefits and to provide diversification in the resources used to provide peaking power. The possibility of increased production of air emissions in sometimes presented as a disadvantage of pumped-storage projects. However, depending on a utility's system configuration, studies show that pumped-storage projects can have little adverse effect and potentially can reduce system wide emission production.","","","","","","United States","1992-12-01T00:00:00Z","English","Journal Article","","Journal Name: Hydro Review; (United States); Journal Volume: 11:7","","Medium: X; Size: Pages: 80-88","","","","Journal ID: ISSN 0884-0385; CODEN: HYREE8","","","2009-12-17T00:00:00Z","6234570","https://www.osti.gov/biblio/6234570","","Hydro Review; (United States)","","11:7"
