"TITLE","AUTHORS","SUBJECT","DESCRIPTION","PUBLISHER","AVAILABILITY","RESEARCH_ORG","SPONSORING_ORG","CONTRIBUTING_ORG","PUBLICATION_COUNTRY","PUBLICATION_DATE","LANGUAGE","RESOURCE_TYPE","TYPE_QUALIFIER","RELATION","COVERAGE","FORMAT","IDENTIFIER","REPORT_NUMBER","DOE_CONTRACT_NUMBER","OTHER_IDENTIFIER","DOI","RIGHTS","ENTRY_DATE","OSTI_IDENTIFIER","CITATION_URL","PURL_URL","JOURNAL_NAME","JOURNAL_ISSUE","JOURNAL_VOLUME"
"Mapping the pathways of photo-induced ion migration in organic-inorganic hybrid halide perovskites","Kim, Taeyong (ORCID:0000000324521065); Park, Soyeon; Iyer, Vasudevan; Shaheen, Basamat (ORCID:0000000169691389); Choudhry, Usama; Jiang, Qi; Eichman, Gage (ORCID:0000000177310806); Gnabasik, Ryan; Kelley, Kyle (ORCID:0000000276880484); Lawrie, Benjamin (ORCID:000000031431066X); Zhu, Kai (ORCID:0000000309083909); Liao, Bolin (ORCID:0000000208980803)","42 ENGINEERING; cathodoluminescence; electron microscopy; energy dispersive X-ray spectroscopy; hybrid perovskites; ion migration; 14 SOLAR ENERGY","<jats:title>Abstract</jats:title><jats:p>Organic-inorganic hybrid perovskites exhibiting exceptional photovoltaic and optoelectronic properties are of fundamental and practical interest, owing to their tunability and low manufacturing cost. For practical applications, however, challenges such as material instability and the photocurrent hysteresis occurring in perovskite solar cells under light exposure need to be understood and addressed. While extensive investigations have suggested that ion migration is a plausible origin of these detrimental effects, detailed understanding of the ion migration pathways remains elusive. Here, we report the characterization of photo-induced ion migration in perovskites using in situ laser illumination inside a scanning electron microscope, coupled with secondary electron imaging, energy-dispersive X-ray spectroscopy and cathodoluminescence with varying primary electron energies. Using methylammonium lead iodide and formamidinium lead iodide as model systems, we observed photo-induced long-range migration of halide ions over hundreds of micrometers and elucidated the transport pathways of various ions both near the surface and inside the bulk of the samples, including a surprising finding of the vertical migration of lead ions. Our study provides insights into ion migration processes in perovskites that can aid perovskite material design and processing in future applications.</jats:p>","Nature Publishing Group","","Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States); National Renewable Energy Lab. (NREL), Golden, CO (United States)","US Army Research Office (ARO); Seoul National University; USDOE Office of Science (SC), Basic Energy Sciences (BES). Scientific User Facilities Division; USDOE Office of Energy Efficiency and Renewable Energy (EERE), Renewable Power Office. Solar Energy Technologies Office","","United Kingdom","2023-04-03T00:00:00Z","English","Journal Article","","Journal Name: Nature Communications Journal Volume: 14 Journal Issue: 1","","Medium: X","","NREL/JA-5900-85542","AC36-08GO28308; FOA-0002064; EE0008790; SC0019244; AC05-00OR22725; W911NF-19-1-0060","Journal ID: ISSN 2041-1723; 1846; PII: 37486","10.1038/s41467-023-37486-w","","2023-04-05T00:00:00Z","1968113","https://www.osti.gov/biblio/1968113","","Nature Communications","1","14"
"Photovoltaics at multi-terawatt scale: Waiting is not an option","Haegel, Nancy M.; Verlinden, Pierre; Victoria, Marta; Altermatt, Pietro; Atwater, Harry; Barnes, Teresa; Breyer, Christian; Case, Chris; De Wolf, Stefaan; Deline, Chris; Dharmrin, Marwan; Dimmler, Bernhard; Gloeckler, Markus; Goldschmidt, Jan Christoph; Hallam, Brett; Haussener, Sophia; Holder, Burkhard; Jaeger, Ulrich; Jaeger-Waldau, Arnulf; Kaizuka, Izumi; Kikusato, Hiroshi; Kroposki, Benjamin; Kurtz, Sarah; Matsubara, Koji; Nowak, Stefan; Ogimoto, Kazuhiko; Peter, Christian; Peters, Ian Marius; Philipps, Simon; Powalla, Michael; Rau, Uwe; Reindl, Thomas; Roumpani, Maria; Sakurai, Keiichiro; Schorn, Christian; Schossig, Peter; Schlatmann, Rutger; Sinton, Ron; Slaoui, Abdelilah; Smith, Brittany L.; Schneidewind, Peter; Stanbery, B. j.; Topic, Marko; Tumas, William; Vasi, Juzer; Vetter, Matthias; Weber, Eicke; Weeber, A. W.; Weidlich, Anke; Weiss, Dirk; Bett, Andreas W.","14 SOLAR ENERGY; photovoltaics; PV manufacturing; terawatt","We report a major renewable-energy milestone occurred in 2022: Photovoltaics (PV) exceeded a global installed capacity of 1 TW<sub>dc</sub>. But despite considerable growth and cost reduction over time, PV is still a small part of global electricity generation (4 to 5% for 2022), and the window is increasingly closing to take action at scale to cut greenhouse gas (GHG) emissions while meeting global energy needs for the future. PV is one of very few options that can be dispatched relatively quickly, but discussions of TW-scale growth at the global level may not be clearly communicating the needed size and speed for renewable-energy installation. A major global risk would be to make poor assumptions or mistakes in modeling and promoting the required PV deployment and industry growth and then realize by 2035 that we were profoundly wrong on the low side and need to ramp up manufacturing and deployment to unrealistic or unsustainable levels.","AAAS","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE","","United States","2023-04-06T00:00:00Z","English","Journal Article","","Journal Name: Science; Journal Volume: 380; Journal Issue: 6640; Conference: Third Terawatt Workshop, Freiburg (Germany), 16-17 May 2022","","Medium: ED; Size: p. 39-42","","NREL/JA-5K00-85113","AC36-08GO28308","Journal ID: ISSN 0036-8075; MainId:85886;UUID:bba22c9e-18a1-4adc-8a14-98093ade4ccb;MainAdminID:69301","10.1126/science.adf6957","","2023-04-25T00:00:00Z","1969987","https://www.osti.gov/biblio/1969987","","Science","6640","380"
"Hybrid magnonics in hybrid perovskite antiferromagnets","Comstock, Andrew H. (ORCID:0000000276233332); Chou, Chung-Tao (ORCID:0000000217393694); Wang, Zhiyu; Wang, Tonghui; Song, Ruyi (ORCID:0000000203207803); Sklenar, Joseph; Amassian, Aram (ORCID:0000000257341194); Zhang, Wei; Lu, Haipeng (ORCID:0000000302523086); Liu, Luqiao (ORCID:0000000168928102); Beard, Matthew C. (ORCID:0000000227111355); Sun, Dali (ORCID:0000000346623265)","14 SOLAR ENERGY; hybrid perovskite; layered 2D antiferromagnets; magnonics; quantum information science","<title>Abstract</title> <p>Hybrid magnonic systems are a newcomer for pursuing coherent information processing owing to their rich quantum engineering functionalities. One prototypical example is hybrid magnonics in antiferromagnets with an easy-plane anisotropy that resembles a quantum-mechanically mixed two-level spin system through the coupling of acoustic and optical magnons. Generally, the coupling between these orthogonal modes is forbidden due to their opposite parity. Here we show that the Dzyaloshinskii–Moriya-Interaction (DMI), a chiral antisymmetric interaction that occurs in magnetic systems with low symmetry, can lift this restriction. We report that layered hybrid perovskite antiferromagnets with an interlayer DMI can lead to a strong intrinsic magnon-magnon coupling strength up to 0.24 GHz, which is four times greater than the dissipation rates of the acoustic/optical modes. Our work shows that the DMI in these hybrid antiferromagnets holds promise for leveraging magnon-magnon coupling by harnessing symmetry breaking in a highly tunable, solution-processable layered magnetic platform.</p>","Nature Publishing Group","","National Renewable Energy Lab. (NREL), Golden, CO (United States); Energy Frontier Research Centers (EFRC) (United States). Center for Hybrid Organic Inorganic Semiconductors for Energy (CHOISE)","USDOE Office of Science (SC), Basic Energy Sciences (BES); National Science Foundation (NSF); Hong Kong University of Science and Technology; Research Grants Council of Hong Kong; US Air Force Office of Scientific Research (AFOSR)","","United Kingdom","2023-04-01T00:00:00Z","English","Journal Article","","Journal Name: Nature Communications Journal Volume: 14 Journal Issue: 1","","Medium: X","","NREL/JA-5900-83150","AC36-08GO28308; Center for Hybrid Organic Inorganic Semiconductors for Energy (CHOISE); SC0020992; DMR-2143642; ECS, 26300721; ECCS-1936527; ECCS-1941426; AFOSR-FA2386-21-1-4091; DMR-2104912","Journal ID: ISSN 2041-1723; 1834; PII: 37505","10.1038/s41467-023-37505-w","","2023-04-05T00:00:00Z","1968102","https://www.osti.gov/biblio/1968102","","Nature Communications","1","14"
"Combined Stress Testing of Perovskite Solar Cells for Stable Operation in Space","VanSant, Kaitlyn T.; Kirmani, Ahmad R.; Patel, Jay B.; Crowe, Laura E.; Ostrowski, David P.; Wieliczka, Brian M.; McGehee, Michael D.; Schelhas, Laura T.; Luther, Joseph M.; Peshek, Timothy J.; McMillon-Brown, Lyndsey","14 SOLAR ENERGY; barrier layers; contacts; durability; perovskites; solar cells; space photovoltaics","Perovskite solar cells (PSCs) could provide new low-cost opportunities for powering spacecraft. Here we are designing a PSC resilient to lunar surface conditions, focusing on contact/barrier layers combinations that maximize stability. Thermal vacuum stress shows cells with gold back-contacts and SiOx protection retain >90% of initial efficiency and indium tin oxide (ITO)-contacted cells retain ~100% of initial efficiency after five months of stress. SiO<sub>x</sub> mitigates mechanical aspects of contact stress, retaining 99% of initial efficiency, whereas cells with silicone/cover glass decreased 27%. We further exposed cells to combined illumination, 75 °C heat, and 10<sup>-6 </sup>Torr vacuum for 24 h and found that ITO-contacted cells outperformed Au-contacted cells.","American Chemical Society (ACS)","","National Renewable Energy Lab. (NREL), Golden, CO (United States); SLAC National Accelerator Lab., Menlo Park, CA (United States)","National Aeronautics and Space Administration (NASA); USDOE Office of Science (SC), Basic Energy Sciences (BES)","","United States","2023-03-22T00:00:00Z","English","Journal Article","","Journal Name: ACS Applied Energy Materials","","Medium: ED","","NREL/JA-5K00-84338","AC36-08GO28308; AC02- 76SF00515","Journal ID: ISSN 2574-0962; MainId:85111;UUID:132c6e52-3906-4f40-9b5d-cd863a005377;MainAdminID:69316","10.1021/acsaem.2c03972","","2023-04-25T00:00:00Z","1970184","https://www.osti.gov/biblio/1970184","","ACS Applied Energy Materials","",""
"Determining circuit model parameters from operation data for PV system degradation analysis: $\mathrm{PVPRO}$","Li, Baojie; Karin, Todd; Meyers, Bennet E.; Chen, Xin; Jordan, Dirk C.; Hansen, Clifford W.; King, Bruce H.; Deceglie, Michael G.; Jain, Anubhav","14 SOLAR ENERGY; degradation; health monitoring; parameter estimation; photovoltaic; single-diode model","Physics-based circuit parameters like series and shunt resistance are essential to provide insights into the degradation status of photovoltaic (PV) arrays. However, calculating these parameters typically requires a full current-voltage characteristic (I-V curve), the acquisition of which involves specific measurement devices and costly methods. Thus, I-V curves of the PV system level are often not available. Here this paper proposes a methodology (PVPRO) to estimate these I-V curve parameters using only operation (string-level DC voltage and current) and weather data (irradiance and temperature). PVPRO first performs multi-stage data pre-processing to remove noisy data. Next, the time-series DC data are used to fit an equivalent circuit single-diode model (SDM) to estimate the circuit parameters by minimizing the differences between the measured and estimated values. In this way, the time evolutions of the SDM parameters are obtained. We evaluate PVPRO on synthetic datasets and find an excellent estimation of both SDM and the key I-V parameters (e.g., open-circuit voltage, short-circuit current, maximum power, etc.) with an average relative error of 0.55%. The performance, especially the extracted degradation rate of parameters, is robust to various measurement noises and the presence of faults. In addition, PVPRO is applied to a 271 kW PV field system. The relative error between the real and estimated operation voltage and current is less than 1%, suggesting that degradation trends are well captured. PVPRO represents a promising open-source tool to extract the time-series degradation trends of key PV parameters from routine operation data.","Elsevier","","National Renewable Energy Lab. (NREL), Golden, CO (United States); Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States); SLAC National Accelerator Lab., Menlo Park, CA (United States); Sandia National Lab. (SNL-NM), Albuquerque, NM (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Renewable Power Office. Solar Energy Technologies Office","","United States","2023-03-20T00:00:00Z","English","Journal Article","","Journal Name: Solar Energy; Journal Volume: 254","","Medium: ED; Size: p. 168-181","","NREL/JA-5K00-84504","AC36-08GO28308; AC02-05CH11231","Journal ID: ISSN 0038-092X; MainId:85277;UUID:c992bda8-5b8b-4e3a-a0cd-f14fbf3d2533;MainAdminID:68974","10.1016/j.solener.2023.03.011","","2023-04-12T00:00:00Z","1968239","https://www.osti.gov/biblio/1968239","","Solar Energy","","254"
"A Gridded Solar Irradiance Ensemble Prediction System Based on WRF-Solar EPS and the Analog Ensemble","Alessandrini, Stefano; Kim, Ju-Hye; Jimenez, Pedro A.; Dudhia, Jimy; Yang, Jaemo; Sengupta, Manajit","47 OTHER INSTRUMENTATION; 14 SOLAR ENERGY; analog ensemble; ensemble calibration; rare events; solar irradiance ensemble forecasting","The WRF-Solar Ensemble Prediction System (WRF-Solar EPS) and a calibration method, the analog ensemble (AnEn), are used to generate calibrated gridded ensemble forecasts of solar irradiance over the contiguous United States (CONUS). Global horizontal irradiance (GHI) and direct normal irradiance (DNI) retrievals, based on geostationary satellites from the National Solar Radiation Database (NSRDB) are used for both calibrating and verifying the day-ahead GHI and DNI predictions (GDIP). A 10-member ensemble of WRF-Solar EPS is run in a re-forecast mode to generate day-ahead GDIP for three years. The AnEn is used to calibrate GDIP at each grid point independently using the NSRDB as the “ground truth”. Performance evaluations of deterministic and probabilistic attributes are carried out over the whole CONUS. The results demonstrate that using the AnEn calibrated ensemble forecast from WRF-Solar EPS contributes to improving the overall quality of the GHI predictions with respect to an AnEn calibrated system based only on the deterministic run of WRF-Solar. In fact, the calibrated WRF-Solar EPS’s mean exhibits a lower bias and RMSE than the calibrated deterministic WRF-Solar. Moreover, using the ensemble mean and spread as predictors for the AnEn allows a more effective calibration than using variables only from the deterministic runs. Finally, it has been shown that the recently introduced algorithm of correction for rare events is of paramount importance to obtain the lowest values of GHI from the calibrated ensemble (WRF-Solar EPS AnEn), qualitatively consistent with those observed from the NSRDB.","MDPI","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Renewable Power Office. Solar Energy Technologies Office; National Science Foundation (NSF)","","United States","2023-03-16T00:00:00Z","English","Journal Article","","Journal Name: Atmosphere (Basel); Journal Volume: 14; Journal Issue: 3","","Medium: ED; Size: Article No. 567","","NREL/JA-5D00-85808","AC36-08GO28308; 1852977","Journal ID: ISSN 2073-4433; MainId:86581;UUID:93e7c317-fa44-43e7-bdd0-9c07e0215891;MainAdminID:69157","10.3390/atmos14030567","","2023-04-06T00:00:00Z","1967953","https://www.osti.gov/biblio/1967953","https://www.osti.gov/servlets/purl/1967953","Atmosphere (Basel)","3","14"
"The value of concentrating solar power in ancillary services markets","Abiodun, Kehinde; Hood, Karoline; Cox, John L.; Newman, Alexandra M.; Zolan, Alex J.","29 ENERGY PLANNING, POLICY, AND ECONOMY; 14 SOLAR ENERGY; ancillary services; concentrating solar power; mixed-integer programming; price-taker model; renewable energy; spinning reserves","Ancillary services, such as spinning reserves, can provide grid reliability and contribute to profitability of an energy resource. We exercise an existing dispatch optimization model to estimate the profitability of a concentrating solar power plant by incorporating the sale of spinning reserves in the ancillary service market using the National Renewable Energy Laboratory's System Advisor Model to simulate operations within a 72-h rolling horizon framework. Assuming a price-taker approach with day-ahead energy and spinning reserve prices from both the California Independent System Operator and the Electricity Reliability Council of Texas, we find that selling spinning reserves in addition to electric energy increases plant profitability by up to 7% with perfect knowledge of day-ahead pricing and solar resource availability. Here, this finding suggests that spinning reserve markets provide significant value streams to concentrating solar power plants that can leverage thermal energy storage to offer reliable production in the short-to-medium term.","Elsevier","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Renewable Power Office. Solar Energy Technologies Office","","United States","2023-03-15T00:00:00Z","English","Journal Article","","Journal Name: Applied Energy; Journal Volume: 334","","Medium: ED; Size: Article No. 120518","","NREL/JA-5700-84798","AC36-08GO28308; 34245","Journal ID: ISSN 0306-2619; MainId:85571;UUID:1129c93c-ac14-423e-a600-fe6f3a0e0247;MainAdminID:68982","10.1016/j.apenergy.2022.120518","","2023-03-20T00:00:00Z","1961157","https://www.osti.gov/biblio/1961157","","Applied Energy","","334"
"Combinatorial impedance spectroscopy with Bayesian analysis for triple ionic-electronic conducting perovskites","Papac, Meagan C.; Huang, Jake; Zakutayev, Andriy; O'Hayre, Ryan","14 SOLAR ENERGY; 36 MATERIALS SCIENCE; combinatorial experiments; high temperature electrolysis; impedance spectroscopy; oxide perovksites; solid oxide fuel cells; triple ionic-electronic conducting oxides","Triple ionic-electronic conducting oxides (TIECs) show great promise in high-temperature electrochemical applications, including ceramic fuel cells and electrolyzers. The transport properties and electrochemical activity of TIECs strongly depend on chemical composition and environmental conditions, such as operating temperature and gas environment. Here, this dependency is investigated in a large family of TIEC oxide perovskite materials via combinatorial experimental methods and multidimensional Bayesian analysis. In total, more than 2500 impedance spectra are collected at three temperatures under dry air and humid N2 atmospheres from 432 distinct Ba(Co,Fe,Zr,Y)O<sub>3-δ</sub> (BCFZY) compositions that were synthesized by pulsed laser deposition. This study provides insight on the trends governing electrochemical performance. Combinatorial experiments demonstrate that Co-rich compositions achieve the lowest overall polarization resistance under both dry air and humid N<sub>2</sub>, while Fe substitution may increase polarization resistance. Hierarchical Bayesian analysis indicates that the performance-limiting process depends on the chemical composition, measurement temperature, and atmospheric humidity. This work provides a map of electronic properties of materials in the BCFZY perovskite family under conditions that are relevant to their application as air electrodes for protonic ceramic fuel cells and electrolyzers, and demonstrates a unique approach to studying TIECs that combines combinatorial experiments and Bayesian analysis.","Royal Society of Chemistry (RSC)","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Office of Sustainable Transportation. Hydrogen Fuel Cell Technologies Office (HFTO); US Army Research Office (ARO); USDOE Advanced Research Projects Agency - Energy (ARPA-E); USDOE Laboratory Directed Research and Development (LDRD) Program","","United Kingdom","2023-03-07T00:00:00Z","English","Journal Article","","Journal Name: Journal of Materials Chemistry. A Journal Volume: 11 Journal Issue: 10","","Medium: X; Size: p. 5267-5278","","NREL/JA-5K00-81455","DEAC36-08GO28308; AC36-08GO28308; W911NF-17-1-0051; AR0000808; AR0000493","Journal ID: ISSN 2050-7488; JMCAET","10.1039/D2TA01736A","","2023-03-09T00:00:00Z","1924586","https://www.osti.gov/biblio/1924586","","Journal of Materials Chemistry. A","10","11"
"Panel Segmentation: A Python Package for Automated Solar Array Metadata Extraction Using Satellite Imagery","Perry, Kirsten; Campos, Christopher","97 MATHEMATICS AND COMPUTING; 14 SOLAR ENERGY; deep learning; metadata extraction; satellite imagery; solar; Azimuth; metadata; mount; satellites; pipelines; photovoltaic systems; object detection; training","The National Renewable Energy Laboratory (NREL) Python panel-segmentation package is a toolkit that automates the process of extracting accurate and valuable metadata related to solar array installations, using publicly available Google Maps satellite imagery. Previously published work includes automated azimuth estimation for individual solar installations in satellite images. Our continued research focuses on automated detection and classification of solar installation mounting configuration (tracking or fixed-tilt; rooftop, ground, or carport). Specifically, a faster-region-based convolutional neural network Resnet-50 feature pyramid network model was trained and validated on 862 manually labeled satellite images. Additionally, this model was used to perform object detection on satellite imagery, locating and classifying individual solar installations' mounting configuration and type. Model results showed a mean average precision score of 77.79%, with the model strongest at detecting fixed-tilt ground mount and fixed-tilt carport installations. The object detection model and its outputs have been incorporated into the panel-segmentation package's automated metadata extraction pipeline, which returns the mounting configuration and azimuth for individual solar arrays in satellite imagery. The complete image dataset with labels has been released on the U.S. Department of Energy (DOE) DuraMAT DataHub, to encourage further research in this area.","Institute of Electrical and Electronics Engineers","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Renewable Power Office. Solar Energy Technologies Office","","United States","2023-03-01T00:00:00Z","English","Journal Article","","Journal Name: IEEE Journal of Photovoltaics Journal Volume: 13 Journal Issue: 2","","Medium: X; Size: p. 208-212","","NREL/JA-5K00-82613","AC36-08GO28308; 38258","Journal ID: ISSN 2156-3381; 10008194","10.1109/JPHOTOV.2022.3230565","","2023-03-02T00:00:00Z","1957702","https://www.osti.gov/biblio/1957702","","IEEE Journal of Photovoltaics","2","13"
"Parametric analysis on optimized design of hybrid solar power plants","Cox, John L.; Hamilton, William T.; Newman, Alexandra M.","14 SOLAR ENERGY; black-box optimization; concentrating solar power; dispatch optimization; hybrid renewable systems; mixed-integer programming; photovoltaics; sensitivity","There is increasing interest in utility-scale solar power plants with storage which can flexibly dispatch renewable energy to the grid. However, plant design possesses many degrees of freedom and non-obvious trade-offs in performance. Software tools can estimate or optimize the performance of a specific plant configuration under market and weather conditions of interest; the associated cost parameters and operating assumptions strongly influence estimates of plant performance and decisions regarding optimal sizing. We employ the National Renewable Energy Laboratory's Hybrid Optimization and Performance Platform, which incorporates optimal dispatch when evaluating plant performance, and investigate the sensitivity to weather and market conditions, operating limitations, and the presence of a capacity-based incentive. We demonstrate changes in plant performance and optimal sizing with respect to these inputs and discuss implications. Here results show that PV-with-battery designs are more profitable under our assumptions, but that designs including a concentrated solar power (CSP) system produce significantly greater annual energy; and that CSP-with-thermal energy storage designs maximizing the benefit-to-cost ratio have an input-dependent linear relationship between the CSP field solar multiple and the hours of storage as the project budget varies.","Elsevier","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Renewable Power Office. Solar Energy Technologies Office","","United States","2023-02-07T00:00:00Z","English","Journal Article","","Journal Name: Solar Energy; Journal Volume: 252","","Medium: ED; Size: p. 195-217","","NREL/JA-5700-83403","AC36-08GO28308; 34245","Journal ID: ISSN 0038-092X; MainId:84176;UUID:f770104d-fea3-4d5a-ae7e-f87c137bffe9;MainAdminID:68702","10.1016/j.solener.2023.01.016","","2023-04-07T00:00:00Z","1924444","https://www.osti.gov/biblio/1924444","","Solar Energy","","252"
