"TITLE","AUTHORS","SUBJECT","DESCRIPTION","PUBLISHER","AVAILABILITY","RESEARCH_ORG","SPONSORING_ORG","CONTRIBUTING_ORG","PUBLICATION_COUNTRY","PUBLICATION_DATE","LANGUAGE","RESOURCE_TYPE","TYPE_QUALIFIER","RELATION","COVERAGE","FORMAT","IDENTIFIER","REPORT_NUMBER","DOE_CONTRACT_NUMBER","OTHER_IDENTIFIER","DOI","RIGHTS","ENTRY_DATE","OSTI_IDENTIFIER","CITATION_URL","PURL_URL","JOURNAL_NAME","JOURNAL_ISSUE","JOURNAL_VOLUME"
"United States of America vs Union Oil Company of California. U. S. District Court, N. D. California Civ. No. 72-1866 GBH. [Ownership rights of geothermal steam and resources for public land leases; Stock Raising Homestead Act]","","15 GEOTHERMAL ENERGY; 29 ENERGY PLANNING, POLICY AND ECONOMY; GEOTHERMAL ENERGY; LEGAL ASPECTS; GEOTHERMAL RESOURCES; OWNERSHIP; CALIFORNIA; CASE LAW; GOVERNMENT POLICIES; LAND LEASING; LAWS; MINERALS; PUBLIC LANDS; ENERGY; ENERGY SOURCES; LEASING; NORTH AMERICA; RENEWABLE ENERGY SOURCES; RESOURCES; USA; 150400* - Geothermal Energy- Legislation & Regulations; 150500 - Geothermal Energy- Economics, Industrial, & Business Aspects; 299002 - Energy Planning & Policy- Geothermal- (-1989)","The United States filed suit seeking a declaration of its ownership rights in the geothermal steam and associated geothermal resources being produced by certain defendants under leases from other defendants. The United States also sought injunctive relief and damages. On a defense motion to dismiss for failure to state a claim upon which relief could be granted, and on a countermotion of the United States for summary judgment, the District Court, George B. Harris, Senior Judge, held that (1) what passed under a Stock Raising Homestead Act patent was fee title, not just the surface estate with a reservation of the subsurface, and (2) the Act's reservation of ''coal and other minerals'' to the United States did not include a reservation of geothermal steam and associated geothermal resources, since they are not ''minerals'' within the meaning of the reservation of the Act and the patents granted thereunder.","","","","","","United States","1973-01-01T00:00:00Z","English","Journal Article","","Journal Name: Fed. Suppl.; (United States); Journal Volume: 369","","Medium: X; Size: Pages: 1289-1302","","","","","","","2009-12-16T00:00:00Z","5322239","https://www.osti.gov/biblio/5322239","","Fed. Suppl.; (United States)","","369"
"Geothermal resource energetics","Bodvarsson, G","15 GEOTHERMAL ENERGY; GEOTHERMAL RESOURCES; GEOTHERMAL SYSTEMS; HEAT EXTRACTION; FLUID FLOW; MATHEMATICAL MODELS; RESOURCES; 150100* - Geothermal Energy- Resources & Availability","The discussion covers the theory of geothermal heat extraction on the basis of three simple idealized models (single fracture flow, intergranular flow, and intergranular vaporization); theoretical expressions for the total available specific resource energy per unit area or unit volume; and illustrations comprising a number of numerical data useful in the assessment of the potential of individual geothermal resources.","","","Oregon State Univ., Corvallis","","","United States","1974-09-01T00:00:00Z","English","Journal Article","","Journal Name: Geothermics; (United States); Journal Volume: 3:3","","Medium: X; Size: Pages: 83-92","","","","Journal ID: CODEN: GTMCA","10.1016/0375-6505(74)90001-7","","2016-05-20T00:00:00Z","7339545","https://www.osti.gov/biblio/7339545","","Geothermics; (United States)","","3:3"
"Geothermal energy prospects","","15 GEOTHERMAL ENERGY; CALIFORNIA; GEOTHERMAL ENERGY; ENVIRONMENTAL EFFECTS; POWER POTENTIAL; FORECASTING; GEYSERS GEOTHERMAL FIELD; IMPERIAL VALLEY; LONG VALLEY; ENERGY; ENERGY SOURCES; GEOTHERMAL FIELDS; NORTH AMERICA; RENEWABLE ENERGY SOURCES; USA; 150100* - Geothermal Energy- Resources & Availability","The overall environmental effects of geothermal resource use appear to be potentially less adverse than those of fossil fuel or nuclear energy operations, according to the U.S. Department of the Interior's final Environmental Impact Statement on the development of geothermal steam resources in the Federal lands of the western U.S. Under existing technology, geothermal steam is expanded into a low-pressure turbine, which drives a conventional electric generator. In some areas, the geothermal reservoir produces natural dry steam that can be brought to the surface and introduced directly into the turbine. In other areas, geothermal fluids (superheated and under pressure) are brought to the surface; a portion of the fluid flashes into steam, which is used to drive the turbine. The geothermal energy percentage of total national electrical power capacity by 2000 is estimated variously at 1 percent to 20 percent or more. The ultimate capacities of the Geysers field, the Imperial Valley area, and the Mono Lake/Long Valley area, Calif., are estimated to be 1000 to 5000, 3000 to 30,000, and 1750 Mw, respectively.","","","","","","United States","1974-02-01T00:00:00Z","English","Journal Article","","Journal Name: Instrum. Control Syst.; (United States); Journal Volume: 47:2","","Medium: X; Size: Pages: 22-23","","","","Journal ID: CODEN: INCSA","","","2009-12-17T00:00:00Z","7209178","https://www.osti.gov/biblio/7209178","","Instrum. Control Syst.; (United States)","","47:2"
"Development of geothermal resources and the 1970 Geothermal Steam Act: law in search of definition","Bjorge, K R","15 GEOTHERMAL ENERGY; 29 ENERGY PLANNING, POLICY AND ECONOMY; 54 ENVIRONMENTAL SCIENCES; GEOTHERMAL RESOURCES; GOVERNMENT POLICIES; LEGAL ASPECTS; OWNERSHIP; LEASING; MINERALS; REVIEWS; DOCUMENT TYPES; RESOURCES; 150400* - Geothermal Energy- Legislation & Regulations; 299002 - Energy Planning & Policy- Geothermal- (-1989); 293000 - Energy Planning & Policy- Policy, Legislation, & Regulation; 510600 - Environment, Terrestrial- Regulations- (-1989)","It is submitted that the court erred in U.S. vs Union Oil Company (Calif. 1974), by: (1) failing to find that Congress intended the Stock Raising Homestead Act to grant an estate limited to surface use with such subsurface rights as reasonably necessary to serve the purpose of surface ownership and (2) in inferentially treating geothermal resources as water resources to arrive at the conclusion that geothermal resources were not reserved because water is not a mineral within terms of the Stock Raising Homestead Act. Alternate legal concepts are suggested. (PCS)","","","Northern Kentucky State Coll., Covington","","","United States","1974-01-01T00:00:00Z","English","Journal Article","","Journal Name: Univ. Colo. Law Rev.; (United States); Journal Volume: 46","","Medium: X; Size: Pages: 1-25","","","","","","","2009-12-16T00:00:00Z","5265578","https://www.osti.gov/biblio/5265578","","Univ. Colo. Law Rev.; (United States)","","46"
"Extracting minerals from geothermal brines: a literature study. [USA, western region]","Blake, R L","15 GEOTHERMAL ENERGY; GEOTHERMAL FIELDS; EXPLORATION; RESOURCE DEVELOPMENT; MINERALS; RECOVERY; NATURAL STEAM; BRINES; CORROSION PROTECTION; ENVIRONMENTAL IMPACTS; EROSION; EVAPORATORS; POWER GENERATION; RESOURCE POTENTIAL; REVIEWS; SOLAR PONDS; USA; WELL DRILLING; DOCUMENT TYPES; DRILLING; EQUIPMENT; FLUIDS; GEOTHERMAL FLUIDS; NORTH AMERICA; PONDS; SOLAR COLLECTORS; SOLAR EQUIPMENT; STEAM; SURFACE WATERS; 150700* - Geothermal Energy- Products & By-Products; 150100 - Geothermal Energy- Resources & Availability","The U.S. Bureau of Mines is concerned with extracting minerals from residual geothermal brines after their heat content and some demineralized water have been recovered. This literature study is based on a survey of the literature and discussions with individuals knowledgeable on various aspects of the subject. This report examines the potential of the domestic geothermal mineral resources, considers the technical problems involved, and outlines possible effects on the environment from reservoir fluid withdrawal and reinjection. Geothermal resources in the western U.S. were extensively explored during the 1960s. Limited development operations included exploratory drilling and operating wells producing hot brine, separating steam for experimental electric power generation, and recovering minerals in solar evaporation ponds or in extraction plants. Interest in the recovery of minerals and salts from geothermal fluids waned because of corrosion and scaling problems and low or no market value of the mineral products. Most of these problems can be controlled with existing technology and careful planning of processes and equipment. (67 refs.)","","","","","","United States","1974-01-01T00:00:00Z","English","Journal Article","","Journal Name: Inf. Circ. - U.S., Bur. Mines; (United States); Journal Volume: 8638","","Medium: X; Size: Pages: 28","","","","Journal ID: CODEN: XIMIA","","","2009-12-17T00:00:00Z","6636729","https://www.osti.gov/biblio/6636729","","Inf. Circ. - U.S., Bur. Mines; (United States)","","8638"
"Simulation of geyser systems","Merzhanov, A G; Steynberg, A S; Steynberg, G S","15 GEOTHERMAL ENERGY; GEYSERS; SEISMIC EFFECTS; SIMULATION; EQUILIBRIUM; FLUID FLOW; STRUCTURAL MODELS; 150200* - Geology & Hydrology of Geothermal Systems","The system is shown to be in a nonequilibrium metastable stage before the liquid ejection; in P-T coordinates, the liquid in the working chamber of the geyser has a temperature appreciably above that corresponding to the pressure in the chamber. The equilibrium is restored during the ejection, but it again is disrupted afterwards. A study has been made of the response of a geyser model to seismic effects, and it has been found that the metastability of the liquid in the system is due to the high sensitivity of the geyser state to seismic vibrations. Cavitation arises in the superheated liquid in response to the weak seismic vibrations, which leads to ejection. The relationship between the superheating and the threshold seismic energy for ejection is derived, and it is found that a linear temperature increase in the working chamber corresponds to exponential fall in the seismic energy necessary to initiate an ejection. A physical explanation has been given for the reported change in the natural period of a geyser before strong earth tremors in the adjacent region. It is found that the increase in the stress concentration in the crust regularly influences the natural period of the geyser. The trend can be used for seismic forecasting.","","","Volcanology Inst., Moscow","","","United States","1974-01-01T00:00:00Z","English","Journal Article","","Journal Name: Geochem. Int.; (United States); Journal Volume: 11:1; Other Information: Translated from Geokhimiya; No. 2, 277-290(1974)","","Medium: X; Size: Pages: 200-220","","","","Journal ID: CODEN: GCINA","","","2009-12-17T00:00:00Z","7194304","https://www.osti.gov/biblio/7194304","","Geochem. Int.; (United States)","","11:1"
"Corrosion resistance of chrome--nickel steels of the type 21Cr5Ni in sea water","Korovin, Yu M; Ulanovskii, I B","36 MATERIALS SCIENCE; 15 GEOTHERMAL ENERGY; CHROMIUM-NICKEL STEELS; CORROSION RESISTANCE; SEAWATER; CORROSIVE EFFECTS; CARBON; CORROSION; PH VALUE; ALLOYS; CHEMICAL REACTIONS; CHROMIUM ALLOYS; CHROMIUM STEELS; ELEMENTS; HYDROGEN COMPOUNDS; IRON ALLOYS; IRON BASE ALLOYS; NICKEL ALLOYS; NONMETALS; OXYGEN COMPOUNDS; STEELS; WATER; 360105* - Metals & Alloys- Corrosion & Erosion; 150903 - Geothermal Engineering- Corrosion, Scaling & Materials Development","Data on the corrosion of integral and welded specimens of steels with 21 percent chromium; for comparison we have chosen steel /sup 18/Cr/sup 9/NiTi. The integral and welded specimens were quenched in water from 1000, 980, 1000, 1000, 1080 C. The pH of the water was reduced by adding HCl. In seawater, corrosion was local: failure arose mainly under the acorn barnacles--about 85 percent. No intercrystalline corrosion was observed. Except in the case of /sup 21/Cr/sup 6/Ni/sup 2/MoTi, which was 2-3 times more stable owing to presence of molybdenum, the corrosion of the integral specimens differed little. Increasing the carbon content of steel /sup 21/Cr/sup 5/Ni from 0.04 to 0.12 percent led to about a 15 percent increase in corrosion, reduction of nickel to 3 percent did not affect the stability of the steel. Chemical composition had a more marked influence in the welded specimens. The corrosion of the welded specimens was 1.5-2 times greater than that of the integral ones. There were no grounds for intensification of corrosion under the acorn barnacles of any of the zones in question. Thus, the pH at which there was a sudden marked shift of the potential toward the negative and the potentials at these pH values for the bulk metal, the zone near the seam and the weld seam were fairly close together. From the observed characteristics we cannot explain the greater corrosion of welded specimens in comparison with the integral ones. This phenomenon is due to the fact that under seawater the weld seam, owing to the rough surface, crevices rapidly arise, whereas on a smooth surface they arise only after a long time, because in these conditions acorn barnacles are attached very tightly.","","","Inst. of Oceanology, Moscow","","","United States","1974-01-01T00:00:00Z","English","Journal Article","","Journal Name: Prot. Met. (USSR) (Engl. Transl.); (United States); Journal Volume: 10:5","","Medium: X; Size: Pages: 568-570","","","","Journal ID: CODEN: PINMA","","","2009-12-17T00:00:00Z","7366438","https://www.osti.gov/biblio/7366438","","Prot. Met. (USSR) (Engl. Transl.); (United States)","","10:5"
"Geothermal resources: leasing on public, acquired, and withdrawn lands. [Geothermal resources: leasing on public, acquired and withdrawn lands; 30CFR270]","","15 GEOTHERMAL ENERGY; 29 ENERGY PLANNING, POLICY AND ECONOMY; GEOTHERMAL RESOURCES; LAND LEASING; REGULATIONS; GOVERNMENT POLICIES; IMPLEMENTATION; LAND USE; LEASES; LEGAL ASPECTS; PUBLIC LANDS; US DOI; USA; LEASING; NATIONAL ORGANIZATIONS; NORTH AMERICA; RESOURCES; US ORGANIZATIONS; 150400* - Geothermal Energy- Legislation & Regulations; 293000 - Energy Planning & Policy- Policy, Legislation, & Regulation; 299002 - Energy Planning & Policy- Geothermal- (-1989)","Text of leasing regulations for public, acquired and withdrawn lands is presented. Regulations became effective January 1, 1974. (PCS)","","","","","","United States","1973-12-21T00:00:00Z","English","Journal Article","","Journal Name: Fed. Regist. (Wash., D.C.); (United States); Journal Volume: 38:245; Other Information: From Mineral Resources, 30CFR270; 30CFR271, Geological Survey, Dept. of the Interior. Geothermal resources operations on public lands, acquired, and withdrawn lands. Geothermal resources unit plan regulations","","Medium: X; Size: Pages: 35068-35073","","","","Journal ID: CODEN: FEREA","","","2009-12-16T00:00:00Z","5322244","https://www.osti.gov/biblio/5322244","","Fed. Regist. (Wash., D.C.); (United States)","","38:245"
"Geothermal resources leasing: general. [Public Lands: Interior, 43CFR3200, Bureau of Land Management]","","15 GEOTHERMAL ENERGY; 29 ENERGY PLANNING, POLICY AND ECONOMY; GEOTHERMAL RESOURCES; LAND LEASING; REGULATIONS; EXPLOITATION; GOVERNMENT POLICIES; IMPLEMENTATION; LEASES; PUBLIC LANDS; USA; LEASING; NORTH AMERICA; RESOURCES; 150400* - Geothermal Energy- Legislation & Regulations; 150500 - Geothermal Energy- Economics, Industrial, & Business Aspects; 299002 - Energy Planning & Policy- Geothermal- (-1989); 293000 - Energy Planning & Policy- Policy, Legislation, & Regulation","These regulations are issued pursuant to the Geothermal Steam Act of 1970 (84 Stat. 1566; 30 USC 1001-1025) and rights to develop and utilize geothermal resources in land subject to these regulations may be acquired only in accordance with these regulations.","","","","","","United States","1973-12-21T00:00:00Z","English","Journal Article","","Journal Name: Fed. Regist. (Wash., D.C.); (United States); Journal Volume: 38","","Medium: X; Size: Pages: 387-420","","","","Journal ID: CODEN: FEREA","","","2009-12-16T00:00:00Z","5198574","https://www.osti.gov/biblio/5198574","","Fed. Regist. (Wash., D.C.); (United States)","","38"
"Tax treatment of exploring and developing geothermal resources","Eisenstat, S M","15 GEOTHERMAL ENERGY; 29 ENERGY PLANNING, POLICY AND ECONOMY; GEOTHERMAL RESOURCES; EXPLOITATION; LEGAL ASPECTS; TAXES; CASE LAW; COMPARATIVE EVALUATIONS; ECONOMICS; FINANCING; GOVERNMENT POLICIES; LAWS; NATURAL GAS INDUSTRY; PETROLEUM INDUSTRY; INDUSTRY; RESOURCES; 150400* - Geothermal Energy- Legislation & Regulations; 150500 - Geothermal Energy- Economics, Industrial, & Business Aspects; 293000 - Energy Planning & Policy- Policy, Legislation, & Regulation; 299002 - Energy Planning & Policy- Geothermal- (-1989)","Exploration and development of geothermal resources should be subject to the same tax treatment as exploration and development of oil and gas. To permit certain tax treatment where the geothermal resource is steam and to deny comparable treatment when the resource is superheated water is without basis. (PCS)","","","","","","United States","1973-09-01T00:00:00Z","English","Journal Article","","Journal Name: Oil and Gas Tax Quart.; (United States); Journal Volume: 22","","Medium: X; Size: Pages: 76-81","","","","","","","2009-12-16T00:00:00Z","5228117","https://www.osti.gov/biblio/5228117","","Oil and Gas Tax Quart.; (United States)","","22"
