"TITLE","AUTHORS","SUBJECT","DESCRIPTION","PUBLISHER","AVAILABILITY","RESEARCH_ORG","SPONSORING_ORG","CONTRIBUTING_ORG","PUBLICATION_COUNTRY","PUBLICATION_DATE","LANGUAGE","RESOURCE_TYPE","TYPE_QUALIFIER","RELATION","COVERAGE","FORMAT","IDENTIFIER","REPORT_NUMBER","DOE_CONTRACT_NUMBER","OTHER_IDENTIFIER","DOI","RIGHTS","ENTRY_DATE","OSTI_IDENTIFIER","CITATION_URL","PURL_URL","JOURNAL_NAME","JOURNAL_ISSUE","JOURNAL_VOLUME"
"Corrosion-Resistant Plug Materials for Geothermal Well Fluid Control","Lowry, Bill; Louden, Andrew; Jerman, Robin; Pyatina, Tatiana","15 GEOTHERMAL ENERGY; 36 MATERIALS SCIENCE; 02 PETROLEUM; 03 NATURAL GAS; thermite-based sealers; corrosion resistant well materials; cement alternatives; geothermal wells; CO2 resistant well materials; thermal shock; anorthite; mullite; aluminosilicate sealer; CO<sub>2</sub> resistant well materials","Conventional cements and plugs are challenged by corrosion in CO<sub>2</sub>-rich and extreme geothermal environments, due to the hostile chemistry and high temperatures. Thermite-based sealing and well intervention technologies are being applied in the oil and gas industry, combining the energy delivery capability of thermite materials with the sealing characteristics of low melt temperature alloys. The thermite reaction products (ceramics) and the sealing alloys used in these plugs both have very attractive corrosion properties, and their operating envelopes extend into geothermal conditions. Thermite plugs and platforms, without supplemental sealing materials, have been considered for nuclear waste isolation, carbon sequestration, and geothermal applications due to the geochemical stability of the ceramic product and its very high service temperature. This study addresses corrosion resistance of the thermite reaction products. A range of engineered thermite systems which yield thermite reaction products including pure aluminum oxide, feldspar, or aluminosilicate solid solutions (in addition to the iron produced in thermite reactions) was developed. These materials were evaluated for their strong acid resistance (pH 1), carbonate resistance (sodium carbonate) and thermal shock resistance (600 °C heating → cold water quenching repeated three times). Performance of different materials was evaluated based on the changes in mechanical properties, water-fillable porosity, phase changes under stress conditions. The aluminosilicate product exhibited very good corrosion resistance, both from material loss and strength perspectives, while the other products performed with varying degrees of stability. This paper presents the results of the thermite corrosion studies and describes the novel tools being deployed, and under development, to satisfy challenging barrier and intervention applications.","MDPI","","isol8 Inc., Port Townsend, WA (United States); Brookhaven National Lab. (BNL), Upton, NY (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Renewable Power Office. Geothermal Technologies Office; USDOE Office of Science (SC), Basic Energy Sciences (BES)","","United States","2022-09-27T00:00:00Z","English","Journal Article","","Journal Name: Materials; Journal Volume: 15; Journal Issue: 19","","Medium: ED; Size: Article No. 6703","","BNL-223503-2022-JAAM","SC0017209; SC0012704","Journal ID: ISSN 1996-1944","10.3390/ma15196703","","2023-04-13T00:00:00Z","1968586","https://www.osti.gov/biblio/1968586","https://www.osti.gov/servlets/purl/1968586","Materials","19","15"
"A machine learning model for predicting the minimum miscibility pressure of CO<sub>2</sub> and crude oil system based on a support vector machine algorithm approach","Chen, Hao; Zhang, Chao; Jia, Ninghong; Duncan, Ian; Yang, Shenglai; Yang, YongZhi","42 ENGINEERING; 97 MATHEMATICS AND COMPUTING; 02 PETROLEUM; Energy & Fuels; Engineering; Machine learning; Minimum miscible pressure; Prediction model; Support vector machine; The impure CO<sub>2</sub>","CO<sub>2</sub> enhanced oil recovery (EOR) is a potential way for carbon capture, utilization and storage (CCUS). Though, the effect of CO<sub>2</sub> injection is greatly influenced by the reservoir conditions. Typically, Minimum miscible pressure (MMP) is selected as one of the key parameters for the screening and evaluation of prospective CO<sub>2</sub> flooding. Conventional slim tube test is both accurate and widely accepted but it is inefficient. Existing empirical formulas for MMPs are easy to be used but have been proved inaccurate and unreliable. Machine learning-based methods have great advantages in predicting MMP. However, only predication accuracy is discussed for most models without the screening of the main control factors and further validation of the model reliability. In this paper, a new prediction model based on support vector machine (SVM) was developed for pure/impure CO<sub>2</sub> and crude oil system. This study was based on 147 sets of MMP data from the literature with full information on reservoir temperature, oil composition and gas composition. The main control factors were screened by several statistical methods. Unlike the conventional prediction models that verified by only prediction accuracy, learning curve and single factor control variable analysis are further validated to obtain the optimum model.","Elsevier","","Univ. of Texas, Austin, TX (United States)","USDOE Office of Fossil Energy (FE); China Natural Science Foundation","","United States","2020-12-30T00:00:00Z","English","Journal Article","","Journal Name: Fuel; Journal Volume: 290; Journal Issue: C","","Medium: ED; Size: Article No. 120048","","","FE0024375; 51704303; 3173044; 2015-YXKJ-001; 2016ZX05016005","Journal ID: ISSN 0016-2361; PII: S0016236120330453","10.1016/j.fuel.2020.120048","","2022-06-29T00:00:00Z","1849150","https://www.osti.gov/biblio/1849150","https://www.osti.gov/servlets/purl/1849150","Fuel","C","290"
"Pressure falloff testing to characterize CO<sub>2</sub> plume and dry-out zone during CO<sub>2</sub> injection in saline aquifers","Abdelaal, Mohamed; Zeidouni, Mehdi","42 ENGINEERING; 02 PETROLEUM; Energy & fuels; Engineering; Pressure falloff testing; CO<sub>2</sub> plume extent; Dry-out zone extent/mobility","The fluid mobilities and the lateral extent of the CO<sub>2</sub> plume and the dry-out zone are among important unknowns required to effectively manage CO<sub>2</sub> storage in saline aquifers projects. These unknowns can be derived from pressure falloff testing which has been widely used to characterize the subsurface. This paper provides a three-region analytical solution for falloff pressure during the infinite-acting period of CO<sub>2</sub> injection in saline aquifers. The solution is derived using Laplace transformation technique of the governing diffusivity equations and the accompanying initial and boundary conditions. The exact solution is validated against numerical results obtained from a black-oil reservoir simulator for two cases. The solution is approximated into simple forms in real-time domain considering different time periods. Then, a graphical semi-log analysis technique based on the approximate solutions is provided as an interpretation tool of falloff tests where the fluid mobilities and the extents of dry-out zone and CO<sub>2</sub> plume can be inferred. The interpretation technique is applied to synthetic falloff test data to investigate its potential and reliability.","Elsevier","","Southern States Energy Board, Peachtree Corners, GA (United States)","USDOE Office of Fossil Energy (FE)","","United States","2020-10-14T00:00:00Z","English","Journal Article","","Journal Name: International Journal of Greenhouse Gas Control; Journal Volume: 103; Journal Issue: C","","Medium: ED; Size: Article No. 103160","","","FE0031557; CFDA 81.089","Journal ID: ISSN 1750-5836; PII: S1750583620305855","10.1016/j.ijggc.2020.103160","","2022-08-29T00:00:00Z","1849262","https://www.osti.gov/biblio/1849262","https://www.osti.gov/servlets/purl/1849262","International Journal of Greenhouse Gas Control","C","103"
"Autoignition of gasoline surrogates mixtures at intermediate temperatures and high pressures","Fikri, M; Herzler, J; Starke, R; Schulz, C; Roth, P; Kalghatgi, G T","02 PETROLEUM; PRESSURE RANGE MEGA PA 01-10; AUTOIGNITION; HEPTANE; MIXTURES; ETHANOL; OCTANE; TOLUENE; AIR; VALIDATION; 2-METHYLPROPENE; STOICHIOMETRY; TEMPERATURE RANGE 0400-1000 K; TEMPERATURE RANGE 1000-4000 K","Ignition times were determined in high-pressure shock-tube experiments for various stoichiometric mixtures of two multicomponent model fuels in air for the validation of ignition delay simulations based on chemical kinetic models. The fuel blends were n-heptane (18%)/isooctane (62%)/ethanol (20%) by liquid volume (14.5%/44.5%/41% by mole fraction) and n-heptane (20%)/toluene (45%)/isooctane (25%)/diisobutylene (10%) by liquid volume (17.5%/55%/19.5%/8.0% by mole fraction). These fuels have octane numbers comparable to a standard European gasoline of 95 RON and 85 MON. The experimental conditions cover temperatures from 690 to 1200 K and pressures at 10, 30, and 50 bar. The obtained ignition time data are scaled with respect to pressure and compared to previous results reported in the literature. (author)","","Available from: http://dx.doi.org/10.1016/j.combustflame.2007.07.010","","","","United States","2008-01-15T00:00:00Z","English","Journal Article","","Journal Name: Combustion and Flame; Journal Volume: 152; Journal Issue: 1-2; Other Information: Elsevier Ltd. All rights reserved","","Medium: X; Size: page(s) 276-281","","","","Journal ID: ISSN 0010-2180; CBFMAO; TRN: US08V0035","10.1016/J.COMBUSTFLAME.2007.07.010","","2010-06-03T00:00:00Z","20999340","https://www.osti.gov/biblio/20999340","","Combustion and Flame","1-2","152"
"Sustainable solid catalyst alkylation of commercial olefins by regeneration with supercritical isobutane","Ginosar, Daniel M; Thompson, David N; Burch, Kyle C","02 - PETROLEUM; 2-METHYLPROPANE; ALKENES; ALKYLATION; BUTADIENE; BUTENES; CATALYSTS; DEACTIVATION; MAINTENANCE; REGENERATION; SULFUR; ZEOLITES; alkylation; isobutane; olefins; regeneration","Supercritical isobutane regeneration of a USY zeolite alkylation catalyst was examined in a continuous, automated reaction / regeneration system. Two feeds were studied; a synthetic isobutane / 2-butene blend, and a commercial refinery isoparaffin / olefin blend. The refinery blend was minimally treated, containing a variety of light olefins, and contaminants, including butadiene, oxygenates and sulfur, which are well known to cause severe catalyst deactivation. Synthetic feed experiments showed that high levels of butene conversion was maintained for more than 200 hours time on stream, and that product quality and catalyst maintenance was relatively stable over the course of the experiment using a 3 hour reaction / 3 hour regeneration cycle. Catalyst activity maintenance was lower when the commercial feed was employed. High levels of alkene conversion were maintained for 78 hours and 192 hours using a 3 hour reaction / 3 hour regeneration cycle and a 2 hour reaction / 2 hour regeneration cycle, respectively.","","","Idaho National Lab. (INL), Idaho Falls, ID (United States)","DOE - FE","","United States","2005-12-01T00:00:00Z","English","Journal Article","","Journal Name: Industrial and Engineering Chemistry Research; Journal Volume: 45; Journal Issue: 2","","Medium: X; Size: 567-577","","INL/JOU-05-00486","DE-AC07-99ID-13727","Journal ID: ISSN 0888-5885; IECRED; TRN: US200801%%799","","","2009-12-16T00:00:00Z","912366","https://www.osti.gov/biblio/912366","","Industrial and Engineering Chemistry Research","2","45"
"Supercritical fluid removal of hydrocarbons adsorbed on wide pore zeolite catalysts","Petkovic, Lucia M; Ginosar, Daniel M; Burch, Kyle C","02 - PETROLEUM; 2-METHYLPROPANE; ALKYLATION; CATALYSTS; COKE; DEPOSITION; HYDROCARBONS; MORDENITE; OXIDATION; PORE STRUCTURE; REGENERATION; REMOVAL; SPECTROSCOPY; TRANSFORMATIONS; ZEOLITES; acidic zeolites; BEA; coke analysis; FAU; isobutane/butene alkylation; LTL; MOR; supercritical fluid regeneration","The effect of zeolite pore structure on coke removal by supercritical fluid regeneration (SFR) was studied on a series of wide pore zeolite catalysts, which included acidic Y, beta, L, and mordenite zeolites. Catalyst samples were deactivated under liquid phase isobutane/butene alkylation reaction conditions and treated under flowing supercritical isobutane for 60 min. The chemical nature of the species remaining on the catalyst surface before and after SFR was analyzed by temperature-programmed oxidation (TPO), diffuse reflectance infrared Fourier transform spectroscopy (DRIFTS), and ultraviolet-visible (UV-Vis) spectroscopy. Zeolite pore structure played an important role not only in hydrocarbon deposition during alkylation but also in hydrocarbon transformation and removal during SFR. During SFR, the formation of unsaturated cyclic or polycyclic compounds, which likely affects catalyst long-term activity after cyclic alkylation/SFR treatments, was hindered on beta zeolites and favored on catalysts containing periodic expansions or cages, such as Y and L zeolites.","","","Idaho National Lab. (INL), Idaho Falls, ID (United States)","USDOE","","United States","2005-06-01T00:00:00Z","English","Journal Article","","Journal Name: Journal of Catalysis; Journal Volume: 234; Journal Issue: 2","","Medium: X; Size: 328 - 339","","INEEL/JOU-05-02657","DE-AC07-99ID-13727","Journal ID: ISSN 0021-9517; JCTLA5; TRN: US200801%%784","10.1016/j.jcat.2005.06.027","","2016-06-20T00:00:00Z","912349","https://www.osti.gov/biblio/912349","","Journal of Catalysis","2","234"
"Extended Catalyst Longevity Via Supercritical Isobutane Regeneration of a Partially Deactivated USY Alkylation Catalyst","Ginosar, Daniel M; Thompson, David N; Burch, Kyle C; Zalewski, David J","02 - PETROLEUM; 2-METHYLPROPANE; ALKYLATION; BUTENES; CATALYSTS; REGENERATION; ZEOLITES; Alkylation; isoparaffin; regeneration; solid acid catalyst; supercritical fluid; trimethylpentane","Off-line, in situ activity recovery of a partially deactivated USY zeolite catalyst used for isobutane/butene alkylation was examined in a continuous-flow reaction system employing supercritical isobutane. Catalyst samples were deactivated in a controlled manner by running them to either to a fixed butene conversion level of 95% or a fixed time on stream of three hours, and then exposing the catalyst to supercritical isobutane to restore activity. Activity recovery was determined by comparing alkylation activity before and after the regeneration step. Both single and multiple regenerations were performed. Use of a 95% butene conversion level criterion to terminate the reaction step afforded 86% activity recovery for a single regeneration and provided nine sequential reaction steps for the multiple regeneration studies. Employing a fixed 3 h time on stream criterion resulted in nearly complete activity recovery for a single regeneration, and 24 reaction steps were demonstrated in sequence for the multiple regeneration process, producing only minor product yield declines per step. This resulted in a 12-fold increase in catalyst longevity versus unregenerated catalyst.","","","Idaho National Lab. (INL), Idaho Falls, ID (United States)","DOE - FE","","United States","2005-05-01T00:00:00Z","English","Journal Article","","Journal Name: Industrial and Engineering Chemistry Research; Journal Volume: 44; Journal Issue: 13","","Medium: X; Size: 4534-4542","","INL/JOU-05-00010","DE-AC07-99ID-13727","Journal ID: ISSN 0888-5885; IECRED; TRN: US200801%%786","","","2009-12-16T00:00:00Z","912351","https://www.osti.gov/biblio/912351","","Industrial and Engineering Chemistry Research","13","44"
"Regeneration of a deactivated USY alkylation catalyst using supercritical isobutane","Ginosar, Daniel M; Ghompson, David N; Burch, Kyle C","02 - PETROLEUM; 2-METHYLPROPANE; AGING; ALKYLATION; BUTENES; CATALYSTS; COKE; DESORPTION; HYDRIDES; REGENERATION; SOLVENTS; ZEOLITES; Alkylation; Isoparaffin; Regeneration; Solid acid catalyst; Supercritical fluid; Trimethylpentane","Off-line, in-situ alkylation activity recovery from a completely deactivated solid acid catalyst was examined in a continuous-flow reaction system employing supercritical isobutane. A USY zeolite catalyst was initially deactivated during the liquid phase alkylation of butene with isobutane in a single-pass reactor and then varying amounts of alkylation activity were recovered by passing supercritical isobutane over the catalyst bed at different reactivation conditions. Temperature, pressure and regeneration time were found to play important roles in the supercritical isobutane regeneration process when applied to a completely deactivated USY zeolite alkylation catalyst. Manipulation of the variables that influence solvent strength, diffusivity, surface desorption, hydride transfer rates, and coke aging, strongly influence regeneration effectiveness.","","","Idaho National Lab. (INL), Idaho Falls, ID (United States)","DOE - FE","","United States","2005-01-01T00:00:00Z","English","Journal Article","","Journal Name: Applied Catalysis A: General; Journal Volume: 279; Journal Issue: 1-2","","Medium: X; Size: 109-116","","INEEL/JOU-04-02003","DE-AC07-99ID-13727","TRN: US200801%%729","","","2009-12-16T00:00:00Z","912290","https://www.osti.gov/biblio/912290","","Applied Catalysis A: General","1-2","279"
"The effect of supercritical isobutane regeneration on the nature of hydrocarbons deposited on a USY zeolite catalyst utilized for isobutane/butene alkylation","Ginosar, Daniel M; Petkovic, Lucia M","02 - PETROLEUM; 2-METHYLPROPANE; ALKYLATION; CATALYSTS; COKE; HYDROCARBONS; NITROGEN; OXIDATION; PRODUCTION; REGENERATION; SPECTROSCOPY; SURFACE AREA; ZEOLITES; coke analysis; isobutane/butene alkylation; supercritical fluid regeneration; USY zeolite","The chemical nature of hydrocarbons remaining on an ultrastable Y-zeolite (USY) utilized for liquid phase isobutane/butene alkylation reaction at 333 K and 1.1x107 Pa before and after supercritical isobutane regeneration (SFR) at 453 K and 1.1x107 Pa are presented. Catalyst samples were deactivated to different levels by running the alkylation reaction for different times on stream (TOS) and regenerated under flowing supercritical isobutane for 60 min. Nitrogen physisorption, temperature-programmed oxidation (TPO), diffuse reflectance infrared Fourier transform spectroscopy (DRIFTS), and ultraviolet-visible (UV-Vis) spectroscopy measurements suggested that the SFR process was effective in recovering catalyst surface area and micropore volume and that most coke precursors were removed from samples regenerated after short TOS, when the level of activity for trimethylpentanes (TMP) production was high. Samples that were allowed to react for longer TOS contained unsaturated hydrocarbons that, instead of being extracted by the supercritical fluid, dehydrogenated during the SFR process to produce more condensed species.","","","Idaho National Lab. (INL), Idaho Falls, ID (United States)","USDOE","","United States","2004-11-01T00:00:00Z","English","Journal Article","","Journal Name: Applied Catalysis A: General; Journal Volume: 275; Journal Issue: 1-2","","Medium: X; Size: 235-245","","INEEL/JOU-04-01915","DE-AC07-99ID-13727","TRN: US200801%%721","","","2009-12-16T00:00:00Z","912282","https://www.osti.gov/biblio/912282","","Applied Catalysis A: General","1-2","275"
"Interaction of neopentyl thiol with clean and dry oxygen-modified Fe(100) surfaces","Meagher, K K; Bocarsly, A B; Bernasek, S L; Ramanarayanan, T A","02 PETROLEUM; IRON; CATALYTIC EFFECTS; DECOMPOSITION; THIOLS; CHEMICAL BONDS; CLEAVAGE; 2-2-DIMETHYLPROPANE; 2-METHYLPROPENE; CHEMICAL REACTION KINETICS; DESULFURIZATION","The decomposition of neopentyl thiol on clean and oxygen-modified Fe(100) surfaces has been investigated under ultrahigh vacuum conditions using temperature-programmed reaction spectroscopy, Auger electron spectroscopy, and high-resolution electron energy loss spectroscopy. On the clean Fe(100) surface upon adsorption at 100 K, the S-H and C-S bonds of the neopentyl thiol cleave, resulting in adsorbed S, H, and neopentyl alkyl fragments, in contrast to the formation of the alkyl thiolate observed on the adsorption of n-alkane thiols on this surface. Upon heating, some neopentyl alkyl fragments react with adsorbed surface hydrogen to evolve neopentane at 260 K. On the oxygen-modified surface, only S-H bond cleavage is observed, and a neopentyl thiolate surface species is formed. No initial neopentane evolution from the oxygen-modified surface is observed upon heating. However, on both surfaces, isobutene and trace amounts of neopentane are seen to desorb at 380 K as a result of an elimination reaction pathway for the majority of the remaining neopentyl hydrocarbon species. Small hydrocarbon fragments remain on the surface until they finally decompose to leave atomic carbon and sulfur on the iron surface at 500 K.","","","Princeton Univ., NJ (US)","USDOE","","United States","2000-04-13T00:00:00Z","English","Journal Article","","Journal Name: Journal of Physical Chemistry B: Materials, Surfaces, Interfaces, amp Biophysical; Journal Volume: 104; Journal Issue: 14; Other Information: PBD: 13 Apr 2000","","Medium: X; Size: page(s) 3320-3326","","","","Journal ID: ISSN 1089-5647; JPCBFK; TRN: IM200023%%375","10.1021/jp993335f","","2010-06-03T00:00:00Z","20034447","https://www.osti.gov/biblio/20034447","","Journal of Physical Chemistry B: Materials, Surfaces, Interfaces, amp Biophysical","14","104"
