"TITLE","AUTHORS","SUBJECT","DESCRIPTION","PUBLISHER","AVAILABILITY","RESEARCH_ORG","SPONSORING_ORG","CONTRIBUTING_ORG","PUBLICATION_COUNTRY","PUBLICATION_DATE","LANGUAGE","RESOURCE_TYPE","TYPE_QUALIFIER","RELATION","COVERAGE","FORMAT","IDENTIFIER","REPORT_NUMBER","DOE_CONTRACT_NUMBER","OTHER_IDENTIFIER","DOI","RIGHTS","ENTRY_DATE","OSTI_IDENTIFIER","CITATION_URL","PURL_URL","JOURNAL_NAME","JOURNAL_ISSUE","JOURNAL_VOLUME"
"3D printed triply periodic minimal surfaces as advanced structured packings for solvent-based CO <sub>2</sub> capture","Ellebracht, Nathan C.; Roy, Pratanu; Moore, Thomas; Gongora, Aldair E.; Oyarzun, Diego I.; Stolaroff, Joshuah K.; Nguyen, Du T.","42 ENGINEERING; 20 FOSSIL-FUELED POWER PLANTS","Point-source CO<sub>2</sub> capture is a critical technology for industrial decarbonization and certain CO<sub>2</sub> removal processes. Solvent-based CO<sub>2</sub> absorption is a mature process, but the capital investment and energy requirements are substantial, especially when economic drivers for its deployment are tenuous. We utilized additive manufacturing and computational fluid dynamics to screen and prototype structured packings in the vast design space accessible via advanced manufacturing and computer-aided design. 3D-printed triply periodic minimal surfaces (TPMS) were tested as advanced packing geometries for CO<sub>2</sub> capture from simulated flue gas (10% CO<sub>2</sub>) and evaluated alongside a representative industrial packing geometry, Mellapak 250Y. 1D model fits of experimental absorption data revealed 49–61% increases in mass transfer performance (k<sub>L</sub>a<sub>eff</sub>) and 91–140% increases in effective gas–liquid interfacial area in TPMS packings (Gyroid and Schwarz-D) compared to 250Y. These advanced structured packings also featured similar or better maximum fluid loads and pressure drops than 250Y, reinforcing their industrial potential. Together with the capability to natively distribute fluid shown by the TPMS geometries, the performance improvements realized could reduce absorber capital costs by more than 30%.","Royal Society of Chemistry (RSC)","","Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States)","USDOE National Nuclear Security Administration (NNSA); USDOE Laboratory Directed Research and Development (LDRD) Program; USDOE Office of Fossil Energy and Carbon Management (FECM)","","United Kingdom","2023-04-12T00:00:00Z","English","Journal Article","","Journal Name: Energy & Environmental Science Journal Volume: 16 Journal Issue: 4","","Medium: X; Size: p. 1752-1762","","LLNL-JRNL-836735","AC52-09NA27344; AC52-07NA27344; FWP-FEW0225","Journal ID: ISSN 1754-5692; EESNBY","10.1039/D2EE03658D","","2023-04-14T00:00:00Z","1962122","https://www.osti.gov/biblio/1962122","","Energy & Environmental Science","4","16"
"Micropatterning of alumina tubular membranes via laser carving for enhanced direct air capture","Wang, Jinwen; Gao, Xin; Omosebi, Ayokunle; Zhu, Feng; Thompson, Jesse; Patrick, Aron; Liu, Kunlei","20 FOSSIL-FUELED POWER PLANTS; Direct air capture; Alumina; Tubular membrane; Micropattern; Laser carving; Membrane contactor","An approach for preparing and applying micropatterned alumina tubular membranes was developed for improved gas-liquid contact at low air pressure drop in direct air capture application. The paper demonstrated that the laser carving of micropatterns on the outer surface of the alumina tubular membranes could greatly increase their outer surface area and enhance gas-liquid turbulence for a reduced diffusion mass transfer resistance. Six kinds of micropattern configurations were fabricated and studied, including random and regular micropatterns. By introducing a 500-μm solid grid micropattern, the outer surface area doubles and enhances carbon dioxide capture efficiency from 61% to 97% after the membrane was hydrophobically modified with fluoroalkylsilane. Here, the air pressure drop through the tube lumen remained low even when the packing density increased from 382 to 906 m<sup>2</sup>/m<sup>3</sup>. The liquid entry pressure of this micropatterned membrane was the same after testing for 220 h running with the help of periodic drying.","Wiley","","Univ. of Kentucky, Lexington, KY (United States)","USDOE","","United States","2023-03-15T00:00:00Z","English","Journal Article","","Journal Name: International Journal of Applied Ceramic Technology","","Medium: ED","","","FE0031962; DE‐FE0031962","Journal ID: ISSN 1546-542X","10.1111/ijac.14390","","2023-04-13T00:00:00Z","1968579","https://www.osti.gov/biblio/1968579","","International Journal of Applied Ceramic Technology","",""
"NOx formation from ammonia, and its effects on oxy-combustion of hydrocarbon fuels under supercritical-CO2 conditions","Gokulakrishnan, Ponnuthurai; Shao, Jiankun; Klassen, Michael S.; Davidson, David F.; Hanson, Ronald K. (ORCID:0000000280305327)","30 DIRECT ENERGY CONVERSION; 20 FOSSIL-FUELED POWER PLANTS; 03 NATURAL GAS; 10 SYNTHETIC FUELS; high-pressure oxy-combustion; super-critical CO2; shock tubes; chemical kinetics; mechanism; ammonia","NO<sub>x</sub> formation from ammonia impurities and its effects on fuel oxidation is not well understood for high-pressure supercritical CO<sub>2</sub> oxy-combustion conditions. This effect is investigated computationally and experimentally in the present work. A chemical kinetic analysis revealed that the reaction between NH radical and CO<sub>2</sub> plays an important role in determining the rate of NO<sub>x</sub> formation at these conditions. It was also found that a significant reduction in the NO<sub>x</sub> formation from ammonia oxidation occurs with sCO<sub>2</sub> oxy-combustion at 300 atm when compared to traditional gas turbine conditions. A chemical reactor network simulation of realistic sCO<sub>2</sub> cycle conditions confirmed the reduced NO<sub>x</sub> emissions. Monte Carlo simulations used to study the sensitivity of model input variables on the emissions showed that CO<sub>2</sub> cooling impacts the CO emissions while most of the NO<sub>x</sub> are generated in the flame zone. Uncertainty analysis showed that the reaction between NH and CO<sub>2</sub> to form HNO radical is an important contributor to the model uncertainty under sCO<sub>2</sub> oxy-combustion conditions. The presence of combustion-generated NO<sub>x</sub> in the recycled-CO<sub>2</sub> can impact the fuel oxidation in the primary zone of the combustor. Hence, to understand the effect of NO<sub>x</sub> on ignition, high-pressure shock tube ignition delay time experiments were performed at conditions relevant to sCO<sub>2</sub> oxy-combustion. The ignition delay time measurements were made for syngas and CH<sub>4</sub> fuels with and without NO addition under supercritical conditions using CO<sub>2</sub> as the bulk diluent at nominal pressures around 100 atm. Experimental data showed that the presence of NO promotes ignition at these conditions. The effect is more pronounced for CH<sub>4</sub> compared to syngas. Nitric oxide acts as a chemical catalyst to promote ignition by increasing the combustion radical pool. The catalytic cycle involves the conversion of NO to NO<sub>2</sub> which also contributes to CH<sub>4</sub> oxidation by H-atom abstraction to generate CH<sub>3</sub> radical.","Elsevier","","Combustion Science & Engineering, Inc., Columbia, MD (United States)","USDOE Office of Science (SC), Engineering & Technology. Office of Small Business Innovation Research (SBIR) and Small Business Technology Transfer (STTR) Programs","","United Kingdom","2023-03-01T00:00:00Z","English","Journal Article","","Journal Name: Applications in Energy and Combustion Science Journal Volume: 13 Journal Issue: C","","Medium: X; Size: Article No. 100110","","","SC0019634","Journal ID: ISSN 2666-352X; S2666352X2200053X; 100110; PII: S2666352X2200053X","10.1016/j.jaecs.2022.100110","","2023-01-03T00:00:00Z","1907314","https://www.osti.gov/biblio/1907314","","Applications in Energy and Combustion Science","C","13"
"Shock tube/laser absorption measurement of the rate constant of the reaction: H<sub>2</sub>O<sub>2</sub> + CO<sub>2</sub> 2OH + CO<sub>2</sub>","Shao, Jiankun; Choudhary, Rishav; Davidson, David F.; Hanson, Ronald K.","20 FOSSIL-FUELED POWER PLANTS; Hydrogen Peroxide Decomposition; Supercritical Carbon Dioxide; Reaction Rate Constant; Linear Mixing Rule","We address the role of the linear mixing rule in the kinetics of the H<sub>2</sub>O<sub>2</sub> decomposition system by reporting the rate constant for H<sub>2</sub>O<sub>2</sub> + M = 2OH + M (M = Ar and CO<sub>2</sub>) in the temperature range of 1087-1234 K at low pressures in a mixture of 20% CO<sub>2</sub> in Argon. The reaction rate constant was inferred from H<sub>2</sub>O concentrations monitored by using a laser-absorption spectroscopy-based water diagnostic. To the best of our knowledge, this is the first measurement of the rate constant of this reaction in a mixture to be reported in literature. A significant discrepancy was found between the rate constants derived using the traditional linear mixing rule and the reduced pressure linear mixing rule. Furthermore, this discrepancy can have serious implications on the predictive accuracy of these kinetic models, especially under conditions relevant to the operation of supercritical CO<sub>2</sub> (sCO<sub>2</sub>) power cycles that rely on oxy-fuel combustion in a working fluid comprised almost entirely of CO<sub>2</sub>.","Elsevier","","Stanford Univ., CA (United States)","USDOE","","United States","2022-10-01T00:00:00Z","English","Journal Article","","Journal Name: Proceedings of the Combustion Institute; Journal Volume: 39","","Medium: ED","","","SC0019634","Journal ID: ISSN 1540-7489","10.1016/j.proci.2022.08.021","","2023-02-06T00:00:00Z","1922952","https://www.osti.gov/biblio/1922952","","Proceedings of the Combustion Institute","","39"
"Evaluating the intrinsic resistance to balling of alloys: A High-throughput physics-informed and data-enabled approach","Vela, Brent; Mehalic, Seth; Sheikh, Sofia; Elwany, Alaa; Karaman, Ibrahim; Arróyave, Raymundo","36 MATERIALS SCIENCE; 20 FOSSIL-FUELED POWER PLANTS; Additive manufacturing; Alloy design; CALPHAD; Melting; Balling","To date, the vast majority of work on metal additive manufacturing (AM) has been framed in terms of the need to tune processing conditions for a particular AM technology in order to print conventional alloys, oftentimes developed for fabrication methods other than AM. This approach overlooks the fact that historically, many engineering alloy system has been designed with a particular processing route in mind, e.g., ingot metallurgy, powder metallurgy, rapid quenching, etc. There are thus significant opportunities to design alloys specifically for AM. A key challenge is that alloy design requires performance metrics that can be optimized by exploring the alloy chemistry space. Here, we present a study in which we examine how intrinsic thermophysical properties can be used to estimate performance metrics related to the behavior of a solidifying metal droplet under AM-relevant conditions. By identifying these intrinsic properties, it is possible to directly incorporate ‘intrinsic printability’, specifically ‘intrinsic resistance to balling’, into AM-focused alloy design.","Elsevier","","Texas A & M Univ., College Station, TX (United States)","USDOE Advanced Research Projects Agency - Energy (ARPA-E); National Science Foundation (NSF)","","United States","2022-08-13T00:00:00Z","English","Journal Article","","Journal Name: Additive Manufacturing Letters; Journal Volume: 3","","Medium: ED; Size: Article No. 100085","","","AR0001427; NSF-DGE-1545403","Journal ID: ISSN 2772-3690","10.1016/j.addlet.2022.100085","","2022-10-27T00:00:00Z","1894253","https://www.osti.gov/biblio/1894253","https://www.osti.gov/servlets/purl/1894253","Additive Manufacturing Letters","","3"
"TEA of a Unique Two-Pathways Process for Post-Combustion CO<sub>2</sub> Capture","Wang, Rui; Ashkanani, Husain E.; Li, Bingyun; Morsi, Badie I.","20 FOSSIL-FUELED POWER PLANTS; CO2 capture; sodium glycinate; packed-bed absorber; hydraulics; techno-economic analysis","A unique two-Pathways process using aqueous sodium glycinate for CO<sub>2</sub> capture from a split flue gas stream emitted from 600 MWe post-combustion coal power plant was developed in Aspen Plus v.10. The split gas flow rate used was 44.75 ton/h and contained 0.0023 mol% SO<sub>2</sub> and 13.33 mol% CO<sub>2</sub>. The process includes a washing unit, a CO<sub>2</sub> absorption unit, a reverse osmosis unit, and a solvent regeneration unit or an ultrafiltration unit. The washing unit uses deionized water to completely remove SO<sub>2</sub> and the CO<sub>2</sub> absorption unit uses SGS to capture at least 90 mol% of the CO<sub>2</sub> in the split flue gas stream. Upon CO<sub>2</sub> and SGS reactions, the resulting liquid products exhibit phase-separation into CO<sub>2</sub>-lean phase and CO<sub>2</sub>-rich phase, allow two distinct pathways. Pathway (i) is to regenerate mostly the CO<sub>2</sub>-rich phase, collect the released CO<sub>2</sub>, and compress it for sequestration purposes. Pathway (ii) is to send the liquid stream from the CO<sub>2</sub> absorption unit to the ultrafiltration unit to separate the solid nanomaterials. The hydraulics and mass transfer characteristics in the washing and CO<sub>2</sub> absorption units were obtained; and techno-economic analysis (TEA) for Pathways (i) and (ii), including Capital Expenditure (CAPEX), Operating Expenditure (OPEX), and Levelized Cost of CO<sub>2</sub> Captured (LCOC), were calculated and compared. The simulation results revealed that the CAPEX, OPEX, and LCOC for Pathway (i) were ($\$12,039,251$), (261 dollar/h), and (54.01 dollar/ton-CO<sub>2</sub> captured), respectively, and those for Pathway (ii) were ($\$5,908,000$), (237.2 dollar/h), and (39.90 dollar/ton-CO<sub>2</sub> captured), respectively. Moreover, in Pathway (ii), 8.19 ton/h of CO<sub>2</sub> were captured to produce 15.62 ton/h NaHCO<sub>3</sub> nanomaterials, which were sold to offset the overall process cost. The LCOC values indicate that Pathway (ii) is more cost-effective than Pathway (i) because LCOC values for Pathway (ii) are much lower than those for Pathway (i).COC values for Pathway (ii) are much lower than those for Pathway (i).</jats:p>","LIDSEN Publishing Inc.","","West Virginia Univ., Morgantown, WV (United States); Univ. of Pittsburgh, PA (United States)","USDOE Office of Fossil Energy (FE), Clean Coal and Carbon Management","","United States","2022-10-13T00:00:00Z","English","Journal Article","","Journal Name: Journal of Energy and Power Technology; Journal Volume: 04; Journal Issue: 04; Related Information: Aspen Plus","","Medium: ED; Size: p. 1-25","","","FE0031707","Journal ID: ISSN 2690-1692","10.21926/jept.2204033","","2022-11-11T00:00:00Z","1897193","https://www.osti.gov/biblio/1897193","https://www.osti.gov/servlets/purl/1897193","Journal of Energy and Power Technology","04","04"
"Heavy Duty Natural Gas Single Cylinder Research Engine Installation, Commissioning, and Baseline Testing","Rodriguez, Juan Felipe; Xu, Hui; Hampson, Greg; Windom, Bret; Marchese, Anthony; Olsen, Daniel B.","03 NATURAL GAS; 20 FOSSIL-FUELED POWER PLANTS; 42 ENGINEERING; Single Cylinder Engine; Heat Release; Heavy Duty; Natural Gas; End Gas Auto-Ignition","Natural Gas (NG) Internal Combustion Engines (ICE) are a promising alternative to diesel engines for on-road heavy-duty applications to reduce greenhouse gas and harmful pollutant emissions. NG engines have not been widely adopted due to the lower thermal efficiency compared with diesel engine counterparts. To develop the base knowledge required to reach the desired efficiency, a Single Cylinder Engine (SCE) is the most effective platform to acquire reliable and repeatable data. A SCE test cell was developed using a Cummins 15-liter six-cylinder heavy-duty engine block modified to fire one cylinder (2.5-liter displacement). A Woodward Large Engine Control Module (LECM) is integrated to permit implementation of real-time advanced combustion control. Intake and exhaust characteristics, fuel composition, and exhaust gas recirculated substitution rate (EGR) are fully adjustable. A high-speed data acquisition system acquires in-cylinder, intake, and exhaust pressure for combustion analysis. The baseline testing shows reliable and consistent results for engine thermal efficiency, indicated mean effective pressure (IMEP), and coefficient of variance of the IMEP over a wide range of operating conditions while achieving effective control of all engine control and operation variables. This test cell will be used to conduct a research program to develop new and innovative control algorithms and CFD optimized combustion chamber designs, allowing ultra-high efficiency and low emissions for NG ICE heavy-duty on-road applications.","Scientific Research Publishing Inc. (SCIRP)","","Colorado State Univ., Fort Collins, CO (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE)","","United States","2022-06-28T00:00:00Z","English","Journal Article","","Journal Name: Energy and Power Engineering; Journal Volume: 14; Journal Issue: 06","","Medium: ED; Size: p. 217-232","","","EE0008331","Journal ID: ISSN 1949-243X","10.4236/epe.2022.146012","","2022-08-01T00:00:00Z","1878354","https://www.osti.gov/biblio/1878354","https://www.osti.gov/servlets/purl/1878354","Energy and Power Engineering","06","14"
"Promoting CO<sub>2 </sub>Release from CO<sub>3</sub><sup>2-</sup>-Containing Solvents during Water Electrolysis for Direct Air Capture","Gao, Xin; Omosebi, Ayokunle; Perrone, Roger; Liu, Kunlei","36 MATERIALS SCIENCE; 20 FOSSIL-FUELED POWER PLANTS; Direct Air Capture; 54 ENVIRONMENTAL SCIENCES","The pH swings from water electrolysis are leveraged to condition OH<sup>–</sup>-based facile CO<sub>2</sub> capture solvents using an electrochemical flow cell for direct air capture (DAC). Besides demonstrating the DAC using a membrane contactor, promoting CO<sub>2</sub> release from a CO<sub>3</sub><sup>2–</sup> solution at the anode is specifically studied by adjusting the volumetric flow rate, anode chamber volume, residence time, and K<sub>2</sub>CO<sub>3</sub> concentration. Through case-by-case comparisons coupled with modeled results, increasing current, reducing volumetric flow rate, and/or reducing CO<sub>3</sub><sup>2– </sup>concentration are the effective methods to promote CO<sub>2</sub> release from a CO<sub>3</sub><sup>2–</sup>-containing solvent, whereas enlarging the anode chamber volume poses a minor effect. Moreover, the discrepancies between the experimental and modeled results may be caused by H<sup>+</sup> crossover rather than K<sup>+</sup> transport through the Nafion membrane during water electrolysis based upon the total alkalinity measurements for the K<sub>2</sub>CO<sub>3</sub> solutions gleaned from the anode. Here, it is believed that such results will provide guidance to design and operate an electrochemical flow cell for electrochemistry-assisted DAC and point source CO<sub>2</sub> capture.","IOP Publishing","","Univ. of Kentucky, Lexington, KY (United States)","USDOE","","United States","2022-04-27T00:00:00Z","English","Journal Article","","Journal Name: Journal of the Electrochemical Society; Journal Volume: 169; Journal Issue: 4","","Medium: ED; Size: Article No. 044527","","","FE0031962","Journal ID: ISSN 0013-4651","10.1149/1945-7111/ac5fef","","2023-04-28T00:00:00Z","1864649","https://www.osti.gov/biblio/1864649","https://www.osti.gov/servlets/purl/1864649","Journal of the Electrochemical Society","4","169"
"The Importance of Modeling Carbon Dioxide Transportation and Geologic Storage in Energy System Planning Tools","Ogland-Hand, Jonathan D.; Cohen, Stuart M.; Kammer, Ryan M.; Ellett, Kevin M.; Saar, Martin O.; Bennett, Jeffrey A.; Middleton, Richard S.","29 ENERGY PLANNING, POLICY, AND ECONOMY; 20 FOSSIL-FUELED POWER PLANTS; 58 GEOSCIENCES; energy system planning; ReEDS; SCO2T; CCS; supply curve; geologic CO2 storage","Energy system planning tools suggest that the cost and feasibility of climate-stabilizing energy transitions are sensitive to the cost of CO<sub>2</sub> capture and storage processes (CCS), but the representation of CO<sub>2</sub> transportation and geologic storage in these tools is often simple or non-existent. We develop the capability of producing dynamic-reservoir-simulation-based geologic CO<sub>2</sub> storage supply curves with the Sequestration of CO<sub>2</sub> Tool (SCO<sub>2</sub>T) and use it with the ReEDS electric sector planning model to investigate the effects of CO<sub>2</sub> transportation and geologic storage representation on energy system planning tool results. We use a locational case study of the Electric Reliability Council of Texas (ERCOT) region. Our results suggest that the cost of geologic CO<sub>2</sub> storage may be as low as $3/tCO<sub>2</sub> and that site-level assumptions may affect this cost by several dollars per tonne. At the grid level, the cost of geologic CO<sub>2</sub> storage has generally smaller effects compared to other assumptions (e.g., natural gas price), but small variations in this cost can change results (e.g., capacity deployment decisions) when policy renders CCS marginally competitive. The cost of CO<sub>2</sub> transportation generally affects the location of geologic CO<sub>2</sub> storage investment more than the quantity of CO<sub>2</sub> captured or the location of electricity generation investment. We conclude with a few recommendations for future energy system researchers when modeling CCS. For example, assuming a cost for geologic CO<sub>2</sub> storage (e.g., $5/tCO<sub>2</sub>) may be less consequential compared to assuming free storage by excluding it from the model.","Frontiers Media SA","","Carbon Solutions LLC, Bloomington, IN (United States); National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE Office of Science (SC), Engineering & Technology. Office of Small Business Innovation Research (SBIR) and Small Business Technology Transfer (STTR) Programs","","Switzerland","2022-04-08T00:00:00Z","English","Journal Article","","Journal Name: Frontiers in Energy Research Journal Volume: 10","","Medium: X","","NREL/JA-6A40-83591","SC0021570; AC36-08GO28308","Journal ID: ISSN 2296-598X; 855105","10.3389/fenrg.2022.855105","","2022-04-11T00:00:00Z","1862081","https://www.osti.gov/biblio/1862081","","Frontiers in Energy Research","","10"
"A Study of Propane Combustion in a Spark-Ignited Cooperative Fuel Research (CFR) Engine","Kar, Tanmay; Fosudo, Toluwalase; Slunecka, Colin; Marchese, Anthony; Windom, Bret; Olsen, Daniel","20 FOSSIL-FUELED POWER PLANTS","Liquefied petroleum gas (LPG), whose primary composition is propane, is a promising candidate for heavy-duty vehicle applications as a diesel fuel alternative due to its CO<sub>2</sub> reduction potential and high knock resistance. To realize diesel-like efficiencies, spark-ignited LPG engines are proposed to operate near knock-limit over a wide range of operating conditions, which necessitates an investigation of fuel-engine interactions that leads to end-gas autoignition with propane combustion. This work presents both experimental and numerical studies of stoichiometric propane combustion in a sparkignited (SI) cooperative fuel research (CFR) engine. Engine experiments are initially conducted at different compression ratio (CR) values, and the effects of CR on engine combustion are characterized. A three-pressure analysis (TPA) model based on the two-zone combustion concept is developed in GT-Power and validated using test results to estimate in-cylinder wall temperatures, residual gas fraction, etc. This model is further utilized to examine end-gas chemistry by enabling the SI turbulent flame combustion and unburned gas chemical kinetics modules. Finally, a three-dimensional (3D) computational fluid dynamic (CFD) model of the CFR engine is developed in CONVERGE, where the G-equation and SAGE detailed chemical kinetics models are implemented for combustion modeling. Here, a 153 species reduced chemical kinetics mechanism derived from the detailed NUIGMech1.1 mechanism based on the ignition delay and laminar flame speed (LFS) studies is used to generate an LFS lookup table and to describe end-gas autoignition chemistry. Multi-cycle Reynolds-averaged Navier-Stokes (RANS) simulations are then performed for the tested CRs, and the numerical model is shown to be capable of predicting the propane combustion characteristics, particularly the end-gas autoignition behavior.","SAE International","","Colorado State Univ., Fort Collins, CO (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE)","","United States","2022-03-29T00:00:00Z","English","Journal Article","","Journal Name: SAE Technical Paper Series; Conference: SAE WCX 2022","","Medium: ED","","","EE0009198","Journal ID: ISSN 0148-7191","10.4271/2022-01-0404","","2023-04-10T00:00:00Z","1862323","https://www.osti.gov/biblio/1862323","https://www.osti.gov/servlets/purl/1862323","SAE Technical Paper Series","",""
