"TITLE","AUTHORS","SUBJECT","DESCRIPTION","PUBLISHER","AVAILABILITY","RESEARCH_ORG","SPONSORING_ORG","CONTRIBUTING_ORG","PUBLICATION_COUNTRY","PUBLICATION_DATE","LANGUAGE","RESOURCE_TYPE","TYPE_QUALIFIER","RELATION","COVERAGE","FORMAT","IDENTIFIER","REPORT_NUMBER","DOE_CONTRACT_NUMBER","OTHER_IDENTIFIER","DOI","RIGHTS","ENTRY_DATE","OSTI_IDENTIFIER","CITATION_URL","PURL_URL","JOURNAL_NAME","JOURNAL_ISSUE","JOURNAL_VOLUME"
"Fuel Breeding and Core Behavior Analyses on In Core Fuel Management of Water Cooled Thorium Reactors","Permana, Sidik; Department of Physics, Bandung Institute of Technology, Gedung Fisika, Jl. Ganesha 10, Bandung 40132 (Indonesia)]; Sekimoto, Hiroshi; Waris, Abdul; Subhki, Muhamad Nurul; Ismail,","21 SPECIFIC NUCLEAR REACTORS AND ASSOCIATED PLANTS; BREEDER REACTORS; CONVERSION RATIO; COOLANTS; CRITICALITY; FISSILE MATERIALS; FISSION; FISSION PRODUCTS; FUEL CYCLE; FUEL SYSTEMS; FUELS; IRRADIATION; NEUTRON SPECTRA; REACTOR CORES; REACTOR OPERATION; SAFETY ANALYSIS; THORIUM CYCLE; THORIUM REACTORS; URANIUM 233; VOID COEFFICIENT; WATER COOLED REACTORS; ACTINIDE NUCLEI; ALPHA DECAY RADIOISOTOPES; DIMENSIONLESS NUMBERS; EVEN-ODD NUCLEI; FISSIONABLE MATERIALS; HEAVY ION DECAY RADIOISOTOPES; HEAVY NUCLEI; ISOTOPES; MATERIALS; NEON 24 DECAY RADIOISOTOPES; NUCLEAR REACTIONS; NUCLEI; OPERATION; RADIOACTIVE MATERIALS; RADIOISOTOPES; REACTIVITY COEFFICIENTS; REACTOR COMPONENTS; REACTORS; SPECTRA; SPONTANEOUS FISSION RADIOISOTOPES; URANIUM ISOTOPES; YEARS LIVING RADIOISOTOPES","Thorium fuel cycle with recycled U-233 has been widely recognized having some contributions to improve the water-cooled breeder reactor program which has been shown by a feasible area of breeding and negative void reactivity which confirms that fissile of 233U contributes to better fuel breeding and effective for obtaining negative void reactivity coefficient as the main fissile material. The present study has the objective to estimate the effect of whole core configuration as well as burnup effects to the reactor core profile by adopting two dimensional model of fuel core management. About more than 40 months of cycle period has been employed for one cycle fuel irradiation of three batches fuel system for large water cooled thorium reactors. All position of fuel arrangement contributes to the total core conversion ratio which gives conversion ratio less than unity of at the BOC and it contributes to higher than unity (1.01) at the EOC after some irradiation process. Inner part and central part give the important part of breeding contribution with increasing burnup process, while criticality is reduced with increasing the irradiation time. Feasibility of breeding capability of water-cooled thorium reactors for whole core fuel arrangement has confirmed from the obtained conversion ratio which shows higher than unity. Whole core analysis on evaluating reactivity change which is caused by the change of voided condition has been employed for conservative assumption that 100% coolant and moderator are voided. It obtained always a negative void reactivity coefficient during reactor operation which shows relatively more negative void coefficient at BOC (fresh fuel composition), and it becomes less negative void coefficient with increasing the operation time. Negative value of void reactivity coefficient shows the reactor has good safety properties in relation to the reactivity profile which is the main parameter in term of criticality safety analysis. Therefore, this evaluation has confirmed that breeding condition and negative coefficient can be obtained simultaneously for water-cooled thorium reactor obtains based on the whole core fuel arrangement.","","","","","","United States","2010-12-23T00:00:00Z","English","Journal Article","","Journal Name: AIP Conference Proceedings; Journal Volume: 1325; Journal Issue: 1; Conference: 4. Asian physics international symposium, Bandung, West Java (Indonesia), 12-13 Oct 2010; Other Information: DOI: 10.1063/1.3537904; (c) 2010 American Institute of Physics","","Medium: X; Size: page(s) 229-232","","","","Journal ID: ISSN 0094-243X; APCPCS; TRN: US11A5582103172","10.1063/1.3537904","","2011-12-12T00:00:00Z","21511428","https://www.osti.gov/biblio/21511428","","AIP Conference Proceedings","1","1325"
"Effect of Fuel Fraction on Small Modified CANDLE Burn-up Based Gas Cooled Fast Reactors","Ariani, Menik; Physics Department, Sriwijaya University, Kampus Indralaya, Ogan Ilir, Sumatera Selatan (Indonesia)]; Su'ud, Zaki; Waris, Abdul; Asiah, Nur; Shafii, M Ali; Physics Department, Andalas University, Kampus Limau Manis, Padang, Sumatera Barat (Indonesia)]; Khairurrijal,","21 SPECIFIC NUCLEAR REACTORS AND ASSOCIATED PLANTS; BURNUP; COMPUTERIZED SIMULATION; CONVERSION RATIO; COOLANTS; CYLINDRICAL CONFIGURATION; DESIGN; DIFFUSION; FAST REACTORS; FISSION; GROUP CONSTANTS; MULTIPLICATION FACTORS; NATURAL URANIUM; NUCLEAR DATA COLLECTIONS; NUCLEAR FUELS; PLUTONIUM; REACTOR CORES; REACTOR OPERATION; TWO-DIMENSIONAL CALCULATIONS; ACTINIDES; CONFIGURATION; CROSS SECTIONS; DIMENSIONLESS NUMBERS; ELEMENTS; ENERGY SOURCES; EPITHERMAL REACTORS; FUELS; MATERIALS; METALS; NUCLEAR REACTIONS; OPERATION; REACTOR COMPONENTS; REACTOR MATERIALS; REACTORS; SIMULATION; TRANSURANIUM ELEMENTS; URANIUM","A conceptual design study of Gas Cooled Fast Reactors with Modified CANDLE Burn-up has been performed. The objective of this research is to get optimal design parameters of such type reactors. The parameters of nuclear design including the critical condition, conversion ratio, and burn-up level were compared. These parameters are calculated by variation in the fuel fraction 47.5% up to 70%. Two dimensional full core multi groups diffusion calculations was performed by CITATION code. Group constant preparations are performed by using SRAC code system with JENDL-3.2 nuclear data library. In this design the reactor cores with cylindrical cell two dimensional R-Z core models are subdivided into several parts with the same volume in the axial directions. The placement of fuel in core arranged so that the result of plutonium from natural uranium can be utilized optimally for 10 years reactor operation. Modified CANDLE burn-up was established successfully in a core radial width 1.4 m. Total thermal power output for reference core is 550 MW. Study on the effect of fuel to coolant ratio shows that effective multiplication factor (k{sub eff}) is in almost linear relations with the change of the fuel volume to coolant ratio.","","","","","","United States","2010-12-23T00:00:00Z","English","Journal Article","","Journal Name: AIP Conference Proceedings; Journal Volume: 1325; Journal Issue: 1; Conference: 4. Asian physics international symposium, Bandung, West Java (Indonesia), 12-13 Oct 2010; Other Information: DOI: 10.1063/1.3537909; (c) 2010 American Institute of Physics","","Medium: X; Size: page(s) 249-252","","","","Journal ID: ISSN 0094-243X; APCPCS; TRN: US11A5586103176","10.1063/1.3537909","","2011-12-12T00:00:00Z","21511432","https://www.osti.gov/biblio/21511432","","AIP Conference Proceedings","1","1325"
"Natural Circulation Level Optimization and the Effect during ULOF Accident in the SPINNOR Reactors","Abdullah, Ade Gafar; Electrical Engineering Dept. Universitas Pendidikan Indonesia (UPI), Jl. Dr. Setiabudhi 229 Bandung (Indonesia)]; Su'ud, Zaki; Kurniadi, Rizal; Kurniasih, Neny; Yulianti, Yanti; Physics Dept. Universitas Lampung (UNILA), Jl. Sumantri Brojonegoro 1 Bandar Lampung (Indonesia)]","21 SPECIFIC NUCLEAR REACTORS AND ASSOCIATED PLANTS; CHARGED-PARTICLE TRANSPORT; HEAT EXCHANGERS; LOSS OF FLOW; LOSSES; MIXED OXIDE FUELS; NATURAL CONVECTION; NEUTRON FLUX; OPTIMIZATION; POWER DISTRIBUTION; REACTIVITY; REACTOR SAFETY; REACTORS; SIMULATION; STEADY-STATE CONDITIONS; STEAM GENERATORS; TEMPERATURE DISTRIBUTION; THERMAL BARRIERS; ACCIDENTS; BOILERS; CONVECTION; ENERGY SOURCES; ENERGY TRANSFER; FUELS; HEAT TRANSFER; MASS TRANSFER; MATERIALS; NUCLEAR FUELS; RADIATION FLUX; RADIATION TRANSPORT; REACTOR ACCIDENTS; REACTOR MATERIALS; SAFETY; SOLID FUELS; VAPOR GENERATORS","Natural circulation level optimization and the effect during loss of flow accident in the 250 MWt MOX fuelled small Pb-Bi Cooled non-refueling nuclear reactors (SPINNOR) have been performed. The simulation was performed using FI-ITB safety code which has been developed in ITB. The simulation begins with steady state calculation of neutron flux, power distribution and temperature distribution across the core, hot pool and cool pool, and also steam generator. When the accident is started due to the loss of pumping power the power distribution and the temperature distribution of core, hot pool and cool pool, and steam generator change. Then the feedback reactivity calculation is conducted, followed by kinetic calculation. The process is repeated until the optimum power distribution is achieved. The results show that the SPINNOR reactor has inherent safety capability against this accident.","","","","","","United States","2010-12-23T00:00:00Z","English","Journal Article","","Journal Name: AIP Conference Proceedings; Journal Volume: 1325; Journal Issue: 1; Conference: 4. Asian physics international symposium, Bandung, West Java (Indonesia), 12-13 Oct 2010; Other Information: DOI: 10.1063/1.3537913; (c) 2010 American Institute of Physics","","Medium: X; Size: page(s) 261-264","","","","Journal ID: ISSN 0094-243X; APCPCS; TRN: US11A5589103179","10.1063/1.3537913","","2011-12-12T00:00:00Z","21511435","https://www.osti.gov/biblio/21511435","","AIP Conference Proceedings","1","1325"
"The Concentration Of Tritium In Urine And Internal Radiation Dose Estimation Of PTNBR Radiation Workers","Tjahaja, Poppy Intan; Sukmabuana, Putu; Aisyah, Neneng Nur","21 SPECIFIC NUCLEAR REACTORS AND ASSOCIATED PLANTS; 61 RADIATION PROTECTION AND DOSIMETRY; ATOMS; DEUTERIUM; DISTILLATION; FISSION; INTERNAL IRRADIATION; LIQUID SCINTILLATION DETECTORS; MANAGEMENT; NUCLEAR FUELS; OPERATION; PERSONNEL; PRIMARY COOLANT CIRCUITS; RADIATION DOSES; RADIATION SOURCES; REACTOR FUELING; TRIGA TYPE REACTORS; TRITIUM; URINE; BETA DECAY RADIOISOTOPES; BETA-MINUS DECAY RADIOISOTOPES; BIOLOGICAL MATERIALS; BIOLOGICAL WASTES; BODY FLUIDS; COOLING SYSTEMS; DOSES; ENERGY SOURCES; ENERGY SYSTEMS; ENRICHED URANIUM REACTORS; FUELS; HOMOGENEOUS REACTORS; HYDRIDE MODERATED REACTORS; HYDROGEN ISOTOPES; IRRADIATION; ISOTOPES; LIGHT NUCLEI; MATERIALS; MEASURING INSTRUMENTS; NUCLEAR REACTIONS; NUCLEI; ODD-EVEN NUCLEI; ODD-ODD NUCLEI; RADIATION DETECTORS; RADIOISOTOPES; REACTOR COMPONENTS; REACTOR COOLING SYSTEMS; REACTOR MATERIALS; REACTORS; RESEARCH AND TEST REACTORS; SCINTILLATION COUNTERS; SEPARATION PROCESSES; SOLID HOMOGENEOUS REACTORS; STABLE ISOTOPES; WASTES; WATER COOLED REACTORS; WATER MODERATED REACTORS; YEARS LIVING RADIOISOTOPES","The operation of Triga 2000 reactor in Nuclear Technology Center for Materials and Radiometry (PTNBR BATAN) normally produce tritium radionuclide which is the activation product of deuterium atom in reactor primary cooling water. According to previous monitoring, tritium was detected with the concentration of 8.236{+-}0.677 kBq/L and 1.704{+-}0.046 Bq/L in the primary cooling water and in reactor hall air, respectively. The tritium in reactor hall air chronically can be inhaled by the workers. In this research, tritium content in radiation workers' urine was determined to estimate the internal radiation doses received by the workers. About 50-100 mL of urine samples were collected from 48 PTNBR workers that is classified as 24 radiation workers and 24 administration staffs as a control. Urine samples of 25 mL were then prepared by active charcoal and KMnO{sub 4} addition and followed with complete distillation. The 2 mL of distillate was added with 13 mL scintillator, shaked vigorously and remained in cool and dark condition for about 24 hours. The tritium in the samples was then measured using liquid scintillation counter (LSC) for 1 hour. From the measurement results it was obtained that the tritium concentration in the urine of radiation workers were in the range of not detected and 5.191 Bq/mL, whereas in the administration staffs the concentration were between not detected and 4.607 Bq/mL. Internally radiation doses were calculated using the tritium concentration data, and it was found the averages about 0.602 {mu}Sv/year and 0.532 {mu}Sv/year for radiation workers and administration staffs, respectively. The doses received by the workers were lower than that of the permissible doses from tritium, i.e. 40 {mu}Sv/year.","","","","","","United States","2010-12-23T00:00:00Z","English","Journal Article","","Journal Name: AIP Conference Proceedings; Journal Volume: 1325; Journal Issue: 1; Conference: 4. Asian physics international symposium, Bandung, West Java (Indonesia), 12-13 Oct 2010; Other Information: DOI: 10.1063/1.3537927; (c) 2010 American Institute of Physics","","Medium: X; Size: page(s) 270-273","","","","Journal ID: ISSN 0094-243X; APCPCS; TRN: US11A5590103180","10.1063/1.3537927","","2011-12-12T00:00:00Z","21511436","https://www.osti.gov/biblio/21511436","","AIP Conference Proceedings","1","1325"
"Some approaches to investigation of the influence of variable energy release on heat transfer and temperature fields of fuel elements of nuclear reactors","Zhukov, A V; Kuzina, Yu A; Sorokin, A. P., E-mail: sorokin@ippe.ru","21 SPECIFIC NUCLEAR REACTORS AND ASSOCIATED PLANTS; 11 NUCLEAR FUEL CYCLE AND FUEL MATERIALS; ANALYTICAL SOLUTION; FAST REACTORS; FUEL ASSEMBLIES; FUEL ELEMENTS; HEAT TRANSFER; REACTOR CORES; TEMPERATURE MEASUREMENT","Different methods for estimating the effect of energy release reduction in the second half of the active core on the temperature field of fuel elements are considered: analytical solution of the problem, recalculation of the temperature field obtained at constant energy release for variable energy release, and so on. An enhanced role of this effect for peripheral fuel elements of fuel assemblies of fast reactors is noted.","","","","","","United States","2010-12-15T00:00:00Z","English","Journal Article","","Journal Name: Physics of Atomic Nuclei; Journal Volume: 73; Journal Issue: 13; Other Information: Copyright (c) 2010 Pleiades Publishing, Ltd.; Country of input: International Atomic Energy Agency (IAEA)","","Medium: X; Size: page(s) 2222-2231","","","","Journal ID: ISSN 1063-7788; CODEN: PANUEO; TRN: US12K2247116526","10.1134/S1063778810130089","","2013-03-21T00:00:00Z","22028260","https://www.osti.gov/biblio/22028260","","Physics of Atomic Nuclei","13","73"
"Improvements in the procedure of determining the void reactivity coefficient of a reactor of the RBMK type","Balygin, A. A., E-mail: balyg@dcnr.vver.kiae.ru; Moiseev, I F","21 SPECIFIC NUCLEAR REACTORS AND ASSOCIATED PLANTS; DATA PROCESSING; DISTURBANCES; ERRORS; FEEDWATER; FLOW RATE; GRAPHITE MODERATED REACTORS; REACTIVITY COEFFICIENTS; VOIDS","An alternative method of processing experimental data in measurement of the void reactivity coefficient of an RBMK reactor is discussed. The method proposed allows one to reduce substantially the dependence of measurement results on the sign of perturbation of the feedwater flow rate and makes it possible to reduce many times the relative error of measurement of the void reactivity coefficient.","","","","","","United States","2010-12-15T00:00:00Z","English","Journal Article","","Journal Name: Physics of Atomic Nuclei; Journal Volume: 73; Journal Issue: 13; Other Information: Copyright (c) 2010 Pleiades Publishing, Ltd.; Country of input: International Atomic Energy Agency (IAEA)","","Medium: X; Size: page(s) 2214-2221","","","","Journal ID: ISSN 1063-7788; CODEN: PANUEO; TRN: US12K2248116527","10.1134/S1063778810130077","","2013-03-21T00:00:00Z","22028261","https://www.osti.gov/biblio/22028261","","Physics of Atomic Nuclei","13","73"
"Consideration of spatial effects in reactivity measurements","Matveenko, I. P., E-mail: matveenko@ippe.ru; Lititskii, V A; Shokod'ko, A G","21 SPECIFIC NUCLEAR REACTORS AND ASSOCIATED PLANTS; BELOYARSK-3 REACTOR; FAST NEUTRONS; MEASURING METHODS; REACTIVITY; SUBCRITICAL ASSEMBLIES","Various methods of considering spatial effects in reactivity measurements are presented. These methods are employed both at the critical (mainly fast-neutron) facilities and at the BN-600 reactor.","","","","","","United States","2010-12-15T00:00:00Z","English","Journal Article","","Journal Name: Physics of Atomic Nuclei; Journal Volume: 73; Journal Issue: 13; Other Information: Copyright (c) 2010 Pleiades Publishing, Ltd.; Country of input: International Atomic Energy Agency (IAEA)","","Medium: X; Size: page(s) 2209-2213","","","","Journal ID: ISSN 1063-7788; CODEN: PANUEO; TRN: US12K2249116528","10.1134/S1063778810130065","","2013-03-21T00:00:00Z","22028262","https://www.osti.gov/biblio/22028262","","Physics of Atomic Nuclei","13","73"
"Reconstruction of local neutron physical functionals in surface harmonics method","Boyarinov, V. F., E-mail: Boyarinov@dhtp.kiae.ru; Nevinitsa, V. A., E-mail: Neva@dhtp.kiae.ru","21 SPECIFIC NUCLEAR REACTORS AND ASSOCIATED PLANTS; COMPUTER CALCULATIONS; FUNCTIONALS; HARMONICS; NEUTRONS; REACTOR CORES; S CODES; WWER TYPE REACTORS","Formulas for reconstruction of local neutron physical functionals for a three-stage calculation of a 2D VVER-1000 core using the surface harmonics method are obtained, implemented in the SUHAM code, and verified.","","","","","","United States","2010-12-15T00:00:00Z","English","Journal Article","","Journal Name: Physics of Atomic Nuclei; Journal Volume: 73; Journal Issue: 13; Other Information: Copyright (c) 2010 Pleiades Publishing, Ltd.; Country of input: International Atomic Energy Agency (IAEA)","","Medium: X; Size: page(s) 2203-2208","","","","Journal ID: ISSN 1063-7788; CODEN: PANUEO; TRN: US12K2250116529","10.1134/S1063778810130053","","2013-03-21T00:00:00Z","22028263","https://www.osti.gov/biblio/22028263","","Physics of Atomic Nuclei","13","73"
"Main results of study on the interaction between the corium melt and steel in the VVER-1000 reactor vessel during a severe accident performed under the MASCA project","Asmolov, V G; Zagryazkin, V N; Tsurikov, D F; Vishnevsky, V Yu; D'yakov, Ye K; Kotov, A Yu; Repnikov, V M","21 SPECIFIC NUCLEAR REACTORS AND ASSOCIATED PLANTS; CORIUM; FISSION PRODUCTS; FORECASTING; IRON; NUCLEAR POWER PLANTS; OXIDES; PARTITION; REACTOR ACCIDENTS; REACTOR VESSELS; STAINLESS STEELS; STRATIFICATION; THERMODYNAMIC PROPERTIES; URANIUM; VOLATILITY; WWER TYPE REACTORS; ZIRCONIUM","The interactions that take place in the corium melt in the reactor vessel in the case of a severe accident at a nuclear power plant were investigated in accordance with the MASCA international program. Results of the interaction between the oxide melt and iron (steel), partition of the main components [U, Zr, Fe (stainless steel)] between the oxide and the metal phases of the melt, partition of low-volatile simulators of fission products between the phases of the stratified core melt pool, and impact of the oxidizing atmosphere on the melt stratification are presented. The results obtained were used for prediction of thermodynamic properties of the melts belonging to the U-Zr-Fe-O system.","","","","","","United States","2010-12-15T00:00:00Z","English","Journal Article","","Journal Name: Physics of Atomic Nuclei; Journal Volume: 73; Journal Issue: 14; Other Information: Copyright (c) 2010 Pleiades Publishing, Ltd.; Country of input: International Atomic Energy Agency (IAEA)","","Medium: X; Size: page(s) 2301-2318","","","","Journal ID: ISSN 1063-7788; CODEN: PANUEO; TRN: US12K2255116534","10.1134/S1063778810140085","","2013-03-21T00:00:00Z","22028268","https://www.osti.gov/biblio/22028268","","Physics of Atomic Nuclei","14","73"
"The role of chemical reactions in the Chernobyl accident","Grishanin, E. I., E-mail: egrishanin@orexovo.net","21 SPECIFIC NUCLEAR REACTORS AND ASSOCIATED PLANTS; CHAIN REACTIONS; CHERNOBYLSK-4 REACTOR; EXPLOSIONS; FISSION PRODUCTS; GRAPHITE; NUCLEAR DECAY; PLUTONIUM; POISONING; REACTIVITY; REACTOR ACCIDENTS; URANIUM; WATER; XENON","It is shown that chemical reactions played an essential role in the Chernobyl accident at all of its stages. It is important that the reactor before the explosion was at maximal xenon poisoning, and its reactivity, apparently, was not destroyed by the explosion. The reactivity release due to decay of Xe-235 on the second day after the explosion led to a reactor power of 80-110 MW. Owing to this power, the chemical reactions of reduction of uranium, plutonium, and other metals at a temperature of about 2000 Degree-Sign C occurred in the core. The yield of fission products thus sharply increased. Uranium and other metals flew down in the bottom water communications and rooms. After reduction of the uranium and its separation from the graphite, the chain reaction stopped, the temperature of the core decreased, and the activity yield stopped.","","","","","","United States","2010-12-15T00:00:00Z","English","Journal Article","","Journal Name: Physics of Atomic Nuclei; Journal Volume: 73; Journal Issue: 14; Other Information: Copyright (c) 2010 Pleiades Publishing, Ltd.; Country of input: International Atomic Energy Agency (IAEA)","","Medium: X; Size: page(s) 2296-2300","","","","Journal ID: ISSN 1063-7788; CODEN: PANUEO; TRN: US12K2256116535","10.1134/S1063778810140073","","2013-03-21T00:00:00Z","22028269","https://www.osti.gov/biblio/22028269","","Physics of Atomic Nuclei","14","73"
