"TITLE","AUTHORS","SUBJECT","DESCRIPTION","PUBLISHER","AVAILABILITY","RESEARCH_ORG","SPONSORING_ORG","CONTRIBUTING_ORG","PUBLICATION_COUNTRY","PUBLICATION_DATE","LANGUAGE","RESOURCE_TYPE","TYPE_QUALIFIER","RELATION","COVERAGE","FORMAT","IDENTIFIER","REPORT_NUMBER","DOE_CONTRACT_NUMBER","OTHER_IDENTIFIER","DOI","RIGHTS","ENTRY_DATE","OSTI_IDENTIFIER","CITATION_URL","PURL_URL","JOURNAL_NAME","JOURNAL_ISSUE","JOURNAL_VOLUME"
"A tool for measuring the system cost of replacement energy","Steele, Amanda Harker; Sharma, Smriti; Pena Cabra, Ivonne; Clahane, Luke (ORCID:0000000290248661); Iyengar, Arun (ORCID:0000000260245785)","24 POWER TRANSMISSION AND DISTRIBUTION; total systems cost; system cost of replacement energy; electricity; decarbonization","Replacing legacy high carbon technologies (LHCTs) with new low carbon technologies (NLCTs), particularly NLCTs featuring variable renewable resources, can disproportionally influence the costs associated with maintaining a reliable and competent grid system. Traditional cost metrics and publicly available tools that make use of these metrics fail to capture the total systems cost (TSC) implications of such changes, highlighting the need for a tool that will capture these implications. This paper presents the results of a tool developed to estimate the System Cost of Replacement Energy (SCoRE) when NLCTs replace LHCTs in an operating region. The SCoRE estimates potential changes in the TSC resulting from the replacement. The SCoRE tool is applied to the Electric Reliability Council of Texas (ERCOT) operating region. LHCTs, namely coal- and natural gas-fired power plants are replaced by NLCTs including solar photovoltaics and wind, with and without energy storage, and coal and natural gas power plants equipped with carbon capture and storage (CCS). The results showcase the TSC implications of different replacement scenarios, which for ERCOT include larger increases in the TSC if LHCTs are replaced with wind and solar, in lieu of natural gas power plants equipped with CCS, for all decarbonization targets considered.","Elsevier","","National Energy Technology Laboratory (NETL), Pittsburgh, PA, Morgantown, WV, and Albany, OR (United States)","USDOE Office of Fossil Energy (FE)","","United Kingdom","2023-07-01T00:00:00Z","English","Journal Article","","Journal Name: Energy Journal Volume: 275 Journal Issue: C","","Medium: X; Size: Article No. 127394","","DOE/NETL-2023/3859","FE0025912; FE00025912","Journal ID: ISSN 0360-5442; S0360544223007880; 127394; PII: S0360544223007880","10.1016/j.energy.2023.127394","","2023-04-21T00:00:00Z","1968955","https://www.osti.gov/biblio/1968955","","Energy","C","275"
"Taming the wild edge of smart grid – Lessons from transactive energy market deployments","Doumen, Sjoerd C.; Boff, Daniel S.; Widergren, Steven E.; Kok, J. Koen","24 POWER TRANSMISSION AND DISTRIBUTION; Transactive Energy; Energy System Integration; Microgrids; Blockchain; Local Energy Markets","For two decades, the idea of using market-based approaches in field deployments that coordinate the flexible operation of electricity customer assets has occupied the efforts of transactive energy practitioners. While the purported benefits of this distributed decision-making approach have been well explored, the practical aspects of implementing such a system to address real-world problems are just beginning to emerge. This report surveyed 24 field-deployed programs and interviewed experts instrumental in these deployments. The results of the survey and interviews reveal the diversity of designs and applications. They highlight the technical promise of the approaches as well as challenges with system integration, sustainable business strategy, and regulatory policy obstacles. Insights from the survey offer considerations to direct future effort and investment.","Elsevier","","Pacific Northwest National Lab. (PNNL), Richland, WA (United States)","USDOE Office of Science (SC)","","United States","2023-04-05T00:00:00Z","English","Journal Article","","Journal Name: Electricity Journal; Journal Volume: 36; Journal Issue: 2-3","","Medium: ED; Size: Article No. 107253","","PNNL-SA-180957","AC05-76RL01830","Journal ID: ISSN 1040-6190","10.1016/j.tej.2023.107253","","2023-04-12T00:00:00Z","1968290","https://www.osti.gov/biblio/1968290","https://www.osti.gov/servlets/purl/1968290","Electricity Journal","2-3","36"
"Distributed Energy Management for Networked Microgrids with Hardware-in-the-Loop Validation","Liu, Guodong; Ferrari, Maximiliano F.; Ollis, Thomas B.; Sundararajan, Aditya; Olama, Mohammed; Chen, Yang","24 POWER TRANSMISSION AND DISTRIBUTION; energy management; networked microgrids; distributed optimization; alternating direction method of multipliers (ADMM); hardware-in-loop (HIL)","For the cooperative operation of networked microgrids, a distributed energy management considering network operational objectives and constraints is proposed in this work. Considering various ownership and privacy requirements of microgrids, utility directly interfaced distributed energy resources (DERs) and demand response, a distributed optimization is proposed for obtaining optimal network operational objectives with constraints satisfied through iteratively updated price signals. The alternating direction method of multipliers (ADMM) algorithm is utilized to solve the formulated distributed optimization. The proposed distributed energy management provides microgrids, utility-directly interfaced DERs and responsive demands the opportunity of contributing to better network operational objectives while preserving their privacy and autonomy. Results of numerical simulation using a networked microgrids system consisting of several microgrids, utility directly interfaced DERs and responsive demands validate the soundness and accuracy of the proposed distributed energy management. The proposed method is further tested on a practical two-microgrid system located in Adjuntas, Puerto Rico, and the applicability of the proposed strategy is validated through hardware-in-the-loop (HIL) testing.","MDPI","","Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE)","","United States","2023-03-25T00:00:00Z","English","Journal Article","","Journal Name: Energies; Journal Volume: 16; Journal Issue: 7","","Medium: ED; Size: Article No. 3014","","","AC05-00OR22725","Journal ID: ISSN 1996-1073","10.3390/en16073014","","2023-04-05T00:00:00Z","1965222","https://www.osti.gov/biblio/1965222","https://www.osti.gov/servlets/purl/1965222","Energies","7","16"
"Architecture for Co-Simulation of Transportation and Distribution Systems with Electric Vehicle Charging at Scale in the San Francisco Bay Area","Panossian, Nadia V. (ORCID:0000000298809216); Laarabi, Haitam (ORCID:0000000203757266); Moffat, Keith; Chang, Heather; Palmintier, Bryan (ORCID:0000000214520715); Meintz, Andrew; Lipman, Timothy E. (ORCID:0000000299408369); Waraich, Rashid A.","24 POWER TRANSMISSION AND DISTRIBUTION; co-simulation; distributed energy resources; electric vehicle; EV distribution integration; smart grid; grid integration; utility power; electricity distribution; agent-based transportation model; charger siting","<p>This work describes the Grid-Enhanced, Mobility-Integrated Network Infrastructures for Extreme Fast Charging (GEMINI) architecture for the co-simulation of distribution and transportation systems to evaluate EV charging impacts on electric distribution systems of a large metropolitan area and the surrounding rural regions with high fidelity. The current co-simulation is applied to Oakland and Alameda, California, and in future work will be extended to the full San Francisco Bay Area. It uses the HELICS co-simulation framework to enable parallel instances of vetted grid and transportation software programs to interact at every model timestep, allowing high-fidelity simulations at a large scale. This enables not only the impacts of electrified transportation systems across a larger interconnected collection of distribution feeders to be evaluated, but also the feedbacks between the two systems, such as through control systems, to be captured and compared. The findings are that with moderate passenger EV adoption rates, inverter controls combined with some distribution system hardware upgrades can maintain grid voltages within ANSI C.84 range A limits of 0.95 to 1.05 p.u. without smart charging. However, EV charging control may be required for higher levels of charging or to reduce grid upgrades, and this will be explored in future work.</p>","MDPI AG","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE; USDOE Office of Energy Efficiency and Renewable Energy (EERE), Office of Sustainable Transportation. Vehicle Technologies Office (VTO)","","Switzerland","2023-02-24T00:00:00Z","English","Journal Article","","Journal Name: Energies Journal Volume: 16 Journal Issue: 5","","Medium: X; Size: Article No. 2189","","NREL/JA-6A40-84374","AC36-08GO28308","Journal ID: ISSN 1996-1073; ENERGA; PII: en16052189","10.3390/en16052189","","2023-03-01T00:00:00Z","1958890","https://www.osti.gov/biblio/1958890","","Energies","5","16"
"Day-ahead continuous double auction-based peer-to-peer energy trading platform incorporating trading losses and network utilisation fee","Liaquat, Sheroze; Hussain, Tanveer; Celik, Berk; Fourney, Robert; Hansen, Timothy M.","24 POWER TRANSMISSION AND DISTRIBUTION; peer-to-peer (P2P) energy trading; distributed energy resources; energy management; microgrid; nanogrid; power markets; weather forecasting","Integration of distributed energy resources, such as photovoltaic solar (PV), introduces new opportunities to establish local energy market frameworks to improve renewable energy utilisation in residential sectors. Such peer-to-peer (P2P) energy trading refers to a local market structure where customers (and prosumers) interact to share excess PV generation to enhance the individual and community social welfare. In this work, a day-ahead continuous double auction (CDA)-based P2P market structure considering network losses and network utilisation fees was designed. Day-ahead PV energy is modelled using fractional integral polynomials and the output is forecasted using an autoregressive integrated moving average model for each market interval. Based on the customer load and excess PV energy, the CDA market is cleared using a bid/ask matching mechanism. The performance of the P2P market was evaluated by computing different welfare metrics while analysing the effect of network constraints. The results show that the designed CDA-based P2P market structure increases the social welfare of all participants by an average of 17.75% compared to the baseline for the presented cases. Moreover, the impact of the forecasting error between the day-ahead and real-time market was also quantified.","Institution of Engineering and Technology (IET)","","Idaho National Lab. (INL), Idaho Falls, ID (United States)","USDOE Office of Nuclear Energy (NE)","","United States","2023-02-20T00:00:00Z","English","Journal Article","","Journal Name: IET Smart Grid","","Medium: ED","","INL/JOU-22-69379-Rev000","AC07-05ID14517","Journal ID: ISSN 2515-2947","10.1049/stg2.12103","","2023-03-15T00:00:00Z","1960756","https://www.osti.gov/biblio/1960756","https://www.osti.gov/servlets/purl/1960756","IET Smart Grid","",""
"Automatic voltage regulation application for PV inverters in low-voltage distribution grids – A digital twin approach","Gui, Yonghao; Nainar, Karthikeyan; Ciontea, Catalin Iosif; Bendtsen, Jan Dimon; Iov, Florin; Shahid, Kamal; Stoustrup, Jakob","24 POWER TRANSMISSION AND DISTRIBUTION; coordinated control; distribution grid; PV inverter; volt/VAR controller; voltage quality; digital twin","This paper proposes a hierarchical coordinated control strategy for PV inverters to keep voltages in low-voltage (LV) distribution grids within specified limits. The top layer of the proposed architecture consists of the designed automatic voltage regulation (AVR) application, which has access to voltage measurements and grid parameters from the LV distribution grid, both current and historical. The AVR application solves a constrained optimization problem, which provides a set of local control set-points that bring the voltage across the grid within bounds. The middle layer consists of a local Volt/VAR controller, which is adjusted by the AVR app, while the bottom layer is the inner-loop controller of the PV inverter. The proposed method not only improves the voltage quality in the grid but also manages the reactive power outputs of PV inverters efficiently. Further, a digital twin of the cyber-physical system has also been employed that interacts with the control system to ensure its appropriate operation. The effectiveness of the proposed methodology is demonstrated on a representative low-voltage feeder located in Denmark.","Elsevier","","Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)","USDOE Office of Electricity (OE); USDOE Office of Energy Efficiency and Renewable Energy (EERE), Renewable Power Office. Solar Energy Technologies Office; European Union (EU)","","United States","2023-02-16T00:00:00Z","English","Journal Article","","Journal Name: International Journal of Electrical Power and Energy Systems; Journal Volume: 149","","Medium: ED; Size: Article No. 109022","","","AC05-00OR22725; 774145","Journal ID: ISSN 0142-0615","10.1016/j.ijepes.2023.109022","","2023-02-23T00:00:00Z","1928920","https://www.osti.gov/biblio/1928920","","International Journal of Electrical Power and Energy Systems","","149"
"UAS Edge Computing of Energy Infrastructure Damage Assessment","","24 POWER TRANSMISSION AND DISTRIBUTION","Energy infrastructure assessments are needed within 72 hours of natural disasters, and previous data collection methods have proven too slow. We demonstrate a scalable end-to-end solution using a prototype unmanned aerial system that performs on-the-edge detection, classification (i.e., damaged or undamaged), and geo-location of utility poles. The prototype is suitable for disaster response because it requires no local communication infrastructure and is capable of autonomous missions. Collections before, during, and after Hurricane Ida in 2021 were used to test the system. The system delivered an F1 score of 0.65 operating with a 2.7 s/frame processing speed with the YOLOv5 large model and an F1 score of 0.55 with a 0.48 s/frame with the YOLOv5 small model. Geo-location uncertainty in the bottom half of the frame was ~8 m, mostly driven by error in camera pointing measurement. With additional training data to improve performance and detect additional types of features, a fleet of similar drones could autonomously collect actionable post-disaster data.","Ingenta","","Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)","USDOE Office of Science (SC)","","United States","2023-02-01T00:00:00Z","English","Journal Article","","Journal Name: Photogrammetric Engineering and Remote Sensing; Journal Volume: 89; Journal Issue: 2","","Medium: ED; Size: p. 79-87","","","AC05-00OR22725","Journal ID: ISSN 0099-1112","10.14358/pers.22-00087r2","","2023-04-07T00:00:00Z","1965271","https://www.osti.gov/biblio/1965271","https://www.osti.gov/servlets/purl/1965271","Photogrammetric Engineering and Remote Sensing","2","89"
"Experimental performance of ejector heat pump operating in the sub-critical mode","Spitzenberger, Jeremy; Mohammed, Ramy H.; Ismael, Laith; Wang, Pengtao; Ma, Hongbin; Abu-Heiba, Ahmad; Kowalski, Stephen; Nawaz, Kashif","24 POWER TRANSMISSION AND DISTRIBUTION; steam ejector; heat pump; COP; sub-critical conditions; water heating","Ejector heat pump (EHP) is an efficient-energy technology with a promising potential to replace the vapor compression cycle in heating and cooling applications. It can be powered by low-grade waste heat and uses environmentally friendly working fluids. EHP has also become a viable solution in research seeking cooling applications. However, little attention has been paid to using EHP for heating purposes. In order to investigate this, a steam EHP for domestic water heating was designed and built. The coefficient of performance (COP) is evaluated at various operating and design conditions in sub-critical operational modes to achieve higher condensation temperatures. Two primary nozzles with a throat diameter of 1.5 mm and 2.0 mm were investigated. The primary nozzle is movable along the ejector’s axis, allowing investigation of its positional effects on the EHP’s COP. Further, experimental measurements revealed that using a smaller throat diameter results in a high COP and low back pressure. The EHP COP and back pressure increase when the LTE temperature increases. Using a throat diameter of 1.5 mm, the EHP COP increases as the nozzle exit position (NXP) becomes closer to the constant area section. A COP of 2.42 and a back pressure of 4.28 kPa are achieved at a high-temperature evaporator (HTE) temperature of 130 °C and a low-temperature evaporator (LTE) temperature of 30 °C using a primary nozzle with 1.5 mm.","Elsevier","","Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Energy Efficiency Office. Building Technologies Office","","United States","2023-01-31T00:00:00Z","English","Journal Article","","Journal Name: Energy Conversion and Management; Journal Volume: 278; Journal Issue: 1","","Medium: ED; Size: Article No. 116724","","","AC05-00OR22725","Journal ID: ISSN 0196-8904","10.1016/j.enconman.2023.116724","","2023-02-10T00:00:00Z","1923139","https://www.osti.gov/biblio/1923139","","Energy Conversion and Management","1","278"
"Spatial-Temporal Deep Learning for Hosting Capacity Analysis in Distribution Grids","Wu, Jiaqi; Yuan, Jingyi; Weng, Yang; Ayyanar, Raja","14 SOLAR ENERGY; 24 POWER TRANSMISSION AND DISTRIBUTION; Hosting capacity; deep learning; data-driven method; long short-term memory (LSTM); spatial-temporal correlation; distributed energy resource","The widespread use of distributed energy sources (DERs) raises significant challenges for power system design, planning, and operation, leading to wide adaptation of tools on hosting capacity analysis (HCA). Traditional HCA methods conduct extensive power flow analysis. Due to the computation burden, these time-consuming methods fail to provide online hosting capacity (HC) in large distribution systems. To solve the problem, we first propose a deep learning-based problem formulation for HCA, which conducts offline training and determines HC in real time. The used learning model, long short-term memory (LSTM), implements historical time-series data to capture periodical patterns in distribution systems. However, directly applying LSTMs suffers from low accuracy due to the lack of consideration on spatial information, where location information like feeder topology is critical in nodal HCA. Therefore, we modify the forget gate function to dual forget gates, to capture the spatial correlation within the grid. Such a design turns the LSTM into the Spatial-Temporal LSTM (ST-LSTM). Moreover, as voltage violations are the most vital constraints in HCA, we design a voltage sensitivity gate to increase accuracy further. The results of LSTMs and ST-LSTMs on feeders, such as IEEE 34-, 123-bus feeders, and utility feeders, validate our designs.","Institute of Electrical and Electronics Engineers","","Arizona State Univ., Tempe, AZ (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Renewable Power Office. Solar Energy Technologies Office","","United States","2023-01-01T00:00:00Z","English","Journal Article","","Journal Name: IEEE Transactions on Smart Grid Journal Volume: 14 Journal Issue: 1","","Medium: X; Size: p. 354-364","","","EE0008773","Journal ID: ISSN 1949-3053; 9852168","10.1109/TSG.2022.3196943","","2023-01-02T00:00:00Z","1906412","https://www.osti.gov/biblio/1906412","","IEEE Transactions on Smart Grid","1","14"
"Quantitative Resilience-Based Assessment Framework Using EAGLE-I Power Outage Data","Abdelmalak, Michael; Cox, Jordan; Ericson, Sean; Hotchkiss, Eliza; Benidris, Mohammed","97 MATHEMATICS AND COMPUTING; 24 POWER TRANSMISSION AND DISTRIBUTION; EAGLE-I; extreme weather event; power outage; resilience","Catastrophic impacts to power systems caused by extreme weather events have significantly increased during the last decade. These events highlight the need to develop approaches to assess the resilience of power systems against extreme events; however, the availability of data that capture power system performance during and after disruptive events is scarce. This paper proposes an assessment framework to evaluate the performance aspects of the power grid during extreme outage events using the Environment for Analysis of Geo-Located Energy Information (EAGLE-I) data. EAGLE-I data include information related to the number of impacted customers, the duration, and the location of power outages in the United States. Statistical analyses were conducted to extract resilience-based outage data and derive probability distribution functions of their impact and recovery characteristics. A list of extreme events is identified based on population-based threshold values. Metrics from other power outage assessments were used to measure the characteristics of each event, including the impact rate and duration, the recovery rate and duration, and the impact level. A probability distribution function is obtained for each metric. The proposed framework is conducted for each state across the United States. The obtained results provide a probabilistic representation of state-level outage behaviors, which can be applied as a framework to evaluate various resilience enhancement techniques.","Institute of Electrical and Electronics Engineers","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE Laboratory Directed Research and Development (LDRD) Program; National Science Foundation (NSF)","","United States","2023-01-01T00:00:00Z","English","Journal Article","","Journal Name: IEEE Access Journal Volume: 11","","Medium: X; Size: p. 7682-7697","","NREL/JA-5R00-83675","AC36-08GO28308; NSF 1847578","Journal ID: ISSN 2169-3536; 10012344","10.1109/ACCESS.2023.3235615","","2023-01-27T00:00:00Z","1908284","https://www.osti.gov/biblio/1908284","","IEEE Access","","11"
