"TITLE","AUTHORS","SUBJECT","DESCRIPTION","PUBLISHER","AVAILABILITY","RESEARCH_ORG","SPONSORING_ORG","CONTRIBUTING_ORG","PUBLICATION_COUNTRY","PUBLICATION_DATE","LANGUAGE","RESOURCE_TYPE","TYPE_QUALIFIER","RELATION","COVERAGE","FORMAT","IDENTIFIER","REPORT_NUMBER","DOE_CONTRACT_NUMBER","OTHER_IDENTIFIER","DOI","RIGHTS","ENTRY_DATE","OSTI_IDENTIFIER","CITATION_URL","PURL_URL","JOURNAL_NAME","JOURNAL_ISSUE","JOURNAL_VOLUME"
"LiNi<sub>0.8</sub>Fe<sub>0.1</sub>Al<sub>0.1</sub>O<sub>2</sub> as a Cobalt-Free Cathode Material with High Capacity and High Capability for Lithium-Ion Batteries","Elmaataouy, Elhoucine; Chari, Abdelwahed; El Bendali, Ayoub; Tayoury, Marwa; Amine, Rachid; Aqil, Mohamed; Xu, GuiLiang; Liu, Tongchao; Alami, Jones; Dahbi, Mouad","25 ENERGY STORAGE; lithium-ion battery; cobalt-free cathode material (NFA); nickel-rich layered oxide; solid-state reaction method; rate performance","Obtaining cathode materials with high capacity and cycle stability is one of the main challenges regarding the success of electric vehicle technologies. However, most of the widely used materials with these properties involve the use of toxic and expensive cobalt as the active material. To overcome this challenge, this work proposes a novel cobalt-free cathode material, synthesized for the first time using a solid-state reaction, whose general formula is LiNi<sub>0.8</sub>Fe<sub>0.1</sub>Al<sub>0.1</sub>O<sub>2</sub> (NFA). This class of materials offers high capacity and reduces the battery costs by removing cobalt, without jeopardizing the structural stability and safety of the NFAs. The morphology and the structural properties of the obtained NFA cathode material were characterized using different techniques, e.g., scanning electronic microscopy, X-ray diffraction, X-ray fluorescence, and infrared and Raman spectroscopies. The electrochemical activity and diffusivity of the Li-ion during lithium removal and its insertion into the bulk of the NFA cathode demonstrated high-yield specific capacities of ≈180 mAh g<sup>–1</sup> at 0.1C, along with a reasonable rate capability and cycling stability, with a capacity retention of ≈99.6% after 100 charge/discharge cycles at a rate of C/2, and whose operando X-ray diffraction experiments have been used to study the crystallographic transitions during the lithiation–delithiation reaction.","MDPI","","Argonne National Lab. (ANL), Argonne, IL (United States)","USDOE; Office Cherifien des Phosphates Group (OCP); Mohammed VI Polytechnic University","","United States","2022-12-28T00:00:00Z","English","Journal Article","","Journal Name: Batteries; Journal Volume: 9; Journal Issue: 1","","Medium: ED; Size: Article No. 23","","","AC02-06CH11357","Journal ID: ISSN 2313-0105; 181045","10.3390/batteries9010023","","2023-04-27T00:00:00Z","1971115","https://www.osti.gov/biblio/1971115","https://www.osti.gov/servlets/purl/1971115","Batteries","1","9"
"Cation reordering instead of phase transitions: Origins and implications of contrasting lithiation mechanisms in 1D ζ- and 2D α-V<sub>2</sub>O<sub>5</sub>","Luo, Yuting; Rezaei, Shahed; Santos, David A.; Zhang, Yuwei; Handy, Joseph V.; Carrillo, Luis; Schultz, Brian J.; Gobbato, Leonardo; Pupucevski, Max; Wiaderek, Kamila; Charalambous, Harry; Yakovenko, Andrey; Pharr, Matt; Xu, Bai-Xiang; Banerjee, Sarbajit","25 ENERGY STORAGE; batteries; energy storage intercalation chemistry; operando X-ray diffraction; scanning transmission X-ray microscopy","Substantial improvements in cycle life, rate performance, accessible voltage, and reversible capacity are required to realize the promise of Li-ion batteries in full measure. Here, we have examined insertion electrodes of the same composition (V<sub>2</sub>O<sub>5</sub>) prepared according to the same electrode specifications and comprising particles with similar dimensions and geometries that differ only in terms of their atomic connectivity and crystal structure, specifically two-dimensional (2D) layered α-V<sub>2</sub>O<sub>5</sub> that crystallizes in an orthorhombic space group and one-dimensional (1D) tunnel-structured ζ-V<sub>2</sub>O<sub>5</sub> crystallized in a monoclinic space group. By using particles of similar dimensions, we have disentangled the role of specific structural motifs and atomistic diffusion pathways in affecting electrochemical performance by mapping the dynamical evolution of lithiation-induced structural modifications using ex situ scanning transmission X-ray microscopy, operando synchrotron X-ray diffraction measurements, and phase-field modeling. We find the operation of sharply divergent mechanisms to accommodate increasing concentrations of Li-ions: a series of distortive phase transformations that result in puckering and expansion of interlayer spacing in layered α-V<sub>2</sub>O<sub>5</sub>, as compared with cation reordering along interstitial sites in tunnel-structured ζ-V<sub>2</sub>O<sub>5</sub>. By alleviating distortive phase transformations, the ζ-V<sub>2</sub>O<sub>5</sub> cathode shows reduced voltage hysteresis, increased Li-ion diffusivity, alleviation of stress gradients, and improved capacity retention. The findings demonstrate that alternative lithiation mechanisms can be accessed in metastable compounds by dint of their reconfigured atomic connectivity and can unlock substantially improved electrochemical performance not accessible in the thermodynamically stable phase.","National Academy of Sciences","","Argonne National Lab. (ANL), Argonne, IL (United States)","USDOE Office of Science (SC), Basic Energy Sciences (BES); German Science Foundation; Dimien Inc.; Welch Foundation; National Science Foundation (NSF)","","United States","2022-12-21T00:00:00Z","English","Journal Article","","Journal Name: Proceedings of the National Academy of Sciences of the United States of America; Journal Volume: 119; Journal Issue: 4","","Medium: ED; Size: Article No. e2115072119","","","AC02-06CH11357","Journal ID: ISSN 0027-8424; 177805","10.1073/pnas.2115072119","","2022-12-21T00:00:00Z","1894691","https://www.osti.gov/biblio/1894691","https://www.osti.gov/servlets/purl/1894691","Proceedings of the National Academy of Sciences of the United States of America","4","119"
"Electrochemical characterization of evolving ionomer/electrocatalyst interactions throughout accelerated stress tests","Hu, Leiming; Van Cleve, Tim; Yu, Haoran; Park, Jae Hyung; Kariuki, Nancy; Kropf, A. Jeremy; Mukundan, Rangachary; Cullen, David A.; Myers, Deborah J.; Neyerlin, K. C.","25 ENERGY STORAGE","Here, the degradation of polymer electrolyte membrane fuel cells (PEMFCs) catalyst layers used for heavy-duty vehicles was examined using a catalyst-specific accelerated stress test (AST). High surface area carbon supported dispersed Pt (Pt/HSC), annealed Pt (a-Pt/HSC) and PtCo (PtCo/HSC) alloy catalysts were examined over the course of 90,000 cycles by measuring changes in mass activity, O<sub>2</sub> transport resistance, electrochemical active surface area (ECSA), catalyst accessibility and ionomer-electrocatalyst interactions. Compared to a-Pt/HSC and Pt/HSC catalyst, the PtCo/HSC showed better initial mass activity, a larger initial mass transport loss, and faster degradation after the first 30k AST cycles, as a large portion of Co leached out during potential cycling. Pt/HSC showed higher initial performance relative to a-Pt/HSC but had faster degradation. STEM characterizations show that the ECSA losses are largely related to Pt dissolution resulting in either catalyst particle growth via the Ostwald ripening mechanism or redeposition in the membrane. Catalyst accessibility measurements showed decreased RH sensitivity for all three samples, while CO impedance measurements revealed a decrease in both Pt-water and carbon-water interactions. This implies that, Pt is either preferentially redepositing on the exterior of the carbon support, or that the ionomer is undergoing morphological changes enabling the enhanced intrusion of mesopores.","Elsevier","","Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States); National Renewable Energy Lab. (NREL), Golden, CO (United States); Argonne National Lab. (ANL), Argonne, IL (United States); Los Alamos National Lab. (LANL), Los Alamos, NM (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Transportation Office. Fuel Cell Technologies Office; USDOE Office of Science (SC), Basic Energy Sciences (BES); USDOE Office of Nuclear Energy (NE), Nuclear Fuel Cycle and Supply Chain. Fuel Cycle Research and Development Program","","United States","2022-12-17T00:00:00Z","English","Journal Article","","Journal Name: Journal of Power Sources; Journal Volume: 556","","Medium: ED; Size: Article No. 232490","","","AC05-00OR22725; AC36-08GO28308; AC02-06CH11357; 89233218CNA000001","Journal ID: ISSN 0378-7753","10.1016/j.jpowsour.2022.232490","","2023-01-19T00:00:00Z","1909088","https://www.osti.gov/biblio/1909088","","Journal of Power Sources","","556"
"The Evolution of LiNi<sub>0.5</sub>Mn<sub>0.3</sub>Co<sub>0.2</sub>O<sub>2</sub> Particle Damage from Fast Charging in Optimized, Full Li-Ion Cells","Preefer, Molleigh B.; Tanim, Tanvir R.; Welborn, Samuel S.; Agyeman-Budu, David N.; Dunlop, Alison R.; Trask, Stephen E.; Dufek, Eric J.; Jansen, Andrew N.; Weker, Johanna Nelson","37 INORGANIC, ORGANIC, PHYSICAL, AND ANALYTICAL CHEMISTRY; Lithium-ion battery; Extreme fast charging; NMC532; 25 ENERGY STORAGE","Fast charging batteries are critical to the widespread adoption of electric vehicles to compete with refueling times of combustion-based vehicles. In the near term, adapting current commercial battery technologies to perform better under fast charging conditions through engineering optimizations will greatly expedite the process while exploratory fast-charging electrode materials are being pursued. To do so, the degradation modes in optimized Li-ion batteries need to be completely explored to understand fast charging limits while maintaining a high energy density and a long cycle life. While lithium plating on graphite still remains a challenge, cathode degradation also plays a key role in battery performance. In this work, we used nano- and micro-X-ray computed tomography to characterize the mechanical degradation of LiNi<sub>0.5</sub>Mn<sub>0.3</sub>Co<sub>0.2</sub>O<sub>2</sub> (NMC532) in optimized Li-ion batteries cycled at three rates, 1C, 6C, and 9C, and at different stages of cycle life, 225 and 600 cycles. We report despite using a conservative upper voltage cutoff limit aimed to minimize extensive cathode degradation, higher charging rates and increased cycling caused the polycrystalline NMC532 particles to fracture and pulverize, which likely drives cathode capacity fade and contributes to the decrease in overall cell performance.","American Chemical Society","","SLAC National Accelerator Lab., Menlo Park, CA (United States). Stanford Synchrotron Radiation Lightsource (SSRL); Argonne National Lab. (ANL), Argonne, IL (United States); Idaho National Lab. (INL), Idaho Falls, ID (United States); Oak Ridge Inst. for Science and Education (ORISE), Oak Ridge, TN (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Transportation Office. Vehicle Technologies Office; USDOE Office of Science (SC), Basic Energy Sciences (BES); USDOE Office of Science (SC), Workforce Development for Teachers and Scientists (WDTS)","","United States","2022-12-12T00:00:00Z","English","Journal Article","","Journal Name: Journal of Physical Chemistry. C; Journal Volume: 126; Journal Issue: 50","","Medium: ED; Size: p. 21196-21204","","INL/JOU-22-69362-Rev000","AC02-76SF00515; AC07-05ID14517; AC02-06CH11357; SC0014664","Journal ID: ISSN 1932-7447","10.1021/acs.jpcc.2c06977","","2023-02-24T00:00:00Z","1908974","https://www.osti.gov/biblio/1908974","","Journal of Physical Chemistry. C","50","126"
"Unravelling the convoluted and dynamic interphasial mechanisms on Li metal anodes","Tan, Sha; Kim, Ju-Myung; Corrao, Adam; Ghose, Sanjit; Zhong, Hui; Rui, Ning; Wang, Xuelong; Senanayake, Sanjaya; Polzin, Bryant J.; Khalifah, Peter; Xiao, Jie; Liu, Jun; Xu, Kang; Yang, Xiao-Qing; Cao, Xia; Hu, Enyuan","25 ENERGY STORAGE; lithium metal battery; interphase; characterization","Accurate understanding of the chemistry of solid-electrolyte interphase (SEI) is key to developing new electrolytes for high-energy batteries using lithium metal (Li<sup>0</sup>) anodes. SEI is generally believed to be formed by the reactions between Li<sup>0</sup> and electrolyte. However, our new study shows this is not the whole story. Through synchrotron-based X-ray diffraction and pair distribution function analysis, we reveal a much more convoluted formation mechanism of SEI, which receives considerable contributions from electrolyte, cathode, moisture and native surface species on Li<sup>0</sup>, with highly dynamic nature during cycling. Using isotope labelling, we traced the origin of LiH to electrolyte solvent, moisture and a new source: the native surface species (LiOH) on pristine Li<sup>0</sup>. When lithium accessibility is very limited as in the case of anode-free cells, LiOH develops into plate-shaped large crystals during cycling. Alternatively, when the lithium source is abundant, as in the case of Li||NMC811 cells, LiOH reacts with Li<sup>0</sup> to form LiH and Li<sub>2</sub>O. While the desired anion-derived LiF-rich SEI is typically found in the concentrated electrolytes or their derivatives, here we found it can also be formed in low-concentration electrolyte via the crosstalk effect, emphasizing the importance of formation cycle protocol and opening up opportunities for low-cost electrolyte development.","Nature Publishing Group","","Brookhaven National Lab. (BNL), Upton, NY (United States); Pacific Northwest National Lab. (PNNL), Richland, WA (United States); Argonne National Lab. (ANL), Argonne, IL (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Transportation Office. Vehicle Technologies Office; USDOE Office of Science (SC), Biological and Environmental Research (BER)","","United States","2022-12-05T00:00:00Z","English","Journal Article","","Journal Name: Nature Nanotechnology; Journal Volume: 18; Journal Issue: 3","","Medium: ED; Size: p. 243-249","","BNL-223812-2022-JAAM","SC0012704; AC05-76RL01830","Journal ID: ISSN 1748-3387","10.1038/s41565-022-01273-3","","2023-03-30T00:00:00Z","1906171","https://www.osti.gov/biblio/1906171","","Nature Nanotechnology","3","18"
"Simultaneous neutron and X-ray tomography for visualization of graphite electrode degradation in fast-charged lithium-ion batteries","Yusuf, Maha; LaManna, Jacob M.; Paul, Partha P.; Agyeman-Budu, David N.; Cao, Chuntian; Dunlop, Alison R.; Jansen, Andrew N.; Polzin, Bryant J.; Trask, Stephen E.; Tanim, Tanvir R.; Dufek, Eric J.; Thampy, Vivek; Steinrück, Hans-Georg; Toney, Michael F.; Nelson Weker, Johanna","25 ENERGY STORAGE; neutron imaging; x-ray imaging; tomography; extreme-fast charging; lithium-ion batteries","Advanced battery characterization using neutron and X-ray-based imaging modalities is crucial to reveal fundamental degradation modes of lithium-ion batteries (LIBs). Taking advantage of the sensitivity of neutrons to some low-Z (Li) and X-rays to high-Z materials (Cu), here we demonstrate the viability of simultaneous neutron and X-ray tomography (NeXT) as a non-destructive imaging platform for ex-situ 3D visualization of graphite electrode degradation following extreme fast charging (XFC). In addition, we underscore the benefits of the simultaneous of NeXT by combining the neutron and X-ray tomography data from the same sample location for material identification and segmentation of one pristine and two XFC-cycled graphite electrodes (9C charge for 450 cycles). Our ex-situ results and methodology development pave the way for the design of NeXT-friendly LIB geometries that will allow operando and/or in-situ 3D visualization of electrode degradation during XFC.","Elsevier","","Brookhaven National Lab. (BNL), Upton, NY (United States); SLAC National Accelerator Lab., Menlo Park, CA (United States). Stanford Synchrotron Radiation Lightsource (SSRL); Argonne National Laboratory (ANL), Lemont, IL (United States). Advanced Photon Source (APS); Idaho National Lab. (INL), Idaho Falls, ID (United States); Argonne National Lab. (ANL), Argonne, IL (United States). Advanced Photon Source (APS)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Transportation Office. Vehicle Technologies Office; National Institute of Standards and Technology (NIST); USDOE Office of Science (SC), Basic Energy Sciences (BES); USDOE Office of Nuclear Energy (NE)","","United States","2022-11-16T00:00:00Z","English","Journal Article","","Journal Name: Cell Reports Physical Science; Journal Volume: 3; Journal Issue: 11","","Medium: ED; Size: Article No. 101145","","BNL-223998-2023-JAAM; INL/JOU-22-67669-Rev001","SC0012704; AC02-76SF00515; AC02-06CH11357; AC07-05ID14517","Journal ID: ISSN 2666-3864","10.1016/j.xcrp.2022.101145","","2023-03-28T00:00:00Z","1924200","https://www.osti.gov/biblio/1924200","https://www.osti.gov/servlets/purl/1924200","Cell Reports Physical Science","11","3"
"Performance of a Novel In-Situ Converted Additive for High Voltage Li-ion Pouch Cells","Azam, Saad; Meisner, Quinton; Aiken, Connor P.; Song, Wentao; Liu, Qian; Yoo, Dong-Joo; Eldesoky, Ahmed; Zhang, Zhengcheng; Dahn, Jeff R.","25 ENERGY STORAGE","In search for new classes of additives for high voltage NMC/graphite lithium-ion cells, the precursor additive bis(trimethylsilyl) malonate (bTMSM) is shown to be activated via a spontaneous reaction with LiPF<sub>6</sub> and LiBF<sub>4</sub> salts in carbonate-based electrolyte to form lithium tetrafluoro(malonato)phosphate (LiTFMP), and lithium difluoro(malonato)borate (LiDFMB), respectively. The reaction schemes and rates were studied via NMR spectroscopy and GCMS. The effects of LiTFMP and LiDFMB on high voltage electrochemical performance were then examined up to 4.5 V in Li[Ni<sub>0.4</sub>Mn<sub>0.4</sub>Co<sub>0.16</sub>]O<sub>2</sub> (NMC442)/graphite and Li[Ni<sub>0.6</sub>Mn<sub>0.4</sub>Co<sub>0.0</sub>]O<sub>2</sub> (NMC/640)/graphite pouch cells using aggressive voltage-hold cycling, long-term charge/discharge cycling, storage experiments, electrochemical impedance spectroscopy, and gas evolution measurements. While in situ converted additives suffer from gassing issues due to the presence of trimethylfluorosilane (TMSF) gas, a side product of the in situ reaction of bTMSM with LiPF<sub>6</sub>, the cycling and storage capability for the activated additives under study shows competitive performance and controlled impedance when compared to other well-known high voltage additives. Micro X-ray fluorescence spectroscopy (μXRF) confirmed that LiTFMP successfully minimizes the rate of transition metal deposition on the surface of graphite apparently by forming a protective agent at the cathode surface, hence allowing for improved cycling performance at high voltages.","IOP Publishing","","Argonne National Lab. (ANL), Argonne, IL (United States)","USDOE; Natural Sciences and Engineering Research Council of Canada (NSERC); Tesla Motors, Canada","","United States","2022-10-31T00:00:00Z","English","Journal Article","","Journal Name: Journal of the Electrochemical Society; Journal Volume: 169; Journal Issue: 10","","Medium: ED; Size: Article No. 100552","","","AC02-06CH11357","Journal ID: ISSN 0013-4651; 180720","10.1149/1945-7111/ac9c36","","2023-02-13T00:00:00Z","1923340","https://www.osti.gov/biblio/1923340","https://www.osti.gov/servlets/purl/1923340","Journal of the Electrochemical Society","10","169"
"Quantifying the Impact of Charge Rate and Number of Cycles on Structural Degeneration of Li-Ion Battery Electrodes","Furat, Orkun (ORCID:0000000316246542); Finegan, Donal P. (ORCID:000000034633560X); Yang, Zhenzhen (ORCID:0000000210733799); Tanim, Tanvir R.; Smith, Kandler (ORCID:0000000170110377); Schmidt, Volker","25 ENERGY STORAGE; crack evolution; lithium-ion electrodes; super-resolution scanning electron microscopy; Lithium-ion battery; cathode particle; aging; statistical image analysis; super-resolution","<jats:p>A quantitative link between crack evolution in lithium-ion positive electrodes and the degrading performance on cells is not yet well established nor is any single technique capable of doing so widely available. Here, we demonstrate a widely accessible high-throughput approach to quantifying crack evolution within electrodes. The approach applies super-resolution scanning electron microscopy (SEM) imaging of cross-sectioned NMC532 electrodes, followed by segmentation and quantification of crack features. Crack properties such as crack intensity, crack width and length are quantified as a function of charge rate (1C, 6C, and 9C) and cycle number (25, 225, and 600 cycles). Hundreds of particles are characterized for statistical confidence in the quantitative crack measurements. The data on crack evolution is compared to electrochemical data from full cells and half cells with the NMC532 positive electrodes. We show that while crack evolution strongly correlates with capacity fade in the first 25 cycles, it does not correlate well for the following hundreds of cycles indicating that cracking may not be the dominant cause of capacity fade throughout the cycle-life of cells.</jats:p>","The Electrochemical Society","","National Renewable Energy Lab. (NREL), Golden, CO (United States); Argonne National Lab. (ANL), Argonne, IL (United States); Idaho National Lab. (INL), Idaho Falls, ID (United States)","USDOE; USDOE Office of Energy Efficiency and Renewable Energy (EERE), Transportation Office. Vehicle Technologies Office; USDOE Office of Energy Efficiency and Renewable Energy (EERE), Office of Sustainable Transportation. Vehicle Technologies Office (VTO)","","United States","2022-10-27T00:00:00Z","English","Journal Article","","Journal Name: Journal of the Electrochemical Society Journal Volume: 169 Journal Issue: 10","","Medium: X; Size: Article No. 100541","","NREL/JA-5700-84781","AC36-08GO28308; AC02-06CH11357","Journal ID: ISSN 0013-4651","10.1149/1945-7111/ac99a1","","2022-11-01T00:00:00Z","1895190","https://www.osti.gov/biblio/1895190","","Journal of the Electrochemical Society","10","169"
"Latticed-Confined Conversion Chemistry of Battery Electrode","Fang, Libin; Li, Haosheng; Xu, Ben Bin; Ma, Jie; Pan, Hongge; He, Qinggang; Zheng, Tianlong; Ni, Wenbin; Lin, Yue; Li, Yangmu; Cao, Yue; Sun, Chengjun; Yan, Mi; Sun, Wenping; Jiang, Yinzhu","25 ENERGY STORAGE; 32 ENERGY CONSERVATION, CONSUMPTION, AND UTILIZATION","The electrochemical conversion reaction, usually featured by multiple redox processes and high specific capacity, holds great promise in developing high energy rechargeable battery technologies. However, the complete structural change accompanied by spontaneous atomic migration and volume variation during the charge/discharge cycle leads to electrode disintegration and performance degradation, therefore severely restricting the application of conventional conversion-type electrodes. Herein, latticed-confined conversion chemistry is proposed, where the “intercalation-like” redox behavior is realized on the electrode with a “conversion-like” high capacity. By delicately formulating the high-entropy compounds, the pristine crystal structure can be preserved by the inert lattice framework, thus enabling an ultra-high initial Coulombic efficiency of 92.5% and a long cycling lifespan over a thousand cycles after the quasistatic charge–discharge cycle. This lattice-confined conversion chemistry unfolds a ubiquitous insight into the localized redox reaction and sheds light on developing high-performance electrodes toward next-generation high-energy rechargeable batteries.","Wiley","","Argonne National Lab. (ANL), Argonne, IL (United States)","Shanghai Synchrotron Radiation Facility (SSRF); USDOE Office of Science (SC), Basic Energy Sciences (BES). Materials Sciences & Engineering Division; National Key Research and Development Program of China; National Natural Science Foundation of China (NSFC); Natural Science Foundation of Zhejiang Province; Fundamental Research Funds for the Central Universities","","United States","2022-10-20T00:00:00Z","English","Journal Article","","Journal Name: Small; Journal Volume: 18; Journal Issue: 48","","Medium: ED; Size: Article No. 2204912","","","AC02-06CH11357","Journal ID: ISSN 1613-6810; 173083","10.1002/smll.202204912","","2023-01-19T00:00:00Z","1909010","https://www.osti.gov/biblio/1909010","","Small","48","18"
"Multimodal quantification of degradation pathways during extreme fast charging of lithium-ion batteries","McShane, Eric J.; Paul, Partha P.; Tanim, Tanvir R.; Cao, Chuntian; Steinrück, Hans-Georg; Thampy, Vivek; Trask, Stephen E.; Dunlop, Alison R.; Jansen, Andrew N.; Dufek, Eric J.; Toney, Michael F.; Weker, Johanna Nelson; McCloskey, Bryan D.","25 ENERGY STORAGE","Enabling fast charging of Li-ion batteries will be a key step towards realizing the technology's full potential in electric vehicles. Currently, fast charging is limited by a variety of processes that reduce cell capacity upon extended cycling. Using a multimodal approach combining incremental capacity analysis (dQ/dV), high energy X-ray diffraction (HEXRD), and mass spectrometry titration (MST), we identify specific degradation mechanisms—including Li plating, dead Li<sub>x</sub>C<sub>6</sub> formation, Li<sub>2</sub>C<sub>2</sub> formation, solid carbonate solid-electrolyte interphase (SEI) deposition, and loss of positive electrode active material (LAM<sub>PE</sub>)—that occur during extended fast charge cycling. We find that Li plating is the major source of capacity loss in cells cycled at 6C, while non-carbonate SEI species deposition on the graphite anode is the main source of capacity loss when cycled at 4C. We also study local degradative phenomena by examining specific ~1–5 cm<sup>2</sup> regions of the cells using HEXRD and MST. Here, we find that plated Li is often collocated with dead Li<sub>x</sub>C<sub>6</sub>, Li<sub>2</sub>C<sub>2</sub>, and solid carbonate SEI species, and these additional species cumulatively account for ~20% of the capacity lost during 6C cycling. Finally, in a cell with an anomalously high amount of LAM<sub>PE </sub>(quantified via dQ/dV), we find that regions of cathode degradation were accompanied by non-carbonate SEI products on the adjacent region of the anode. We postulate that this phenomenon arises due to crosstalk between the electrodes, wherein soluble electrolyte oxidation products formed at the delithiated cathode migrate to the graphite anode and are ultimately deposited on the graphite surface. This work demonstrates the utility of combining multiple characterization techniques to reveal a more holistic understanding of degradative phenomena that occur across multiple length scales during fast charge.","Royal Society of Chemistry","","Brookhaven National Lab. (BNL), Upton, NY (United States); Idaho National Lab. (INL), Idaho Falls, ID (United States); SLAC National Accelerator Lab., Menlo Park, CA (United States); Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States); Argonne National Lab. (ANL), Argonne, IL (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Transportation Office. Vehicle Technologies Office; National Science Foundation (NSF); European Research Council (ERC); USDOE Office of Science (SC), Basic Energy Sciences (BES)","","United States","2022-10-19T00:00:00Z","English","Journal Article","","Journal Name: Journal of Materials Chemistry. A; Journal Volume: 10; Journal Issue: 44","","Medium: ED; Size: p. 23927-23939","","BNL-223995-2023-JAAM","SC0012704; DGE 1106400; 695638; AC0276SF00515; AC07-05ID14517; ACI-1053575","Journal ID: ISSN 2050-7488","10.1039/d2ta05887a","","2023-02-16T00:00:00Z","1924201","https://www.osti.gov/biblio/1924201","","Journal of Materials Chemistry. A","44","10"
