"TITLE","AUTHORS","SUBJECT","DESCRIPTION","PUBLISHER","AVAILABILITY","RESEARCH_ORG","SPONSORING_ORG","CONTRIBUTING_ORG","PUBLICATION_COUNTRY","PUBLICATION_DATE","LANGUAGE","RESOURCE_TYPE","TYPE_QUALIFIER","RELATION","COVERAGE","FORMAT","IDENTIFIER","REPORT_NUMBER","DOE_CONTRACT_NUMBER","OTHER_IDENTIFIER","DOI","RIGHTS","ENTRY_DATE","OSTI_IDENTIFIER","CITATION_URL","PURL_URL","JOURNAL_NAME","JOURNAL_ISSUE","JOURNAL_VOLUME"
"Utilizing CO <sub>2</sub> as a Reactant for C <sub>3</sub> Oxygenate Production via Tandem Reactions","Biswas, Akash N.; Winter, Lea R.; Xie, Zhenhua; Chen, Jingguang G.","03 NATURAL GAS; Catalysts; Chemical reactions; Hydrocarbons; Hydroformylation; Selectivity; CO<sub>2</sub> utilization; C<sub>3</sub> oxygenates; Tandem reactors; Thermocatalysis; Electrocatalysis; Plasma chemistry","One possible solution to closing the loop on carbon emissions is using CO<sub>2</sub> as the carbon source to generate high-value, multi-carbon products. In this Perspective, we describe four tandem reaction strategies for converting CO<sub>2</sub> into C<sub>3</sub> oxygenated hydrocarbon products (i.e., propanal and 1-propanol), using either ethane or water as the hydrogen source: (1) thermocatalytic CO<sub>2</sub>-assisted dehydrogenation and reforming of ethane to ethylene, CO, and H<sub>2</sub>, followed by heterogeneous hydroformylation, (2) one-pot conversion of CO<sub>2</sub> and ethane using plasma-activated reactions in combination with thermocatalysis, (3) electrochemical CO<sub>2</sub> reduction to ethylene, CO, and H<sub>2</sub>, followed by thermocatalytic hydroformylation, and (4) electrochemical CO<sub>2</sub> reduction to CO, followed by electrochemical CO reduction to C<sub>3</sub> oxygenates. We first discuss the proof-of-concept results and key challenges for each tandem scheme, followed by a comparative analysis of the energy costs and prospects for net CO<sub>2</sub> reduction. The use of tandem reaction systems can provide an alternative approach to traditional catalytic processes, and these concepts can be further extended to other chemical reactions and products, thereby opening new opportunities for innovative CO<sub>2</sub> utilization technologies.","American Chemical Society","","Brookhaven National Lab. (BNL), Upton, NY (United States); Columbia Univ., New York, NY (United States)","USDOE Office of Science (SC), Basic Energy Sciences (BES)","","United States","2023-01-13T00:00:00Z","English","Journal Article","","Journal Name: JACS Au Journal Volume: 3 Journal Issue: 2","","Medium: X; Size: p. 293-305","","BNL-224071-2023-JAAM","FG02-13ER16381; SC0009476; SC0012704","Journal ID: ISSN 2691-3704","10.1021/jacsau.2c00533","","2023-04-27T00:00:00Z","1909243","https://www.osti.gov/biblio/1909243","","JACS Au","2","3"
"The XENON100 Dark Matter Experiment","Tziaferi, E","46 INSTRUMENTATION RELATED TO NUCLEAR SCIENCE AND TECHNOLOGY; 79 ASTROPHYSICS, COSMOLOGY AND ASTRONOMY; BACKGROUND RADIATION; COMPUTERIZED SIMULATION; DEPTH 3-6 KM; GALAXY CLUSTERS; LIQUEFIED NATURAL GAS; MONTE CARLO METHOD; NONLUMINOUS MATTER; PARTICLES; SCREENING; SENSITIVITY; SUPERSYMMETRY; UNDERGROUND; UNDERGROUND FACILITIES; WEAK INTERACTIONS; BASIC INTERACTIONS; CALCULATION METHODS; DEPTH; DIMENSIONS; ENERGY SOURCES; FLUIDS; FOSSIL FUELS; FUEL GAS; FUELS; GAS FUELS; GASES; INTERACTIONS; LEVELS; LIQUEFIED GASES; LIQUIDS; MATTER; NATURAL GAS; RADIATIONS; SIMULATION; SYMMETRY","The XENON100 experiment is searching for WIMPs, which are particles that may consist dark matter. It is located in the underground laboratory of Gran Sasso (LNGS) in Italy at a depth of {approx}3600 m.w.e.. The experiment description, its performance and the expected background based on Monte Carlo simulations and material screening along with the projected sensitivities of the experiment are presented. In addition, a brief description of the upgrade XENON100 detector is given.","","","","","","United States","2010-06-23T00:00:00Z","English","Journal Article","","Journal Name: AIP Conference Proceedings; Journal Volume: 1241; Journal Issue: 1; Conference: Conference on invisible universe, Paris (France), 29 Jun - 3 Jul 2009; Other Information: DOI: 10.1063/1.3462671; (c) 2010 American Institute of Physics","","Medium: X; Size: page(s) 458-462","","","","Journal ID: ISSN 0094-243X; APCPCS; TRN: US10B6415008108","10.1063/1.3462671","","2011-04-14T00:00:00Z","21415239","https://www.osti.gov/biblio/21415239","","AIP Conference Proceedings","1","1241"
"Advances, needs highlighted for deep U.S. gas drilling","","03 NATURAL GAS; USA; NATURAL GAS WELLS; WELL DRILLING; DEPTH 3-6 KM; EXPLORATION; EXPLORATORY WELLS; TECHNOLOGY UTILIZATION","Economics of US deep gas exploration and production have improved significantly the past 3 years, one speaker told Gas Research Institute`s Second Deep Gas Forum in Denver in mid-October. Purpose of the 2 day meeting was to discuss the latest practices and technologies for improving deep gas exploration and lowering development costs. Depths considered are generally 15,000 ft and deeper, although the principles apply to many reservoirs several thousand feet shallower. Of particular interest were presentations on deep gas resources; the integrated application of exploration technologies; case studies of deep gas exploration in the Anadarko, Permian, and Rocky Mountain basins; and performance reviews of high priority deep gas plays. This paper summarizes highlights from the meeting.","","","","","","United States","1998-11-30T00:00:00Z","English","Journal Article","","Journal Name: Oil and Gas Journal; Journal Volume: 96; Journal Issue: 48; Other Information: PBD: 30 Nov 1998","","Medium: X; Size: pp. 82-84","","","","Journal ID: OIGJAV; ISSN 0030-1388; TRN: IM9901%%136","","","2009-12-16T00:00:00Z","289384","https://www.osti.gov/biblio/289384","","Oil and Gas Journal","48","96"
"Deep gas poses opportunities, challenges to U.S. operators","Reeves, S R; Kuuskraa, J A; Kuuskraa, V A","03 NATURAL GAS; NATURAL GAS FIELDS; RESOURCE DEVELOPMENT; USA; US GS; PRODUCTIVITY; DEPTH 3-6 KM; WELL DRILLING; COST; WELL COMPLETION; HYDROGEN SULFIDES; CARBON DIOXIDE; COMPILED DATA; RESERVES","The previous article in this series on emerging natural gas resources introduced deep gas--natural gas in deep onshore sedimentary basins (below 15,000 ft)--by presenting a 1996 US Geological Survey assessment for this resource. The USGS estimated that 114 tcf of technically recoverable conventional and nonconventional deep gas remains to be discovered in the Rocky Mountains (57 tcf), Gulf Coast (27 tcf), Alaska (18 tcf), West Texas/New Mexico (4 tcf), and Midcontinent (3 tcf), among others. This article, third in this series and the second on deep gas, takes a closer look at this large and challenging resource by addressing the following key questions: (1) Where are the locations and what are the differences among the major deep gas basins? (2) How successful and active have the deep gas plays been? (3) What obstacles and rewards are likely for developers of deep gas? This article concludes with reviews and case studies of three specific deep gas basins: the mature Anadarko basin, the emerging Green River basin, and the frontier Wind River basin. Reviews of these basins highlight the challenges in finding and producing deep gas, as well as the results and rewards.","","","","","","United States","1998-05-04T00:00:00Z","English","Journal Article","","Journal Name: Oil and Gas Journal; Journal Volume: 96; Journal Issue: 18; Other Information: PBD: 4 May 1998","","Medium: X; Size: pp. 133-146","","","","Journal ID: OIGJAV; ISSN 0030-1388; TRN: IM9812%%186","","","2009-12-16T00:00:00Z","597063","https://www.osti.gov/biblio/597063","","Oil and Gas Journal","18","96"
"Multidiscipline-team solutions address deepwater challenges","","03 NATURAL GAS; 02 PETROLEUM; 42 ENGINEERING NOT INCLUDED IN OTHER CATEGORIES; OIL FIELDS; NATURAL GAS FIELDS; RESERVOIR ENGINEERING; GULF OF MEXICO; RESOURCE DEVELOPMENT; PIPELINES; OFFSHORE PLATFORMS; DEPTH 3-6 KM; ORGANIZING; WELL COMPLETION","Two major operators have joined resources to develop the largest oil and gas discovery made in the Gulf of Mexico in 25 years. The field is expected to produce 100,000 BOPD and 110 MMcf/D of gas from a tension-leg platform (TLP) anchored in 3,000 ft of water. The TLP has a total of 24 slots available for long term development. The field consists of possibly eight reservoirs in five groups at 10,000 to 20,000 ft below sea level. Crude-oil gravities a/nd sulfur content are higher in the field`s shallower reservoirs while the gas/oil ratios are lower. The initial plans were to develop several reservoirs at the same time but to complete each well in only one pay zone. Production will be from lower intervals. The oil will flow 116 miles through an 18- and 24-in. pipeline to a salt-cavern storage site. Gas will flow 55 miles through a 14-in. subsea line to a fixed platform. From there, it will move through a 30-in. line to a gas-processing plant. The ability to develop wells in water depths greater than 2,900 ft will be a milestone in off-shore development.","","","","","","United States","1997-09-01T00:00:00Z","English","Journal Article","","Journal Name: JPT, Journal of Petroleum Technology; Journal Volume: 49; Journal Issue: 9; Other Information: PBD: Sep 1997","","Medium: X; Size: pp. 951-956","","","","Journal ID: JPTJAM; ISSN 0149-2136; TRN: IM9745%%344","","","2009-12-16T00:00:00Z","536505","https://www.osti.gov/biblio/536505","","JPT, Journal of Petroleum Technology","9","49"
"Abiogenic methanogenesis in crystalline rocks","Lollar, B S; Frape, S K; Weise, S M; Fritz, P; Macko, S A; Welhan, J A","03 NATURAL GAS; HYDROGEN; ORIGIN; METHANE; NATURAL GAS DEPOSITS; CARBON 13; DEUTERIUM; HELIUM 3; HELIUM 4; IGNEOUS ROCKS; ISOTOPE RATIO; METAMORPHIC ROCKS; ALKANES; CARBON ISOTOPES; ELEMENTS; EVEN-EVEN NUCLEI; EVEN-ODD NUCLEI; GEOLOGIC DEPOSITS; HELIUM ISOTOPES; HYDROCARBONS; HYDROGEN ISOTOPES; ISOTOPES; LIGHT NUCLEI; MINERAL RESOURCES; NONMETALS; NUCLEI; ODD-ODD NUCLEI; ORGANIC COMPOUNDS; RESOURCES; ROCKS; STABLE ISOTOPES; 030200* - Natural Gas- Reserves, Geology, & Exploration","Isotopically anomalous CH[sub 4]-rich gas deposits are found in mining sites on both the Canadian and Fennoscandian shields. With [delta][sup 13]C[sub CH4] values from -22.4 to -48.5% and [delta]D[sub CH4] values from -133 to -372%, these methane deposits cannot be accounted for by conventional processes for bacterial or thermogenic methanogenesis. Compositionally the gases are similar to other CH[sub 4]-rich gas occurrences found in Canadian and Fennoscandian shield rocks. However, the isotopically anomalous gases of this study are characterized by unexpectedly high concentrations of H[sub 2] gas, ranging from several volume percent up to 30 vol%. The H[sub 2] gases are consistently depleted in the heavy isotope, with [delta]D[sub H[sub 2]] values of -619 to -659%. [sup 3]He/[sup 4]He ratios in the range of 0.4 X 10[sup [minus]8] to 4.4 X 10[sup [minus]8] indicate that there is no resolvable component of mantle-derived He in these deposits. Based on these results a mantle-derived source for the C-bearing gases is unlikely. Several lines of evidence support an alternative abiogenic origin for the gases from Sudbury, Canada, and Juuka and Pori, Finland. The D-depleted H[sub 2] gas and calculated [Delta]D[sub (CH[sub 4]-H[sub 2]]) equilibration temperatures of 110-170[degrees]C at all three sites are in good agreement with results obtained for abiogenically produced CH[sub 4] and H[sub 2] in ophiolite sequences in Oman and the Philippines. Serpentinization and the hydration of ultramafic rocks are the proposed mechanisms for CH[sub 4] and H[sub 2] production in these ophiolite sequences. The widespread occurrence of serpentinized and altered ultramafic rocks at Juuka and at a number of other sites in both Canada and Finland implies that similar mechanisms may be involved in gas production at at least three sites on the shields. Abiogenic processes of CH[sub 4] production may be considerably more widespread than previously anticipated.","","","","","","United States","1993-12-01T00:00:00Z","English","Journal Article","","Journal Name: Geochimica et Cosmochimica Acta; (United States); Journal Volume: 57:23-24","","Medium: X; Size: Pages: 5087-5097","","","","Journal ID: ISSN 0016-7037; CODEN: GCACAK","10.1016/0016-7037(93)90610-9","","2016-05-16T00:00:00Z","5207917","https://www.osti.gov/biblio/5207917","","Geochimica et Cosmochimica Acta; (United States)","","57:23-24"
"Helium isotopes in fluids of the Baykal rift zone","Polyak, B G; Prasolov, E M; Tolstikhin, I N; Kozlovtseva, S V; Kononov, V I; Khutorskoy, M D","03 NATURAL GAS; HELIUM 3; ISOTOPE RATIO; HELIUM 4; METHANE; ORIGIN; SIBERIA; RIFT ZONES; CARBON DIOXIDE; EARTH MANTLE; HYDROCARBONS; INNER MONGOLIA; MAGMA; ALKANES; ASIA; CARBON COMPOUNDS; CARBON OXIDES; CHALCOGENIDES; CHINA; EASTERN EUROPE; EUROPE; EVEN-EVEN NUCLEI; EVEN-ODD NUCLEI; GEOLOGIC STRUCTURES; HELIUM ISOTOPES; ISOTOPES; LIGHT NUCLEI; NUCLEI; ORGANIC COMPOUNDS; OXIDES; OXYGEN COMPOUNDS; RUSSIAN FEDERATION; STABLE ISOTOPES; 030200* - Natural Gas- Reserves, Geology, & Exploration","The isotopic composition of helium in subterranean fluids from 34 locations in southern Siberia and northern Mongolia has been measured. The ratio [sup 3]He/[sup 4]He ranges from radiogenic ([approximately]10[sup [minus]8]) to mantle ([approximately]10[sup [minus]5]) values. For the most part, the hydrocarbon fluids of the Irkutsk amphitheater contain only radiogenic helium; this distinguishes the amphitheater from ancient platforms. In contrast, fluids from the Baykal rift zone are distinguished by the presence of helium with a mantle component; this component reaches almost 100% in thermal fluids in the Tunka basin. The ratios CH[sub 4]/[sup 3]He and (CO[sub 2] + CH[sub 4])/[sup 3]He suggest that the methane and carbon dioxide in the rift zone fluids may be partially magmatogenic; in the Irkutsk amphitheater, on the other other hand, such gases originated as a result of purely crustal processes. The [sup 3]He/[sup 4]He ratio varies along the length of the Baikal rift zone, with decreasing values correlating with decreasing heat flow, increasing thickness of crust, and decreasing dimensions of rift basins. 39 refs., 4 figs., 3 tabs.","","","","","","United States","1993-02-01T00:00:00Z","English","Journal Article","","Journal Name: International Geology Review; (United States); Journal Volume: 35:2","","Medium: X; Size: Pages: 186-202","","","","Journal ID: ISSN 0020-6814; CODEN: IGREAP","10.1080/00206819309465522","","2016-04-18T00:00:00Z","6371893","https://www.osti.gov/biblio/6371893","","International Geology Review; (United States)","","35:2"
"Atmospheric helium isotopic ratio","Hoffman, J H; Nier, A O","54 ENVIRONMENTAL SCIENCES; 02 PETROLEUM; 03 NATURAL GAS; HELIUM 3; ISOTOPE RATIO; HELIUM 4; EARTH ATMOSPHERE; GASES; NATURAL GAS WELLS; OIL WELLS; QUANTITY RATIO; TIME DEPENDENCE; EVEN-EVEN NUCLEI; EVEN-ODD NUCLEI; FLUIDS; HELIUM ISOTOPES; ISOTOPES; LIGHT NUCLEI; NUCLEI; STABLE ISOTOPES; WELLS; 540110*; 540120 - Environment, Atmospheric- Chemicals Monitoring & Transport- (1990-); 020900 - Petroleum- Environmental Aspects; 030800 - Natural Gas- Environmental Aspects","A recent study of the isotopic ratio of helium ([sup 3]He/[sup 4]He) in the terrestrial atmosphere led the individuals who made the investigation to suggest that this ratio is decreasing with time, probably due to anthropogenic release of low isotopic ratio crustal helium from oil and gas wells. The measurements made over an 11 year period from 1977 to 1988 led to the prediction that the rate of decrease was of the order of 1[times]10[sup [minus]9]/yr. Several absolute isotopic ratio measurements made between 1969 and the present time also have been reported. These show a slight decrease in the helium isotopic ratio (much less than the 11 year data set shows). In the present paper, the authors report an unpublished, absolute helium isotopic ratio measurement the authors made in 1956. This value, when combined with the previously reported results, extends the time over which such measurements were made to a 32 year period and does not confirm that there is any decrease in the helium isotopic ratio in the atmosphere over this time. 12 refs., 1 fig., 1 tab.","","","","","","United States","1993-01-22T00:00:00Z","English","Journal Article","","Journal Name: Geophysical Research Letters (American Geophysical Union); (United States); Journal Volume: 20:2","","Medium: X; Size: Pages: 121-123","","","","Journal ID: ISSN 0094-8276; CODEN: GPRLAJ; TRN: 93-006095","10.1029/93GL00112","","2009-12-17T00:00:00Z","6702181","https://www.osti.gov/biblio/6702181","","Geophysical Research Letters (American Geophysical Union); (United States)","","20:2"
"A review of sup 3 He resources and acquisition for use as fusion fuel","Wittenberg, L J; Camerson, E N; Kulcinski, G L; Ott, S H; Santarius, J F; Sviatoslavsky, G I; Sviatoslavsky, I N; Thompson, H E","70 PLASMA PHYSICS AND FUSION TECHNOLOGY; Ma; HELIUM 3; RESOURCES; THERMONUCLEAR REACTORS; DEUTERIUM; FISSION; ISOTOPE SEPARATION; MOON; NATURAL GAS; NUCLEAR FUELS; PRODUCTION; REMOTE SENSING; REVIEWS; SOLAR WIND; THERMONUCLEAR REACTIONS; TITANIUM OXIDES; USES; CHALCOGENIDES; DOCUMENT TYPES; ENERGY SOURCES; EVEN-ODD NUCLEI; FLUIDS; FOSSIL FUELS; FUEL GAS; FUELS; GAS FUELS; GASES; HELIUM ISOTOPES; HYDROGEN ISOTOPES; ISOTOPES; LIGHT NUCLEI; MATERIALS; NUCLEAR REACTIONS; NUCLEI; NUCLEOSYNTHESIS; ODD-ODD NUCLEI; OXIDES; OXYGEN COMPOUNDS; REACTOR MATERIALS; SATELLITES; SEPARATION PROCESSES; SOLAR ACTIVITY; STABLE ISOTOPES; SYNTHESIS; TITANIUM COMPOUNDS; TRANSITION ELEMENT COMPOUNDS; 700480* - Fusion Technology- Component Development; Materials Studies- (1992-)","This paper reports that a combination of man-made and natural resources on earth could provide sufficient {sup 3}He fuel for the technological development of D-{sup 3}He fusion reactors. Helium exists in natural gas wells; however, at the current rate of natural gas usage, this resource would provide {lt}5 kg/yr of {sup 3}He. The radioactive decay of {sup 3}H produced in fission production reactors could yield 110 kg of {sup 3}He by the year 2000 if it were retained. Apparently, a large amount of {sup 3}He exists within the earth's mantle, but it is inaccessible. A significant quantity of {sup 3}He, which could be imported to supply a fusion power industry on earth for hundreds of years, exists on the moon. The solar wind has deposited {gt}1 million tonnes of {sup 3}He in the fine regolith that covers the surface of the moon. The presence of this solar wind gas was confirmed by analyses of the lunar regolith samples brought to earth. A strong correlation is noted between the helium retained and the TiO{sub 2} content of the regolith; consequently, remote-sensing data showing high-titanium-bearing soils in the lunar maria areas have been used to locate potentially rich sites for helium extraction. Surface photographs of Mare Tranquillitatis have shown that nearly 50% of this mare may be minable and capable of supplying {approximately}7100 tonnes of {sup 3}He. A mobile mining vehicle is proposed for use in the excavation of the soil and the release of the helium and other solar wind gases. The evolved gases would be purified by a combination of permeators and cryogenic techniques to provide a rich resource of H{sub 2}, helium, CO{sub 2}, H{sub 2}O, and N{sub 2}, followed by helium isotopic separation systems.","","","","","","United States","1992-07-01T00:00:00Z","English","Journal Article","","Journal Name: Fusion Technology; (United States); Journal Volume: 21:4","","Medium: X; Size: Pages: 2230-2253","","","","Journal ID: ISSN 0748-1896; CODEN: FUSTE","","","2009-12-17T00:00:00Z","7275748","https://www.osti.gov/biblio/7275748","","Fusion Technology; (United States)","","21:4"
"Coiled tubing velocity string set at record 20,500 ft","Adams, L S","03 NATURAL GAS; NATURAL GAS WELLS; WELL COMPLETION; WELL RECOVERY EQUIPMENT; COST; DEPTH 3-6 KM; TEXAS; TUBES; DEPTH; DEVELOPED COUNTRIES; DIMENSIONS; EQUIPMENT; FEDERAL REGION VI; FIELD PRODUCTION EQUIPMENT; NORTH AMERICA; USA; WELLS; 030300* - Natural Gas- Drilling, Production, & Processing","This paper reports that coiled tubing, set at record depth, significantly reduced costs and posed lower mechanical failure risk for recompleting a gas well in the Delaware basin of West Texas. Alternative completions such as replacing the existing tubing string with smaller diameter conventional API production tubing was deemed less economical and effective. The gas well, George M. Shelton No. 2, was recompleted on July 18, 1991, by Chevron U.S.A. Production Co. The gas is produced from the deep, low-pressure Ellenburger formation in the Gomez field. The hang-off depth of 20,500 ft set a world record for the deepest permanently installed coiled tubing. The 1-1/2 in. coiled tubing velocity string, run within the existing 4-1/2 and 4-in. tapered production tubing string, consists of seven segments that vary in wall thickness from 0.087 to 0.156 in.","","","","","","United States","1992-04-13T00:00:00Z","English","Journal Article","","Journal Name: Oil and Gas Journal; (United States); Journal Volume: 90:15","","Medium: X; Size: Pages: 44-46","","","","Journal ID: ISSN 0030-1388; CODEN: OIGJA","","","2009-12-16T00:00:00Z","5539743","https://www.osti.gov/biblio/5539743","","Oil and Gas Journal; (United States)","","90:15"
