"TITLE","AUTHORS","SUBJECT","DESCRIPTION","PUBLISHER","AVAILABILITY","RESEARCH_ORG","SPONSORING_ORG","CONTRIBUTING_ORG","PUBLICATION_COUNTRY","PUBLICATION_DATE","LANGUAGE","RESOURCE_TYPE","TYPE_QUALIFIER","RELATION","COVERAGE","FORMAT","IDENTIFIER","REPORT_NUMBER","DOE_CONTRACT_NUMBER","OTHER_IDENTIFIER","DOI","RIGHTS","ENTRY_DATE","OSTI_IDENTIFIER","CITATION_URL","PURL_URL","JOURNAL_NAME","JOURNAL_ISSUE","JOURNAL_VOLUME"
"Tuning Alkaline Anion Exchange Membranes through Crosslinking: A Review of Synthetic Strategies and Property Relationships","Clemens, Auston L. (ORCID:000000031939169X); Jayathilake, Buddhinie S.; Karnes, John J. (ORCID:0000000229178406); Schwartz, Johanna J. (ORCID:0000000237096478); Baker, Sarah E.; Duoss, Eric B.; Oakdale, James S.","08 HYDROGEN; 30 DIRECT ENERGY CONVERSION; 36 MATERIALS SCIENCE; 25 ENERGY STORAGE; anion exchange membranes; crosslinking; electrolysis; fuel cells; alkaline stability; membrane synthesis","Alkaline anion exchange membranes (AAEMs) are an enabling component for next-generation electrochemical devices, including alkaline fuel cells, water and CO<sub>2 </sub>electrolyzers, and flow batteries. While commercial systems, notably fuel cells, have traditionally relied on proton-exchange membranes, hydroxide-ion conducting AAEMs hold promise as a method to reduce cost-per-device by enabling the use of non-platinum group electrodes and cell components. AAEMs have undergone significant material development over the past two decades; however, challenges remain in the areas of durability, water management, high temperature performance, and selectivity. In this review, we survey crosslinking as a tool capable of tuning AAEM properties. While crosslinking implementations vary, they generally result in reduced water uptake and increased transport selectivity and alkaline stability. We survey synthetic methodologies for incorporating crosslinks during AAEM fabrication and highlight necessary precautions for each approach.","MDPI AG","","Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States)","USDOE National Nuclear Security Administration (NNSA); USDOE Laboratory Directed Research and Development (LDRD) Program","","Switzerland","2023-03-20T00:00:00Z","English","Journal Article","","Journal Name: Polymers Journal Volume: 15 Journal Issue: 6","","Medium: X; Size: Article No. 1534","","LLNL-JRNL-830519","AC52-07NA27344","Journal ID: ISSN 2073-4360; POLYCK; PII: polym15061534","10.3390/polym15061534","","2023-03-22T00:00:00Z","1962434","https://www.osti.gov/biblio/1962434","","Polymers","6","15"
"Control of nanoparticle dispersion, SEI composition, and electrode morphology enables long cycle life in high silicon content nanoparticle-based composite anodes for lithium-ion batteries","Schulze, Maxwell C.; Urias, Fernando; Dutta, Nikita S.; Huey, Zoey; Coyle, Jaclyn; Teeter, Glenn; Doeren, Ryan; Tremolet de Villers, Bertrand J.; Han, Sang-Don; Neale, Nathan R.; Carroll, G. Michael","30 DIRECT ENERGY CONVERSION; 25 ENERGY STORAGE; anode; battery; electrochemical energy storage; lithium ion battery; silicon","Striking a balance between high theoretical capacity, earth abundance, and compatibility with existing manufacturing infrastructure, silicon is one of the few materials that meet the requirements for a next-generation anode for rechargeable lithium-ion batteries. Due to complications with extreme volume changes during charging/discharging and reactive interfacial chemistries, the cycle life of silicon-based composite anodes is unacceptable for broad use. Developing a majority silicon composite anode formulation that overcomes these challenges and is compatible with current industrial manufacturing practices requires materials and chemical engineering solutions that account for both electrode morphology and interfacial chemistry. Here, we synthesize surface-functionalized silicon nanocrystals that enable a highly dispersed and homogeneous slurry that can easily be integrated into a standard electrode fabrication process. We use this formulation to fabricate a 76 wt% silicon composite electrode. We show that the contents and the morphology of the silicon electrolyte interphase – a determining factor for the cycle life of silicon-based anodes – can be controlled with a post-synthetic thermal curing procedure. The curing process removes the organic surface functional groups used initially to enable dispersion in the slurry. Removing the organic surface coating reduces the cell impedance, improves the silicon utilization for lithium storage, and boosts the coulombic efficiency to values > 99.9% when electrochemically cycled. When paired with a capacity-matched lithium nickel manganese cobalt oxide LiNi<sub>0.8</sub>Mn<sub>0.1</sub>Co<sub>0.1</sub>O<sub>2</sub> cathode, the cell retains 72% of its capacity after 1000 charge/discharge cycles while delivering an initial anode specific capacity of nearly 1000 mA h g<sup>-1</sup> and an areal capacity of 2.55 mA h cm<sup>-2</sup>.","Royal Society of Chemistry (RSC)","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Office of Sustainable Transportation. Vehicle Technologies Office (VTO); USDOE Laboratory Directed Research and Development (LDRD) Program","","United Kingdom","2023-03-07T00:00:00Z","English","Journal Article","","Journal Name: Journal of Materials Chemistry. A Journal Volume: 11 Journal Issue: 10","","Medium: X; Size: p. 5257-5266","","NREL/JA-5900-82857","AC36-08GO28308","Journal ID: ISSN 2050-7488; JMCAET","10.1039/D2TA08935A","","2023-03-09T00:00:00Z","1924591","https://www.osti.gov/biblio/1924591","","Journal of Materials Chemistry. A","10","11"
"NOx formation from ammonia, and its effects on oxy-combustion of hydrocarbon fuels under supercritical-CO2 conditions","Gokulakrishnan, Ponnuthurai; Shao, Jiankun; Klassen, Michael S.; Davidson, David F.; Hanson, Ronald K. (ORCID:0000000280305327)","30 DIRECT ENERGY CONVERSION; 20 FOSSIL-FUELED POWER PLANTS; 03 NATURAL GAS; 10 SYNTHETIC FUELS; high-pressure oxy-combustion; super-critical CO2; shock tubes; chemical kinetics; mechanism; ammonia","NO<sub>x</sub> formation from ammonia impurities and its effects on fuel oxidation is not well understood for high-pressure supercritical CO<sub>2</sub> oxy-combustion conditions. This effect is investigated computationally and experimentally in the present work. A chemical kinetic analysis revealed that the reaction between NH radical and CO<sub>2</sub> plays an important role in determining the rate of NO<sub>x</sub> formation at these conditions. It was also found that a significant reduction in the NO<sub>x</sub> formation from ammonia oxidation occurs with sCO<sub>2</sub> oxy-combustion at 300 atm when compared to traditional gas turbine conditions. A chemical reactor network simulation of realistic sCO<sub>2</sub> cycle conditions confirmed the reduced NO<sub>x</sub> emissions. Monte Carlo simulations used to study the sensitivity of model input variables on the emissions showed that CO<sub>2</sub> cooling impacts the CO emissions while most of the NO<sub>x</sub> are generated in the flame zone. Uncertainty analysis showed that the reaction between NH and CO<sub>2</sub> to form HNO radical is an important contributor to the model uncertainty under sCO<sub>2</sub> oxy-combustion conditions. The presence of combustion-generated NO<sub>x</sub> in the recycled-CO<sub>2</sub> can impact the fuel oxidation in the primary zone of the combustor. Hence, to understand the effect of NO<sub>x</sub> on ignition, high-pressure shock tube ignition delay time experiments were performed at conditions relevant to sCO<sub>2</sub> oxy-combustion. The ignition delay time measurements were made for syngas and CH<sub>4</sub> fuels with and without NO addition under supercritical conditions using CO<sub>2</sub> as the bulk diluent at nominal pressures around 100 atm. Experimental data showed that the presence of NO promotes ignition at these conditions. The effect is more pronounced for CH<sub>4</sub> compared to syngas. Nitric oxide acts as a chemical catalyst to promote ignition by increasing the combustion radical pool. The catalytic cycle involves the conversion of NO to NO<sub>2</sub> which also contributes to CH<sub>4</sub> oxidation by H-atom abstraction to generate CH<sub>3</sub> radical.","Elsevier","","Combustion Science & Engineering, Inc., Columbia, MD (United States)","USDOE Office of Science (SC), Engineering & Technology. Office of Small Business Innovation Research (SBIR) and Small Business Technology Transfer (STTR) Programs","","United Kingdom","2023-03-01T00:00:00Z","English","Journal Article","","Journal Name: Applications in Energy and Combustion Science Journal Volume: 13 Journal Issue: C","","Medium: X; Size: Article No. 100110","","","SC0019634","Journal ID: ISSN 2666-352X; S2666352X2200053X; 100110; PII: S2666352X2200053X","10.1016/j.jaecs.2022.100110","","2023-01-03T00:00:00Z","1907314","https://www.osti.gov/biblio/1907314","","Applications in Energy and Combustion Science","C","13"
"Impact of automated battery sorting for mineral recovery from lithium-ion battery recycling in the United States","Weigl, Dustin; Young, David","30 DIRECT ENERGY CONVERSION; 25 ENERGY STORAGE; battery recycling; battery sorting; electric vehicles; lithium-ion batteries; system dynamics","The United States has identified several lithium-ion battery materials as critical for reaching the national emission reduction targets that have been set in accordance with the 2015 Paris Agreement. However, with few natural resources available domestically, there is a rapidly growing focus on the development of a domestic recycling industry to recover these materials from end-of-life batteries. Here, we use the Lithium-Ion Battery Resources Assessment (LIBRA) system dynamics model to evaluate the impact of automated battery sorting technology in terms of the shares of cobalt and nickel that are recovered through recycling. Findings show that automated sorting has clear benefits over manual sorting methods by helping recyclers selectively process high-cobalt batteries. By maximizing cobalt recovery, recycling becomes more profitable and drives greater investment in recycling capacity, resulting in a higher share of nickel and cobalt recovered from EOL batteries over time.","Elsevier","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Office of Sustainable Transportation. Vehicle Technologies Office (VTO); USDOE","","United States","2023-02-24T00:00:00Z","English","Journal Article","","Journal Name: Resources, Conservation and Recycling; Journal Volume: 192","","Medium: ED; Size: Article No. 106936","","NREL/JA-5400-84067","AC36-08GO28308","Journal ID: ISSN 0921-3449; MainId:84840;UUID:3d5555f8-cd9a-4bb8-9a20-ac7f6c53003b;MainAdminID:69035","10.1016/j.resconrec.2023.106936","","2023-03-28T00:00:00Z","1962036","https://www.osti.gov/biblio/1962036","","Resources, Conservation and Recycling","","192"
"Conjugated Imine Polymer Synthesized via Step‐Growth Metathesis for Highly Stable Silicon Nanoparticle Anodes in Lithium‐Ion Batteries","Martin, Trevor R.; Rynearson, Leah; Kuller, Mackenzie; Quinn, Joseph; Wang, Chongmin; Lucht, Brett; Neale, Nathan R.","30 DIRECT ENERGY CONVERSION; 25 ENERGY STORAGE; conjugated polymers; lithium-ion batteries; nanoparticles; silicon anodes","This work reports a new method to synthesize polyphenylmethanimine (polyPMI) as a linear or a hyperbranched, conjugated polymer using an aldehyde-imine metathesis reaction. This work details the reaction mechanisms of this polymerization by characterizing a red-shift in its absorption spectrum as polymer conjugation length increases and verifies that this optical shift results from extended p-condensation using density functional theory. This new synthetic approach provides a polymer that can potentially be depolymerized for facile recyclability and is compatible with air- and water-sensitive chemistries. As an example of the utility of this new approach, this work demonstrates that this polymer can be directly grown on silicon nanoparticles to create silicon anodes for lithium-ion batteries with a high degree of electrochemical interfacial passivation. These silicon anodes exhibit Coulombic efficiencies above 99.9% and can accommodate silicon nanoparticle expansion and contraction during lithiation and delithiation as demonstrated by stable reversible capacities for 500 cycles. Finally, this work demonstrates that polyPMI facilitates the formation of a lithium fluoride rich solid electrolyte interphase that remains chemically and mechanically stable after long term cycling.","Wiley Blackwell (John Wiley & Sons)","","National Renewable Energy Lab. (NREL), Golden, CO (United States); Pacific Northwest National Lab. (PNNL), Richland, WA (United States)","USDOE; USDOE Office of Energy Efficiency and Renewable Energy (EERE), Office of Sustainable Transportation. Vehicle Technologies Office (VTO)","","Germany","2023-02-17T00:00:00Z","English","Journal Article","","Journal Name: Advanced Energy Materials Journal Volume: 13 Journal Issue: 13","","Medium: X","","NREL/JA-5900-85615","DE‐AC36‐08GO28308; AC36-08GO28308","Journal ID: ISSN 1614-6832; 2203921","10.1002/aenm.202203921","","2023-04-10T00:00:00Z","1957663","https://www.osti.gov/biblio/1957663","","Advanced Energy Materials","13","13"
"Energy Demand of Nitrogen and Phosphorus Based Fertilizers and Approaches to Circularity","Daramola, Damilola A.; Hatzell, Marta C.","03 NATURAL GAS; 30 DIRECT ENERGY CONVERSION; 32 ENERGY CONSERVATION, CONSUMPTION, AND UTILIZATION; 54 ENVIRONMENTAL SCIENCES; Resource Recovery; Nutrient Recovery; Electrified Water Treatment; Blue Ammonia; Green Ammonia","The climate-related concerns associated with the manufacturing of synthetic fertilizers are largely traced back to energy and carbon emissions during the chemical manufacturing of ammonia. However, synthetic fertilizers are made up of several macronutrients (nitrogen, phosphorus, and potassium), each with different energy intensities and environmental impacts. With the movement toward resource circularity, there is a need to create a more holistic view regarding the process energy associated with synthetic inorganic fertilizers, including nitrogen and phosphorus. Here, we first describe the growing production and consumption of inorganic (synthetic) and organic (animal waste) nutrients in agriculture as well as the process energy associated with the production of granular phosphorus and nitrogen-based fertilizers. Next, we present a projected global demand of nitrogen and phosphorus consumption based on various sustainability and societal equity scenarios to make an argument for the viability of nutrient recovery in addition to nutrient synthesis to meet this demand. Finally, we discuss the characteristics and challenges of emerging technologies for nutrient recovery along with a baseline of current operational recovery facilities.","American Chemical Society","","Ohio Univ., Athens, OH (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE); Center for Advancing Sustainable and Distributed Fertilizer Production (CASFER)","","United States","2023-02-17T00:00:00Z","English","Journal Article","","Journal Name: ACS Energy Letters Journal Volume: 8 Journal Issue: 3","","Medium: X; Size: p. 1493-1501","","","EE0009502; EEC-2133576","Journal ID: ISSN 2380-8195","10.1021/acsenergylett.2c02627","","2023-03-14T00:00:00Z","1957677","https://www.osti.gov/biblio/1957677","","ACS Energy Letters","3","8"
"Baselining Activity and Stability of ORR Catalysts and Electrodes for Proton Exchange Membrane Fuel Cells for Heavy-Duty Applications","Wang, X. (ORCID:0000000330569858); Hu, L. (ORCID:0000000329991576); Neyerlin, K. C. (ORCID:0000000267539698); Ahluwalia, R. K. (ORCID:0000000290311907)","30 DIRECT ENERGY CONVERSION; catalyst durability; heavy-duty applications; oxygen reduction reaction kinetics; oxygen transport in cathode catalysts; polymer electrolyte fuel cells; Pt alloy catalysts","<p> Activity and stability of electrodes with Pt and PtCo alloy catalysts supported on high surface area carbon, hereafter to as a-Pt/C and d-PtCo/C, were evaluated for heavy-duty applications. Both catalysts had nearly identical Pt loading (50-wt% Pt on carbon and 0.25 mg <sub>Pt</sub> cm <sup>−2</sup> ) and had undergone thermal treatment to stabilize them by growing the average particle size to 4–5 nm. Both were subjected to 90,000 (90 k) standard accelerated stress tests (AST) cycles consisting of 0.6–0.95 V square wave potentials, 3-s hold at upper and lower potential limits in H <sub>2</sub> /N <sub>2</sub> at 1.5 atm, 80 °C and 100% RH. Test protocols were developed to monitor the performance losses and characterize them in terms of activity for the oxygen reduction reaction (ORR), oxygen transport in the electrode and proton transport in the membrane and cathode catalyst layer. Despite the nearly double initial ORR activity, the PtCo/C electrode degraded faster due to the leaching of Co from the catalyst that had started even before the imposition of the AST potential cycles. Commensurate with Co leaching, Co poisoning of ionomer is responsible for the inferior performance of d-PtCo/C electrode at high current densities both before and after AST. </p>","The Electrochemical Society","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE; USDOE Office of Energy Efficiency and Renewable Energy (EERE), Transportation Office. Fuel Cell Technologies Office; Million Mile Fuel Cell Truck (M2FCT) Consortia","","United States","2023-02-10T00:00:00Z","English","Journal Article","","Journal Name: Journal of the Electrochemical Society Journal Volume: 170 Journal Issue: 2","","Medium: X; Size: Article No. 024503","","NREL/JA-5900-85214","WBS 1.5.0.402; AC36-08GO28308; AC02-06CH11357","Journal ID: ISSN 0013-4651","10.1149/1945-7111/acb847","","2023-02-14T00:00:00Z","1924144","https://www.osti.gov/biblio/1924144","","Journal of the Electrochemical Society","2","170"
"Optimized purification methods for metallic contaminant removal from directly recycled Li-ion battery cathodes","Fink, Kae; Gasper, Paul; Major, Joshua; Brow, Ryan; Schulze, Maxwell C.; Colclasure, Andrew M.; Keyser, Matthew A.","25 ENERGY STORAGE; 30 DIRECT ENERGY CONVERSION; black mass; metallic contamination; direct recycling; lithium-ion battery recycling; purification","<p> Metallic contaminants pose a significant challenge to the viability of directly recycling Li-ion batteries. To date, few strategies exist to selectively remove metallic impurities from mixtures of shredded end-of-life material (black mass; BM) without concurrently damaging the structure and electrochemical performance of the target active material. We herein present tailored methods to selectively ionize two major contaminants—Al and Cu—while retaining a representative cathode (LiNi <sub>0.33</sub> Mn <sub>0.33</sub> Co <sub>0.33</sub> O <sub>2</sub> ; NMC-111) intact. This BM purification process is conducted at moderate temperatures in a KOH-based solution matrix. We rationally evaluate approaches to increase both the kinetic corrosion rate and the thermodynamic solubility of Al <sup>0</sup> and Cu <sup>0</sup> , and evaluate the impact of these treatment conditions on the structure, chemistry, and electrochemical performance of NMC. Specifically, we explore the impacts of chloride-based salts, a strong chelating agent, elevated temperature, and sonication on the rate and extent of contaminant corrosion, while concurrently evaluating the effects on NMC. The reported BM purification process is then demonstrated on samples of “simulated BM” containing a practically relevant 1 wt% concentration of Al or Cu. Increasing the kinetic energy of the purifying solution matrix through elevated temperature and sonication accelerates the corrosion of metallic Al and Cu, such that ∼100% corrosion of 75 μm Al and Cu particles is achieved within 2.5 hr. Further, we determine that effective mass transport of ionized species critically impacts the efficacy of Cu corrosion, and that saturated Cl <sup>–</sup> hinders rather than accelerates Cu corrosion by increasing solution viscosity and introducing competitive pathways for Cu surface passivation. The purification conditions do not induce bulk structural damage to NMC, and electrochemical capacity is maintained in half-cell format. Testing in full cells suggests that a limited quantity of residual surface species are present after treatment, which initially disrupt electrochemical behavior at the graphite anode but are subsequently consumed. Process demonstration on simulated BM suggests that contaminated samples—which prior to treatment show catastrophic electrochemical performance—can be recovered to pristine electrochemical capacity. The reported BM purification method offers a compelling and commercially viable solution to address contamination, particularly in the “fine” fraction of BM where contaminant sizes are on the same order of magnitude as NMC and where traditional separation approaches are unfeasible. Thus, this optimized BM purification technique offers a pathway towards viable direct recycling of BM feedstocks that would otherwise be unusable. </p>","Frontiers Media SA","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE; USDOE Office of Energy Efficiency and Renewable Energy (EERE), Office of Sustainable Transportation. Vehicle Technologies Office (VTO)","","Switzerland","2023-02-08T00:00:00Z","English","Journal Article","","Journal Name: Frontiers in Chemistry Journal Volume: 11","","Medium: X","","NREL/JA-5700-83991","AC36-08GO28308","Journal ID: ISSN 2296-2646; 1094198","10.3389/fchem.2023.1094198","","2023-02-10T00:00:00Z","1923839","https://www.osti.gov/biblio/1923839","","Frontiers in Chemistry","","11"
"Towards deep computer vision for in-line defect detection in polymer electrolyte membrane fuel cell materials","Yan, Alfred; Rupnowski, Peter; Guba, Nalinrat; Nag, Ambarish","30 DIRECT ENERGY CONVERSION; anomaly detection; defect detection; electrode; object detection; PEM; pinhole","Polymer Electrolyte Membrane (PEM) fuel cells are a promising source of alternative energy. However, their production is limited by a lack of well-established methods for quality control of their constituent materials like the membrane-electrode assembly during roll-to-roll manufacturing. One potential solution is the implementation of deep learning methods to detect unwanted defects through their detection in scanned images. Here we explore the detection of defects like scratches, pinholes, and scuffs in a sample dataset of PEM optical images using two deep learning algorithms: Patch Distribution Modeling (PaDiM) for unsupervised anomaly detection and Faster-RCNN for supervised object detection. Both methods achieve scores on performance metrics (ROC-AUC and PRO-AUC for PaDiM and AP for Faster-RCNN) that are comparable to their scores on benchmark datasets. These methods also have the potential to detect a wider range of defects compared to IR thermography and previous optical inspection methods. Overall, deep learning shows promise at detecting relevant defects of interest and has the potential to achieve real-time defect detection.","Elsevier","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Office of Sustainable Transportation. Hydrogen Fuel Cell Technologies Office (HFTO); USDOE Office of Science (SC), Workforce Development for Teachers and Scientists (WDTS)","","United States","2023-02-01T00:00:00Z","English","Journal Article","","Journal Name: International Journal of Hydrogen Energy","","Medium: ED","","NREL/JA-2C00-85189","AC36-08GO28308","Journal ID: ISSN 0360-3199; MainId:85962;UUID:10ac6d8a-b88a-47dc-9bd1-82f715ba1264;MainAdminID:69057","10.1016/j.ijhydene.2023.01.257","","2023-03-28T00:00:00Z","1962041","https://www.osti.gov/biblio/1962041","","International Journal of Hydrogen Energy","",""
"Anolyte Enhances Catalyst Utilization and Ion Transport Inside a CO<sub>2</sub> Electrolyzer Cathode","Saha, Prantik; Henckel, Danielle; Intia, Fry; Hu, Leiming; Van Cleve, Tim; Neyerlin, K. C.","30 DIRECT ENERGY CONVERSION; carbon capture; catalyst utilization; CCUS; CO2 electrolyzer; CO2 reduction; ionic accessibility","Electrochemical CO<sub>2</sub> reduction is a promising technology to capture and convert CO<sub>2</sub> to valuable chemicals. High Faradaic efficiencies of CO<sub>2</sub> reduction products are achieved with zero-gap alkaline CO<sub>2</sub> electrolyzers with a supporting electrolyte at the anode (anolyte). Herein, we investigate the effect of anolyte on the electrode properties such as catalyst utilization, ionic accessibility etc. of a CO<sub>2</sub> reduction cathode using electrochemical techniques and cell configurations that avoid the complexities related to co-electrolysis. Using 1M KOH as the anolyte and a Cu gas-diffusion-electrode with low Nafion content as the model CO<sub>2</sub> reduction electrode, we find that electrode capacitance (proxy for electrochemically active surface area) and ionic conductivity inside the cathode increase approximately 4 and 447 times, respectively, in presence of KOH. Liquid anolyte wets the electrode’s pore structure more efficiently than capillary condensation of feed water vapor. The ionomer coverage is very low, and its distribution inside the electrode is highly fragmented. Surface ion conduction mechanisms inside the electrode are orders of magnitude lower than the bulk ion conduction in presence of anolyte. This study shows that when an anolyte (e.g., KOH) is used, catalyst utilization and ionic accessibility inside the electrode increase significantly.","IOP Publishing","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Office of Sustainable Transportation. Bioenergy Technologies Office (BETO); USDOE Laboratory Directed Research and Development (LDRD) Program; Shell's New Energies Research and Technology (NERT)","","United States","2023-01-26T00:00:00Z","English","Journal Article","","Journal Name: Journal of the Electrochemical Society; Journal Volume: 170; Journal Issue: 1","","Medium: ED; Size: Article No. 014505","","NREL/JA-5900-83259","AC36-08GO28308","Journal ID: ISSN 0013-4651; MainId:84032;UUID:fda6dbae-6734-41c2-a3c6-f5d1c3661818;MainAdminID:68913","10.1149/1945-7111/acb01d","","2023-03-15T00:00:00Z","1959958","https://www.osti.gov/biblio/1959958","https://www.osti.gov/servlets/purl/1959958","Journal of the Electrochemical Society","1","170"
