"TITLE","AUTHORS","SUBJECT","DESCRIPTION","PUBLISHER","AVAILABILITY","RESEARCH_ORG","SPONSORING_ORG","CONTRIBUTING_ORG","PUBLICATION_COUNTRY","PUBLICATION_DATE","LANGUAGE","RESOURCE_TYPE","TYPE_QUALIFIER","RELATION","COVERAGE","FORMAT","IDENTIFIER","REPORT_NUMBER","DOE_CONTRACT_NUMBER","OTHER_IDENTIFIER","DOI","RIGHTS","ENTRY_DATE","OSTI_IDENTIFIER","CITATION_URL","PURL_URL","JOURNAL_NAME","JOURNAL_ISSUE","JOURNAL_VOLUME"
"Diurnal variation of the fair-weather atmospheric electric field in Binchuan, China","Wu, Jiahao; Zou, Ziming; Chen, Tao; Li, Yunlong; Lu, Yang; Ti, Shuo; Li, Lei","54 ENVIRONMENTAL SCIENCES; atmospheric electric field; diurnal variation under fair-weather; aerosol concentration; sunrise and sunset effect","With the purpose of understanding the variation of fair-weather atmospheric electric field, the vertical component of atmospheric electric field (recorded as Ez) has been measured in the town Binchuan (25°50'N, 100°34'E, 1438.7 m asl) of Dali city, Yunnan, China from June 14, 2017 to December 1, 2020. Automatic measured visual range is used as a proxy of aerosol concentration. The mean diurnal variation curve of the fair-weather Ez in Binchuan, having two peaks occurred at around 9LT and 20LT, shows little correlation with the well-known Carnegie Curve and other two high-latitude sites' Curves. While strong negative correlation between fair-weather Ez and visual range is found, indicating the variation of fair-weather is dominated by aerosol concentration. The main source of aerosol concentration variation probably sunrise and sunset effect. We support our findings by comparing Ez, visual range with sunrise and sunset times. The peaks (troughs) of Ez (visual range) are proved to have weak correlations with anthropogenic pollution through comparing the Ez, visual range under workdays and holidays.","Elsevier","ORNL","Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States). Atmospheric Radiation Measurement (ARM) Data Center","USDOE Office of Science (SC), Biological and Environmental Research (BER); Chinese Academy of Sciences; National Natural Science Foundation of China (NSFC)","","United States","2023-11-21T00:00:00Z","English","Journal Article","","Journal Name: Journal of Atmospheric and Solar-Terrestrial Physics; Journal Volume: 242","","Medium: ED; Size: Article No. 105985","","","AC05-76RL01830; WX145XQ07-06; XDA17010301; XDA15052500; XDA15350201; 41874175; 41931073","Journal ID: ISSN 1364-6826","10.1016/j.jastp.2022.105985","","2022-12-30T00:00:00Z","1906788","https://www.osti.gov/biblio/1906788","","Journal of Atmospheric and Solar-Terrestrial Physics","","242"
"Probabilistic feasibility assessment of sequestration reliance for climate targets","Matamala, Yolanda; Flores, Francisco; Arriet, Andrea; Khan, Zarrar; Feijoo, Felipe","54 ENVIRONMENTAL SCIENCES; nationally determined contributions; Paris agreement; chance constraint; carbon neutrality; carbon dioxide capture and storage","Countries worldwide are transforming their energy systems to achieve Carbon-Neutrality. Investing in renewable resources-based technologies and implementing Carbon Capture and Storage (CCS) are common strategies to achieve higher sequestration levels. Negative emissions through Bioenergy with CCS are expected to play an essential role in the transition to full decarbonization. On top of that, biomass is a limited resource that depends on environmental factors, which create uncertainties related to the amount that can be sustainably provided to the energy system. Here this study emphasizes the relevance of variability in carbon sequestration for achieving climate targets by 2050. Here this paper proposes a probabilistic approach that integrates the Global Change Analysis Model for Latin America (GCAM-LA) with a chance constraint approach. GCAM-LA is used to assess the impact on the energy sector of different limits of sustainable biomass and carbon budget scenarios. The risk associated with exceeding the sequestration capacity of a given region is modeled via Chance Constraint. Results show that electrification is an appropriate long-term decarbonization strategy. It smoothes the effects of uncertainty in sequestration capacity and responds to end-user demands. For this case study, higher levels of electrification are obtained at likelihood levels >66% for end-use sectors.","Elsevier","","Pacific Northwest National Lab. (PNNL), Richland, WA (United States)","USDOE Office of Science (SC); Agencia Nacional de Investigación y Desarrollo de Chile (ANID)","","United States","2023-06-01T00:00:00Z","English","Journal Article","","Journal Name: Energy; Journal Volume: 272","","Medium: ED; Size: Article No. 127160","","PNNL-SA-182206","AC05-76RL01830","Journal ID: ISSN 0360-5442","10.1016/j.energy.2023.127160","","2023-04-14T00:00:00Z","1969001","https://www.osti.gov/biblio/1969001","","Energy","","272"
"Cost and Life Cycle Analysis for Deep CO <sub>2</sub> Emissions Reduction for Steel Making: Direct Reduced Iron Technologies","Zang, Guiyan; Sun, Pingping; Elgowainy, Amgad; Bobba, Pallavi; McMillan, Colin; Ma, Ookie; Podkaminer, Kara; Rustagi, Neha; Melaina, Marc; Koleva, Mariya","54 ENVIRONMENTAL SCIENCES; 29 ENERGY PLANNING, POLICY, AND ECONOMY; CO2 emissions; direct reduced iron; energy switching; life cycle analysis; steelmaking; techno-economic analysis","We report that among heavy industrial sectors worldwide, the steel industry ranks first in carbon dioxide (CO<sub>2</sub>) emissions. Technologies that produce direct reduced iron (DRI) enable the industry to reduce emissions or even approach net-zero CO<sub>2</sub> emissions for steel production. This study uses comprehensive cradle to gate (CTG) life cycle analysis (LCA) and techno-economic analysis (TEA) to evaluate the CO<sub>2</sub> emissions of three DRI technologies. Compared to the baseline of blast furnace and basic oxygen furnace (BF-BOF) technology for steel making, using NG to produce DRI has the potential to reduce CTG CO<sub>2</sub> emissions by 33%. When 83% or 100% renewable H<sub>2</sub> is used for DRI production, DRI technologies can potentially reduce CO<sub>2</sub> emissions by 57% and 67%, respectively, compared to baseline BF-BOF technology. However, the renewable H<sub>2</sub> application for DRI increases the levelized cost of steel (LCOS). When renewable natural gas (RNG) and clean electricity are used for steel production, the CTG CO<sub>2</sub> emissions of all the DRI technologies can potentially be reduced by more than 90% compared to the baseline BF-BOF technology, although the LCOS depends largely on the cost of RNG and clean electricity.","Wiley Blackwell (John Wiley & Sons)","","National Renewable Energy Lab. (NREL), Golden, CO (United States); Argonne National Lab. (ANL), Argonne, IL (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Transportation Office. Fuel Cell Technologies Office; USDOE Office of Energy Efficiency and Renewable Energy (EERE), Strategic Programs Office","","Germany","2023-04-26T00:00:00Z","English","Journal Article","","Journal Name: Steel Research International","","Medium: X","","NREL/JA-6A20-81859","AC36-08GO28308; AC02-06CH11357","Journal ID: ISSN 1611-3683; 2200297","10.1002/srin.202200297","","2023-05-01T00:00:00Z","1971545","https://www.osti.gov/biblio/1971545","","Steel Research International","",""
"Genetic determinants of switchgrass-root-associated microbiota in field sites spanning its natural range","Edwards, Joseph A.; Saran, Usha Bishnoi; Bonnette, Jason; MacQueen, Alice; Yin, Jun; Nguyen, Tu uyen; Schmutz, Jeremy; Grimwood, Jane; Pennacchio, Len A.; Daum, Chris; Glavina del Rio, Tijana; Fritschi, Felix B.; Lowry, David B.; Juenger, Thomas E.","59 BASIC BIOLOGICAL SCIENCES; 54 ENVIRONMENTAL SCIENCES; microbiome; immunity; plant microbiome; GWAS; heritability; pattern-triggered immunity; switchgrass; biofuel feedstocks","A fundamental goal in plant microbiome research is to determine the relative impacts of host and environmental effects on root microbiota composition, particularly how host genotype impacts bacterial community composition. Most studies characterizing the effect of plant genotype on root microbiota undersample host genetic diversity and grow plants outside of their native ranges, making the associations between host and microbes difficult to interpret. Here, we characterized the root microbiota of a large diversity panel of switchgrass, a North American native C4 bioenergy crop, in three field locations spanning its native range. Our data, composed of 1,961 samples, suggest that field location is the primary determinant of microbiome composition; however, substantial heritable variation is widespread across bacterial taxa, especially those in the Sphingomonadaceae family. Despite diverse compositions, relatively few highly prevalent taxa make up the majority of the switchgrass root microbiota, a large fraction of which is shared across sites. Local genotypes preferentially recruit/filter for local microbes, supporting the idea of affinity between local plants and their microbiota. Using genome-wide association, we identified loci impacting the abundance of >400 microbial strains and found an enrichment of genes involved in immune responses, signaling pathways, and secondary metabolism. We found loci associated with over half of the core microbiota (i.e., microbes in >80% of samples), regardless of field location. Finally, we show a genetic relationship between a basal plant immunity pathway and relative abundances of root microbiota. Furthermore, this study brings us closer to harnessing and manipulating beneficial microbial associations via host genetics.","Elsevier","","Univ. of Texas at Austin, TX (United States)","USDOE Office of Science (SC), Biological and Environmental Research (BER); USDOE Office of Science (SC), Basic Energy Sciences (BES). Scientific User Facilities (SUF); USDA National Institute of Food and Agriculture","","United States","2023-04-19T00:00:00Z","English","Journal Article","","Journal Name: Current Biology","","Medium: ED","","","SC0014156; SC0021126; AC02-05CH11231; SC0018409; 2019-67012-2971","Journal ID: ISSN 0960-9822","10.1016/j.cub.2023.03.078","","2023-04-24T00:00:00Z","1970495","https://www.osti.gov/biblio/1970495","https://www.osti.gov/servlets/purl/1970495","Current Biology","",""
"Seasonal and Morphological Controls on Nitrate Retention in Arctic Deltas","Knights, Deon; Piliouras, Anastasia; Schwenk, Jon; Hariharan, Jayaram; Russoniello, Christopher","54 ENVIRONMENTAL SCIENCES","Estimates of nitrate loading to the Arctic Ocean are limited by the lack of field observations within deltas partly due to logistical constraints. To overcome this limitation, we use a remote sensing framework to estimate retention of nitrate in Arctic deltas. We achieve this by coupling hydrological and biogeochemical process models at the network scale for five major Arctic deltas. Binary masks of delta channels were used to simulate flow direction and magnitude through networks. Models were parameterized using historical and seasonal observations. Simulated nitrate retention ranged from 2.9% to 15% of the incoming load. Retention rates were largest during winter but smallest during spring conditions when increased discharges export large nitrate masses to the coast. Under future climate scenarios, retention rates fall by ~1%–10%. Arctic deltas have an important effect on the magnitude of nitrate entering Arctic seas and the inclusion of processing in deltas can improve flux estimates.","American Geophysical Union (AGU)","","Los Alamos National Lab. (LANL), Los Alamos, NM (United States)","USDOE Office of Science (SC); USDOE Laboratory Directed Research and Development (LDRD) Program; National Science Foundation (NSF); University of Texas; West Virginia University","","United States","2023-04-16T00:00:00Z","English","Journal Article","","Journal Name: Geophysical Research Letters Journal Volume: 50 Journal Issue: 7","","Medium: X","","LA-UR-22-32180","89233218CNA000001; EAR-1952914","Journal ID: ISSN 0094-8276; e2022GL102201","10.1029/2022GL102201","","2023-04-04T00:00:00Z","1967536","https://www.osti.gov/biblio/1967536","","Geophysical Research Letters","7","50"
"Soil Respiration Responses to Throughfall Exclusion Are Decoupled From Changes in Soil Moisture for Four Tropical Forests, Suggesting Processes for Ecosystem Models","Cusack, Daniela F.; Dietterich, Lee H.; Sulman, Benjamin N.","54 ENVIRONMENTAL SCIENCES; Panama; soil carbon cycling; carbon dioxide; throughfall exclusion; CORPSE model; soil temperature; air temperature","Climatic drying is predicted for many tropical forests yet models remain poorly parameterized for these ecosystems, hampering predictions of forest-climate interactions. We applied an integrated model–experiment approach, parameterizing an ecosystem model with tropical forest observational data and comparing model predictions to a field drying manipulation. We hypothesized that drying suppresses soil CO<sub>2</sub> fluxes (i.e., respiration) in relatively dry tropical forests but increases CO<sub>2</sub> fluxes in wetter tropical forests by alleviating anaerobiosis. We measured soil CO<sub>2</sub> fluxes during wet-dry cycles from 2015 to 2022 in four Panamanian forests that vary in rainfall and soil fertility. Measured soil CO<sub>2</sub> fluxes declined in the dry season and peaked in the early wet season ahead of peak soil moisture, resulting in lower soil moisture optima for respiration than previously modeled. We then parameterized the model using field data and the new moisture-respiration response functions. The updated model predicted increased soil CO<sub>2</sub> fluxes with drying in wetter and fertile forests and suppressed fluxes in drier, infertile forests. In contrast to model predictions, a chronic throughfall exclusion experiment initially suppressed soil respiration across forests, with sustained suppression for four years in the wettest forest only (-28% ± 4% during the dry season). In the fertile forest, drying eventually elevated CO<sub>2</sub> fluxes over this period (+75% ± 28% during the late wet season). The unexpected negative drying effect in the wettest, infertile forest could have resulted from reduced vertical flushing of nutrients into soils. Including hydro-nutrient interactions in ecosystem models could improve predictions of tropical forest-climate feedbacks.","American Geophysical Union (AGU)","","Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)","USDOE Office of Science (SC), Biological and Environmental Research (BER)","","United States","2023-04-13T00:00:00Z","English","Journal Article","","Journal Name: Global Biogeochemical Cycles Journal Volume: 37 Journal Issue: 4","","Medium: X","","","AC05-00OR22725; SC0015898","Journal ID: ISSN 0886-6236; e2022GB007473","10.1029/2022GB007473","","2023-04-17T00:00:00Z","1969752","https://www.osti.gov/biblio/1969752","","Global Biogeochemical Cycles","4","37"
"Mycorrhiza Better Predict Soil Fungal Community Composition and Function than Aboveground Traits in Temperate Forest Ecosystems","Fitch, Amelia A.; Lang, Ashley K.; Whalen, Emily D.; Helmers, Eliza M.; Goldsmith, Sarah G.; Pries, Caitlin Hicks","54 ENVIRONMENTAL SCIENCES; Mycorrhiza; enzyme activity; soil organic matter; fungal community composition; northeast forest ecosystem; extracellular enzymes; temperate forests; tree species; soil fungal communities; mycorrhizal fungi","Forests in the northeastern US are experiencing shifts in community composition due to the northward migration of warm-adapted tree species and certain species’ declines (for example, white ash and eastern hemlock) due to invasive insects. Changes in belowground fungal communities and associated functions will inevitably follow. Therefore, we sought to investigate the relative importance of two important tree characteristics—mycorrhizal type [ectomycorrhizal (EcM) or arbuscular mycorrhizal (AM)] and leaf habit (deciduous or evergreen) on soil fungal community composition and organic matter cycling. We sampled soil in the organic and mineral horizons beneath two AM-associated (Fraxinus americana and Thuja occidentalis) and two ECM-associated tree species (Betula alleghaniensis and Tsuga canadensis), with an evergreen and deciduous species in each mycorrhizal group. To characterize fungal communities and organic matter decomposition beneath each tree species, we sequenced the ITS1 region of fungal DNA and measured the potential activity of carbon- and nitrogen-targeting extracellular enzymes. Each tree species harbored distinct fungal communities, supporting the need to consider both mycorrhizal type and leaf habit. However, between tree characteristics, mycorrhizal type better predicted fungal communities. Across fungal guilds, saprotrophic fungi were the most important group in shaping fungal community differences in soils beneath all tree species. The effect of leaf habit on carbon- and nitrogen-targeting hydrolytic enzymes depended on tree mycorrhizal association in the organic horizon, while oxidative enzyme activities were higher beneath EcM-associated trees across both soil horizons and leaf habits.","Springer","","Dartmouth College, Hanover, NH (United States)","USDOE Office of Science (SC), Biological and Environmental Research (BER)","University of Wisconsin Madison Biotechnology Center","United States","2023-04-12T00:00:00Z","English","Journal Article","","Journal Name: Ecosystems","","Medium: ED","","","SC0020228","Journal ID: ISSN 1432-9840","10.1007/s10021-023-00840-6","","2023-05-01T00:00:00Z","1971371","https://www.osti.gov/biblio/1971371","https://www.osti.gov/servlets/purl/1971371","Ecosystems","",""
"Increased U.S. coastal hurricane risk under climate change","Balaguru, Karthik; Xu, Wenwei; Chang, Chuan-Chieh; Leung, L. Ruby; Judi, David R.; Hagos, Samson M.; Wehner, Michael F.; Kossin, James P.; Ting, Mingfang","54 ENVIRONMENTAL SCIENCES","Several pathways for how climate change may influence the U.S. coastal hurricane risk have been proposed, but the physical mechanisms and possible connections between various pathways remain unclear. Here, future projections of hurricane activity (1980–2100), downscaled from multiple climate models using a synthetic hurricane model, show an enhanced hurricane frequency for the Gulf and lower East coast regions. The increase in coastal hurricane frequency is driven primarily by changes in steering flow, which can be attributed to the development of an upper-level cyclonic circulation over the western Atlantic. The latter is part of the baroclinic stationary Rossby waves forced mainly by increased diabatic heating in the eastern tropical Pacific, a robust signal across the multimodel ensemble. Last, these heating changes also play a key role in decreasing wind shear near the U.S. coast, further aggravating coastal hurricane risk enhanced by the physically connected steering flow changes.","AAAS","","Pacific Northwest National Lab. (PNNL), Richland, WA (United States); Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States)","USDOE Office of Science (SC), Biological and Environmental Research (BER)","","United States","2023-04-07T00:00:00Z","English","Journal Article","","Journal Name: Science Advances; Journal Volume: 9; Journal Issue: 14","","Medium: ED; Size: Article No. eadf0259","","PNNL-SA-177556","AC05-76RL01830; AC02-05CH11231","Journal ID: ISSN 2375-2548","10.1126/sciadv.adf0259","","2023-04-24T00:00:00Z","1970368","https://www.osti.gov/biblio/1970368","https://www.osti.gov/servlets/purl/1970368","Science Advances","14","9"
"Molecular Imaging Reveals Two Distinct Mixing States of PM<sub>2.5</sub> Particles Sampled in a Typical Beijing Winter Pollution Case","Li, Ye; Zhou, Yadong; Guo, Wenxiao; Zhang, Xin; Huang, Ye; He, Erkai; Li, Runkui; Yan, Beizhan; Wang, Hailong; Mei, Fan; Liu, Min; Zhu, Zihua","54 ENVIRONMENTAL SCIENCES; PM2.5; mixing state; 3-D molecular imaging; surface chemistry; core-shell structure","Mixing states of aerosol particles are crucial for understanding the role of aerosols in influencing air quality and climate. However, a fundamental understanding of the complex mixing states is still lacking because most traditional analysis techniques only reveal bulk chemical and physical properties with limited surface and 3-D information. In this research, 3-D molecular imaging enabled by ToF-SIMS was used to elucidate the mixing states of PM<sub>2.5</sub> samples obtained from a typical Beijing winter haze event. In light pollution cases, a thin organic layer covers separated inorganic particles, while in serious pollution cases, ion exchange and an organic-inorganic mixing surface on large-area particles were observed. Finally, the new results provide key 3-D molecular information of mixing states, which is highly desirable for reducing uncertainty and bias in representing aerosol-cloud interactions in current Earth System Models, and improving the understanding of aerosols on air quality and human health.","American Chemical Society (ACS)","","Pacific Northwest National Lab. (PNNL), Richland, WA (United States)","USDOE Office of Science (SC), Biological and Environmental Research (BER); USDOE Laboratory Directed Research and Development (LDRD) Program; National Key Research and Development Program of China; National Natural Science Foundation of China (NSFC); Jiangsu Province Key Research and Development Program; China Postdoctoral Science Foundation; Fundamental Research Funds for the Central Universities","","United States","2023-04-06T00:00:00Z","English","Journal Article","","Journal Name: Environmental Science and Technology; Journal Volume: 57; Journal Issue: 15","","Medium: ED; Size: p. 6273-6283","","PNNL-SA-169463","AC05-76RL01830; 2020YFC1806700; 42230505; 42206148; 41730646; BE2022837; 2020M671047; E0E48914X2","Journal ID: ISSN 0013-936X","10.1021/acs.est.2c08694","","2023-05-01T00:00:00Z","1971325","https://www.osti.gov/biblio/1971325","","Environmental Science and Technology","15","57"
"Characterizing uncertainty in Community Land Model version 5 hydrological applications in the United States","Yan, Hongxiang (ORCID:000000022387403X); Sun, Ning (ORCID:0000000240944482); Eldardiry, Hisham; Thurber, Travis B.; Reed, Patrick M.; Malek, Keyvan; Gupta, Rohini; Kennedy, Daniel; Swenson, Sean C.; Wang, Linying (ORCID:0000000308769220); Li, Dan; Vernon, Chris R. (ORCID:0000000234066214); Burleyson, Casey D. (ORCID:0000000162189361); Rice, Jennie S. (ORCID:0000000278339456)","54 ENVIRONMENTAL SCIENCES; climate sciences; hydrology","<title>Abstract</title> <p>Land surface models such as the Community Land Model Version 5 (CLM5) are essential tools for simulating the behavior of the terrestrial system. Despite the extensive application of CLM5, limited attention has been paid to the underlying uncertainties associated with its hydrological parameters and how these uncertainties affect water resource applications. To address this long-standing issue, we use five meteorological datasets to conduct a comprehensive hydrological parameter uncertainty characterization of CLM5 over the hydroclimatic gradients of the conterminous United States. Key datasets produced from the uncertainty characterization experiment include: a benchmark dataset of CLM5 default hydrological performance, parameter sensitivities for 28 hydrological metrics, and large-ensemble outputs for CLM5 hydrological predictions. The presented datasets will assist CLM5 calibration and support broad applications, such as evaluating drought and flood vulnerabilities. The datasets can be used to identify the hydroclimatological conditions under which parametric uncertainties demonstrate substantial effects on hydrological predictions and clarify where further investigations are needed to understand how hydrological prediction uncertainties interact with other Earth system processes.</p>","Nature Publishing Group","","Pacific Northwest National Lab. (PNNL), Richland, WA (United States); Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States). National Energy Research Scientific Computing Center (NERSC)","USDOE Office of Science (SC)","","United Kingdom","2023-04-06T00:00:00Z","English","Journal Article","","Journal Name: Scientific Data Journal Volume: 10 Journal Issue: 1","","Medium: X","","PNNL-SA-177243","AC05-76RL01830; AC02-05CH11231; BER-ERCAP0019925","Journal ID: ISSN 2052-4463; 187; PII: 2049","10.1038/s41597-023-02049-7","","2023-04-10T00:00:00Z","1968639","https://www.osti.gov/biblio/1968639","","Scientific Data","1","10"
