"TITLE","AUTHORS","SUBJECT","DESCRIPTION","PUBLISHER","AVAILABILITY","RESEARCH_ORG","SPONSORING_ORG","CONTRIBUTING_ORG","PUBLICATION_COUNTRY","PUBLICATION_DATE","LANGUAGE","RESOURCE_TYPE","TYPE_QUALIFIER","RELATION","COVERAGE","FORMAT","IDENTIFIER","REPORT_NUMBER","DOE_CONTRACT_NUMBER","OTHER_IDENTIFIER","DOI","RIGHTS","ENTRY_DATE","OSTI_IDENTIFIER","CITATION_URL","PURL_URL","JOURNAL_NAME","JOURNAL_ISSUE","JOURNAL_VOLUME"
"Wall diffuser velocity effects on American Shad (<em>Alosa sapidissima</em>) inside a fishway entrance channel","Mulligan, Kevin B.; Rojas, M.; Towler, B.; Lake, B.; Palmer, R.","13 HYDRO ENERGY; 54 ENVIRONMENTAL SCIENCES; fish passage; attraction; Alosa sapidissima; upstream migration; fish behavior","Attraction water for fishways is typically introduced through a diffuser inside the entrance channel, often through the floor or wall. In the spring of 2019, this laboratory study examined how 151 adult American Shad (Alosa sapidissima) responded to different gross velocities through a wall diffuser inside a full-scale fishway entrance channel. Two velocity conditions were studied, 0.152 m/s and 0.305 m/s, both without turning vanes inside the auxiliary water channel. The fish were tracked using the passive integrated transponder telemetry technique. The results of the experiments showed no difference in American Shad behavior when exhibited to the low and high velocity treatments. Moreover, shad passed the diffuser in roughly 3 out of every 4 attempts, regardless of the treatment. However, the similarity in shad behavior and passage performance is believed to be more of a result of the similarity in flow fields that resulted from the lack of flow guidance devices inside the auxiliary water channel. Furthermore, these findings therefore highlight the importance of properly maintained flow guidance devices, an often-overlooked component of an auxiliary water system.","Taylor & Francis","","Univ. of Massachusetts, Amherst, MA (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Renewable Power Office. Water Power Technologies Office","","United States","2023-03-09T00:00:00Z","English","Journal Article","","Journal Name: Journal of Ecohydraulics; Related Information: https://www.sciencebase.gov/catalog/item/63937474d34e0de3a1efe158","","Medium: ED; Size: p. 1-14","","","EE0008340","Journal ID: ISSN 2470-5357","10.1080/24705357.2023.2176376","","2023-03-23T00:00:00Z","1960503","https://www.osti.gov/biblio/1960503","","Journal of Ecohydraulics","",""
"Using energy storage systems to extend the life of hydropower plants","Bhatti, Bilal Ahmad; Hanif, Sarmad; Alam, Jan E.; Mitra, Bhaskar; Kini, Roshan L.; Wu, Di","13 HYDRO ENERGY; 25 ENERGY STORAGE; economic analysis; energy storage system; hybrid operation; hydro turbines; power system operation","Despite their advantages, distributed energy resources (DERs) bring inherent uncertainty and variability into the landscape of modern power systems. As DER penetration grows, conventional generators like hydropower plants have to respond more often to arrest the imbalance in the net load. Hydropower turbines provide their best operational performance with minimal wear and tear when operating at regions of maximum efficiency. However, the current needs for hydropower plants require them to operate under varying load conditions and thus sub-optimal operating points leading to additional stress. To relieve the hydropower plants, this paper proposes a hybridization strategy where a hydropower unit is paired with an energy storage system (ESS) to increase operational flexibility and mitigate damage to the hydro plant. Models are developed to represent the operation of the hybrid system, quantify degradation, and assess economic benefits. Moreover, an innovative controller disaggregates the market dispatch signal into separate control setpoints for the ESS and hydropower unit. In case studies performed on a real-world hydropower facility, it was found that the ESS-based hybridization can extend the life of the hydropower plant by 5% on average. Notably, the economic benefits from reduced maintenance and deferred investment are estimated to be around $3.6 million.","Elsevier","","Pacific Northwest National Lab. (PNNL), Richland, WA (United States)","USDOE Office of Electricity (OE)","","United States","2023-03-04T00:00:00Z","English","Journal Article","","Journal Name: Applied Energy; Journal Volume: 337","","Medium: ED; Size: Article No. 120894","","PNNL-SA-174080","AC05-76RL01830","Journal ID: ISSN 0306-2619","10.1016/j.apenergy.2023.120894","","2023-04-07T00:00:00Z","1968035","https://www.osti.gov/biblio/1968035","","Applied Energy","","337"
"Hydropower flexibility valuation tool for flow requirement evaluation","Roni, Mohammad; Mosier, Thomas; Li, Binghui; Alam, S.M Shafiul; Durvasulu, Venkat; Lawson, Beth; Steindorf, Dave; Pracheil, Brenda; Chalishazar, Vishvas","13 HYDRO ENERGY; 97 MATHEMATICS AND COMPUTING; hydropower flexibility; optimization; electricity market; reservoir operation","Timing of generation is becoming more and more valuable. This creates greater potential tension between environmental and power system objectives since both systems require their own flow patterns. Identifying win–win outcomes in this context requires being able to discuss the value of flexibility across stakeholder groups. This research proposes a two-stage optimization method to understand hydropower flexibility to meet both environmental and power system requirements. The tool simulates the two-settlement market process in the U.S. by maximizing revenues from both the day-ahead and real-time markets, subject to plant operational limits, regulatory flow and ramping requirements, and uncertainties associated with water availability and market prices. The model is formulated as linear programming problems and solved using IBM ILOG CPLEX optimizer. By examining a range of flow requirements, ramping constraints, and storage capacities, the proposed tool shows how to make more informed decisions to weigh the cost of specific flow requirements in the context of the overall license requirements. Results from the case study show that revenue is more sensitive to the ramping constraints than the minimum flow constraints. We also demonstrate that removing flow constraints in a dry month increases monthly revenue by up to 118%, as opposed to only 1% in a wet month. In addition, our results suggest that using a learning-based water flow forecast results in an increase of monthly revenue up to 6.4% compared with persistence forecast.","Elsevier","","Pacific Northwest National Lab. (PNNL), Richland, WA (United States); Idaho National Lab. (INL), Idaho Falls, ID (United States); Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Renewable Power Office. Water Power Technologies Office","","United States","2022-12-06T00:00:00Z","English","Journal Article","","Journal Name: Energy Reports; Journal Volume: 9","","Medium: ED; Size: p. 217-228","","PNNL-SA-176968; INL/JOU-22-67899","AC05-76RL01830; AC07-05ID14517","Journal ID: ISSN 2352-4847","10.1016/j.egyr.2022.11.172","","2023-02-10T00:00:00Z","1922390","https://www.osti.gov/biblio/1922390","https://www.osti.gov/servlets/purl/1922390","Energy Reports","","9"
"Evaluation of Nominal Energy Storage at Existing Hydropower Reservoirs in the US","Hansen, Carly; Ghimire, Ganesh R.; Kao, Shih-Chieh","13 HYDRO ENERGY; nominal energy storage; hydropower reservoirs; conventional hydropower; HESC data set; storage behavior","Long-term planning and operation of hydropower reservoirs require an understanding of both water and energy storage. As energy storage needs of the evolving grid increase, we must account for the water and energy storage potential of these reservoirs. Given the limitations of current data on existing hydropower, we compile statistics related to storage volume and hydraulic head from publicly available data sets and examine differences in descriptions of US hydropower storage. Assembled characteristics are used to calculate nominal energy storage capacity, a simple measure of potential to generate power from a given volume of water, not factoring in detailed constraints. Inventory-based estimates of energy storage are calculated at 2,075 dams, which helps put the potential for US hydropower to support energy storage in context with similar evaluations in other regions and with other energy storage technologies. The national energy storage capacity ranges between 34.5 and 45.1 TWh depending on the information used, with 52% of energy storage located at the 10 largest reservoirs in the US. Energy storage capacities are also calculated at 236 dams with historical volume and elevation data. Finally, reservoir inflows provide context for the storage volumes and sensitivities to hydrologic variability. Larger reservoirs with greater storage volume to inflow ratios are concentrated in the Western US, but the majority of hydropower reservoirs store less than the annual inflow. We address several infrastructure and water resource informatics challenges and highlight remaining issues, including representing seasonal or shorter variability in water volumes and representing connected hydropower facilities.","American Geophysical Union (AGU)","","Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Renewable Power Office. Water Power Technologies Office","","United States","2022-11-14T00:00:00Z","English","Journal Article","","Journal Name: Water Resources Research; Journal Volume: 58; Journal Issue: 11","","Medium: ED; Size: Article No. e2022WR032210","","","AC05-00OR22725","Journal ID: ISSN 0043-1397","10.1029/2022wr032210","","2022-12-08T00:00:00Z","1899021","https://www.osti.gov/biblio/1899021","https://www.osti.gov/servlets/purl/1899021","Water Resources Research","11","58"
"Hydropower operation in future power grid with various renewable power integration","De Silva, Thushara; Jorgenson, Jennie; Macknick, Jordan; Keohan, Nicholas; Miara, Ariel; Jager, Henriette; Pracheil, Brenda","13 HYDRO ENERGY; variable renewable energy; renewable energy; production cost model; eastern interconnection; local marginal prices; North American renewable integration study; Southeastern electric reliability council; New York independent system operator; Florida reliability coordinating council; Tennessee Valley Authority","Hydropower generation may play an increasingly important role in the power grid under increasing contribution of variable renewable sources such as wind and solar. An improved understanding of the changes to hydropower dispatch under future higher VRE grid conditions reveals research gap that should be informed power grid planning and reservoir water releases policies considering multiple other water uses and varying hydrologic condition. This study aims to understand the role of hydropower in a changing power grid by employing a production cost model, PLEXOS, across future power system scenarios, planning horizons, and regions. We explore optimized hydropower dispatch to understand its potential role in minimizing the system cost and renewable curtailment. We also examine the sensitivity of hydropower revenue under various grid scenarios of the Eastern U.S. and hydrology conditions. Results indicate hydropower generation follows net load and compensates for the variability of solar and wind generation. Although energy prices are lower during some periods in the future grid scenarios, there is a potential for higher revenue for hydropower by providing both energy and ancillary services during times of stress. Additionally, hydropower revenue is sensitive to hydrology in the SERC region, which we considered as an example. The feasibility of hydropower dispatching with higher ramps between low and high hourly-capacity factors, as indicated in the optimization model, requires further study to consider other water use and ecology constraints.","Elsevier","","Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States); National Renewable Energy Lab. (NREL), Golden, CO (United States); Pacific Northwest National Lab. (PNNL), Richland, WA (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Renewable Power Office. Water Power Technologies Office","","United States","2022-11-14T00:00:00Z","English","Journal Article","","Journal Name: Renewable Energy Focus; Journal Volume: 43; Journal Issue: 0","","Medium: ED; Size: p. 329-339","","","AC05-00OR22725; AC36-08GO28308","Journal ID: ISSN 1755-0084","10.1016/j.ref.2022.11.001","","2023-01-06T00:00:00Z","1907229","https://www.osti.gov/biblio/1907229","","Renewable Energy Focus","0","43"
"Seasonality and trade in hydro-heavy electricity markets: A case study with the West Africa Power Pool (WAPP)","Kanyako, Franklyn; Lamontagne, Jonathan; Baker, Erin; Turner, Sean; Wild, Thomas","13 HYDRO ENERGY; hydroelectricity generation; powerplants; electricity; West Africa; energy access electricity cost","Hydroelectric power plants account for 25% of West Africa's total installed capacity. In general, electricity generated by these plants is seasonal and intra-annual fluctuation has a considerable impact on electricity supply and cross-border electricity trade. We soft-linked a global hydrologic model to a multi-region capacity expansion and planning model for the West Africa Power Pool (WAPP) to examine the effects of seasonality in hydropower electricity generation on electricity trade, as well as the economic benefits of unconstrained cross-border electricity trade. We found that transitioning from rainy to dry season decreases hydroelectricity generation by an average of 40% in a normal year across the region. Between 2018 and 2050, satisfying the region's electricity demand will require significant capital investment; nevertheless, extending from current bilateral electricity trade agreements to a fully competitive cross-border electricity trade will result in net annual savings of $3 billion in 2015 USD. To achieve year-round energy security, countries should plan ahead and diversify their energy sources to ensure that supply reliability can be maintained in the case of lower supply during the dry season.","Elsevier","","Pacific Northwest National Lab. (PNNL), Richland, WA (United States)","USDOE Office of Science (SC)","","United States","2022-11-06T00:00:00Z","English","Journal Article","","Journal Name: Applied Energy; Journal Volume: 329","","Medium: ED; Size: Article No. 120214","","PNNL-SA-175101","AC05-76RL01830","Journal ID: ISSN 0306-2619","10.1016/j.apenergy.2022.120214","","2023-03-02T00:00:00Z","1958164","https://www.osti.gov/biblio/1958164","","Applied Energy","","329"
"Revised monthly energy generation estimates for 1,500 hydroelectric power plants in the United States","Turner, Sean W. D.; Voisin, Nathalie (ORCID:000000026848449X); Nelson, Kristian","13 HYDRO ENERGY","<title>Abstract</title> <p>The U.S. Energy Information Administration (EIA) conducts a regular survey (form EIA-923) to collect annual and monthly net generation for more than ten thousand U.S. power plants. Approximately 90% of the ~1,500 hydroelectric plants included in this data release are surveyed at annual resolution only and thus lack actual observations of monthly generation. For each of these plants, EIA imputes monthly generation values using the combined monthly generating pattern of other hydropower plants within the corresponding census division. The imputation method neglects local hydrology and reservoir operations, rendering the monthly data unsuitable for various research applications. Here we present an alternative approach to disaggregate each unobserved plant’s reported annual generation using proxies of monthly generation—namely historical monthly reservoir releases and average river discharge rates recorded downstream of each dam. Evaluation of the new dataset demonstrates substantial and robust improvement over the current imputation method, particularly if reservoir release data are available. The new dataset—named RectifHyd—provides an alternative to EIA-923 for U.S. scale, plant-level, monthly hydropower net generation (2001–2020). RectifHyd may be used to support power system studies or analyze within-year hydropower generation behavior at various spatial scales.</p>","Nature Publishing Group","","Pacific Northwest National Lab. (PNNL), Richland, WA (United States)","USDOE Office of Science (SC)","","United Kingdom","2022-11-04T00:00:00Z","English","Journal Article","","Journal Name: Scientific Data Journal Volume: 9 Journal Issue: 1","","Medium: X","","PNNL-SA-173936","AC05-76RL01830","Journal ID: ISSN 2052-4463; 675; PII: 1748","10.1038/s41597-022-01748-x","","2022-11-09T00:00:00Z","1897227","https://www.osti.gov/biblio/1897227","","Scientific Data","1","9"
"Computational studies of hydraulic stressors for biological performance assessment in a hydropower plant with Kaplan turbine","Singh, Rajesh K.; Romero-Gomez, Pedro; Colotelo, Alison H.; Perkins, William A.; Richmond, Marshall C.","13 HYDRO ENERGY; CFD, BioPA, hydraulic stressors, nadir pressure, blade strike, strike velocity","We report Hydropower is currently one of the preeminent sources of renewable energy in the United States and globally. Hydropower plants also have detrimental impacts on the environment and ecology, including direct impacts to anadromous fish populations. The computational fluid dynamics (CFD) – based Biological Performance Assessment (BioPA) toolset is used for biological evaluations of fish passage through hydropower plants. The hydraulic environment of a hydropower plant was evaluated using CFD coupled with discrete element method (DEM) simulations. The predicted flow field and particle collision rate were validated against the experimental data in a water flume that has an idealized hydroturbine distributor geometry. Flow simulations were conducted to evaluate the hydraulic stressors, such as nadir pressure, fluid shear, runner collision, in a physical scale in a hydropower plant with Kaplan turbine which are responsible for injury and mortality of fish in a downstream migration. The cumulative exposure probability for the nadir pressure and collision with turbine runner was found to decrease with increased discharge rate. The lowest discharge rate shows the higher value of cumulative shear exposure probability. The maximum value of collision velocity increases with increased discharge rate. We offer the conclusions that will help in understanding various hydraulic stressors for biological assessment for environmentally sustainable hydroturbine passage.","Elsevier","","Pacific Northwest National Lab. (PNNL), Richland, WA (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Renewable Power Office. Water Power Technologies Office","","United States","2022-09-09T00:00:00Z","English","Journal Article","","Journal Name: Renewable Energy; Journal Volume: 199","","Medium: ED; Size: 768-781","","PNNL-SA-171700","AC05-76RL01830","Journal ID: ISSN 0960-1481","10.1016/j.renene.2022.09.016","","2022-11-14T00:00:00Z","1891009","https://www.osti.gov/biblio/1891009","","Renewable Energy","","199"
"Getting lost tracking the carbon footprint of hydropower","Jager, Henriette I.; Griffiths, Natalie A.; Hansen, Carly H.; King, Anthony W.; Matson, Paul G.; Singh, Debjani; Pilla, Rachel M.","13 HYDRO ENERGY; hydropower; reservoir; carbon accounting; electricity portfolio","In the transition to low-carbon electricity, well-quantified estimates of carbon dynamics are needed to ensure that emissions reduction targets are achieved. Here we review the state of the science on carbon accounting for hydropower reservoirs and identify limitations and future solutions. Nearly all research on reservoir greenhouse-gas (GHG) emissions has focused on individual reservoirs in isolation without considering their position in a freshwater network draining organic matter from upstream watersheds or the coordinated operation of reservoir cascades. Second, carbon inventories have extrapolated from a small, non-probabilistic sample of highly variable measurements of GHG emissions to unsampled reservoirs. A stronger statistical foundation is needed to estimate a global inventory and its uncertainty. Third, attribution to hydropower is based on ranks assigned to reservoir purpose. Instead, the physical influence of hydropower on carbon dynamics could be directly measured. Fourth, current carbon-accounting practices neglect time. A time-varying approach would quantify variation in emissions for electricity portfolios from changes in the fuel mix at different times and account for ancillary services, i.e., the ability to support the grid when variable renewables are not available without using natural gas. Reservoirs also sequester a significant portion of inflowing carbon in sediments and slow the carbon cycle by delaying the return of carbon to the atmosphere for decades to centuries. Together, these refinements would help to illuminate pathways toward meeting energy demand with the longest-possible delay in returning carbon to the atmosphere and without adding ancient sources to the pool of carbon cycling through aquatic ecosystems.","Elsevier","","Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Renewable Power Office. Water Power Technologies Office","","United States","2022-04-12T00:00:00Z","English","Journal Article","","Journal Name: Renewable and Sustainable Energy Reviews; Journal Volume: 162","","Medium: ED; Size: Article No. 112408","","","AC05-00OR22725","Journal ID: ISSN 1364-0321","10.1016/j.rser.2022.112408","","2023-04-12T00:00:00Z","1864453","https://www.osti.gov/biblio/1864453","https://www.osti.gov/servlets/purl/1864453","Renewable and Sustainable Energy Reviews","","162"
"Influence of Photovoltaic Shading on Rooftop Heat Transfer, Building Energy Loads, and Photovoltaic Power Output","Alasadi, Habeeb; Choi, Jun-Ki; Mulford, Rydge B.","13 HYDRO ENERGY; PV-shaded rooftops; PV-augmented roofs; building heat transfer; photovoltaic; sustainability","Photovoltaic (PV) modules on building rooftops provide shade from summer heating, leading to a reduction in cooling load during hot seasons. However, PV shading also reduces passive solar heating during winter months, leading to an increase in the building heating load during cold seasons. In this study, the heat transfer performance of an enclosure formed by adjacent PV modules is analyzed for three locations in the United States, comparing the daily heat flux through rooftops for the case of a PV-shaded rooftop as well as an unshaded roof. Several result metrics are developed as part of this work, including the saved energy load (SEL), or the energy conserved by adding PV-shading to the rooftop, and the additional energy load (AEL), or the supplemental building energy required to replace shaded solar heating. Lastly, this work calculates the utility factor, being the ratio of SEL and PV power output to AEL as a metric of PV effectiveness. SELs are 5.2, 6.2, and 11.7 kWh/m<sup>2</sup> · year for Dayton, Boise, and Phoenix, respectively, while the AELs for the same locations are 1.6, 1.5, and 2.1 kWh/m<sup>2</sup> · year. The utility factors for the same three locations are 61, 71, and 79. In general, locations with hot, non-cloudy summers and clear skies in winter see the largest utility factor. Further, it is shown that PV shading can conserve building energy during the winter months by preventing radiative losses to cold winter skies.","ASME","","University of Dayton, OH (United States)","USDOE","","United States","2022-06-24T00:00:00Z","English","Journal Article","","Journal Name: Journal of Solar Energy Engineering; Journal Volume: 144; Journal Issue: 6","","Medium: ED; Size: Article No. 061011","","","EE0007710","Journal ID: ISSN 0199-6231","10.1115/1.4054710","","2022-10-14T00:00:00Z","1884195","https://www.osti.gov/biblio/1884195","","Journal of Solar Energy Engineering","6","144"
