"TITLE","AUTHORS","SUBJECT","DESCRIPTION","PUBLISHER","AVAILABILITY","RESEARCH_ORG","SPONSORING_ORG","CONTRIBUTING_ORG","PUBLICATION_COUNTRY","PUBLICATION_DATE","LANGUAGE","RESOURCE_TYPE","TYPE_QUALIFIER","RELATION","COVERAGE","FORMAT","IDENTIFIER","REPORT_NUMBER","DOE_CONTRACT_NUMBER","OTHER_IDENTIFIER","DOI","RIGHTS","ENTRY_DATE","OSTI_IDENTIFIER","CITATION_URL","PURL_URL","JOURNAL_NAME","JOURNAL_ISSUE","JOURNAL_VOLUME"
"Synthesis and Characterization of Titanium-Alloyed Hematite Thin Films for Photoelectrochemical Water Splitting","Tang, Houwen; Matin, M. A.; Wang, Heli; Deutsch, Todd; Al-Jassim, Mowafak; Turner, John; Yan, Yanfa","14 SOLAR ENERGY; 36 MATERIALS SCIENCE; 71 CLASSICAL AND QUANTUM MECHANICS, GENERAL PHYSICS; DOPED MATERIALS; HEMATITE; IRON OXIDES; PERFORMANCE; PHOTOCURRENTS; PHOTOELECTROCHEMICAL CELLS; SPUTTERING; SUBSTRATES; SYNTHESIS; THIN FILMS; TIN OXIDES; TITANIUM ALLOYS; WATER; photoelectrochemical (PEC) water splitting; solar-to-chemical energy sonversion","We have synthesized pure and Ti-alloyed hematite thin films on F doped SnO{sub 2} coated glass substrates by radio frequency magnetron co-sputtering of iron oxide and titanium targets in mixed Ar/O{sub 2} and mixed N{sub 2}/O{sub 2} ambient. We found that the hematite films deposited in the N{sub 2}/O{sub 2} ambient exhibit much poorer crystallinity than the films deposited in the Ar/O{sub 2} ambient. We determined that Ti alloying leads to increased electron carrier concentration and crystallinity, and reduced bandgaps. Moreover, Ti-alloyed hematite thin films exhibited improved photoelectrochemical performance as compared with the pure hematite films: The photocurrents were enhanced and the photocurrent onset shifted to less positive potentials.","","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Renewable Power Office. Solar Energy Technologies Office","","United States","2011-12-15T00:00:00Z","English","Journal Article","","Journal Name: Journal of Applied Physics; Journal Volume: 110; Journal Issue: 12; Related Information: Article No. 123511","","Medium: X; Size: 7 pp.","","NREL/JA-5200-54352","AC36-08GO28308","Journal ID: ISSN 0021-8979; JAPIAU; TRN: US201216%%154","10.1063/1.3671414","","2020-01-09T00:00:00Z","1046316","https://www.osti.gov/biblio/1046316","","Journal of Applied Physics","12","110"
"Inkjet Printed Metallizations for Cu(In1-xGax)Se2 Photovoltaic Cells","Hersh, Peter A.; Curtis, Calvin J.; van Hest, Maikel F. A. M.; Kreuder, John J.; Pasquarelli, Robert; Miednaer, Alex; Ginley, David S.","14 SOLAR ENERGY; 36 MATERIALS SCIENCE; ALUMINIUM; DEPOSITION; EFFICIENCY; HEATING; PERFORMANCE; PHOTOVOLTAIC CELLS; SUBSTRATES; THIN FILMS; ZINC OXIDES; contacts; inkjet; CIGS","This study reports the inkjet printing of Ag front contacts on Aluminum doped Zinc Oxide (AZO)/intrinsic Zinc Oxide (i-ZnO)/CdS/Cu(In{sub 1-x}Ga{sub x})Se{sub 2} (CIGS)/Mo thin film photovoltaic cells. The printed Ag contacts are being developed to replace the currently employed evaporated Ni/Al bi-layer contacts. Inkjet deposition conditions were optimized to reduce line resistivity and reduce contact resistance to the Al:ZnO layer. Ag lines printed at a substrate temperature of 200 C showed a line resistivity of 2.06 {mu}{Omega} {center_dot} cm and a contact resistance to Al:ZnO of 8.2 {+-} 0.2 m{Omega} {center_dot} cm{sup 2} compared to 6.93 {+-} 0.3 m{Omega} {center_dot} cm{sup 2} for thermally evaporated contacts. These deposition conditions were used to deposit front contacts onto high quality CIGS thin film photovoltaic cells. The heating required to print the Ag contacts caused the performance to degrade compared to similar devices with evaporated Ni/Al contacts that were not heated. Devices with inkjet printed contacts showed 11.4% conversion efficiency compared to 14.8% with evaporated contacts. Strategies to minimize heating, which is detrimental for efficiency, during inkjet printing are proposed.","","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Renewable Power Office. Solar Energy Technologies Office","","United States","2011-12-01T00:00:00Z","English","Journal Article","","Journal Name: Progress in Photovoltaics; Journal Volume: 19; Journal Issue: 8","","Medium: X; Size: pp. 973-976","","NREL/JA-5200-54256","AC36-08GO28308","Journal ID: ISSN 1062-7995; TRN: US201206%%268","10.1002/pip.1105","","2019-12-26T00:00:00Z","1036390","https://www.osti.gov/biblio/1036390","","Progress in Photovoltaics","8","19"
"Simulation of Device Parameters of High Efficiency Multicrystalline Silicon Solar Cells","Budhraja, Vinay; Misra, Durgamadhab; Ravindra, Nuggehalli M.","14 SOLAR ENERGY; 36 MATERIALS SCIENCE; CURRENT DENSITY; EFFICIENCY; ELECTRIC POTENTIAL; SILICON; SILICON SOLAR CELLS; SIMULATION; SOLAR CELLS; solar cells; device simulation; silicon","The results of the simulation of the reported experimental results of high efficiency multicrystalline silicon (mc-Si) solar cells, using PC1D software, are reported in this study. Results obtained by various groups have been incorporated and compared in this study. The highest efficiency reported so far for mc-Si solar cells is 20{center_dot}4% and 17-18% by research laboratories and commercial houses, respectively. The efficiency can be further enhanced if passivation characteristics on both the front and back surface are improved. The role of back surface recombination has become more significant in light of the use of thin mc-Si wafers by the solar cell industry. Based on the passivation characteristics and considering the understanding of the past three decades of studies, the authors have proposed and simulated a structure for mc-Si solar cells to improve the performance of the same. The results of our modeled structure of mc-Si solar cell show an efficiency of 21{center_dot}88% with short-circuit current density, J{sub sc} = 39{center_dot}39 mA/cm2, and open circuit voltage, V{sub oc} = 0{center_dot}666 V.","","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE Office of Energy Efficiency and Renewable Energy Solar Energy Technologies Program","","United States","2011-11-01T00:00:00Z","English","Journal Article","","Journal Name: Emerging Materials Research; Journal Volume: 1; Journal Issue: 1; Conference: Emerging Materials Research","","Medium: X; Size: pp. 25-32","","NREL/JA-5200-55120","AC36-08GO28308","TRN: US201216%%139","10.1680/emr.11.00007","","2020-02-27T00:00:00Z","1046292","https://www.osti.gov/biblio/1046292","","Emerging Materials Research","1","1"
"How thermal energy storage enhances the economic viability of concentrating solar power","Madaeni, Seyed Hossein; Sioshansi, Ramteen; Denholm, Paul","14 SOLAR ENERGY; 25 ENERGY STORAGE; thermal energy storage; capacity value; concentrating solar power; energy economics","This study examines the economic performance and rationale of concentrating solar power (CSP) with and without thermal energy storage (TES). We demonstrate that TES can increase the energy and capacity value of CSP and also show that adding TES to a CSP plant can increase its economic viability by increasing its operating revenues to the point that the capital cost of CSP can be justified.","Institute of Electrical and Electronics Engineers","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE)","","United States","2011-06-20T00:00:00Z","English","Journal Article","","Journal Name: Proceedings of the IEEE; Journal Volume: 100; Journal Issue: 2","","Medium: ED; Size: p. 335-347","","","AC36-08GO28308","Journal ID: ISSN 0018-9219","10.1109/JPROC.2011.2144950","","2021-08-30T00:00:00Z","1355302","https://www.osti.gov/biblio/1355302","https://www.osti.gov/servlets/purl/1355302","Proceedings of the IEEE","2","100"
"Dielectric Properties of BST/(Y<sub>2</sub>O<sub>3</sub>)<sub>x</sub>(ZrO<sub>2</sub>)<sub>1-x</sub>/BST Trilayer Films","Sahoo, Santosh K.; Misra, D.","14 SOLAR ENERGY; 36 MATERIALS SCIENCE; nanoelectronics; thin film; trilayer films; BST layer; dielectric properties","Thin films of Ba1-xSrxTiO3 (BST) are being actively investigated for applications in dynamic random access memories (DRAM) because of their properties such as high dielectric constant, low leakage current, and high dielectric breakdown strength. Various approaches have been used to improve the dielectric properties of BST thin films such as doping, graded compositions, and multilayer structures. We have found that inserting a ZrO2 layer in between two BST layers results in a significant reduction in dielectric constant as well as dielectric loss. In this work the effect of Y2O3 doped ZrO2 on the dielectric properties of BST/ZrO2/BST trilayer structure is studied. The structure Ba0.8Sr0.2TiO3/(Y2O3)x(ZrO2)1-x/Ba0.8Sr0.2TiO3 is deposited by a sol-gel process on platinized Si substrate. The composition (x) of the middle layer is varied while keeping the total thickness of the trilayer film constant. The dielectric constant of the multilayer film decreases with the increase of Y2O3 amount in the film whereas there is a slight variation in dielectric loss. In Y2O3 doped multilayer thin films, the dielectric loss is lower in comparison to other films and also there is good frequency stability in the loss in the measured frequency range and hence very suitable for microwave device applications.","Materials Research Society (MRS)","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE","","United States","2011-01-31T00:00:00Z","English","Journal Article","","Journal Name: MRS Proceedings; Journal Volume: 1292","","Medium: X","","NREL/CP-5200-53362","AC36-08GO28308","Journal ID: ISSN 1946-4274; applab","10.1557/opl.2011.151","","2020-02-03T00:00:00Z","1258566","https://www.osti.gov/biblio/1258566","","MRS Proceedings","","1292"
"Second-surface silvered glass solar mirrors of very high reflectance","Butel, Guillaume P.; VanSant, Kaitlyn; Sherif, Raed A.; Coughenour, Blake M.; Macleod, H. Angus; Kennedy, Cheryl E.; Olbert, Blain H.; Angel, J. Roger P.","14 SOLAR ENERGY; 47 OTHER INSTRUMENTATION; thin film; silver; high reflectance; concentrating; solar; mirror; reflector; CPV; CSP","This paper reports methods developed to maximize the overall reflectance second-surface silvered glass. The reflectance at shorter wavelengths is increased with the aid of a dielectric enhancing layer between the silver and the glass, while at longer wavelengths it is enhanced by use of glass with negligible iron content. The calculated enhancement of reflectance, compared to unenhanced silver on standard low-iron float glass, corresponds to a 4.4% increase in reflectance averaged across the full solar spectrum, appropriate for CSP, and 2.7% for CPV systems using triple junction cells. An experimental reflector incorporating these improvements, of drawn crown glass and a silvered second-surface with dielectric boost, was measured at NREL to have 95.4% solar weighted reflectance. For comparison, non-enhanced, wetsilvered reflectors of the same 4 mm thickness show reflectance ranging from 91.6 - 94.6%, depending on iron content. A potential drawback of using iron-free drawn glass is reduced concentration in high concentration systems because of the inherent surface errors. This effect is largely mitigated for glass shaped by slumping into a concave mold, rather than by bending.","SPIE","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE","","United States","2011-09-08T00:00:00Z","English","Journal Article","","Journal Name: Proceedings of SPIE - The International Society for Optical Engineering; Journal Volume: 8108","","Medium: X; Size: Article No. 81080L","","NREL/CP-5500-53356","AC36-08GO28308","Journal ID: ISSN 0277-786X","10.1117/12.894373","","2019-11-14T00:00:00Z","1258555","https://www.osti.gov/biblio/1258555","","Proceedings of SPIE - The International Society for Optical Engineering","","8108"
"Carbon nanotube network electrodes enabling efficient organic solar cells without a hole transport layer","Barnes, Teresa M.; Bergeson, Jeremy D.; Tenent, Robert C.; Larsen, Brian A.; Teeter, Glenn; Jones, Kim M.; Blackburn, Jeffrey L.; van de Lagemaat, Jao","14 SOLAR ENERGY; 77 NANOSCIENCE AND NANOTECHNOLOGY; hole transport layer; HTL; organic; photovoltaic; PV; bulk heterojunction; BHJ; single walled; carbon; nanotube","We report on the effects of replacing both In2O3:Sn (ITO) and the hole transport layer (HTL) in organic photovoltaic (OPV) cells with single-walled carbon nanotube (SWNT) network transparent electrodes. We have produced an OPV device without an HTL exhibiting an NREL-certified efficiency of 2.65% and a short-circuit current density of 11.2 mA/cm2.","American Institute of Physics (AIP)","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE)","","United States","2010-06-14T00:00:00Z","English","Journal Article","","Journal Name: Applied Physics Letters; Journal Volume: 96; Journal Issue: 24","","Medium: X; Size: Article No. 243309","","NREL/JA-520-47671","AC36-08GO28308","Journal ID: ISSN 0003-6951","10.1063/1.3453445","","2018-07-18T00:00:00Z","1436568","https://www.osti.gov/biblio/1436568","","Applied Physics Letters","24","96"
"The Value of Concentrating Solar Power and Thermal Energy Storage","Sioshansi, Ramteen; Denholm, Paul","14 SOLAR ENERGY; economics; solar power generation; thermal energy storage (TES)","Our paper examines the value of concentrating solar power (CSP) and thermal energy storage (TES) in a number of regions in the southwestern United States. Our analysis also shows that TES can increase the value of CSP by allowing more thermal energy from a CSP plant's solar field to be used, allowing a CSP plant to accommodate a larger solar field, and by allowing CSP generation to be shifted to hours with higher energy prices. We also analyze the sensitivity of this value to a number of factors, including the optimization period, price and solar forecasting, ancillary service sales, and dry cooling of the CSP plant, and also estimate the capacity value of a CSP plant with TES. We further discuss the value of CSP plants and TES net of capital costs.","IEEE","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE)","","United States","2010-06-14T00:00:00Z","English","Journal Article","","Journal Name: IEEE Transactions on Sustainable Energy; Journal Volume: 1; Journal Issue: 3","","Medium: ED; Size: p. 173-183","","","AC36-08GO28308","Journal ID: ISSN 1949-3029","10.1109/TSTE.2010.2052078","","2021-08-30T00:00:00Z","1354889","https://www.osti.gov/biblio/1354889","https://www.osti.gov/servlets/purl/1354889","IEEE Transactions on Sustainable Energy","3","1"
"Optimizing CdTe Solar Cell Performance: Impact of Variations in Minority-Carrier Lifetime and Carrier Density Profile","Kanevce, Ana; Gessert, Timothy A.","14 SOLAR ENERGY; carrier lifetime; photovoltaic cells; semiconductor device modeling; thin films","Using numerical simulations, we study the combined effects of nonuniform minority-carrier lifetime t and carrier density NA on device performance. In a uniformly doped device, maximum open-circuit voltage V oc is obtained for high t and high NA . The fill-factor (FF) is mainly dependent on the lifetime. When the lifetime is low, and NA is high, the FF suffers losses due to voltage-dependant carrier collection. For a low carrier density and low lifetime, the electric field strength is low, recombination is a competitive process to drift, and the FF is reduced. Simulations predict that it might be possible to increase the device efficiency with lower carrier density, if the back of the absorber is highly doped. This configuration increases the built-in potential and the electric field close to the junction region, while keeping the space-charge region wide. In addition, a device with such a profile is very tolerant toward lifetime variations of the highly doped layer. With our simulation parameters, when the absorber properties are uniform, efficiencies >;18% require experimentally unrealistic doping and lifetime values. If the back of the absorber is doped significantly higher than the rest, such efficiencies can be achieved with realistic values of doping and lifetime.","IEEE","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE)","","United States","2011-07-01T00:00:00Z","English","Journal Article","","Journal Name: IEEE Journal of Photovoltaics; Journal Volume: 1; Journal Issue: 1","","Medium: X; Size: p. 99-103","","NREL/JA-5200-50702","AC36-08GO28308","Journal ID: ISSN 2156-3381","10.1109/JPHOTOV.2011.2164952","","2019-04-15T00:00:00Z","1505923","https://www.osti.gov/biblio/1505923","","IEEE Journal of Photovoltaics","1","1"
"Atomic ordering and phase separation in MBE GaAs1$-$xBix","Norman, Andrew G.; France, Ryan; Ptak, Aaron J.","14 SOLAR ENERGY; 36 MATERIALS SCIENCE; molecular beam epitaxy; phase separation","Transmission electron microscopy studies of GaAs<sub>1$-$x</sub>Bix layers grown at low temperature by molecular beam epitaxy have revealed evidence of both atomic ordering and phase separation. In layers containing up to ~10% Bi, the two variants of CuPtB-type atomic ordering on {111} B planes were observed and this is believed to be associated with the surface reconstruction present during growth. In a sample containing ~13% Bi, no atomic ordering was observed but instead an anisotropic platelike structure was present that is believed to result from phase separation, possibly associated with the surface segregation of excess Bi during growth. In conclusion, both of these effects are expected to have significant effects on the electrical and optical properties of the material.","American Vacuum Society/AIP","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE","","United States","2011-03-11T00:00:00Z","English","Journal Article","","Journal Name: Journal of Vacuum Science and Technology. B, Nanotechnology and Microelectronics; Journal Volume: 29; Journal Issue: 3; Related Information: Journal of Vacuum Science and Technology B","","Medium: X; Size: Article No. 03C121","","NREL/JA-5200-50583","AC36-08GO28308","Journal ID: ISSN 2166-2746","10.1116/1.3562512","","2019-02-06T00:00:00Z","1255415","https://www.osti.gov/biblio/1255415","","Journal of Vacuum Science and Technology. B, Nanotechnology and Microelectronics","3","29"
