"TITLE","AUTHORS","SUBJECT","DESCRIPTION","PUBLISHER","AVAILABILITY","RESEARCH_ORG","SPONSORING_ORG","CONTRIBUTING_ORG","PUBLICATION_COUNTRY","PUBLICATION_DATE","LANGUAGE","RESOURCE_TYPE","TYPE_QUALIFIER","RELATION","COVERAGE","FORMAT","IDENTIFIER","REPORT_NUMBER","DOE_CONTRACT_NUMBER","OTHER_IDENTIFIER","DOI","RIGHTS","ENTRY_DATE","OSTI_IDENTIFIER","CITATION_URL","PURL_URL","JOURNAL_NAME","JOURNAL_ISSUE","JOURNAL_VOLUME"
"Geologic controls of hydrothermal discharge on the northern Gorda Ridge","Rona, P A; Clague, D A","15 GEOTHERMAL ENERGY; CALIFORNIA; COASTAL REGIONS; HYDROTHERMAL SYSTEMS; DRAINAGE; OREGON; BASALT; BATHYMETRY; DEPTH; ELECTRIC CONDUCTIVITY; GEOLOGIC FAULTS; GEOLOGIC STRUCTURES; HYDROTHERMAL ALTERATION; PHOTOGRAPHY; RESERVOIR FLUIDS; RESERVOIR TEMPERATURE; RIFT ZONES; SAMPLING; SONAR; TECTONICS; TEMPERATURE SURVEYS; DIMENSIONS; ELECTRICAL PROPERTIES; ENERGY SYSTEMS; FEDERAL REGION IX; FEDERAL REGION X; FLUIDS; GEOLOGIC FRACTURES; GEOPHYSICAL SURVEYS; GEOTHERMAL SYSTEMS; IGNEOUS ROCKS; MEASURING INSTRUMENTS; NORTH AMERICA; PHYSICAL PROPERTIES; RANGE FINDERS; ROCKS; SURVEYS; USA; VOLCANIC ROCKS; 150200* - Geology & Hydrology of Geothermal Systems","An investigation of a 10 x 10 km area near an axial high of the rift valley of the northern Gorda Ridge by using bathymetry, side-scan sonar, and bottom photography where prior water-column surveys indicated ongoing high-temperature hydrothermal discharge reveals that the discharge is localized by specific tectonic and volcanic conditions. The discharge occurs where faults having a predominant ridge-parallel and an anomalous subsidiary ridge-oblique tectonic trend intersect at the southern end of a linear ridge on the east wall and at another site at the base of the east wall of the rift valley. Hydrothermal alteration of basalt talus and stratiform hydrothermal precipitates produced by past activity occur where faults and fissures with the same two tectonic trends intersect near a fault having a third ridge-transverse trend at a 1 x 1 km zone of sheet flows on the floor of the rift valley. Present and past hydrothermal discharge in this area is controlled by the intersection of an axis-parallel tectonic trend common to all spreading centers having axis-oblique trends related to the regional stress field near the shallowest and volcanically most productive part of the ridge segment.","","","","","","United States","1989-12-01T00:00:00Z","English","Journal Article","","Journal Name: Geology; (USA); Journal Volume: 17:12","","Medium: X; Size: Pages: 1097-1101","","","","Journal ID: ISSN 0091-7613; CODEN: GLGYB","10.1130/0091-7613(1989)017<1097:GCOHDO>2.3.CO;2","","2016-04-29T00:00:00Z","6987531","https://www.osti.gov/biblio/6987531","","Geology; (USA)","","17:12"
"Compression of tetrahederally bonded SiO sub 2 liquid and silicate liquid-crystal density inversion","Stixrude, L; Bukowinski, M S.T.","15 GEOTHERMAL ENERGY; SILICON OXIDES; COMPRESSION; COESITE; CRISTOBALITE; CRYSTAL STRUCTURE; MOLTEN SALTS; MONTE CARLO METHOD; PLANETARY EVOLUTION; QUARTZ; RESPONSE FUNCTIONS; CHALCOGENIDES; FUNCTIONS; MINERALS; OXIDE MINERALS; OXIDES; OXYGEN COMPOUNDS; SALTS; SILICON COMPOUNDS; SOLAR SYSTEM EVOLUTION; 152002* - Geothermal Data & Theory- Properties of Minerals & Rocks","The authors have investigated the response to pressure of liquid SiO{sub 2} by performing a quantitatively realistic Monte Carlo simulation. The model liquid was restricted to at most four-fold Si-O coordination by the effective imposition of an infinite potential barrier to a fifth bond. The authors obtained and unambiguous comparison of the compression mechanism of solid and liquid tetrahedral networks. In spite of this restriction, the density of the simulated liquid exceeds that of the corresponding models of quartz, coesite and cristobalite at high pressure. The efficient compression of the liquid results from a continuous restructuring of the network that leaves the mean Si-Si distance virtually unchanged and does not require and increase in the coordination number. The restructuring is effected by local breaking and reconnecting of bonds, a mechanism that is not available to a perfect crystal.","","","","","","United States","1989-12-01T00:00:00Z","English","Journal Article","","Journal Name: Geophysical Research Letters (American Geophysical Union); (USA); Journal Volume: 16:12","","Medium: X; Size: Pages: 1403-1406","","","","Journal ID: ISSN 0094-8276; CODEN: GPRLA","10.1029/GL016i012p01403","","2016-04-12T00:00:00Z","5639860","https://www.osti.gov/biblio/5639860","","Geophysical Research Letters (American Geophysical Union); (USA)","","16:12"
"Fluid dynamics in multiphase systems","Koch, D L","42 ENGINEERING; 02 PETROLEUM; 15 GEOTHERMAL ENERGY; 54 ENVIRONMENTAL SCIENCES; 37 INORGANIC, ORGANIC, PHYSICAL AND ANALYTICAL CHEMISTRY; FLUID MECHANICS; GEOTHERMAL RESOURCES; DYNAMICS; GROUND WATER; CONTAMINATION; LIQUIDS; HEAT TRANSFER; MULTIPHASE FLOW; PETROLEUM; ENHANCED RECOVERY; SOLIDS; CHEMICAL ENGINEERING; CHEMICAL PLANTS; CRYSTAL GROWTH; RESEARCH PROGRAMS; SILICON; ELEMENTS; ENERGY SOURCES; ENERGY TRANSFER; ENGINEERING; FLUID FLOW; FLUIDS; FOSSIL FUELS; FUELS; HYDROGEN COMPOUNDS; INDUSTRIAL PLANTS; MECHANICS; OXYGEN COMPOUNDS; RECOVERY; RESOURCES; SEMIMETALS; WATER; 420400* - Engineering- Heat Transfer & Fluid Flow; 020300 - Petroleum- Drilling & Production; 150902 - Geothermal Engineering- Fluid Transmission; 540320 - Environment, Aquatic- Chemicals Monitoring & Transport- (1990-); 400201 - Chemical & Physicochemical Properties","The flow of fluids in multiphase systems has always been a major consideration of chemical engineers. Most of the operations in a chemical plant, for instance, involve transporting heat and material among liquids and solids by means of fluid motion. But today, chemical engineers are expanding their expertise beyond the plant doors. The author discusses research programs in this area which involves studies that fall outside of the traditional realm of chemical engineering: blood flow in capillaries, the transport of contaminants in groundwater, the dynamics of geothermal reservoirs, enhanced oil recovery, the processing of fibrous composites, melt-spinning processes, and the growth of silicon crystals.","","","","","","United States","1989-11-01T00:00:00Z","English","Journal Article","","Journal Name: Chemical Engineering Progress; (USA); Journal Volume: 85:11","","Medium: X; Size: Pages: 74-77","","","","Journal ID: ISSN 0009-2495; CODEN: CEPRA","","","2009-12-16T00:00:00Z","5293000","https://www.osti.gov/biblio/5293000","","Chemical Engineering Progress; (USA)","","85:11"
"Fluid flow and metasomatism in a subduction zone hydrothermal system: Catalina schist terrane, California","Barton, M D; Bebout, G E","15 GEOTHERMAL ENERGY; CALIFORNIA; SUBDUCTION ZONES; METAMORPHISM; RESERVOIR FLUIDS; AMPHIBOLITES; COASTAL REGIONS; CRETACEOUS PERIOD; FLUID FLOW; GEOCHEMISTRY; GEOLOGIC DEPOSITS; GEOLOGIC HISTORY; HYDROTHERMAL ALTERATION; HYDROTHERMAL SYSTEMS; ISLANDS; MAGMA; MAGMATISM; MINERALOGY; OXYGEN 18; SCHISTS; CHEMISTRY; ENERGY SYSTEMS; EVEN-EVEN NUCLEI; FEDERAL REGION IX; FLUIDS; GEOLOGIC AGES; GEOTHERMAL SYSTEMS; ISOTOPES; LIGHT NUCLEI; MESOZOIC ERA; METAMORPHIC ROCKS; NORTH AMERICA; NUCLEI; OXYGEN ISOTOPES; ROCKS; STABLE ISOTOPES; USA; 150200* - Geology & Hydrology of Geothermal Systems","On Santa Catalina Island, southern California, bluechist to amphibolite facies metasedimentary, metamafic, and meta-ultramafic rocks show veining and alteration that reflect fluid flow and mass transfer at 25-45 km depths in an Early Cretaceous subduction zone. Synkinematic and postkinematic veins record fluid transport and metasomatism during prograde metamorphism and uplift. Vein and host-rock mineralogy and whole-rock compositions demonstrate large-scale chemical redistribution, especially of Si and alkali elements. Veins and host rocks trend toward isotopic equilibration with aqueous fluids with {delta}{sup 18}O{sub SMOW}=+13{per thousand} {plus minus} 1{per thousand}. The likely source for these fluids is in lower temperature, sediment-rich parts of the subduction zone. Carbon isotope systematics support this conclusion and indicate the influence of an organic C source. Quartz solubility relations indicate the importance of fluid-flow paths in chemical redistribution during subduction. These results document large-scale fluid flow and the complexity of possible metasomatic and mechanical mixing processes at intermediate levels of subduction zones. The record of subduction-zone mass transfer in the Catalina Schist is compatible with the record inferred for greater depths from geochemical and petrologic studies of arc magmatism.","","","","","","United States","1989-11-01T00:00:00Z","English","Journal Article","","Journal Name: Geology; (USA); Journal Volume: 17:11","","Medium: X; Size: Pages: 976-980","","","","Journal ID: ISSN 0091-7613; CODEN: GLGYB","","","2009-12-17T00:00:00Z","6159471","https://www.osti.gov/biblio/6159471","","Geology; (USA)","","17:11"
"Variable property effects on convection in a heat generating porous medium","Dona, C L.G.; Stewart, Jr, W E","03 NATURAL GAS; 02 PETROLEUM; 15 GEOTHERMAL ENERGY; GEOTHERMAL FIELDS; NATURAL CONVECTION; NATURAL GAS WELLS; OIL WELLS; POROUS MATERIALS; DENSITY; MOMENT OF INERTIA; NUMERICAL ANALYSIS; TEMPERATURE EFFECTS; VISCOSITY; CONVECTION; ENERGY TRANSFER; HEAT TRANSFER; MASS TRANSFER; MATERIALS; MATHEMATICS; PHYSICAL PROPERTIES; WELLS; 030300* - Natural Gas- Drilling, Production, & Processing; 020300 - Petroleum- Drilling & Production; 150200 - Geology & Hydrology of Geothermal Systems","Convection heat transfer in a fluid-saturated porous medium has many applications, such as in oil and gas production, grain storage, and geothermal energy. A number of numerical studies have been carried out using Darcy's law to formulate the natural convection heat transfer mathematically in enclosures of internally heat-generating porous media. This paper uses Irmay's momentum equation for radial and axial equations that include inertia terms with models an internally heat-generating porous medium in a short, vertical circular cylinder (R = 2m, H = 4m). The cylinder side and top are isothermal and at the same temperature (T{sub {infinity}}). The bottom surface of the cylinder is adiabatic. The variations in density and viscosity with temperature and inertia are investigated. For slow flows, the effect of inertia would be expected to be small. For large temperature variations, the effects of variable dynamic viscosity and density are expected to be large. The density and the dynamic viscosity of air were represented by the relationships {rho} = {rho}{sub {infinity}} (1 {minus} (T {minus} T{sub {infinity}})/T) and v = v{sub {infinity}} (1 + 2(T {minus} T{sub {infinity}})/T{sub {infinity}}). These relationships for {rho} and v are accurate for air between 20 and 200C.","","","","","","United States","1989-11-01T00:00:00Z","English","Journal Article","","Journal Name: Journal of Heat Transfer (Transactions of the ASME (American Society of Mechanical Engineers), Series C); (United States); Journal Volume: 111:4","","Medium: X; Size: Pages: 1100-1102","","","","Journal ID: ISSN 0022-1481; CODEN: JHTRA","10.1115/1.3250778","","2016-05-19T00:00:00Z","6091213","https://www.osti.gov/biblio/6091213","","Journal of Heat Transfer (Transactions of the ASME (American Society of Mechanical Engineers), Series C); (United States)","","111:4"
"Discovery of sublacustrine hydrothermal activity and associated massive sulfides and hydrocarbons in the north Tanganyika trough, East African Rift","Tiercelin, J J; Mondeguer, A; Thouin, C; Kalala, T","15 GEOTHERMAL ENERGY; 02 PETROLEUM; HYDROTHERMAL SYSTEMS; GEOCHEMISTRY; GEOLOGY; ZAIRE REPUBLIC; CARBONATE MINERALS; GEOLOGIC FAULTS; GEOTHERMAL FLUIDS; HEAT SOURCES; HYDROCARBONS; LAKES; MINERALIZATION; MINERALOGY; RIFT ZONES; SEDIMENTS; SULFIDES; AFRICA; CHALCOGENIDES; CHEMISTRY; DEVELOPING COUNTRIES; ENERGY SYSTEMS; FLUIDS; GEOLOGIC FRACTURES; GEOLOGIC STRUCTURES; GEOTHERMAL SYSTEMS; MINERALS; ORGANIC COMPOUNDS; SULFUR COMPOUNDS; SURFACE WATERS; 150200* - Geology & Hydrology of Geothermal Systems; 020200 - Petroleum- Reserves, Geology, & Exploration","Massive sulfides and carbonate mineral deposits associated with sublacustrine thermal springs were recently discovered along the Zaire side of the north Tanganyika trough, western branch of the East African Rift. This hydrothermal activity, investigated by scuba diving at a maximum depth of 20 m, is located at the intersection of major north-south normal faults and northwest-southeast faults belonging to the Tanganyika-Rukwa-Malawi (TRM) strike-slip fault zone. The preliminary results presented here come from analyses of sulfide deposits, hydrothermal fluids, and associated hydrocarbons that result from geothermal activity in this part of the East African Rift filled by a thick pile of sediment, the north Tanganyika trough.","","","","","","United States","1989-11-01T00:00:00Z","English","Journal Article","","Journal Name: Geology; (USA); Journal Volume: 17:11","","Medium: X; Size: Pages: 1053-1056","","","","Journal ID: ISSN 0091-7613; CODEN: GLGYB","10.1130/0091-7613(1989)017<1053:DOSHAA>2.3.CO;2","","2016-05-19T00:00:00Z","6159396","https://www.osti.gov/biblio/6159396","","Geology; (USA)","","17:11"
"Temporal relations of volcanism and hydrothermal systems in two areas of the Jemez volcanic field, New Mexico","WoldeGabriel, G; Goff, F","15 GEOTHERMAL ENERGY; GEOLOGIC DEPOSITS; HYDROTHERMAL ALTERATION; TIME DEPENDENCE; NEW MEXICO; VOLCANISM; ARGON ISOTOPES; CALDERAS; DRILL CORES; GEOCHEMISTRY; GOLD; HYDROTHERMAL SYSTEMS; ILLITE; ISOTOPE RATIO; MINERALIZATION; MIOCENE EPOCH; OXYGEN 18; POTASSIUM ISOTOPES; QUARTZ; QUATERNARY PERIOD; ROCK-FLUID INTERACTIONS; SILVER; SMECTITE; TUFF; VOLCANIC REGIONS; VOLCANIC ROCKS; ALKALI METAL ISOTOPES; ALUMINIUM COMPOUNDS; ALUMINIUM SILICATES; CENOZOIC ERA; CHALCOGENIDES; CHEMISTRY; CLAYS; ELEMENTS; ENERGY SYSTEMS; EVEN-EVEN NUCLEI; FEDERAL REGION VI; GEOLOGIC AGES; GEOTHERMAL SYSTEMS; IGNEOUS ROCKS; ISOTOPES; LIGHT NUCLEI; METALS; MINERALS; NORTH AMERICA; NUCLEI; OXIDE MINERALS; OXIDES; OXYGEN COMPOUNDS; OXYGEN ISOTOPES; ROCKS; SILICATE MINERALS; SILICATES; SILICON COMPOUNDS; SILICON OXIDES; STABLE ISOTOPES; TERTIARY PERIOD; TRANSITION ELEMENTS; USA; 150200* - Geology & Hydrology of Geothermal Systems","Two hydrothermal alteration events (8.07 Ma, one sample; 6.51-5.60 Ma, six samples) related to the waning stages of late Miocene volcanism ({ge} 13 to {le} 5.8 Ma) are recognized at the Cochiti district (southeast Jemez Mountains). Most of the K/Ar dates (0.83 {plus minus} 0.11-0.66 {plus minus} 0.21 Ma, four samples) in the hydrothermally altered, caldera-fill rocks of core hole VC-2A at Sulfur Springs, Valles caldera, indicate post-Valles caldera hydrothermal alteration. A sample from acid-altered landslide debris of postcaldera tuffs from the upper 13 m of the core hole was too young to be dated by the K/Ar method and is possibly associated with current hot-spring activity and the youngest pulses of volcanism. Oxygen-isotope data from illite/smectite clays in the Cochiti district are zonally distributed and range from {minus}2.15{per thousand} to {plus}7.97{per thousand} (SMOW), depending upon temperature, extent of rock-fluid interaction, and composition. The samples from VC-2A get lighter with depth ({minus}0.20{per thousand} to {plus}1.62{per thousand}). The K/Ar and oxygen-isotope data provide strong evidence that the epithermal quartz-vein-hosted gold-silver mineralization at Cochiti and the sub-ore grade molybdenite at VC-2A were deposited in the late Miocene (5.99-5.60 Ma) and mid-Quaternary ({approximately}0.66 Ma), respectively, by hydrothermal fluids composed primarily of meteoric water.","","","","","","United States","1989-11-01T00:00:00Z","English","Journal Article","","Journal Name: Geology; (USA); Journal Volume: 17:11","","Medium: X; Size: Pages: 986-989","","","","Journal ID: ISSN 0091-7613; CODEN: GLGYB","10.1130/0091-7613(1989)017<0986:TROVAH>2.3.CO;2","","2016-05-16T00:00:00Z","6159403","https://www.osti.gov/biblio/6159403","","Geology; (USA)","","17:11"
"Geothermal opportunities In St. Lucia","Sobers, C; Gadomski, C","15 GEOTHERMAL ENERGY; GEOTHERMAL ENERGY; RESOURCE POTENTIAL; WEST INDIES; ENERGY SOURCE DEVELOPMENT; ECONOMICS; ELECTRIC POWER; ENERGY DEMAND; DEMAND; ENERGY; ENERGY SOURCES; ISLANDS; POWER; RENEWABLE ENERGY SOURCES; 150500* - Geothermal Energy- Economics, Industrial, & Business Aspects","Since the 1950s, government officials on St. Lucia, a beautiful volcanic island at the southern end of the Eastern Caribbean, have entertained prospects of developing geothermal power. After years of study jointly funded by St. Lucia, USAID, and UNRFNRE (United Nations Revolving Fund for Natural Resources Exploration) in the first half of this decade, a promising 4,636 foot deep exploratory well, SL-2 at Sulfur Springs, was completed in February 1988. Preliminary indications suggest that well could produce about 5 MW of power, though progress to develop the resource appears stalled. Growth has strained the capacity of growing, St. Lucia Electricity Services (LUCELEC), which controls electrical power generation and distribution on the island. Government planners realize that expanding their electric power infrastructure is a necessary prerequisite for continued economic development on this island of 238 square miles and consequently view geothermal for the island's baseload demand with diesel handling peaking requirements. As approved investment proposals fuel economic development, they expect energy demand to rise.","","","","","","United States","1989-10-01T00:00:00Z","English","Journal Article","","Journal Name: Independent Energy; (USA); Journal Volume: 19:8","","Medium: X; Size: Pages: 41-42","","","","Journal ID: ISSN 1043-7320; CODEN: XY987","","","2009-12-17T00:00:00Z","7039809","https://www.osti.gov/biblio/7039809","","Independent Energy; (USA)","","19:8"
"Ormat heats up","Gipe, P","15 GEOTHERMAL ENERGY; GEOTHERMAL POWER PLANTS; ECONOMIC GROWTH; BINARY-FLUID SYSTEMS; BUSINESS; ENERGY FACILITIES; GEOTHERMAL ENERGY CONVERSION; INDUSTRY; RANKINE CYCLE; CONVERSION; ENERGY CONVERSION; ENERGY SYSTEMS; POWER PLANTS; THERMAL POWER PLANTS; THERMODYNAMIC CYCLES; 150500* - Geothermal Energy- Economics, Industrial, & Business Aspects","Ormat Energy System a developer of low temperature geothermal resources based in Sparks. Nevada, now operates geothermal plants having a combined capacity of 100 MW and plans to add another 100 MW by 1992. This year Ormat expects to produce 600 million kWh, breaking the one million barrels of oil equivalent mark for the first time. Ormat's proprietary technology uses prepackaged modules called Ormat Energy Converters (OEC). Each uses off-the-shelf components capable of operating on low-temperature reservoirs. Their binary system is based on the Organic Rankine cycle and uses geothermal brine in the tea Kettle range to boil an organic heat transfer fluid. The gas then drives a turbine-generator combination within each module. The technology is somewhat unique because there is zero discharge; 100 percent of the plant's brine is injected back into the reservoir. With renewed interest in alternative energy as a means to combat acid rain and global warming. The company that geothermal's tax credits can be extended again, possibly up to two years.","","","","","","United States","1989-10-01T00:00:00Z","English","Journal Article","","Journal Name: Independent Energy; (USA); Journal Volume: 19:8","","Medium: X; Size: Pages: 30-31","","","","Journal ID: ISSN 1043-7320; CODEN: XY987","","","2009-12-17T00:00:00Z","7051423","https://www.osti.gov/biblio/7051423","","Independent Energy; (USA)","","19:8"
"Geothermal measurements in the northern Red Sea: Implications for lithospheric thermal structure and mode of extension during continental rifting","Martinez, F; Cochran, J R","15 GEOTHERMAL ENERGY; RED SEA; HEAT FLOW; ADVECTION; CONTINENTAL CRUST; DIFFUSION; GEOLOGIC MODELS; RIFT ZONES; SEA-FLOOR SPREADING; TIME DEPENDENCE; TWO-DIMENSIONAL CALCULATIONS; EARTH CRUST; GEOLOGIC STRUCTURES; MASS TRANSFER; SEAS; SURFACE WATERS; 150200* - Geology & Hydrology of Geothermal Systems","The northern Red Sea is a continental rift in the process of transition from continental to oceanic rifting. We present 191 new heat flow measurements from the northern Red Sea forming three traverses across the water covered portion of the rift. The heat flow across the rift systematically increases from values of about 125 mW/m{sup 2} seaward of the coasts to average values greater than 250 mW/m{sup 2} in the axial depression. The heat flow measurements are evaluated for environmental disturbances. These are found to be generally small. The largest estimated disturbance results from the relief of the seafloor and of the top of a subbottom evaporite layer. The relief on these surfaces can account for the 20% point to point scatter typically observed in the heat flow measurements. Limits are placed on systematic disturbances to the heat flow pattern across the rift. The estimated largest systematic disturbance results from sediment blanketing which may cause a reduction in the heat flow on the order of 10%.","","","","","","United States","1989-09-10T00:00:00Z","English","Journal Article","","Journal Name: Journal of Geophysical Research; (USA); Journal Volume: 94:B9","","Medium: X; Size: Pages: 12239-12266","","","","Journal ID: ISSN 0148-0227; CODEN: JGREA","10.1029/JB094iB09p12239","","2016-05-17T00:00:00Z","5325490","https://www.osti.gov/biblio/5325490","","Journal of Geophysical Research; (USA)","","94:B9"
