"TITLE","AUTHORS","SUBJECT","DESCRIPTION","PUBLISHER","AVAILABILITY","RESEARCH_ORG","SPONSORING_ORG","CONTRIBUTING_ORG","PUBLICATION_COUNTRY","PUBLICATION_DATE","LANGUAGE","RESOURCE_TYPE","TYPE_QUALIFIER","RELATION","COVERAGE","FORMAT","IDENTIFIER","REPORT_NUMBER","DOE_CONTRACT_NUMBER","OTHER_IDENTIFIER","DOI","RIGHTS","ENTRY_DATE","OSTI_IDENTIFIER","CITATION_URL","PURL_URL","JOURNAL_NAME","JOURNAL_ISSUE","JOURNAL_VOLUME"
"Influence on Structural Loading of a Wave Energy Converter by Controlling Variable-Geometry Components and the Power Take-Off","Husain, Salman; Davis, Jacob; Tom, Nathan; Thiagarajan, Krish; Burge, Cole; Nguyen, Nhu","16 TIDAL AND WAVE POWER; coastal engineering; design of offshore structures; hydrodynamics; ocean energy technology; offshore material performance and applications; wave mechanics and wave effects; damping; geometry; stress; surges; waves; wave energy converters","Oceans are harsh environments and can impose significant loads on deployed structures. A wave energy converter (WEC) should be designed to maximize the energy absorbed while ensuring the operating wave condition does not exceed the failure limits of the device itself. Therefore, the loads endured by the support structure are a design constraint for the system. Furthermore, the WEC should be adaptable to different sea states. Herethis work uses a WEC-Sim model of a variable-geometry oscillating wave energy converter (VGOSWEC) mounted on a support structure simulated under different wave scenarios. A VGOSWEC resembles a paddle pitching about a fixed hinge perpendicular to the incoming wave fronts. The geometry of the VGOSWEC is varied by opening a series of controllable flaps on the pitching paddle when the structure experiences threshold loads. It is hypothesized that opening the flaps should result in load shedding at the base of the support structure by reducing the moments about the hinge axis. This work compares the hydrodynamic coefficients, natural periods, and response amplitude operators from completely closed to completely open configurations of the controllable flaps. This work shows that the completely open configuration can reduce the pitch and surge loads on the base of the support structure by as much as 80%. Increased loads at the structure’s natural period can be mitigated by an axial power take-off damping acting as an additional design parameter to control the loads at the WEC’s support structure.","ASME","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Renewable Power Office. Water Power Technologies Office","","United States","2023-04-05T00:00:00Z","English","Journal Article","","Journal Name: Journal of Offshore Mechanics and Arctic Engineering; Journal Volume: 145; Journal Issue: 3","","Medium: ED; Size: Article No. OMAE-22-1166","","NREL/JA-5700-83893","AC36-08GO28308","Journal ID: ISSN 0892-7219; MainId:84666;UUID:9aeeafee-ccd0-4ef9-be78-9081366b654f;MainAdminID:68015","10.1115/1.4062115","","2023-04-18T00:00:00Z","1969254","https://www.osti.gov/biblio/1969254","","Journal of Offshore Mechanics and Arctic Engineering","3","145"
"Toward the Instrumentation and Data Acquisition of a Tidal Turbine in Real Site Conditions","Murray, Robynne E.; Simms, Andrew; Bharath, Aidan; Beach, Ryan; Murphy, Mark; Kilcher, Levi; Scholbrock, Andy","16 TIDAL AND WAVE POWER; data acquisition; instrumentation; thermoplastic blade; tidal turbine; water power","The National Renewable Energy Laboratory manufactured, instrumented, and deployed thermoplastic composite blades and a data acquisition system (NDAQ) on one of Verdant Power’s Gen5d 5 m diameter tidal turbines in New York’s East River. The thermoplastic blades had internal strain gages, and the NDAQ was a stand-alone system for monitoring and recording the strain and angular position of the blades. The turbine with thermoplastic blades operated and produced power successfully for 3 months, contributing energy to the New York City electric grid. The NDAQ hardware, instrumentation, and structure all survived the deployment and were still functional upon retrieval of the system, but no data were collected. Even though the data retrieval was not a success, data acquisition for deployed subsea marine renewable structures is a new undertaking, and it is critical to share lessons learned from national laboratory experiences. The successful deployment of thermoplastic composite blades marks a significant advancement toward improved materials for subsea components, as well as an advancement in recyclable composite materials. This article outlines the methodology and lessons learned for the instrumentation and data acquisition system.","MDPI","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Renewable Power Office. Water Power Technologies Office","","United States","2023-01-24T00:00:00Z","English","Journal Article","","Journal Name: Energies; Journal Volume: 16; Journal Issue: 3","","Medium: ED; Size: Article No. 1255","","NREL/JA-5000-84261","AC36-08GO28308","Journal ID: ISSN 1996-1073; MainId:85034;UUID:b774fa6c-f4f1-4fe1-bfe8-c14438bb9ee7;MainAdminID:68472","10.3390/en16031255","","2023-02-09T00:00:00Z","1923485","https://www.osti.gov/biblio/1923485","https://www.osti.gov/servlets/purl/1923485","Energies","3","16"
"Marine renewable energy for Arctic observations","Branch, Ruth A.; Ticona Rollano, Fadia M.; Cotter, Emma D.; McVey, James R.; Cavagnaro, Robert J.; Rigor, Ignatius","16 TIDAL AND WAVE POWER; ocean observations; blue economy; autonomous platforms; wave energy converter; tidal turbine; vortex induced vibration","Arctic observations are becoming increasingly valuable as researchers investigate climate change and its associated concerns, such as decreasing sea ice and increasing ship traffic. Networks of sensors with frequent sampling capabilities are needed to run forecast models, improve navigation, and inform climate research. Sampling frequency and deployment duration are currently constrained by battery power limitations. In-situ power generation using marine renewable energy sources such as waves and currents can be used to circumvent this constraint. Wave and current resources vary spatially and temporally in the Arctic, with some locations and seasons being better suited for marine renewable energy power generation. Locations and seasons with small resources may still be able to use marine renewable energy because of the low power requirements of the instruments. In this study, we describe the wave and current resources in the Arctic, outline the electricity generation developments that are needed to utilize the resources, and suggest use cases. Wave and current energy converters developed to power observations in the Arctic could also be used to power observations at lower latitudes. Marine renewable energy has the potential to decrease dependence on batteries and improve data collection capabilities in the Arctic; however, this would require the development of new low power technologies that can operate in extreme Arctic environments.","Frontiers Research Foundation","","Pacific Northwest National Lab. (PNNL), Richland, WA (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Renewable Power Office. Water Power Technologies Office","","United States","2022-11-21T00:00:00Z","English","Journal Article","","Journal Name: Frontiers in Marine Science; Journal Volume: 9","","Medium: ED; Size: Article No. 907337","","PNNL-SA-173773","AC05-76RL01830","Journal ID: ISSN 2296-7745","10.3389/fmars.2022.970337","","2022-12-09T00:00:00Z","1899306","https://www.osti.gov/biblio/1899306","","Frontiers in Marine Science","","9"
"Review of WEC-Sim development and applications","Ogden, David; Ruehl, Kelley; Yu, Yi-Hsiang; Keester, Adam; Forbush, Dominic; Leon, Jorge; Tom, Nathan","16 TIDAL AND WAVE POWER; 97 MATHEMATICS AND COMPUTING; numerical modeling; simulation; wave energy converter; WEC-Sim","WEC-Sim (Wave Energy Converter Simulator) is an open-source code for simulating wave energy converters, which has been actively developed and applied to simulate a wide variety of device archetypes, and has become a popular tool since its release. This paper reviewed the development efforts and the usage of WEC-Sim. The publications considered in this study have been broken down into six topic areas, namely feature development, experimental validation, device modeling, control modeling, PTO and grid modeling, and novel applications, which even includes some non-wave energy applications. This review paper has also attempted to recognize the contributions of the broader WEC-Sim development effort, meaning not only the internal WEC-Sim development team but also the external efforts from the academia researchers and technology developers around the world. The growing trend of external applications of WEC-Sim has demonstrated the broader acceptance of the open-source code, and how WEC-Sim has been used in a certain topic area also highlights the potential future development needs.","European Wave and Tidal Energy Conference","","National Renewable Energy Lab. (NREL), Golden, CO (United States); Sandia National Lab. (SNL-NM), Albuquerque, NM (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Renewable Power Office. Water Power Technologies Office","","United States","2022-12-19T00:00:00Z","English","Journal Article","","Journal Name: International Marine Energy Journal; Journal Volume: 5; Journal Issue: 3","","Medium: ED; Size: p. 293-303","","NREL/JA-5700-83366","AC36-08GO28308; NA0003525","Journal ID: ISSN 2631-5548; MainId:84139;UUID:2b4b8eb2-8a0a-4cac-b920-560495704419;MainAdminID:67556","10.36688/imej.5.293-303","","2023-01-09T00:00:00Z","1907607","https://www.osti.gov/biblio/1907607","https://www.osti.gov/servlets/purl/1907607","International Marine Energy Journal","3","5"
"Case study on the novel permitting and authorization of PacWave South, a US grid-connected wave energy test facility: Development, challenges, and insights","Freeman, Mikaela C.; O'Neil, Rebecca S.; Garavelli, Lysel; Hellin, Dan; Klure, Justin A.","16 TIDAL AND WAVE POWER; wave energy; marine energy; permitting; test facility; grid-connected; regulatory insights","Marine energy (i.e., energy from waves, tides, currents, and rivers) in the United States is a nascent industry. In particular, permitting processes—an uncertainty for industry advancement that can be costly and time consuming to navigate—have rarely been tested and used for marine energy. The novelty of the marine energy industry and utilization of open ocean permitting processes that were not originally developed for marine energy have led to extensive efforts to gain consensus amongst state and federal regulatory agencies to authorize marine energy projects. In 2021, Oregon State University successfully completed permitting of a wave energy test facility, called PacWave South, off the coast of Oregon, which is designed to advance wave energy research and development. This article documents the multi-year process that Oregon State University used to receive federal and state authorization for a pre-permitted commercial-scale grid connected facility by detailing the development of the test facility, management of uncertainty and challenges, and key decisions. The PacWave South case study provides insights for the larger marine energy community as the industry advances towards commercialization.","Elsevier","","Pacific Northwest National Lab. (PNNL), Richland, WA (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Renewable Power Office. Water Power Technologies Office","","United States","2022-07-21T00:00:00Z","English","Journal Article","","Journal Name: Energy Policy; Journal Volume: 168","","Medium: ED; Size: Article No. 113141","","PNNL-SA-175192","AC05-76RL01830","Journal ID: ISSN 0301-4215","10.1016/j.enpol.2022.113141","","2022-09-19T00:00:00Z","1886833","https://www.osti.gov/biblio/1886833","https://www.osti.gov/servlets/purl/1886833","Energy Policy","","168"
"Evaluating the resilience benefits of marine energy in microgrids","Newman, Sarah F.; Bhatnagar, Dhruv; O'Neil, Rebecca S.; Reiman, Andrew P.; Preziuso, Danielle C.; Robertson, Bryson","16 TIDAL AND WAVE POWER; microgrids; resilience; value proposition of marine energy resources","Marine energy resources could promote clean energy and resilience of coastal and island microgrids, and thus, these applications are a key future market for marine energy development. To demonstrate these benefits, this paper illustrates how inclusion of wave resources into energy resilience solutions can improve overall grid efficiency and sustainability, as well as maintain electricity supply during grid outages. The paper describes a case study evaluation of the potential to add wave energy to the Moloka'i grid as Hawaii strives to meet a 100% clean energy target. The Microgrid Component Optimization for Resilience tool is used to simulate operation in off-grid conditions and size different combinations of wave, solar photovoltaic (PV), wind, storage, and fuel resources required to meet resilience objectives. This research investigates how including wave resources in a microgrid contributes to reducing or eliminating biofuel generation, producing a zero-greenhouse gas emission profile in the latter case, and avoiding the over-sizing of PV and battery systems to accommodate periods of unavailability or high demand. Insight from this paper supports the value proposition of wave resources for future markets and informs the relationship between marine generators and microgrids or isolated grids.","European Wave and Tidal Energy Conference","","Pacific Northwest National Lab. (PNNL), Richland, WA (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Renewable Power Office. Water Power Technologies Office","","United States","2022-09-15T00:00:00Z","English","Journal Article","","Journal Name: International Marine Energy Journal; Journal Volume: 5; Journal Issue: 2","","Medium: ED; Size: p. 143-150","","PNNL-SA-169469","AC05-76RL01830","Journal ID: ISSN 2631-5548","10.36688/imej.5.143-150","","2022-11-24T00:00:00Z","1895369","https://www.osti.gov/biblio/1895369","https://www.osti.gov/servlets/purl/1895369","International Marine Energy Journal","2","5"
"A feasibility assessment for co-locating and powering offshore aquaculture with wave energy in the United States","Garavelli, Lysel; Freeman, Mikaela C.; Tugade, Levy G.; Greene, David; McNally, Jim","16 TIDAL AND WAVE POWER; offshore aquaculture; marine renewable energy; co-location; energy assessment; spatial analysis","Offshore aquaculture and marine renewable energy (energy from waves, tides, currents, and ocean gradients) are two developing ocean-based industries. Aquaculture, an industry that has typically relied on diesel for power, is expected to grow globally, presenting an opportunity to reduce greenhouse gas emissions by switching to renewable sources as it expands. As the industry moves further offshore and is situated in more energetic environments, the prospect to co-locate offshore aquaculture with wave energy increases. To improve understanding of this potential, a feasibility assessment was completed to estimate the energy needs and wave resource required to power offshore finfish aquaculture operations. The study found it is possible to power offshore aquaculture operations entirely with wave energy. A spatial analysis was then performed to assess the suitability of co-locating offshore finfish aquaculture and wave energy off California and Hawaii. Suitable locations were identified offshore of O’ahu, Hawaii, and northern California. Southern California was also assessed, using a lower wave resource, based on study areas evaluated by the National Oceanic and Atmospheric Administration to identify Aquaculture Opportunity Areas, and while limited there are suitable locations that may warrant further evaluation. This study presents an analysis into the potential to pair wave energy with offshore aquaculture, and how various factors can help determine suitable areas for co-location. The analyses developed in this study will support future identification of potential sites for development and decision-making to optimize the success of co-locating wave energy resources and offshore finfish aquaculture.","Elsevier","","Pacific Northwest National Lab. (PNNL), Richland, WA (United States); National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Renewable Power Office. Water Power Technologies Office","","United States","2022-05-30T00:00:00Z","English","Journal Article","","Journal Name: Ocean & Coastal Management; Journal Volume: 225","","Medium: ED; Size: Article No. 106242","","PNNL-SA-170040; NREL/JA-5700-83209","AC05-76RL01830; AC36-08GO28308","Journal ID: ISSN 0964-5691","10.1016/j.ocecoaman.2022.106242","","2022-08-12T00:00:00Z","1878284","https://www.osti.gov/biblio/1878284","https://www.osti.gov/servlets/purl/1878284","Ocean & Coastal Management","","225"
"Temporal complementarity of marine renewables with wind and solar generation: Implications for GB system benefits","Pennock, Shona; Coles, Daniel; Angeloudis, Athanasios; Bhattacharya, Saptarshi; Jeffrey, Henry","16 TIDAL AND WAVE POWER; marine energy; temporal characterization; system integration; wave energy; tidal stream energy","Wave and tidal energy have the potential to provide benefits to power systems with high proportions of stochastic renewable generation. This is particularly applicable with wind and solar photovoltaics, as the offsetting of these renewable resources results in more reliable renewable generation. This study utilises ten metrics to quantify the temporal complementarity and supply-demand balancing requirements of the energy mix in Great Britain, to investigate the potential magnitude of these system benefits. Wave and tidal generation profiles are created using historical resource data and hydrodynamic models. The results show that the inclusion of wave and tidal generation creates a renewable energy mix which is more available under multiple conditions: throughout a year of operation; at times of peak demand; for multiple consecutive hourly time periods; and at times when wind and solar generation are not available. Three regional case studies also show that the inclusion of marine energy allows for improved regional supply-demand matching, reducing instances of energy shortage and excess and potentially relieving transmission congestion at particularly constrained locations within GB. Finally, the implications of these findings are discussed in terms of GB wholesale market operation, system balancing and system security.","Elsevier","","Pacific Northwest National Lab. (PNNL), Richland, WA (United States)","USDOE; European Union Horizon 2020; Scottish Enterprise; Tidal Stream Industry Energiser project (TIGER); European Regional Development Fund; North American Electric Reliability Corporation (NERC)","","United States","2022-05-19T00:00:00Z","English","Journal Article","","Journal Name: Applied Energy; Journal Volume: 319","","Medium: ED; Size: Article No. 119276","","PNNL-SA-168316","AC05-76RL01830; NE/R013209/2; 731200","Journal ID: ISSN 0306-2619","10.1016/j.apenergy.2022.119276","","2022-08-29T00:00:00Z","1874202","https://www.osti.gov/biblio/1874202","https://www.osti.gov/servlets/purl/1874202","Applied Energy","","319"
"A Summary of Environmental Monitoring Recommendations for Marine Energy Development That Considers Life Cycle Sustainability","Amerson, Alicia M. (ORCID:0000000207536735); Harris, Tyler M.; Michener, Savanna R.; Gunn, Cailene M. (ORCID:0000000191704561); Haxel, Joseph H.","16 TIDAL AND WAVE POWER; marine energy; life cycle assessment; sustainable energy; environmental monitoring; renewable energy","<p>Recommendations derived from papers documenting the Triton Field Trials (TFiT) study of marine energy environmental monitoring technology and methods under the Triton Initiative (Triton), as reported in this Special Issue, are summarized here. Additionally, a brief synopsis describes how to apply the TFiT recommendations to establish an environmental monitoring campaign, and provides an overview describing the importance of identifying the optimal time to perform such campaigns. The approaches for tracking and measuring the effectiveness of recommendations produced from large environmental monitoring campaigns among the stakeholder community are discussed. The discussion extends beyond the initial scope of TFiT to encourage discussion regarding marine energy sustainability that includes life cycle assessment and other life cycle sustainability methodologies. The goal is to inspire stakeholder collaboration across topics associated with the marine energy industry, including diversity and inclusion, energy equity, and how Triton’s work connects within the context of the three pillars of energy sustainability: environment, economy, and society.</p>","MDPI AG","","Pacific Northwest National Lab. (PNNL), Richland, WA (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Renewable Power Office. Water Power Technologies Office","","Switzerland","2022-04-26T00:00:00Z","English","Journal Article","","Journal Name: Journal of Marine Science and Engineering Journal Volume: 10 Journal Issue: 5","","Medium: X; Size: Article No. 586","","PNNL-SA-171558","AC05-76RL01830","Journal ID: ISSN 2077-1312; PII: jmse10050586","10.3390/jmse10050586","","2023-02-07T00:00:00Z","1923412","https://www.osti.gov/biblio/1923412","","Journal of Marine Science and Engineering","5","10"
"Global wave energy resource classification system for regional energy planning and project development","Ahn, Seongho; Neary, Vincent S.; Haas, Kevin A.","16 TIDAL AND WAVE POWER; Wave energy resource classification; Global wave energy resource; Global wave climate","Efforts to streamline and codify wave energy resource characterization and assessment for regional energy planning and wave energy converter (WEC) project development have motivated the recent development of resource classification systems. Given the unique interplay between WEC absorption and resource attributes, viz, available wave power frequency, directionality, and seasonality, various consensus resource classification metrics have been introduced. However, the main international standards body for the wave energy industry has not reached consensus on a wave energy resource classification system designed with clear goals to facilitate resource assessment, regional energy planning, project site selection, project feasibility studies, and selection of WEC concepts or archetypes that are most suitable for a given wave energy climate. In this work, a primary consideration of wave energy generation is the available energy that can be captured by WECs with different resonant frequency and directional bandwidths. Therefore, the proposed classification system considers combinations of three different wave power classifications: the total wave power, the frequency-constrained wave power, and the frequency-directionally constrained wave power. The dominant wave period bands containing the most wave power are sub-classification parameters that provide useful information for designing frequency and directionally constrained WECs. The bulk of the global wave energy resource is divided into just 22 resource classes representing distinct wave energy climates that could serve as a common language and reference framework for wave energy resource assessment if codified within international standards.","Elsevier","","Sandia National Lab. (SNL-NM), Albuquerque, NM (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Wind and Hydropower Technology Program; USDOE National Nuclear Security Administration (NNSA)","","United States","2022-04-20T00:00:00Z","English","Journal Article","","Journal Name: Renewable and Sustainable Energy Reviews; Journal Volume: 162","","Medium: ED; Size: Article No. 112438","","SAND2022-9785J","NA0003525","Journal ID: ISSN 1364-0321; 708378","10.1016/j.rser.2022.112438","","2023-04-20T00:00:00Z","1877175","https://www.osti.gov/biblio/1877175","https://www.osti.gov/servlets/purl/1877175","Renewable and Sustainable Energy Reviews","","162"
