"TITLE","AUTHORS","SUBJECT","DESCRIPTION","PUBLISHER","AVAILABILITY","RESEARCH_ORG","SPONSORING_ORG","CONTRIBUTING_ORG","PUBLICATION_COUNTRY","PUBLICATION_DATE","LANGUAGE","RESOURCE_TYPE","TYPE_QUALIFIER","RELATION","COVERAGE","FORMAT","IDENTIFIER","REPORT_NUMBER","DOE_CONTRACT_NUMBER","OTHER_IDENTIFIER","DOI","RIGHTS","ENTRY_DATE","OSTI_IDENTIFIER","CITATION_URL","PURL_URL","JOURNAL_NAME","JOURNAL_ISSUE","JOURNAL_VOLUME"
"Validation of turbulence intensity as simulated by the Weather Research and Forecasting model off the US northeast coast","Tai, Sheng-Lun; Berg, Larry K.; Krishnamurthy, Raghavendra; Newsom, Rob; Kirincich, Anthony","17 WIND ENERGY","We report turbulence intensity (TI) is often used to quantify the strength of turbulence in wind energy applications and serves as the basis of standards in wind turbine design. Thus, accurately characterizing the spatiotemporal variability in TI should lead to improved predictions of power production. Nevertheless, turbulence measurements over the ocean are far less prevalent than over land due to challenges in instrumental deployment, maintenance, and operation. Atmospheric models such as mesoscale (weather prediction) and large-eddy simulation (LES) models are commonly used in the wind energy industry to assess the spatial variability of a given site. However, the TI derivation from atmospheric models has not been well examined. An algorithm is proposed in this study to realize online calculation of TI in the Weather Research and Forecasting (WRF) model. Simulated TI is divided into two components depending on scale, including sub-grid (parameterized based on turbulence kinetic energy (TKE)) and grid resolved. The sensitivity of sea surface temperature (SST) on simulated TI is also tested. An assessment is performed by using observations collected during a field campaign conducted from February to June 2020 near the Woods Hole Oceanographic Institution Martha's Vineyard Coastal Observatory. Results show that while simulated TKE is generally smaller than the lidar-observed value, wind speed bias is usually small. Overall, this leads to a slight underestimation in sub-grid-scale estimated TI. Improved SST representation subsequently reduces model biases in atmospheric stability as well as wind speed and sub-grid TI near the hub height. Large TI events in conjunction with mesoscale weather systems observed during the studied period pose a challenge to accurately estimating TI from models. Due to notable uncertainty in accurately simulating those events, this suggests summing up sub-grid and resolved TI may not be an ideal solution. Efforts in further improving skills in simulating mesoscale flow and cloud systems are necessary as the next steps.","Copernicus Publications","","Pacific Northwest National Lab. (PNNL), Richland, WA (United States)","USDOE; National Offshore Wind Research and Development Consortium","","United States","2023-03-29T00:00:00Z","English","Journal Article","","Journal Name: Wind Energy Science (Online); Journal Volume: 8; Journal Issue: 3","","Medium: ED; Size: p. 433-448","","PNNL-SA-177603","AC05-76RL01830; 147502","Journal ID: ISSN 2366-7451","10.5194/wes-8-433-2023","","2023-04-03T00:00:00Z","1963572","https://www.osti.gov/biblio/1963572","https://www.osti.gov/servlets/purl/1963572","Wind Energy Science (Online)","3","8"
"Using observational mean-flow data to drive large-eddy simulations of a diurnal cycle at the SWiFT site","Allaerts, Dries; Quon, Eliot; Churchfield, Matt","17 WIND ENERGY; atmospheric boundary layer; diurnal cycle; large-eddy simulation; low-level jet; mesoscale-to-microscale coupling; profile assimilation; SWiFT","Reproducing realistic date- and site-specific unsteady wind conditions in large-eddy simulations is becoming increasingly useful in wind energy. How to run a large-eddy simulation to match observed conditions, however, remains an open research question. One approach that has received considerable attention is mesoscale-to-microscale coupling, in which information about the mesoscale weather, most commonly acquired from a mesoscale numerical weather model, is passed on to a microscale model. In this paper, we demonstrate how the recently developed profile-assimilation technique, a form of mesoscale-to-microscale coupling, can be used to drive large-eddy simulations solely based on observed mean-flow profiles at a single location, bypassing the need for auxiliary mesoscale simulations. The new approach is evaluated for a diurnal cycle at the Scaled Wind Farm Technology site. Observed mean-flow profiles from the ground up to a height of 2 km are reconstructed by aggregating measurements from multiple instruments, and gaps in the data are infilled with natural neighbor interpolation. We perform nine simulations using various forcing approaches to deal with data limitations. The results show that it is indeed possible to drive microscale large-eddy simulation with observations using the profile-assimilation technique, notwithstanding large gaps in virtual potential temperature measurements. However, profile assimilation with vertical smoothing of the error between the desired and actual profiles is required. Without that smoothing, the microscale simulations develop unrealistically high turbulence levels under many situations. Finally, we show that simulated mesoscale data can account for missing observations, although care is needed as both data sources are not necessarily compatible.","Wiley","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Renewable Power Office. Wind Energy Technologies Office","","United States","2023-03-19T00:00:00Z","English","Journal Article","","Journal Name: Wind Energy; Journal Volume: 26; Journal Issue: 5","","Medium: ED; Size: p. 469-492","","NREL/JA-5000-83962","AC36-08GO28308","Journal ID: ISSN 1095-4244; MainId:84735;UUID:dfa15c76-ad14-4e8b-9816-2e0db5b84de7;MainAdminID:68630","10.1002/we.2811","","2023-04-26T00:00:00Z","1969255","https://www.osti.gov/biblio/1969255","https://www.osti.gov/servlets/purl/1969255","Wind Energy","5","26"
"Effects of wind field characteristics on pitch bearing reliability: a case study of 5 MW reference wind turbine at onshore and offshore sites; Auswirkungen von Windfeldeigenschaften auf die Zuverlässigkeit von Rotorblattlagern: eine Fallstudie über eine 5-MW-Referenz-Windkraftanlage an Onshore- und Offshore-Standorten","Rezaei, Ashkan; Guo, Yi; Keller, Jonathan; Nejad, Amir R.","17 WIND ENERGY; pitch bearing; wind field characteristics; wind turbine","This paper presents a study on pitch bearing basic rating life affected by wind field characteristics at both onshore and offshore wind sites. The National Renewable Energy Laboratory 5 MW reference wind turbine is selected for the study. Wind field characteristics including reference hub height mean wind speed, wind speed distribution, wind shear, and vertical inflow are studied. A decoupled approach is employed where global analysis is performed first. Second, the load effects from the global analysis are applied on a reference pitch bearing designed based on best industrial practices. For the case study onshore site, it is found that the Kernel density estimation best fits the wind distribution, while the International Electrotechnical Commission proposed distribution appears to be not suitable. Moreover, it is shown that the seed number has high effect on the bearing life in turbulence wind and the wind speeds around rated have the highest contribution in both bearing fatigue damage and extreme load failure. The results contribute to better understanding of the wind field characteristics on the pitch bearing life.","Springer Nature","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Renewable Power Office. Wind Energy Technologies Office; Research Council of Norway","","United States","2023-03-20T00:00:00Z","English","Journal Article","","Journal Name: Forschung im Ingenieurwesen; Journal Volume: 87; Journal Issue: 1","","Medium: ED; Size: p. 321-338","","NREL/JA-5000-84795","AC36-08GO28308","Journal ID: ISSN 0015-7899; MainId:85568;UUID:492849e1-d425-4f42-84b3-7b8a04ba0658;MainAdminID:68644","10.1007/s10010-023-00654-x","","2023-04-26T00:00:00Z","1968237","https://www.osti.gov/biblio/1968237","https://www.osti.gov/servlets/purl/1968237","Forschung im Ingenieurwesen","1","87"
"Enabling Floating Offshore VAWT Design by Coupling OWENS and OpenFAST","Devin, Michael C.; Mendoza, Nicole R.; Platt, Andrew; Moore, Kevin; Jonkman, Jason; Ennis, Brandon L.","17 WIND ENERGY; floating offshore wind turbine (FOWT); FOWT; hydrodynamics; OpenFAST; OWENS; VAWT; vertical axis wind turbine (VAWT)","Vertical-axis wind turbines (VAWTs) have a long history, with a wide variety of turbine archetypes that have been designed and tested since the 1970s. While few utility-scale VAWTs currently exist, the placement of the generator near the turbine base could make VAWTs advantageous over tradition horizontal-axis wind turbines for floating offshore wind applications via reduced platform costs and improved scaling potential. However, there are currently few numerical design and analysis tools available for VAWTs. One existing engineering toolset for aero-hydro-servo-elastic simulation of VAWTs is the Offshore Wind ENergy Simulator (OWENS), but its current modeling capability for floating systems is non-standard and not ideal. This article describes how OWENS has been coupled to several OpenFAST modules to update and improve modeling of floating offshore VAWTs and discusses the verification of these new capabilities and features. The results of the coupled OWENS verification test agree well with a parallel OpenFAST simulation, validating the new modeling and simulation capabilities in OWENS for floating VAWT applications. These developments will enable the design and optimization of floating offshore VAWTs in the future.","MDPI","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE Advanced Research Projects Agency - Energy (ARPA-E); USDOE National Nuclear Security Administration (NNSA)","","United States","2023-03-04T00:00:00Z","English","Journal Article","","Journal Name: Energies; Journal Volume: 16; Journal Issue: 5","","Medium: ED; Size: Article No. 2462","","NREL/JA-5000-83748","AC36-08GO28308; NA0003525","Journal ID: ISSN 1996-1073; MainId:84521;UUID:de62c52a-97d4-4f49-8e74-3747c1b2e75d;MainAdminID:69060","10.3390/en16052462","","2023-03-23T00:00:00Z","1962352","https://www.osti.gov/biblio/1962352","https://www.osti.gov/servlets/purl/1962352","Energies","5","16"
"Dynamic modelling of slip in a wind turbine spherical roller main bearing","de Mello, Elisha; Hart, Edward; Guo, Yi; Keller, Jonathan; Dwyer-Joyce, Rob; Boateng, Ampea","17 WIND ENERGY; dynamics; main bearing; roller bearing; slip; wind turbine","This paper considers the problem of the dynamic modelling of macro slip in spherical roller bearings. By revisiting the fundamental physics which drive these systems, potential issues in existing models have been identified. Furthermore, in pure rolling conditions it was found that governing differential equations become ""stiff"", requiring the use of implicit methods of time integration. The problem of individual roller macro slip in a wind turbine main bearing is then investigated using a simplified representation of system dynamics. Model results indicate clear links between slip/friction and the operational strategy of the wind turbine, as well as significantly higher frictional effects in the downwind main bearing row. Due to modelling simplifications, these results should not yet be considered conclusive, with further work required.","Springer Nature","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Renewable Power Office. Wind Energy Technologies Office; Offshore Renewable Energy Catapult; Royal Commission for the Exhibition of 1851; Powertrain Research Hub","","United States","2023-03-20T00:00:00Z","English","Journal Article","","Journal Name: Forschung im Ingenieurwesen","","Medium: ED","","NREL/JA-5000-84793","AC36-08GO28308","Journal ID: ISSN 0015-7899; MainId:85566;UUID:882ec336-e42e-499c-9ff4-89a7ce946769;MainAdminID:68609","10.1007/s10010-023-00652-z","","2023-04-24T00:00:00Z","1968236","https://www.osti.gov/biblio/1968236","","Forschung im Ingenieurwesen","",""
"Turbulent entrainment in finite-length wind farms","Bempedelis, Nikolaos (ORCID:0000000273599144); Laizet, Sylvain; Deskos, Georgios (ORCID:0000000175927191)","17 WIND ENERGY; atmospheric flows; large-eddy simulations; turbulent entrainment; wind farm aerodynamics","<p> In this article, we present an entrainment-based model for predicting the flow and power output of finite-length wind farms. The model is an extension of the three-layer approach of Luzzatto-Fegiz & Caulfield ( <italic>Phys. Rev. Fluids</italic> , vol. 3, 2018, 093802) for wind farms of infinite length, and assumes dependence of key flow quantities, such as the wind farm bulk velocity, on the streamwise distance from the farm entrance. To assist our analysis and validate the proposed model, we undertake a series of large-eddy simulations with different turbine spacing arrangements and layouts. Comparisons are also made with the top-down model with entrance effects of Meneveau ( <italic>J. Turbul.</italic> , vol. 13, 2012, N7) and data from the literature. The finite-length entrainment model is shown to be capable of capturing the power drop between contiguous rows of turbines as well as describing the advection and turbulent transport of kinetic energy in both the entrance and fully developed regions. The fully developed regime is approximated only deep in the wind farm, after approximately 15 rows of turbines. Our data suggest that for the cases considered in this study, the empirical coefficients that can be used to describe turbulent entrainment and transfers above the wind farm exhibit little dependence on the farm layout and may be considered constant for modelling purposes. However, the flow field within the wind farm layer can be strongly modulated by the turbine density (spacing) as well as the array layout, and to that extent it can be argued that they are both primary factors determining the wind farm power output. </p>","Cambridge University Press (CUP)","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Renewable Power Office. Wind Energy Technologies Office; Engineering and Physical Sciences Research Council (EPSRC)","","United Kingdom","2023-01-12T00:00:00Z","English","Journal Article","","Journal Name: Journal of Fluid Mechanics Journal Volume: 955","","Medium: X","","NREL/JA-5000-84132","AC36-08GO28308; EP/V000942/1","Journal ID: ISSN 0022-1120; A12; PII: S0022112022010643","10.1017/jfm.2022.1064","","2023-01-16T00:00:00Z","1909045","https://www.osti.gov/biblio/1909045","","Journal of Fluid Mechanics","","955"
"The transmission ramifications of social and environmental siting considerations on wind energy deployment","Bennett, Jeffrey A.; Ogland-Hand, Jonathan D.; Middleton, Erin J.; Eidbo, Jessi B.; Prorok, Matt; Ross, Brian; Yaw, Sean; Middleton, Richard S.","17 WIND ENERGY; wind power; energy and environmental justice; optimization; GIS; energy transition","<p> Increasing the capacity of wind power is critical to achieving climate goals, however its continued deployment faces environmental and social siting challenges. For example, the United States government is increasingly emphasizing the importance of a just energy transition by considering the social impacts of energy and environmental justice (EEJ). In this study, we investigate the impact of considering available EEJ metrics and environmental impacts into siting wind power and transmission by applying <italic>SimWIND</italic> <sup> <italic>PRO</italic> </sup> . <italic>SimWIND</italic> <sup> <italic>PRO</italic> </sup> is an infrastructure optimization tool that can site wind energy technologies and transmission by concurrently considering wind resource potential, transmission costs, EEJ, and environmental impacts. We demonstrate the impacts of considering EEJ and environmental factors in the context of Midcontinent Independent System Operator’s (MISO) western region, which includes some of the best wind energy potential in the United States. We show that prioritizing EEJ and environmental considerations in wind deployment can result in exponentially more transmission deployment for the same amount of wind power delivered, and results in selecting different wind farm sites. Our results also show that, depending on how it is considered, it is possible that constraining sites based on EEJ and environmental factors can reduce the available capacity of wind energy enough that energy transition capacity targets cannot be met. </p>","Frontiers Media SA","","Carbon Solutions LLC, Okemos, MI (United States)","USDOE Office of Science (SC)","","Switzerland","2023-01-06T00:00:00Z","English","Journal Article","","Journal Name: Frontiers in Energy Research Journal Volume: 10","","Medium: X","","","SC0021888","Journal ID: ISSN 2296-598X; 1040957","10.3389/fenrg.2022.1040957","","2023-01-10T00:00:00Z","1908259","https://www.osti.gov/biblio/1908259","","Frontiers in Energy Research","","10"
"Sensitivity analysis of the effect of wind and wake characteristics on wind turbine loads in a small wind farm","Shaler, Kelsey (ORCID:0000000275633377); Robertson, Amy N. (ORCID:0000000174484632); Jonkman, Jason (ORCID:0000000329907362)","17 WIND ENERGY; elementary effects; FAST.Farm; loads analysis; NREL 5-MW baseline wind turbine; OpenFAST; sensitivity analysis; TurbSim; uncertainty; wake effects; wind farm","<p>Abstract. Wind turbines are designed using a set of simulations to determine the fatigue and ultimate loads, which are typically focused solely on unwaked wind turbine operation. These structural loads can be significantly influenced by the wind inflow conditions. Turbines experience altered inflow conditions when placed in the wake of upstream turbines, which can additionally influence the fatigue and ultimate loads. It is important to understand the impact of uncertainty on the resulting loads of both unwaked and waked turbines. The goal of this work is to assess which wind-inflow-related and wake-related parameters have the greatest influence on fatigue and ultimate loads during normal operation for turbines in a three-turbine wind farm. Twenty-eight wind inflow and wake parameters are screened using an elementary effects sensitivity analysis approach to identify the parameters that lead to the largest variation in the fatigue and ultimate loads of each turbine. This study uses the National Renewable Energy Laboratory (NREL) 5 MW baseline wind turbine, simulated with OpenFAST and synthetically generated inflow based on the International Electrotechnical Commission (IEC) Kaimal turbulence spectrum with the IEC exponential coherence model using the NREL tool TurbSim. The focus is on sensitivity to individual parameters, though interactions between parameters are considered, and how sensitivity differs between waked and unwaked turbines. The results of this work show that for both waked and unwaked turbines, ambient turbulence in the primary wind direction and shear are the most sensitive parameters for turbine fatigue and ultimate loads. Secondary parameters of importance for all turbines are identified as yaw misalignment, streamwise integral length, and the exponent and streamwise components of the IEC coherence model. The tertiary parameters of importance differ between waked and unwaked turbines. Tertiary effects account for up to 9.0 % of the significant events for waked turbine ultimate loads and include veer, non-streamwise components of the IEC coherence model, Reynolds stresses, wind direction, air density, and several wake calibration parameters. For fatigue loads, tertiary effects account for up to 5.4 % of the significant events and include vertical turbulence standard deviation, lateral and vertical wind integral lengths, non-streamwise components of the IEC coherence model, Reynolds stresses, wind direction, and all wake calibration parameters. This information shows the increased importance of non-streamwise wind components and wake parameters in the fatigue and ultimate load sensitivity of downstream turbines.</p>","Copernicus GmbH","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Renewable Power Office. Wind Energy Technologies Office","","Germany","2023-01-04T00:00:00Z","English","Journal Article","","Journal Name: Wind Energy Science (Online) Journal Volume: 8 Journal Issue: 1","","Medium: X; Size: p. 25-40","","NREL/JA-5000-85378","AC36-08GO28308","Journal ID: ISSN 2366-7451","10.5194/wes-8-25-2023","","2023-01-06T00:00:00Z","1907902","https://www.osti.gov/biblio/1907902","","Wind Energy Science (Online)","1","8"
"Offshore wind energy forecasting sensitivity to sea surface temperature input in the Mid-Atlantic","Redfern, Stephanie (ORCID:0000000259489555); Optis, Mike; Xia, Geng (ORCID:0000000150395061); Draxl, Caroline (ORCID:0000000155326268)","17 WIND ENERGY; offshore wind; Weather Research and Forecasting model; wind forecasting sensitivity; wind resource characterization","<p>Abstract. As offshore wind farm development expands, accurate wind resource forecasting over the ocean is needed. One important yet relatively unexplored aspect of offshore wind resource assessment is the role of sea surface temperature (SST). Models are generally forced with reanalysis data sets, which employ daily SST products. Compared with observations, significant variations in SSTs that occur on finer timescales are often not captured. Consequently, shorter-lived events such as sea breezes and low-level jets (among others), which are influenced by SSTs, may not be correctly represented in model results. The use of hourly SST products may improve the forecasting of these events. In this study, we examine the sensitivity of model output from the Weather Research and Forecasting model (WRF) 4.2.1 to different SST products. We first evaluate three different data sets: the Multiscale Ultrahigh Resolution (MUR25) SST analysis, a daily, 0.25∘ × 0.25∘ resolution product; the Operational Sea Surface Temperature and Ice Analysis (OSTIA), a daily, 0.054∘ × 0.054∘ resolution product; and SSTs from the Geostationary Operational Environmental Satellite 16 (GOES-16), an hourly, 0.02∘ × 0.02∘ resolution product. GOES-16 is not processed at the same level as OSTIA and MUR25; therefore, the product requires gap-filling using an interpolation method to create a complete map with no missing data points. OSTIA and GOES-16 SSTs validate markedly better against buoy observations than MUR25, so these two products are selected for use with model simulations, while MUR25 is at this point removed from consideration. We run the model for June and July of 2020 and find that for this time period, in the Mid-Atlantic, although OSTIA SSTs overall validate better against in situ observations taken via a buoy array in the area, the two products result in comparable hub-height (140 m) wind characterization performance on monthly timescales. Additionally, during hours-long flagged events (< 30 h each) that show statistically significant wind speed deviations between the two simulations, both simulations once again demonstrate similar validation performance (differences in bias, earth mover's distance, correlation, and root mean square error on the order of 10−1 or less), with GOES-16 winds validating nominally better than OSTIA winds. With a more refined GOES-16 product, which has been not only gap-filled but also assimilated with in situ SST measurements in the region, it is likely that hub-height winds characterized by GOES-16-informed simulations would definitively validate better than those informed by OSTIA SSTs.</p>","Copernicus GmbH","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Renewable Power Office. Wind Energy Technologies Office; National Offshore Wind Research and Development Consortium","","Germany","2023-01-02T00:00:00Z","English","Journal Article","","Journal Name: Wind Energy Science (Online) Journal Volume: 8 Journal Issue: 1","","Medium: X; Size: p. 1-23","","NREL/JA-5000-85375","CRD-19-16351; AC36-08GO28308","Journal ID: ISSN 2366-7451","10.5194/wes-8-1-2023","","2023-01-04T00:00:00Z","1907309","https://www.osti.gov/biblio/1907309","","Wind Energy Science (Online)","1","8"
"Scalable Resilience Analysis Through Power Systems Co-Simulation","Phillips, Tyler; Marinovici, Laurentiu D.; Rieger, Craig; Orrell, Alice","17 WIND ENERGY; resilience; co-simulation; microgrid; distributed wind; cyber-physical","The ability to robustly characterize transmission and distribution grid resilience requires the ability to perform time-scale analysis that interweaves communications, control, and power contributions. This consideration is important to ensuring an understanding of how each individual aspect can affect the resulting systemic resilience. The combination of co-simulation of these time-based characteristics and a resilience-specific metric provides a likely method to inform both design planning and implementation/operational goals to ensure resilience in power systems. The Microgrids, Infrastructure Resilience, and Advanced Controls Launchpad co-simulation platform (MIRACL-CSP) has been developed to allow the modular integration of power grid models with control and metrics applications. This paper introduces MIRACL-CSP as a fundamental platform to study and improve the resilient operation of a microgrid. It offers a holistic investigation environment for systemically comparing the cyber-physical resilience to natural and manmade events. We emphasize the importance/advantage of intertwining the distribution system simulator GridLAB-D with the Power Distribution Designing for Resilience (PowDDeR) application to analyze the resilience of the St. Mary’s microgrid in Alaska. The resilience is evaluated in both short-term (frequency stability) and long-term (energy constrained) metrics. The results of the analysis of the St. Mary’s microgrid show that there is a trade-off between the two. As inertia-based generation assets are taken off-line, short-term resilience drops. However, the long-term resilience is retained longer as less fuel is being used.","Institute of Electrical and Electronics Engineers","","Idaho National Lab. (INL), Idaho Falls, ID (United States); Pacific Northwest National Lab. (PNNL), Richland, WA (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Renewable Power Office. Wind Energy Technologies Office","","United States","2023-01-01T00:00:00Z","English","Journal Article","","Journal Name: IEEE Access Journal Volume: 11","","Medium: X; Size: p. 18205-18214","","INL/JOU-22-69499-Revision-0; PNNL-SA-178406","AC05-76RL01830; AC07-05ID14517","Journal ID: ISSN 2169-3536; 10050105","10.1109/ACCESS.2023.3246486","","2023-03-22T00:00:00Z","1959102","https://www.osti.gov/biblio/1959102","","IEEE Access","","11"
