"TITLE","AUTHORS","SUBJECT","DESCRIPTION","PUBLISHER","AVAILABILITY","RESEARCH_ORG","SPONSORING_ORG","CONTRIBUTING_ORG","PUBLICATION_COUNTRY","PUBLICATION_DATE","LANGUAGE","RESOURCE_TYPE","TYPE_QUALIFIER","RELATION","COVERAGE","FORMAT","IDENTIFIER","REPORT_NUMBER","DOE_CONTRACT_NUMBER","OTHER_IDENTIFIER","DOI","RIGHTS","ENTRY_DATE","OSTI_IDENTIFIER","CITATION_URL","PURL_URL","JOURNAL_NAME","JOURNAL_ISSUE","JOURNAL_VOLUME"
"Market Segmentation Analysis of Medium and Heavy Duty Trucks with a Fuel Cell Emphasis","Hunter, Chad (ORCID:0000000323148115); Penev, Michael (ORCID:0000000283021565); Reznicek, Evan (ORCID:0000000274561199)","ENERGY STORAGE; advanced powertrains; battery; class 8; FASTSim; fuel cell; heavy duty; hybrid; hydrogen; medium duty; SERA; sleeper cab; total cost of ownership; truck","The medium- and heavy-duty transportation sector is experiencing rapid changes in powertrain technology innovation with recent announcements of battery electric and fuel cell electric trucks being offered. However, the economics of these alternative powertrain vehicles are uncertain and difficult to compare directly. This analysis seeks to bridge the gap of techno-economic analyses for these alternative powertrain vehicles by comparing all of them within the same analytic framework. Specifically, this report evaluates the total cost of ownership (TCO) of six different truck powertrain technologies (diesel, diesel hybrid-electric, plug-in hybrid electric, compressed natural gas, battery electric, and fuel cell electric) for three different truck vocations (Class 8 long haul [750 mile range], Class 8 short haul [300 mile range], and Class 4 parcel delivery), for different Department of Energy technology statuses (2018, 2025, and Ultimate). The TCO framework includes direct costs (purchase price, fuel, operating and maintenance), indirect costs (dwell time costs due to refueling/recharging and payload opportunity costs from forgone revenue due to the truck being weight-limited), but excludes general operation costs (driver wages and benefits, insurance, tire replacements, permits, tolls) that are assumed to be the same across powertrains. The TCO was evaluated for four scenarios that reflect typical business operating conditions. The TCO analysis results highlight that each powertrain technology may have an economic advantage on a TCO basis in certain business operating conditions and depending on fuel price realized. For Class 8 long haul trucks when payload opportunity costs are not incurred, battery electric and fuel cell electric powertrains could be cost competitive with diesel if the 2025 targets are achieved and fuel prices are low. If payload opportunity costs are incurred, battery electric powertrains are not estimated to reach TCO parity with diesel even if Ultimate targets and low electricity prices are realized, indicating a need for significant vehicle lightweighting. In Class 8 short haul commercial applications when payload opportunity costs are not incurred, battery electric, fuel cell electric, and compressed natural gas vehicle powertrains have very competitive TCOs with diesel if the 2025 targets are achieved. In Class 8 short haul commercial applications when payload opportunity costs are incurred, the battery electric vehicle powertrains can achieve TCO parity with diesel only if the Ultimate battery prices are met ($80/kWh). In Class 4 parcel delivery truck operating scenarios where there are no dwell time costs incurred, the plug-in hybrid electric vehicle, battery electric vehicle, and fuel cell electric vehicle could be cost-competitive with diesel and compressed natural gas with current (2018) technology performance and costs. In general, the payload opportunity costs can be a significant driver to TCO for the Class 8 long and short haul commercial vehicle applications while the dwell time costs could be a major TCO cost driver for the Class 4 parcel delivery vehicle if the business scenario realizes those costs.","","","National Renewable Energy Lab. (NREL), Golden, CO (United States)","USDOE Office of Energy Efficiency and Renewable Energy (EERE), Hydrogen and Fuel Cell Technologies Office (EE-3F)","","United States","2020-10-19T00:00:00Z","English","Conference","","Conference: Presented at the Hydrogen and Fuel Cells Program 2020 Annual Merit Review and Peer Evaluation, 15-19 June 2020","","Medium: ED; Size: 1.6 MB","","NREL/PR-5400-77834","AC36-08GO28308","MainId:30749;UUID:c2ea1f8a-5a68-40c7-b9ed-f730b8f93223;MainAdminID:18727","","","2021-12-08T00:00:00Z","1686140","https://www.osti.gov/biblio/1686140","https://www.osti.gov/servlets/purl/1686140","","",""
"A pore-expanded supramolecular organic framework and its enrichment of photosensitizers and catalysts for visible-light-induced hydrogen production","Yan, Meng; Liu, Xu-Bo; Gao, Zhong-Zheng; Wu, Yi-Peng; Hou, Jun-Li; Wang, Hui; Zhang, Dan-Wei; Liu, Yi; Li, Zhan-Ting","37 INORGANIC, ORGANIC, PHYSICAL, AND ANALYTICAL CHEMISTRY; supramolecular organic framework; large pore; photocatalysis; hydrogen production; porous material; cucurbit[8]uril","A pore-expanded three-dimensional supramolecular organic framework SOF-bpb, with a previously unattained aperture size of 3.6 nm, has been constructed in water from the co-assembly of cucurbit[8]uril (CB[8]) and a tetraphenylmethane-cored 1,4-bis(pyridin-4-yl)-benzene-appended building block M1. The periodicity of SOF-bpb in water and in the solid state has been confirmed using synchrotron X-ray scattering and diffraction experiments. SOF-bpb can adsorb anionic and neutral Ru<sup>2+</sup> complex photosensitizers and anionic Wells–Dawson-type and Keggin-type polyoxometalates (POMs). The adsorption leads to an important enrichment effect, which remarkably increases the catalytic efficiency of the Ru<sup>2+</sup> complex–POM systems for visible light-induced reduction of protons to produce H<sub>2</sub>. Here, the expanded aperture of SOF-bpb also facilitates light absorption of the adsorbed Ru<sup>2+</sup> complex photosensitizers and electron transfer between excited complexes and the POM catalysts, leading to enhanced photocatalytic activities as compared with the prototypical SOF that has an aperture size of 2.1 nm.","Royal Society of Chemistry","","Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States)","USDOE Office of Science (SC), Basic Energy Sciences (BES). Scientific User Facilities Division","","United States","2019-04-16T00:00:00Z","English","Journal Article","","Journal Name: Organic Chemistry Frontiers (Online); Journal Volume: 6; Journal Issue: 10","","Medium: ED; Size: p. 1698-1704","","","AC02-05CH11231","Journal ID: ISSN 2052-4129; OCFRA8; ark:/13030/qt1ss6d88s","10.1039/c9qo00382g","","2021-10-27T00:00:00Z","1564029","https://www.osti.gov/biblio/1564029","https://www.osti.gov/servlets/purl/1564029","Organic Chemistry Frontiers (Online)","10","6"
"Enhancing Hydrogen Generation Through Nanoconfinement of Sensitizers and Catalysts in a Homogeneous Supramolecular Organic Framework","Yu, Shang-Bo; Qi, Qi; Yang, Bo; Wang, Hui; Zhang, Dan-Wei; Liu, Yi; Li, Zhan-Ting","08 HYDROGEN; cucurbit[8]uril; hydrogen evolution; nanoconfinement; photocatalysis","Enrichment of molecular photosensitizers and catalysts in a confined nanospace is conducive for photocatalytic reactions due to improved photoexcited electron transfer from photosensitizers to catalysts. Herein, the self-assembly of a highly stable 3D supramolecular organic framework from a rigid bipyridine-derived tetrahedral monomer and cucurbit[8]uril in water, and its efficient and simultaneous intake of both [Ru(bpy)<sub>3</sub>]<sup>2+</sup>-based photosensitizers and various polyoxometalates, that can take place at very low loading, are reported. Finally, the enrichment substantially increases the apparent concentration of both photosensitizer and catalyst in the interior of the framework, which leads to a recyclable, homogeneous, visible light-driven photocatalytic system with 110-fold increase of the turnover number for the hydrogen evolution reaction.","Wiley","","Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States)","USDOE Office of Science (SC), Basic Energy Sciences (BES) (SC-22), Scientific User Facilities Division (SC-22.3); National Natural Science Foundation of China (NSFC); USDOE","","United States","2018-05-16T00:00:00Z","English","Journal Article","","Journal Name: Small; Journal Volume: 14; Journal Issue: 24","","Medium: ED; Size: Article No. 1801037","","","AC02-05CH11231; 91227108; 21432004; 21529201; AC02- 05CH11231","Journal ID: ISSN 1613-6810; ark:/13030/qt9dt5c6bh","10.1002/smll.201801037","","2022-04-01T00:00:00Z","1599779","https://www.osti.gov/biblio/1599779","https://www.osti.gov/servlets/purl/1599779","Small","24","14"
"A stable metal-covalent-supramolecular organic framework hybrid: enrichment of catalysts for visible light-induced hydrogen production","Li, Xiong-Fei; Yu, Shang-Bo; Yang, Bo; Tian, Jia; Wang, Hui; Zhang, Dan-Wei; Liu, Yi; Li, Zhan-Ting","37 INORGANIC, ORGANIC, PHYSICAL, AND ANALYTICAL CHEMISTRY; supramolecular organic framework; self-assembly; cucurbitu[8]ril; photocatalysis; hydrogen production","Cubic metal-covalent-supramolecular organic framework (MCSOF-1) hybrid has been created from the reaction of two molecular components and subsequent co-assembly with cucurbit[8]uril (CB[8]) in water. In the presence of CB[8], [Ru(bpy)<sub>3</sub>]<sup>2+</sup> -based acylhydrazine 1·2Cl reacted with aldehyde 2·Cl to quantitatively yield six-armed precursor 3·8Cl through the generation of MCSOF-1. MCSOF-1 combines the structural features of metal-, covalent- and supramolecular organic frameworks. Its periodicity in water and in the solid state was confirmed by synchrotron X-ray scattering and diffraction experiments. Finally, MCSOF-1 could enrich discrete anionic polyoxometalates (POMs), maintain periodicity in acidic medium, and remarkably facilitate visible light-induced electron transfer from its [Ru(bpy)<sub>3</sub>]<sup>2+</sup> units to enriched POMs, leading to enhanced catalysis of the POMs for the reduction of proton to H<sub>2</sub> in both aqueous (homogeneous) and organic (heterogeneous) media.","Science China Press and Springer","","Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States)","USDOE Office of Science (SC), Basic Energy Sciences (BES) (SC-22), Scientific User Facilities Division (SC-22.3 )","","United States","2018-04-11T00:00:00Z","English","Journal Article","","Journal Name: Science China Chemistry; Journal Volume: 61; Journal Issue: 7","","Medium: ED; Size: p. 830-835","","","AC02-05CH11231","Journal ID: ISSN 1674-7291; ark:/13030/qt69t611r5","10.1007/s11426-018-9234-2","","2021-09-02T00:00:00Z","1599780","https://www.osti.gov/biblio/1599780","https://www.osti.gov/servlets/purl/1599780","Science China Chemistry","7","61"
"Knockout beyond the dripline","Bonaccorso, A.; Charity, R. J.; Kumar, R.; Salvioni, G.","73 NUCLEAR PHYSICS AND RADIATION PHYSICS; ASYMPTOTIC SOLUTIONS; BERYLLIUM 6; BERYLLIUM 7; BORON 8; BORON 8 TARGET; CARBON 8; CARBON 9; COMPARATIVE EVALUATIONS; CROSS SECTIONS; EXCITATION; GROUND STATES; HYDROGEN BURNING; KNOCK-OUT REACTIONS; PARTICLE STRUCTURE; PROTON REACTIONS; S MATRIX; SPIN; WAVE FUNCTIONS","In this contribution, we will describe neutron and proton removal from {sup 9}C and {sup 7}Be which are two particularly interesting nuclei entering the nucleo-synthesis pp-chain [1, 2]. Neutron and proton removal reactions have been used in the past twenty years to probe the single-particle structure of exotic nuclei. The core parallel-momentum distribution can give information on the angular momentum and spin of the nucleon initial state while the total removal cross section is sensitive to the asymptotic part of the initial wave function and also to the reaction mechanism. Because knockout is a peripheral reaction from which the Asymptotic Normalization Constant (ANC) of the single-particle wave function can be extracted, it has been used as an indirect method to obtain the rate of reactions like {sup 8}B(p,γ){sup 9}C or {sup 7}Be(p,γ){sup 8}B. Nucleon removal has recently been applied by the HiRA collaboration [3] to situations in which the remaining “core” is beyond the drip line, such as {sup 8}C and {sup 6}Be, unbound by one or more protons, and whose excitation-energy spectrum can be obtained by the invariant-mass method. By gating on the ground-state peak, “core” parallel-momentum distributions and total knockout cross sections have been obtained similar to previous studies with well-bound “cores”. In addition for each projectile, knock out to final bound states has also been obtained in several cases. We will report on the theoretical description and comparison to this experimental data for a few cases for which advances in the accuracy of the transfer-to-the continuum model [4, 5] have been made [6]. These include the use, when available, of “ab-initio” overlaps for the initial state [7] and in particular their ANC values [8]. Also, the construction of a nucleus-target folding potential for the treatment of the core-target S-matrix [9] using for the cores “ab-initio” densities [10] and state-of-the-art n−{sup 9}Be optical potentials [11]. Preliminary results and open problems will be discussed.","","","","","","United States","2015-02-24T00:00:00Z","English","Journal Article","Conference","Journal Name: AIP Conference Proceedings; Journal Volume: 1645; Journal Issue: 1; Conference: Carpathian Summer School of Physics 2014, Sinaia (Romania), 13-26 Jul 2014; Other Information: (c) 2015 AIP Publishing LLC; Country of input: International Atomic Energy Agency (IAEA)","","Medium: X; Size: page(s) 30-38","","","","Journal ID: ISSN 0094-243X; CODEN: APCPCS; TRN: US15A2485096684","10.1063/1.4909557","","2015-10-26T00:00:00Z","22390988","https://www.osti.gov/biblio/22390988","","AIP Conference Proceedings","1","1645"
"High current H{sub 2}{sup +} cyclotrons for neutrino physics: The IsoDAR and DAE{delta}ALUS projects","Alonso, Jose R.; Collaboration: DAE delta ALUS Collaboration","43 PARTICLE ACCELERATORS; 72 PHYSICS OF ELEMENTARY PARTICLES AND FIELDS; BEAM CURRENTS; BEAM EXTRACTION; BEAM INJECTION; BEAM PRODUCTION; CP INVARIANCE; CYCLOTRONS; DESIGN; ELECTRON ANTINEUTRINOS; HYDROGEN IONS 2 PLUS; LITHIUM 8; MEV RANGE; NEUTRINO OSCILLATION; PARTICLE DECAY; SCINTILLATION COUNTERS; SPACE CHARGE; STRIPPING","Using H{sub 2}{sup +} ions is expected to mitigate the two major impediments to accelerating very high currents in cyclotrons, due to lower space charge at injection, and stripping extraction. Planning for peak currents of 10 particle milliamps at 800 MeV/amu, these cyclotrons can generate adequate neutrino fluxes for Decay-At-Rest (DAR) studies of neutrino oscillation and CP violation. The Injector Cyclotron, at 60 MeV/amu can also provide adequate fluxes of electron antineutrinos from {sup 8}Li decay for sterile neutrino searches in existing liquid scintillator detectors at Kam LAND or SNO+. This paper outlines programs for designing and building these machines.","","","","","","United States","2013-04-19T00:00:00Z","English","Journal Article","Conference","Journal Name: AIP Conference Proceedings; Journal Volume: 1525; Journal Issue: 1; Conference: 22. international conference on application of accelerators in research and industry, Ft. Worth, TX (United States), 5-10 Aug 2012; Other Information: (c) 2013 AIP Publishing LLC; Country of input: International Atomic Energy Agency (IAEA)","","Medium: X; Size: page(s) 480-486","","","","Journal ID: ISSN 0094-243X; CODEN: APCPCS; TRN: US13A4163073617","10.1063/1.4802375","","2013-08-15T00:00:00Z","22116996","https://www.osti.gov/biblio/22116996","","AIP Conference Proceedings","1","1525"
"Dose and dose averaged LET comparison of {sup 1}H, {sup 4}He, {sup 6}Li, {sup 8}Be, {sup 10}B, {sup 12}C, {sup 14}N, and {sup 16}O ion beams forming a spread-out Bragg peak","Kantemiris, I.; Karaiskos, P.; Papagiannis, P.; Angelopoulos, A.; Medical Physics Laboratory, Medical School, University of Athens, 75 Mikras Asias, 115 27 Athens (Greece); Nuclear and Particle Physics Section, Physics Department, University of Athens, Panepistimioupolis, Ilissia, 157 71 Athens (Greece)]","61 RADIATION PROTECTION AND DOSIMETRY; 62 RADIOLOGY AND NUCLEAR MEDICINE; ALPHA PARTICLES; BERYLLIUM 8; BORON 10; BRAGG CURVE; CARBON 12; COMPUTERIZED SIMULATION; DEPTH DOSE DISTRIBUTIONS; DOSIMETRY; HELIUM 4; HYDROGEN 1; IONS; LET; LITHIUM 6; MONTE CARLO METHOD; NEOPLASMS; NITROGEN 14; OXYGEN 16; RADIATION DOSES; RADIOACTIVE ION BEAMS; RADIOTHERAPY","Purpose: Modern clinical accelerators are capable of producing ion beams from protons up to neon. This work compares the depth dose distribution and corresponding dose averaged linear energy transfer (LET) distribution, which is related to the biological effectiveness, for different ion beams ({sup 1}H, {sup 4}He, {sup 6}Li, {sup 8}Be, {sup 10}B, {sup 12}C, {sup 14}N, and {sup 16}O) using multi-energetic spectra in order to configure spread-out Bragg peaks (SOBP). Methods: Monte Carlo simulations were performed in order to configure a 5 cm SOBP at 8 cm depth in water for all the different ion beams. Physical dose and dose averaged LET distributions as a function of depth were then calculated and compared. The superposition of dose distribution of all ions is also presented for a two opposing fields configuration. Additional simulations were performed for {sup 12}C beams to investigate the dependence of dose and dose averaged LET distributions on target depth and size, as well as beam configuration. These included simulations for a 3 cm SOBP at 7, 10, and 13 cm depth in water, a 6 cm SOBP at 7 depth in water, and two opposing fields of 6 cm SOBP. Results: Alpha particles and protons present superior physical depth dose distributions relative to the rest of the beams studied. Dose averaged LET distributions results suggest higher biological effectiveness in the target volume for carbon, nitrogen and oxygen ions. This is coupled, however, with relatively high LET values--especially for the last two ion species--outside the SOBP where healthy tissue would be located. Dose averaged LET distributions for {sup 8}Be and {sup 10}B beams show that they could be attractive alternatives to {sup 12}C for the treatment of small, not deeply seated lesions. The potential therapeutic effect of different ion beams studied in this work depends on target volume and position, as well as the number of beams used. Conclusions: The optimization of beam modality for specific tumor cites remains an open question that warrants further investigation and clinically relevant results.","","","","","","United States","2011-12-15T00:00:00Z","English","Journal Article","","Journal Name: Medical Physics; Journal Volume: 38; Journal Issue: 12; Other Information: (c) 2011 American Association of Physicists in Medicine; Country of input: International Atomic Energy Agency (IAEA)","","Medium: X; Size: page(s) 6585-6591","","","","Journal ID: ISSN 0094-2405; CODEN: MPHYA6; TRN: US12A6724056514","10.1118/1.3662911","","2013-07-08T00:00:00Z","22098696","https://www.osti.gov/biblio/22098696","","Medical Physics","12","38"
"Improvement in Stability of SPring-8 Standard X-Ray Monochromators with Water-Cooled Crystals","Yamazaki, Hiroshi; Shimizu, Nobtaka; Kumasaka, Takashi; Koganezawa, Tomoyuki; Sato, Masugu; Hirosawa, Ichiro; Senba, Yasunori; Ohashi, Haruhiko; Goto, Shunji; Shimizu, Yasuhiro; Miura, Takanori; Tanaka, Masayuki; Kishimoto, Hikaru; Matsuzaki, Yasuhisa; SPring-8 Service Co., Ltd., 2-23-1, Kouto, Kamigori-cho, Ako-gun, Hyogo 678-1205 (Japan)]; Kawano, Yoshiaki; Yamamoto, Masaki; Ishikawa, Tetsuya","43 PARTICLE ACCELERATORS; 46 INSTRUMENTATION RELATED TO NUCLEAR SCIENCE AND TECHNOLOGY; BEAMS; CRYSTALS; DEFORMATION; ELECTRONS; FLUCTUATIONS; INSTABILITY; MONOCHROMATORS; OPTICS; PHYSICAL RADIATION EFFECTS; PULSATIONS; RUBBERS; SPRING-8 STORAGE RING; STABILITY; TUBES; WATER; WATER COOLED REACTORS; X RADIATION; ELASTOMERS; ELECTROMAGNETIC RADIATION; ELEMENTARY PARTICLES; FERMIONS; HYDROGEN COMPOUNDS; IONIZING RADIATIONS; LEPTONS; ORGANIC COMPOUNDS; ORGANIC POLYMERS; OXYGEN COMPOUNDS; POLYMERS; RADIATION EFFECTS; RADIATION SOURCES; RADIATIONS; REACTORS; STORAGE RINGS; SYNCHROTRON RADIATION SOURCES; VARIATIONS","SPring-8 standard double-crystal monochromators containing water-cooled crystals were stabilized to a sufficient level to function as a part of optics components to supply stable microfocused x-ray beams, by determining causes of the instability and then removing them. The instability was caused by two factors--thermal deformation of fine stepper stages in the monochromator, which resulted in reduction in beam intensity with time, and vibrations of coolant supply units and vacuum pumps, which resulted in fluctuation in beam intensity. We remodeled the crystal holders to maintain the stage temperatures constant with water, attached x-ray and electron shields to the stages in order to prevent their warming up, introduced accumulators in the water circuits to absorb pressure pulsation, used polyurethane tubes to stabilize water flow, and placed rubber cushions under scroll vacuum pumps. As a result, the intensity reduction rate of the beam decreased from 26% to 1% per hour and the intensity fluctuation from 13% to 1%. The monochromators were also modified to prevent radiation damage to the crystals, materials used as a water seal, and motor cables.","","","","","","United States","2010-06-23T00:00:00Z","English","Journal Article","","Journal Name: AIP Conference Proceedings; Journal Volume: 1234; Journal Issue: 1; Conference: SRI 2009: 10. international conference on radiation instrumentation, Melbourne (Australia), 27 Sep - 2 Oct 2009; Other Information: DOI: 10.1063/1.3463329; (c) 2010 American Institute of Physics","","Medium: X; Size: page(s) 785-788","","","","Journal ID: ISSN 0094-243X; APCPCS; TRN: US10B6712003498","10.1063/1.3463329","","2011-04-07T00:00:00Z","21410337","https://www.osti.gov/biblio/21410337","","AIP Conference Proceedings","1","1234"
"Search for {sup 7}H in {sup 2}H+{sup 8}He collisions","Nikolskii, E Yu; Otsu, H; Yoneda, K; Baba, H; Yamada, K; Aoi, N; Kurokawa, M; Motobayashi, T; Nishimura, S; Suda, T; Takeuchi, S; Tanaka, K; Yamaguchi, M; Korsheninnikov, A A; RRC Kurchatov Institute, Kurchatov Square 1, RU-123182 Moscow (Russian Federation)]; Suzuki, H; Kondo, Y; Nakamura, T; Satou, Y; Denikin, A S; Department of Nuclear Physics, International University 'Dubna', RU-141980 Dubna, Moscow Region (Russian Federation)]; Golovkov, M S","73 NUCLEAR PHYSICS AND RADIATION PHYSICS; BEAMS; BERYLLIUM 12; CENTER-OF-MASS SYSTEM; COLLISIONS; CROSS SECTIONS; DEUTERIUM TARGET; GROUND STATES; HELIUM 3; HELIUM 8 BEAMS; HYDROGEN 7; LITHIUM 11; MEV RANGE 10-100; PROTONS; RESONANCE; SPECTRA; ALKALINE EARTH ISOTOPES; BARYONS; BERYLLIUM ISOTOPES; BETA DECAY RADIOISOTOPES; BETA-MINUS DECAY RADIOISOTOPES; ELEMENTARY PARTICLES; ENERGY LEVELS; ENERGY RANGE; EVEN-EVEN NUCLEI; EVEN-ODD NUCLEI; FERMIONS; HADRONS; HELIUM ISOTOPES; HYDROGEN ISOTOPES; ION BEAMS; ISOTOPES; LIGHT NUCLEI; LITHIUM ISOTOPES; MEV RANGE; MILLISECONDS LIVING RADIOISOTOPES; NUCLEI; NUCLEONS; ODD-EVEN NUCLEI; RADIOACTIVE ION BEAMS; RADIOISOTOPES; SECONDARY BEAMS; STABLE ISOTOPES; TARGETS","An experimental search for the low-lying {sup 7}H resonance was performed with the {sup 2}H({sup 8}He{sup 3}He){sup 7}H reaction studied at forward center-of-mass angles (6 deg. - 14 deg.) with a 42 A MeV {sup 8}He beam. No well-pronounced peak of {sup 7}H was observed; however, the obtained spectrum was found to have a peculiarity at approx2 MeV above the t+4n threshold. The data allow us to set a c.m.s. cross section level of approx30 mub/sr for the low-energy part of the {sup 7}H spectrum. The test reaction {sup 2}H({sup 12}Be{sup 3}He){sup 11}Li, involving the same one-proton (d,{sup 3}He) transfer, was studied simultaneously on a 71 A MeV satellite beam where a cross section of approx =1 mb/sr was measured for the population of the {sup 11}Li ground state.","","","","","","United States","2010-06-15T00:00:00Z","English","Journal Article","","Journal Name: Physical Review. C, Nuclear Physics; Journal Volume: 81; Journal Issue: 6; Other Information: DOI: 10.1103/PhysRevC.81.064606; (c) 2010 The American Physical Society","","Medium: X; Size: page(s) 064606-064606.5","","","","Journal ID: ISSN 0556-2813; PRVCAN; TRN: US10B2667117353","10.1103/PHYSREVC.81.064606","","2011-01-24T00:00:00Z","21388610","https://www.osti.gov/biblio/21388610","","Physical Review. C, Nuclear Physics","6","81"
"Reaction cross section studies at NIRS and RIBF","Fukuda, M; Minamisono, T; Takechi, M; Nishimura, D; Mihara, M; Matsumiya, R; Matsuta, K; Ohtsubo, T; Ohkuma, Y; Shimbara, Y; Suzuki, S; Watanabe, R; Izumikawa, T; Momota, S; Suzuki, T; Yamaguchi, T; Kuboki, T; Hachiuma, I; Namihira, K; Nakajima, S","73 NUCLEAR PHYSICS AND RADIATION PHYSICS; APPROXIMATIONS; BERYLLIUM 11; BORON 8; CROSS SECTIONS; CYCLOTRONS; GLAUBER THEORY; HYDROGEN; MULTIPLE SCATTERING; NEON 17; NEUTRON SOURCES; NEUTRONS; NUCLEAR STRUCTURE; ACCELERATORS; ALKALINE EARTH ISOTOPES; BARYONS; BERYLLIUM ISOTOPES; BETA DECAY RADIOISOTOPES; BETA-MINUS DECAY RADIOISOTOPES; BETA-PLUS DECAY RADIOISOTOPES; BORON ISOTOPES; CALCULATION METHODS; CYCLIC ACCELERATORS; ELEMENTARY PARTICLES; ELEMENTS; EVEN-ODD NUCLEI; FERMIONS; HADRONS; ISOTOPES; LIGHT NUCLEI; MILLISECONDS LIVING RADIOISOTOPES; NEON ISOTOPES; NONMETALS; NUCLEI; NUCLEONS; ODD-ODD NUCLEI; PARTICLE SOURCES; RADIATION SOURCES; RADIOISOTOPES; SCATTERING; SECONDS LIVING RADIOISOTOPES","Reaction cross sections for stable nuclei at intermediate energies have been measured precisely and systematically. The data have been found to be reproduced nicely by the optical-limit approximation of Glauber theory modified to include the nucleon multiple scattering effect and the Fermi-motion effect. Applying this prescription, the nucleon density distribution of {sup 17}Ne has been studied. The surface structure of {sup 8}B and {sup 11}Be has been also studied using this prescription and hydrogen targets. Using the RIBF that has just started application to studies of exotic nuclei, neutron-rich Ne isotopes around the Island of Inversion have been investigated through measurements of their interaction cross sections.","","","","","","United States","2010-06-01T00:00:00Z","English","Journal Article","","Journal Name: AIP Conference Proceedings; Journal Volume: 1238; Journal Issue: 1; Conference: 7. Tours symposium on nuclear physics and astrophysics, Kobe (Japan), 16-20 Nov 2009; Other Information: DOI: 10.1063/1.3455949; (c) 2010 American Institute of Physics","","Medium: X; Size: page(s) 270-273","","","","Journal ID: ISSN 0094-243X; APCPCS; TRN: US10B1420096671","10.1063/1.3455949","","2010-12-06T00:00:00Z","21362120","https://www.osti.gov/biblio/21362120","","AIP Conference Proceedings","1","1238"
